InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX
43.0;-829;-7.0;351;34.0;51.0;-5.0
12.0;-743;-34.0;419;17.0;27.0;46.0
-230.0;-808;258.0;399;-189.0;-75.0;104.0
16.0;-773;-25.0;424;4.0;12.0;-39.0
39.0;-770;-32.0;419;38.0;37.0;-4.0
-66.0;-749;-39.0;416;45.0;93.0;11.0
38.0;-801;-20.0;384;41.0;41.0;0.0
20.0;-734;-50.0;427;28.0;34.0;6.0
28.0;-734;-35.0;426;34.0;11.0;0.0
31.0;-844;30.0;357;86.0;18.0;-3.0
25.0;-733;-34.0;435;16.0;81.0;29.0
-60.0;-749;-6.0;413;-187.0;-99.0;-24.0
42.0;-784;40.0;427;-1.0;26.0;61.0
5.0;-1087;-17.0;799;7.0;42.0;-9.0
41.0;-738;-25.0;433;-12.0;33.0;5.0
35.0;-733;-35.0;435;32.0;6.0;-14.0
22.0;-746;-72.0;443;40.0;-65.0;-56.0
5.0;-769;59.0;431;6.0;25.0;56.0
15.0;-735;-28.0;432;-22.0;20.0;8.0
21.0;-815;-16.0;379;25.0;6.0;3.0
21.0;-735;-11.0;435;3.0;41.0;-2.0
-19.0;-753;4.0;418;38.0;23.0;-54.0
8.0;-747;-33.0;428;51.0;59.0;-10.0
34.0;-749;-7.0;432;11.0;42.0;0.0
85.0;-628;13.0;581;24.0;295.0;-19.0
64.0;-753;-3.0;414;-78.0;18.0;117.0
33.0;-735;-26.0;441;29.0;67.0;32.0
22.0;-728;-54.0;434;0.0;34.0;12.0
-43.0;-724;-165.0;487;-7.0;272.0;162.0
2.0;-809;-5.0;374;36.0;4.0;5.0
12.0;-774;6.0;423;-7.0;37.0;49.0
31.0;-823;18.0;364;-11.0;47.0;18.0
-23.0;-774;22.0;424;3.0;33.0;27.0
34.0;-777;23.0;418;29.0;6.0;38.0
13.0;-781;102.0;427;-127.0;25.0;34.0
34.0;-797;-9.0;387;8.0;41.0;11.0
52.0;-818;-43.0;358;-9.0;38.0;17.0
51.0;-819;-43.0;364;-12.0;71.0;1.0
42.0;-813;5.0;352;49.0;45.0;13.0
64.0;-820;-37.0;369;4.0;43.0;-8.0
47.0;-831;-38.0;346;38.0;48.0;6.0
53.0;-823;-26.0;360;-8.0;65.0;-6.0
63.0;-824;-21.0;365;-35.0;71.0;-27.0
-68.0;-810;96.0;340;26.0;-69.0;-37.0
42.0;-807;-26.0;388;17.0;15.0;6.0
55.0;-824;-48.0;363;38.0;81.0;-80.0
37.0;-798;-27.0;388;12.0;79.0;-53.0
28.0;-795;38.0;385;10.0;29.0;4.0
83.0;-818;-32.0;349;32.0;70.0;28.0
32.0;-820;-14.0;353;19.0;64.0;54.0
-33.0;-802;16.0;385;-10.0;-13.0;72.0
5.0;-809;5.0;376;19.0;69.0;51.0
53.0;-825;6.0;366;6.0;19.0;3.0
-3.0;-820;-2.0;351;2.0;19.0;12.0
37.0;-818;-51.0;367;55.0;-35.0;-57.0
50.0;-799;18.0;384;27.0;69.0;35.0
33.0;-826;-12.0;350;37.0;32.0;41.0
-83.0;-748;37.0;429;-19.0;8.0;-55.0
-16.0;-746;24.0;417;30.0;42.0;29.0
27.0;-820;-9.0;363;17.0;28.0;52.0
-54.0;-782;83.0;432;0.0;58.0;-179.0
32.0;-838;-22.0;347;61.0;88.0;37.0
59.0;-805;-7.0;390;28.0;161.0;41.0
74.0;-799;-20.0;387;42.0;70.0;27.0
163.0;-799;-160.0;356;-76.0;54.0;29.0
-65.0;-824;45.0;379;78.0;193.0;-235.0
73.0;-801;-19.0;382;3.0;36.0;10.0
9.0;-751;-11.0;417;26.0;37.0;2.0
4.0;-727;18.0;444;81.0;23.0;62.0
36.0;-750;-1.0;422;15.0;13.0;19.0
35.0;-810;-50.0;375;6.0;56.0;-13.0
6.0;-766;-115.0;436;-27.0;-70.0;37.0
-13.0;-761;-4.0;430;-24.0;-77.0;8.0
12.0;-759;3.0;414;118.0;3.0;17.0
32.0;-753;-15.0;416;16.0;22.0;-17.0
-111.0;-786;-8.0;416;207.0;18.0;93.0
35.0;-765;-30.0;403;55.0;62.0;17.0
160.0;-747;-65.0;426;17.0;156.0;119.0
13.0;-827;-23.0;355;25.0;29.0;-92.0
842.0;-783;-109.0;408;945.0;837.0;66.0
-7.0;-812;7.0;391;175.0;-230.0;-19.0
41.0;-757;-46.0;420;11.0;37.0;-21.0
26.0;-802;-4.0;385;10.0;33.0;-9.0
20.0;-795;-6.0;383;10.0;19.0;12.0
-61.0;-810;74.0;379;-422.0;-207.0;-160.0
-162.0;-809;-112.0;376;-17.0;-46.0;-64.0
2.0;-802;2.0;380;33.0;11.0;53.0
34.0;-769;-77.0;435;76.0;50.0;66.0
-3.0;-818;-22.0;375;-78.0;12.0;-13.0
35.0;-775;-44.0;421;42.0;21.0;-96.0
52.0;-807;-90.0;376;-87.0;-23.0;38.0
32.0;-826;17.0;351;47.0;48.0;-3.0
39.0;-825;-10.0;349;45.0;41.0;14.0
307.0;-666;34.0;550;178.0;21.0;222.0
-142.0;-816;-124.0;338;-245.0;144.0;21.0
37.0;-771;-5.0;386;15.0;74.0;14.0
173.0;-176;-113.0;-833;153.0;208.0;26.0
18.0;-790;10.0;418;25.0;70.0;-54.0
56.0;-773;-32.0;427;49.0;120.0;47.0
20.0;-771;-40.0;430;2.0;62.0;1.0
15.0;-771;-4.0;434;-4.0;30.0;-3.0
45.0;-830;2.0;346;37.0;32.0;28.0
5.0;-838;-23.0;350;15.0;35.0;-8.0
0.0;-802;33.0;405;84.0;14.0;118.0
33.0;-770;-9.0;431;17.0;71.0;8.0
-146.0;-775;68.0;433;-95.0;213.0;47.0
27.0;-788;-87.0;408;186.0;-21.0;-3.0
33.0;-732;-31.0;441;16.0;1.0;19.0
29.0;-728;-17.0;441;13.0;13.0;-11.0
19.0;-724;-27.0;480;7.0;48.0;-41.0
-39.0;-732;-3.0;439;43.0;29.0;47.0
-5.0;-727;15.0;474;44.0;1.0;-8.0
14.0;-732;-8.0;442;0.0;38.0;-7.0
42.0;-769;15.0;427;7.0;59.0;49.0
-17.0;-822;2.0;371;5.0;44.0;-15.0
35.0;-819;-48.0;381;36.0;43.0;39.0
27.0;-825;-52.0;362;-45.0;67.0;-113.0
67.0;-813;-27.0;384;12.0;25.0;-23.0
13.0;-779;-10.0;429;41.0;50.0;-38.0
9.0;-783;1.0;421;20.0;66.0;7.0
52.0;-748;3.0;424;21.0;13.0;34.0
50.0;-746;-30.0;430;47.0;49.0;29.0
30.0;-746;-42.0;433;55.0;47.0;31.0
39.0;-761;-21.0;413;1.0;35.0;23.0
