InertialMeasurementUnit RLA Quaternion1;Accelerometer RWR accZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit RLA accY;Accelerometer RUA_ accZ
-341.0;566.0;261.0;103.0;97.0;814.0;372.0
-211.0;26.0;321.0;415.0;420.0;345.0;486.0
605.0;134.0;519.0;65.0;374.0;59.0;299.0
-103.0;-198.0;561.0;314.0;526.0;229.0;322.0
-10.0;66.0;411.0;215.0;545.0;367.0;406.0
-17.0;-44.0;331.0;-7.0;446.0;359.0;425.0
171.0;31.0;301.0;328.0;293.0;294.0;400.0
-63.0;-140.0;547.0;-165.0;427.0;45.0;321.0
227.0;8.0;497.0;-706.0;232.0;169.0;275.0
-16.0;38.0;270.0;-86.0;278.0;460.0;485.0
116.0;92.0;315.0;44.0;410.0;485.0;301.0
188.0;-38.0;675.0;12.0;616.0;379.0;255.0
21.0;-98.0;327.0;13.0;414.0;407.0;408.0
533.0;-456.0;487.0;-520.0;556.0;341.0;541.0
20.0;-861.0;810.0;-8.0;912.0;-430.0;731.0
266.0;-56.0;270.0;-8.0;459.0;396.0;536.0
33.0;-140.0;272.0;58.0;452.0;368.0;485.0
-122.0;-102.0;369.0;-32.0;463.0;694.0;559.0
-17.0;-162.0;340.0;9.0;451.0;483.0;496.0
-61.0;-301.0;365.0;-31.0;625.0;833.0;867.0
-20.0;-147.0;326.0;11.0;473.0;427.0;510.0
304.0;-900.0;659.0;-19.0;965.0;35.0;946.0
-7.0;-241.0;314.0;106.0;446.0;461.0;480.0
-18.0;-69.0;331.0;23.0;459.0;440.0;503.0
-17.0;-129.0;321.0;44.0;450.0;432.0;496.0
-16.0;-20.0;313.0;40.0;441.0;434.0;508.0
61.0;-787.0;376.0;-212.0;268.0;279.0;229.0
89.0;-614.0;260.0;172.0;216.0;291.0;308.0
-23.0;-399.0;391.0;859.0;436.0;528.0;648.0
686.0;-611.0;44.0;-2650.0;535.0;238.0;697.0
15.0;-160.0;308.0;-167.0;459.0;423.0;460.0
29.0;-138.0;319.0;-37.0;432.0;420.0;465.0
34.0;-33.0;298.0;-45.0;423.0;436.0;459.0
31.0;-154.0;306.0;29.0;432.0;450.0;470.0
32.0;-153.0;302.0;11.0;437.0;443.0;470.0
32.0;-163.0;304.0;-2.0;434.0;439.0;445.0
33.0;-91.0;304.0;-55.0;433.0;439.0;442.0
34.0;-142.0;300.0;-31.0;422.0;434.0;465.0
142.0;61.0;363.0;-125.0;273.0;546.0;399.0
543.0;-86.0;393.0;22.0;544.0;381.0;798.0
-505.0;133.0;41.0;70.0;191.0;519.0;329.0
227.0;-200.0;347.0;98.0;518.0;648.0;718.0
88.0;-715.0;310.0;9.0;696.0;652.0;920.0
628.0;-356.0;255.0;14.0;616.0;79.0;760.0
-22.0;117.0;507.0;-73.0;352.0;51.0;330.0
-687.0;-121.0;223.0;523.0;338.0;474.0;293.0
-208.0;256.0;390.0;-737.0;379.0;831.0;571.0
-232.0;251.0;224.0;81.0;182.0;810.0;500.0
-711.0;-403.0;92.0;-71.0;329.0;540.0;358.0
-137.0;-215.0;247.0;-324.0;389.0;516.0;668.0
-266.0;-15.0;302.0;62.0;458.0;806.0;631.0
-631.0;48.0;189.0;-265.0;477.0;573.0;513.0
-134.0;-10.0;248.0;19.0;321.0;299.0;323.0
-106.0;55.0;177.0;-13.0;299.0;326.0;300.0
-105.0;119.0;185.0;0.0;299.0;320.0;287.0
845.0;-695.0;293.0;-58.0;427.0;397.0;460.0
167.0;-254.0;75.0;92.0;463.0;802.0;628.0
-162.0;-557.0;444.0;-324.0;663.0;609.0;881.0
-28.0;-59.0;278.0;-70.0;447.0;331.0;507.0
-200.0;-164.0;366.0;28.0;550.0;481.0;542.0
-73.0;144.0;172.0;432.0;332.0;848.0;425.0
-63.0;-117.0;189.0;128.0;491.0;449.0;663.0
-243.0;95.0;262.0;559.0;427.0;716.0;549.0
-380.0;-787.0;371.0;-19.0;775.0;373.0;903.0
-14.0;65.0;195.0;-149.0;314.0;338.0;301.0
-129.0;37.0;203.0;-341.0;217.0;272.0;249.0
263.0;141.0;145.0;-313.0;244.0;289.0;299.0
-8.0;-42.0;195.0;-139.0;294.0;345.0;371.0
-4.0;53.0;201.0;-10.0;302.0;321.0;318.0
-425.0;112.0;352.0;-157.0;409.0;314.0;335.0
-267.0;19.0;324.0;18.0;795.0;459.0;899.0
326.0;-51.0;556.0;82.0;650.0;783.0;807.0
791.0;243.0;202.0;61.0;279.0;500.0;313.0
168.0;461.0;126.0;-72.0;123.0;965.0;304.0
283.0;35.0;321.0;-381.0;398.0;935.0;558.0
-314.0;154.0;182.0;-390.0;170.0;948.0;317.0
221.0;172.0;184.0;-102.0;186.0;237.0;547.0
-512.0;-193.0;426.0;237.0;540.0;662.0;440.0
180.0;315.0;103.0;-22.0;309.0;392.0;322.0
-249.0;-563.0;264.0;29.0;600.0;646.0;805.0
-652.0;63.0;368.0;180.0;390.0;296.0;414.0
-562.0;-357.0;233.0;0.0;578.0;61.0;760.0
22.0;20.0;346.0;26.0;280.0;213.0;245.0
-180.0;68.0;256.0;0.0;335.0;272.0;339.0
-30.0;102.0;182.0;42.0;324.0;351.0;303.0
-705.0;206.0;115.0;347.0;153.0;345.0;226.0
-131.0;21.0;254.0;-81.0;340.0;278.0;332.0
351.0;-537.0;520.0;44.0;730.0;547.0;889.0
-138.0;-139.0;261.0;-33.0;341.0;289.0;323.0
172.0;168.0;142.0;5.0;270.0;354.0;264.0
741.0;118.0;101.0;282.0;231.0;368.0;346.0
-217.0;221.0;280.0;-120.0;39.0;41.0;-29.0
6.0;184.0;153.0;322.0;191.0;248.0;223.0
134.0;-657.0;295.0;-498.0;-145.0;110.0;-187.0
19.0;-421.0;363.0;-133.0;869.0;438.0;863.0
-704.0;177.0;181.0;-358.0;212.0;322.0;319.0
-186.0;-5.0;257.0;2.0;335.0;278.0;339.0
75.0;51.0;258.0;-33.0;235.0;230.0;214.0
705.0;126.0;260.0;-335.0;325.0;236.0;315.0
-58.0;113.0;206.0;166.0;264.0;269.0;263.0
