Accelerometer LUA^ accX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit RUA magneticX;Accelerometer BACK accX
-3.0;184.0;77.0;?;389.0;369.0;360.0
-59.0;154.0;78.0;286.0;364.0;372.0;?
?;?;86.0;272.0;?;376.0;301.0
-208.0;212.0;62.0;253.0;337.0;376.0;265.0
-198.0;211.0;?;228.0;294.0;376.0;?
-143.0;207.0;-127.0;199.0;343.0;375.0;180.0
-45.0;223.0;-435.0;166.0;326.0;367.0;121.0
?;271.0;-732.0;146.0;351.0;348.0;101.0
-1.0;243.0;-918.0;143.0;336.0;325.0;?
6.0;?;-1133.0;157.0;409.0;?;-37.0
-3.0;210.0;-1159.0;194.0;?;257.0;-48.0
?;66.0;-946.0;235.0;?;219.0;-26.0
34.0;72.0;-693.0;249.0;285.0;191.0;5.0
34.0;31.0;-377.0;250.0;357.0;174.0;?
46.0;8.0;52.0;242.0;?;168.0;54.0
-17.0;16.0;402.0;228.0;407.0;170.0;50.0
-26.0;-3.0;717.0;196.0;417.0;187.0;48.0
8.0;?;955.0;?;284.0;214.0;94.0
-24.0;-31.0;985.0;102.0;301.0;244.0;84.0
-85.0;18.0;955.0;?;?;277.0;80.0
-64.0;26.0;1136.0;?;390.0;310.0;90.0
-45.0;29.0;1124.0;-36.0;306.0;349.0;77.0
-109.0;18.0;861.0;-36.0;193.0;374.0;79.0
-137.0;16.0;743.0;-18.0;367.0;397.0;67.0
-172.0;2.0;674.0;-7.0;421.0;416.0;?
10.0;28.0;318.0;-11.0;403.0;433.0;86.0
126.0;-6.0;125.0;-27.0;294.0;437.0;?
-12.0;11.0;-92.0;?;284.0;440.0;104.0
-149.0;50.0;-187.0;-71.0;284.0;439.0;94.0
-107.0;?;-230.0;?;274.0;434.0;?
-105.0;69.0;-240.0;-50.0;291.0;430.0;124.0
?;?;-336.0;-32.0;297.0;422.0;96.0
-8.0;50.0;-485.0;-14.0;278.0;416.0;84.0
1.0;49.0;-717.0;3.0;446.0;403.0;117.0
99.0;45.0;-1026.0;39.0;?;381.0;103.0
142.0;20.0;-1366.0;98.0;334.0;347.0;89.0
139.0;?;-1878.0;169.0;361.0;?;87.0
84.0;43.0;-2181.0;242.0;413.0;238.0;72.0
190.0;-19.0;-2545.0;309.0;?;165.0;95.0
189.0;-40.0;-2885.0;372.0;284.0;81.0;80.0
175.0;?;?;?;379.0;-17.0;?
151.0;-8.0;-3427.0;516.0;444.0;-116.0;77.0
?;255.0;-3532.0;581.0;374.0;-210.0;133.0
160.0;531.0;-3700.0;626.0;?;-287.0;206.0
141.0;492.0;-2993.0;637.0;338.0;-355.0;40.0
92.0;142.0;?;638.0;352.0;-400.0;-54.0
-7.0;6.0;-2125.0;627.0;357.0;-438.0;94.0
22.0;85.0;-1280.0;616.0;450.0;-458.0;132.0
-31.0;37.0;-938.0;604.0;473.0;?;98.0
-301.0;-100.0;-1565.0;586.0;439.0;-464.0;50.0
-255.0;-158.0;-515.0;571.0;394.0;-462.0;-13.0
-257.0;-201.0;-875.0;536.0;437.0;-455.0;-4.0
-246.0;-153.0;-320.0;?;360.0;-444.0;?
-508.0;-113.0;-83.0;507.0;363.0;-436.0;45.0
-470.0;-59.0;?;501.0;319.0;-434.0;60.0
-541.0;-17.0;669.0;504.0;349.0;-436.0;58.0
-429.0;-72.0;57.0;261.0;?;-36.0;-28.0
-397.0;-70.0;-3.0;260.0;?;?;?
-391.0;-52.0;?;253.0;350.0;-38.0;?
-291.0;-66.0;-445.0;258.0;357.0;-46.0;-26.0
-178.0;-62.0;-798.0;?;374.0;-59.0;-14.0
-34.0;-156.0;-1298.0;301.0;352.0;-80.0;-25.0
16.0;-201.0;-1890.0;329.0;341.0;-110.0;-30.0
-112.0;-101.0;-2347.0;364.0;371.0;-148.0;?
-189.0;?;-2575.0;407.0;373.0;-190.0;-20.0
-284.0;-151.0;?;448.0;354.0;-233.0;9.0
-386.0;-164.0;-3038.0;498.0;?;-279.0;31.0
-401.0;?;-3075.0;541.0;341.0;-316.0;17.0
-470.0;-152.0;-2996.0;574.0;332.0;-337.0;32.0
-524.0;-167.0;-3140.0;599.0;353.0;-356.0;9.0
-526.0;-155.0;-3001.0;612.0;349.0;?;1.0
?;-166.0;-2807.0;602.0;344.0;-363.0;24.0
-614.0;-193.0;?;569.0;353.0;-342.0;23.0
-668.0;-309.0;?;521.0;367.0;-313.0;57.0
-732.0;-334.0;-2412.0;?;381.0;-275.0;56.0
-624.0;-338.0;-2064.0;385.0;369.0;-231.0;40.0
-556.0;-319.0;-1913.0;309.0;?;-183.0;43.0
