InertialMeasurementUnit RLA Quaternion1;Accelerometer RWR accZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit RLA accY;Accelerometer RUA_ accZ
-110.0;-86.0;295.0;117.0;512.0;406.0;483.0
-123.0;41.0;181.0;64.0;365.0;334.0;275.0
-79.0;76.0;160.0;-4.0;287.0;339.0;318.0
-73.0;16.0;167.0;52.0;262.0;329.0;320.0
25.0;83.0;158.0;-54.0;360.0;271.0;424.0
-49.0;47.0;136.0;-38.0;276.0;376.0;303.0
50.0;-38.0;293.0;177.0;373.0;350.0;401.0
-71.0;52.0;151.0;10.0;290.0;361.0;331.0
175.0;158.0;199.0;350.0;298.0;438.0;188.0
-71.0;92.0;161.0;-7.0;295.0;362.0;348.0
-99.0;93.0;201.0;25.0;283.0;306.0;339.0
-79.0;-32.0;160.0;173.0;529.0;300.0;416.0
-44.0;0.0;327.0;-244.0;280.0;395.0;608.0
-134.0;71.0;181.0;34.0;337.0;316.0;315.0
-2.0;-87.0;345.0;-7.0;196.0;327.0;504.0
-146.0;54.0;171.0;-7.0;289.0;346.0;352.0
-117.0;-37.0;181.0;-7.0;302.0;314.0;301.0
-119.0;-7.0;184.0;24.0;303.0;330.0;296.0
-122.0;53.0;187.0;18.0;301.0;339.0;281.0
-129.0;21.0;170.0;14.0;294.0;355.0;307.0
-131.0;52.0;170.0;8.0;295.0;342.0;308.0
-134.0;39.0;188.0;-2.0;295.0;321.0;313.0
-133.0;3.0;175.0;-38.0;278.0;346.0;294.0
-105.0;36.0;184.0;-19.0;297.0;328.0;282.0
-105.0;47.0;184.0;12.0;297.0;324.0;288.0
-106.0;55.0;177.0;-13.0;299.0;326.0;300.0
-111.0;50.0;186.0;-15.0;292.0;324.0;291.0
-362.0;148.0;220.0;-98.0;287.0;488.0;266.0
-144.0;82.0;209.0;12.0;292.0;331.0;400.0
-136.0;-92.0;184.0;5.0;293.0;302.0;387.0
-131.0;-86.0;173.0;35.0;275.0;277.0;371.0
-129.0;-82.0;163.0;30.0;266.0;272.0;343.0
