InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX
250.0;-814;?;?;365.0;142.0;?
333.0;-817;230.0;341;548.0;308.0;780.0
467.0;-828;245.0;345;719.0;453.0;1221.0
468.0;-838;356.0;343;841.0;452.0;1589.0
442.0;-836;405.0;335;922.0;332.0;1957.0
393.0;-835;532.0;337;968.0;65.0;2257.0
280.0;-821;505.0;349;909.0;-264.0;2348.0
129.0;-828;579.0;352;799.0;-596.0;?
-65.0;-840;660.0;329;689.0;-851.0;2047.0
-233.0;-828;449.0;330;517.0;-1117.0;1354.0
-385.0;-829;290.0;359;378.0;-1473.0;745.0
-550.0;-836;262.0;355;277.0;-1832.0;499.0
-681.0;-844;?;345;175.0;-1999.0;353.0
-777.0;-841;?;?;158.0;-2047.0;417.0
?;-834;229.0;338;?;-1920.0;502.0
-661.0;-835;77.0;342;361.0;-1610.0;?
-415.0;-830;-17.0;349;314.0;?;890.0
-156.0;-836;164.0;345;397.0;-1016.0;1139.0
?;-852;182.0;327;452.0;?;913.0
62.0;-838;172.0;343;449.0;13.0;557.0
186.0;-828;131.0;363;322.0;536.0;311.0
169.0;-838;174.0;347;?;1048.0;-63.0
201.0;?;194.0;352;105.0;1480.0;-676.0
305.0;-835;190.0;358;-213.0;1640.0;-711.0
?;-832;146.0;343;-158.0;1600.0;-450.0
230.0;-827;72.0;338;-181.0;1294.0;-397.0
?;-830;-2.0;338;-437.0;1067.0;-42.0
201.0;-829;-11.0;?;-495.0;?;522.0
230.0;-827;?;352;-387.0;736.0;570.0
208.0;-833;-79.0;351;-344.0;603.0;389.0
212.0;-842;-112.0;347;?;466.0;163.0
209.0;-835;-14.0;?;-198.0;272.0;226.0
167.0;-829;-35.0;351;?;?;249.0
62.0;-836;-89.0;349;-146.0;-176.0;58.0
-73.0;-837;?;354;-144.0;-555.0;26.0
-155.0;-836;-39.0;?;-360.0;-982.0;?
-412.0;-830;3.0;349;-654.0;-1364.0;?
?;-830;-24.0;350;-1226.0;-1948.0;68.0
?;-832;-44.0;?;-1621.0;-2358.0;-45.0
?;-823;-47.0;363;-1953.0;-3011.0;-487.0
-1504.0;-825;-19.0;350;-2176.0;-3580.0;-1148.0
?;-828;-1.0;352;-2136.0;-3850.0;-1033.0
-1933.0;-826;?;357;?;-3991.0;336.0
-1682.0;?;431.0;359;-3184.0;?;2548.0
-1466.0;-818;293.0;366;-3644.0;-2686.0;3157.0
-722.0;-822;649.0;365;-4175.0;-2188.0;2910.0
-596.0;-827;512.0;361;-4663.0;-1893.0;2534.0
-369.0;-822;166.0;361;-5099.0;-1845.0;?
?;-820;-216.0;361;-5456.0;-1550.0;2952.0
35.0;-817;-357.0;365;-5878.0;-910.0;3629.0
?;?;-467.0;369;-5394.0;-292.0;3132.0
240.0;-827;20.0;369;-4059.0;-84.0;?
338.0;-822;-13.0;365;-2717.0;174.0;2952.0
272.0;-828;-3.0;356;-1142.0;152.0;1918.0
435.0;-835;?;353;85.0;159.0;889.0
392.0;?;-150.0;359;917.0;?;290.0
127.0;-820;-87.0;358;-67.0;93.0;-203.0
65.0;-827;?;354;78.0;130.0;-164.0
18.0;-836;-50.0;?;308.0;270.0;-102.0
-10.0;?;-165.0;360;363.0;437.0;?
?;-818;-232.0;357;?;547.0;38.0
217.0;-825;-414.0;363;-326.0;740.0;430.0
163.0;-822;-618.0;362;?;1003.0;523.0
264.0;-821;-576.0;358;-703.0;1417.0;452.0
412.0;-825;-670.0;?;?;1782.0;348.0
559.0;-827;-474.0;360;-965.0;2102.0;439.0
819.0;-824;?;355;-1131.0;2337.0;?
904.0;-823;-375.0;361;-1209.0;2464.0;331.0
1044.0;-828;-326.0;360;-1493.0;2507.0;476.0
1101.0;-830;-346.0;355;-1710.0;2495.0;773.0
1169.0;-832;-122.0;356;-2068.0;2242.0;1323.0
1183.0;-829;-247.0;358;-2578.0;1921.0;1955.0
?;-828;-302.0;360;-2879.0;1856.0;2193.0
1074.0;-837;-507.0;367;-3208.0;1921.0;2832.0
1100.0;-838;-509.0;370;-3337.0;?;2862.0
920.0;-835;-444.0;351;-3065.0;1802.0;2786.0
786.0;-839;-417.0;340;-2384.0;1449.0;2659.0
551.0;-831;?;347;-1849.0;1272.0;2718.0
291.0;-829;?;344;-1245.0;1030.0;2360.0
260.0;-837;-147.0;?;-646.0;867.0;1667.0
171.0;-831;-282.0;352;-401.0;727.0;500.0
10.0;-832;-4.0;344;-51.0;475.0;22.0
-108.0;-837;103.0;348;?;?;-156.0
-156.0;-837;37.0;356;195.0;6.0;-174.0
-170.0;?;-21.0;355;304.0;?;-160.0
-128.0;-833;-60.0;355;405.0;-149.0;?
-28.0;-840;-66.0;345;375.0;-127.0;-200.0
27.0;-832;-136.0;343;435.0;?;-351.0
-60.0;-832;-52.0;348;607.0;91.0;-455.0
-93.0;-836;-39.0;342;893.0;71.0;-556.0
-109.0;-832;21.0;337;1150.0;-10.0;?
-184.0;-834;75.0;351;1350.0;-197.0;-571.0
94.0;-825;-213.0;359;111.0;225.0;-32.0
79.0;-826;?;360;?;258.0;-79.0
94.0;-827;?;359;141.0;298.0;-33.0
52.0;-826;-201.0;354;223.0;425.0;-72.0
?;-823;-278.0;356;410.0;529.0;-93.0
-26.0;-825;-394.0;357;662.0;758.0;80.0
-1.0;-829;-646.0;357;781.0;1083.0;202.0
214.0;-835;?;356;657.0;1530.0;363.0
538.0;-829;-890.0;355;394.0;1994.0;553.0
950.0;-818;-473.0;358;-183.0;2517.0;738.0
1274.0;-822;-594.0;?;-797.0;3077.0;1075.0
1840.0;-829;-799.0;355;-1502.0;3449.0;1233.0
2211.0;-828;-657.0;357;-2174.0;3944.0;1378.0
2253.0;-823;-525.0;354;-2782.0;?;1798.0
2408.0;-821;-387.0;349;?;4029.0;2183.0
2470.0;-827;?;353;?;3692.0;2151.0
2234.0;-831;-612.0;357;-4424.0;3197.0;2440.0
2186.0;-828;-740.0;352;-4859.0;2675.0;2708.0
?;-826;-489.0;350;-4808.0;?;2816.0
1607.0;-829;-653.0;353;-4740.0;1722.0;2780.0
1318.0;-832;-459.0;355;-4135.0;1185.0;2813.0
?;-833;-259.0;?;-3263.0;437.0;2473.0
743.0;-831;-198.0;353;-2119.0;100.0;1611.0
419.0;-830;-145.0;353;-1036.0;-30.0;885.0
?;-826;-103.0;?;-161.0;12.0;404.0
-83.0;-823;-45.0;347;31.0;-153.0;244.0
-155.0;-828;-185.0;351;-76.0;-255.0;116.0
-240.0;-831;0.0;351;-61.0;-265.0;17.0
-244.0;-825;-3.0;349;27.0;-240.0;-67.0
-224.0;?;-7.0;349;125.0;-163.0;-54.0
-157.0;-825;?;349;163.0;-171.0;-57.0
-107.0;-826;-44.0;?;124.0;-183.0;-36.0
?;-828;-1.0;357;160.0;-190.0;-78.0
-116.0;-831;160.0;353;490.0;-322.0;-317.0
?;-821;342.0;354;902.0;-590.0;-694.0
-258.0;-807;446.0;359;1278.0;?;-1047.0
139.0;-828;-142.0;?;-115.0;81.0;?
97.0;-826;-83.0;349;-101.0;68.0;36.0
94.0;-823;-37.0;353;-63.0;136.0;-10.0
78.0;-829;-50.0;352;1.0;131.0;?
63.0;-833;-17.0;354;63.0;179.0;-61.0
12.0;-827;-38.0;355;119.0;195.0;42.0
?;-827;-71.0;355;16.0;244.0;211.0
158.0;-827;-167.0;356;-396.0;390.0;478.0
162.0;-827;-180.0;353;-676.0;623.0;794.0
299.0;-827;-263.0;?;-819.0;1047.0;1163.0
829.0;-830;-285.0;357;-1089.0;?;1344.0
1181.0;?;-370.0;355;?;?;1666.0
1424.0;-820;-416.0;359;-1997.0;2701.0;2126.0
1788.0;-823;-421.0;353;-2452.0;?;2307.0
?;-829;-187.0;344;?;3621.0;2274.0
2104.0;-828;-243.0;349;?;3613.0;2399.0
?;-823;-340.0;358;-4581.0;3330.0;?
1766.0;-822;-410.0;355;-5092.0;2688.0;2787.0
1821.0;-829;-408.0;353;-5179.0;?;2971.0
1529.0;-825;-564.0;356;-4735.0;1590.0;2801.0
1430.0;-825;-518.0;352;-3834.0;1203.0;?
1281.0;-830;-261.0;352;-2619.0;752.0;2537.0
822.0;-824;?;352;-1430.0;508.0;1670.0
472.0;-826;-870.0;347;-784.0;310.0;?
322.0;-830;-887.0;353;-618.0;343.0;976.0
46.0;-825;18.0;350;-317.0;331.0;560.0
-213.0;?;104.0;352;120.0;153.0;90.0
-299.0;-833;157.0;353;621.0;93.0;-245.0
-233.0;-828;128.0;350;737.0;-67.0;-409.0
-140.0;-830;131.0;359;644.0;-180.0;-533.0
-62.0;-832;-32.0;353;438.0;-195.0;-410.0
-16.0;-827;-100.0;350;269.0;-137.0;?
-63.0;-824;-69.0;354;?;-102.0;-359.0
-115.0;-825;-21.0;?;381.0;-143.0;-591.0
-185.0;-828;-2.0;?;533.0;-334.0;-907.0
-352.0;-826;51.0;357;965.0;-588.0;-1100.0
-486.0;-816;95.0;356;1400.0;-912.0;-1318.0
77.0;-821;-60.0;362;52.0;108.0;-46.0
?;-827;-39.0;362;95.0;270.0;-61.0
111.0;-829;-44.0;357;-49.0;378.0;-101.0
174.0;-829;-110.0;357;-203.0;432.0;97.0
159.0;-832;-175.0;?;-530.0;450.0;345.0
166.0;-825;-173.0;354;-709.0;548.0;388.0
216.0;-817;?;355;-1027.0;604.0;619.0
317.0;-824;-131.0;365;-1164.0;792.0;1067.0
?;-825;-241.0;362;-1355.0;947.0;1417.0
550.0;-821;-185.0;360;-1471.0;1183.0;1544.0
909.0;-823;-145.0;363;-1825.0;1446.0;2072.0
1009.0;-822;-255.0;349;-2215.0;1754.0;?
1186.0;-830;-395.0;350;-2627.0;2172.0;2563.0
1473.0;-824;-183.0;?;-3318.0;2462.0;2876.0
1907.0;-814;-335.0;350;-4069.0;2703.0;3213.0
2288.0;-828;?;?;-4708.0;2997.0;3205.0
?;-837;-542.0;361;-5473.0;2742.0;3213.0
2089.0;-838;-602.0;354;?;?;3301.0
1772.0;-829;-397.0;342;-5114.0;1391.0;3139.0
1472.0;-824;?;345;-3529.0;773.0;2809.0
1447.0;-828;?;356;-2054.0;646.0;1877.0
?;-827;-103.0;351;-601.0;998.0;722.0
656.0;-825;-642.0;343;226.0;954.0;231.0
122.0;-829;-368.0;353;423.0;585.0;-80.0
-225.0;-828;-167.0;352;422.0;252.0;-68.0
-312.0;-825;-129.0;350;494.0;-89.0;-137.0
-335.0;-822;-15.0;356;610.0;-284.0;-322.0
-347.0;?;95.0;355;627.0;-309.0;-349.0
-276.0;-831;-51.0;357;517.0;?;-229.0
-207.0;-831;-86.0;357;367.0;-323.0;-108.0
-123.0;-830;-143.0;?;285.0;-210.0;-63.0
-47.0;-826;-92.0;356;125.0;-163.0;-21.0
9.0;-822;-118.0;?;150.0;-16.0;38.0
10.0;-823;-213.0;355;90.0;27.0;?
-81.0;-823;-172.0;355;116.0;13.0;-164.0
-190.0;-821;-83.0;359;450.0;-32.0;-383.0
-283.0;-813;?;364;908.0;-456.0;-671.0
263.0;-829;-229.0;361;-92.0;306.0;-4.0
271.0;-828;-251.0;361;-123.0;249.0;-74.0
238.0;-819;-218.0;363;-66.0;291.0;-44.0
211.0;-827;-167.0;358;-56.0;247.0;-77.0
213.0;-825;-168.0;352;18.0;268.0;?
227.0;-821;-179.0;360;-52.0;263.0;-57.0
284.0;-826;?;357;-163.0;284.0;?
340.0;?;-197.0;350;-264.0;412.0;300.0
472.0;-825;-256.0;353;-455.0;543.0;412.0
632.0;-827;-274.0;351;-711.0;729.0;603.0
773.0;-829;-347.0;352;-1012.0;931.0;859.0
?;-826;-324.0;352;-1336.0;1189.0;1062.0
980.0;-824;-209.0;352;-1336.0;1491.0;1150.0
?;-825;-314.0;356;-1446.0;1759.0;1037.0
