InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX
41.0;-829;-16.0;340;45.0;46.0;-3.0
12.0;-728;-11.0;442;8.0;8.0;52.0
-240.0;-791;120.0;419;-225.0;52.0;107.0
-34.0;-735;-120.0;430;-88.0;-79.0;-99.0
39.0;-770;-32.0;419;38.0;37.0;-4.0
-66.0;-734;-31.0;435;26.0;51.0;23.0
33.0;-806;-24.0;400;49.0;48.0;-20.0
20.0;-734;-50.0;427;28.0;34.0;6.0
28.0;-734;-35.0;426;34.0;11.0;0.0
6.0;-814;19.0;372;175.0;-34.0;-47.0
-97.0;-636;-20.0;560;-171.0;330.0;145.0
5.0;-776;113.0;418;-409.0;-225.0;-170.0
112.0;-774;51.0;416;12.0;73.0;188.0
-78.0;-857;9.0;339;-71.0;-132.0;430.0
41.0;-738;-25.0;433;-12.0;33.0;5.0
35.0;-724;-35.0;444;26.0;16.0;-24.0
37.0;-745;-63.0;457;52.0;-43.0;-109.0
-150.0;-730;134.0;448;-3.0;85.0;271.0
28.0;-727;-59.0;444;-31.0;-6.0;17.0
21.0;-815;-16.0;379;25.0;6.0;3.0
14.0;-732;-8.0;442;0.0;38.0;-7.0
-9.0;-748;27.0;447;-11.0;8.0;-62.0
-115.0;-764;-39.0;445;495.0;7.0;-156.0
34.0;-749;-7.0;432;11.0;42.0;0.0
95.0;-623;-44.0;590;-18.0;272.0;19.0
91.0;-792;-6.0;422;-249.0;121.0;282.0
25.0;-717;23.0;489;41.0;54.0;85.0
51.0;-736;-69.0;432;-15.0;24.0;-9.0
102.0;-805;-510.0;381;-80.0;198.0;299.0
1.0;-805;-3.0;391;101.0;-2.0;-17.0
27.0;-783;28.0;427;-12.0;48.0;83.0
7.0;-819;21.0;351;-26.0;55.0;29.0
-29.0;-746;86.0;454;4.0;21.0;42.0
203.0;-759;225.0;453;181.0;-198.0;160.0
