InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;Accelerometer RUA^ accX;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RLA gyroY
-28;0;104.0;?;?;21;221.0;-31;-412.0;-29.0;0;-307.0
-30;-7;228.0;-294;44;31;283.0;-44;-432.0;30.0;-7;-561.0
-17;25;319.0;?;21;14;214.0;?;-426.0;-2.0;25;-824.0
-4;13;?;-260;-49;3;137.0;49;-395.0;48.0;13;-1014.0
?;-4;183.0;-252;-23;2;70.0;23;-375.0;-21.0;-4;-1202.0
5;-17;4.0;?;?;-4;9.0;?;-343.0;?;?;-1400.0
-28;27;-167.0;-280;0;16;-34.0;0;-324.0;-187.0;27;-1451.0
-10;48;-183.0;-248;-28;-10;28.0;28;-372.0;-115.0;48;-1324.0
15;-5;-293.0;-240;?;-1;249.0;10;-326.0;?;?;?
-12;-8;-348.0;-279;47;?;497.0;-47;-247.0;-101.0;-8;-1004.0
-15;37;-114.0;-247;-2;-12;516.0;2;-256.0;-104.0;37;-829.0
-10;20;?;-246;0;-8;558.0;0;-306.0;-4.0;20;-777.0
7;-34;138.0;-233;15;-11;499.0;?;-202.0;41.0;-34;-794.0
15;-12;271.0;-220;25;-19;431.0;-25;-75.0;?;?;-789.0
2;1;265.0;-245;15;4;355.0;-15;?;-46.0;1;-760.0
3;-26;208.0;?;-26;?;261.0;26;?;65.0;-26;-724.0
-12;-5;271.0;-253;-24;3;-46.0;24;-210.0;77.0;-5;-788.0
-5;?;241.0;-251;-34;3;-367.0;34;?;230.0;7;-742.0
32;16;132.0;-218;-4;-12;-537.0;4;?;39.0;16;?
