InertialMeasurementUnit LUA accY;InertialMeasurementUnit LLA Quaternion2;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit RUA accY;Accelerometer LUA^ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accX;Accelerometer RUA^ accZ
-102.0;-96.0;769.0;857.0;7.0;-5.0;861.0;-497.0;16.0
271.0;51.0;867.0;793.0;-320.0;-205.0;737.0;-675.0;-251.0
158.0;142.0;845.0;918.0;49.0;-64.0;944.0;-748.0;-49.0
215.0;466.0;810.0;887.0;487.0;-85.0;862.0;-920.0;591.0
234.0;169.0;792.0;870.0;67.0;-51.0;846.0;-834.0;197.0
246.0;172.0;803.0;882.0;39.0;2.0;873.0;-844.0;180.0
369.0;559.0;607.0;484.0;110.0;68.0;446.0;-806.0;334.0
128.0;286.0;870.0;372.0;7.0;-61.0;746.0;-810.0;332.0
298.0;173.0;792.0;874.0;-14.0;39.0;845.0;-869.0;128.0
415.0;282.0;545.0;667.0;2.0;101.0;533.0;-1342.0;168.0
67.0;213.0;672.0;823.0;-118.0;3.0;727.0;-850.0;176.0
346.0;102.0;746.0;808.0;203.0;12.0;828.0;-903.0;95.0
83.0;613.0;1377.0;1482.0;-49.0;-349.0;1437.0;-780.0;236.0
320.0;514.0;1038.0;1058.0;-50.0;-201.0;1042.0;-878.0;498.0
198.0;202.0;867.0;926.0;-90.0;-83.0;935.0;-728.0;236.0
224.0;382.0;865.0;964.0;-145.0;-121.0;916.0;-773.0;-37.0
383.0;-51.0;460.0;576.0;30.0;173.0;415.0;-1190.0;184.0
207.0;209.0;863.0;919.0;-72.0;-92.0;917.0;-714.0;54.0
179.0;132.0;892.0;883.0;116.0;-158.0;929.0;-941.0;176.0
-15.0;96.0;708.0;864.0;66.0;128.0;517.0;-584.0;245.0
56.0;85.0;769.0;620.0;26.0;-37.0;661.0;-757.0;297.0
167.0;13.0;780.0;378.0;-421.0;58.0;765.0;-591.0;-57.0
103.0;82.0;810.0;710.0;0.0;-38.0;725.0;-867.0;27.0
114.0;93.0;962.0;779.0;56.0;-71.0;919.0;-934.0;1.0
72.0;125.0;960.0;697.0;39.0;-65.0;843.0;-802.0;-40.0
152.0;215.0;761.0;767.0;-26.0;33.0;753.0;-606.0;55.0
