Accelerometer HIP accZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az
-2.0;-26;-945.0;-873.0;-837.0;26;-23
-111.0;12;-936.0;-873.0;-903.0;-12;-21
-18.0;-3;-977.0;-991.0;-948.0;3;-16
-24.0;15;-959.0;-974.0;-968.0;-15;-20
-26.0;7;-954.0;-990.0;-826.0;-7;-47
38.0;13;-1017.0;-1055.0;-887.0;-13;-19
-12.0;7;-969.0;-963.0;-930.0;-7;-12
-32.0;-143;-962.0;-1030.0;-824.0;143;-33
-6.0;-5;-995.0;-966.0;-911.0;5;-31
84.0;-7;-970.0;-955.0;-907.0;7;-2
-103.0;13;-930.0;-881.0;-857.0;-13;-22
-61.0;54;-910.0;-902.0;-912.0;-54;-50
79.0;20;-983.0;-921.0;-767.0;-20;-14
29.0;11;-951.0;-964.0;-905.0;-11;-29
-42.0;-3;-969.0;-974.0;-924.0;3;-16
20.0;21;-950.0;-973.0;-900.0;-21;-14
22.0;2;-951.0;-961.0;-910.0;-2;-14
41.0;21;-940.0;-969.0;-919.0;-21;-26
25.0;19;-947.0;-965.0;-924.0;-19;-16
35.0;9;-945.0;-969.0;-933.0;-9;-20
21.0;-3;-948.0;-972.0;-950.0;3;-21
32.0;-8;-946.0;-966.0;-935.0;8;-20
31.0;29;-952.0;-976.0;-931.0;-29;-26
3.0;6;-950.0;-964.0;-932.0;-6;-20
6.0;28;-953.0;-974.0;-934.0;-28;-19
-19.0;-2;-952.0;-964.0;-940.0;2;-22
-12.0;1;-956.0;-983.0;-928.0;-1;-23
-15.0;-9;-950.0;-983.0;-897.0;9;-25
14.0;-9;-964.0;-980.0;-902.0;9;-24
-32.0;13;-973.0;-973.0;-929.0;-13;-17
9.0;6;-963.0;-998.0;-885.0;-6;-24
-1.0;-2;-952.0;-1010.0;-879.0;2;-22
-11.0;-26;-974.0;-1040.0;-899.0;26;-17
9.0;24;-962.0;-945.0;-924.0;-24;-17
3.0;-13;-954.0;-918.0;-933.0;13;-22
23.0;36;-951.0;-935.0;-850.0;-36;-15
8.0;-6;-994.0;-961.0;-890.0;6;-23
-3.0;21;-969.0;-973.0;-981.0;-21;-24
0.0;-15;-960.0;-962.0;-964.0;15;-16
7.0;15;-953.0;-995.0;-808.0;-15;-27
75.0;-444;-766.0;-768.0;-815.0;444;62
30.0;31;-946.0;-893.0;-799.0;-31;-20
20.0;-1;-956.0;-960.0;-805.0;1;-23
9.0;-30;-956.0;-898.0;-757.0;30;-20
85.0;-21;-912.0;-869.0;-769.0;21;-22
89.0;14;-982.0;-874.0;-882.0;-14;-20
-62.0;27;-968.0;-948.0;-922.0;-27;-17
88.0;21;-896.0;-930.0;-868.0;-21;-25
69.0;-19;-955.0;-950.0;-743.0;19;-13
-52.0;6;-979.0;-938.0;-925.0;-6;-16
100.0;-24;-974.0;-1021.0;-743.0;24;-22
-8.0;12;-948.0;-890.0;-967.0;-12;-17
-112.0;-1;-933.0;-878.0;-866.0;1;-17
143.0;70;-1037.0;-969.0;-825.0;-70;0
-39.0;-72;-855.0;-857.0;-999.0;72;-21
129.0;0;-950.0;-960.0;-854.0;0;-17
-18.0;1;-961.0;-857.0;-760.0;-1;-22
0.0;1;-955.0;-858.0;-753.0;-1;-24
-124.0;-6;-932.0;-847.0;-851.0;6;-16
-129.0;116;-866.0;-885.0;-910.0;-116;-30
-109.0;72;-968.0;-839.0;-855.0;-72;-19
-2.0;1;-958.0;-859.0;-743.0;-1;-16
-78.0;14;-952.0;-868.0;-901.0;-14;-24
-53.0;-11;-965.0;-888.0;-888.0;11;-30
-98.0;0;-945.0;-888.0;-833.0;0;-26
-79.0;-27;-945.0;-916.0;-852.0;27;-22
-91.0;-17;-942.0;-919.0;-858.0;17;-22
74.0;-21;-975.0;-899.0;-895.0;21;-16
103.0;-43;-842.0;-825.0;-859.0;43;-3
-83.0;-11;-926.0;-895.0;-895.0;11;-23
-47.0;11;-943.0;-1009.0;-885.0;-11;-21
-106.0;-2;-948.0;-953.0;-869.0;2;-24
71.0;-20;-989.0;-892.0;-839.0;20;-30
76.0;-24;-948.0;-905.0;-843.0;24;-20
49.0;5;-967.0;-892.0;-811.0;-5;-27
-39.0;42;-939.0;-887.0;-868.0;-42;-14
-71.0;4;-943.0;-896.0;-874.0;-4;-14
40.0;-18;-969.0;-971.0;-802.0;18;-55
-63.0;-19;-930.0;-917.0;-836.0;19;-20
-13.0;-22;-947.0;-936.0;-790.0;22;-24
163.0;54;-891.0;-942.0;-953.0;-54;-38
-104.0;-28;-930.0;-921.0;-869.0;28;-21
-79.0;-31;-952.0;-908.0;-842.0;31;-23
-103.0;2;-946.0;-879.0;-864.0;-2;-19
-50.0;586;-917.0;-912.0;-973.0;-586;-534
1.0;-9;-957.0;-892.0;-737.0;9;-19
-79.0;-5;-946.0;-898.0;-868.0;5;-20
39.0;-24;-974.0;-871.0;-852.0;24;-16
28.0;-33;-994.0;-925.0;-898.0;33;-20
28.0;2;-991.0;-972.0;-784.0;-2;-22
-25.0;9;-971.0;-965.0;-778.0;-9;-2
9.0;-11;-960.0;-902.0;-741.0;11;-19
-90.0;0;-948.0;-891.0;-894.0;0;-20
-70.0;17;-949.0;-901.0;-881.0;-17;-21
42.0;-19;-961.0;-925.0;-842.0;19;-18
-110.0;11;-942.0;-895.0;-859.0;-11;-19
26.0;34;-989.0;-897.0;-796.0;-34;-12
77.0;19;-961.0;-753.0;-840.0;-19;-18
-68.0;-9;-947.0;-926.0;-765.0;9;-29
58.0;29;-917.0;-904.0;-911.0;-29;-16
10.0;1;-975.0;-976.0;-802.0;-1;-15
-17.0;36;-1003.0;-971.0;-897.0;-36;-33
-6.0;6;-958.0;-839.0;-762.0;-6;-22
-98.0;-2;-947.0;-907.0;-867.0;2;-25
36.0;-2;-987.0;-902.0;-850.0;2;-23
28.0;-33;-968.0;-931.0;-786.0;33;-18
-82.0;-14;-962.0;-937.0;-894.0;14;-11
-41.0;6;-955.0;-926.0;-846.0;-6;-19
-40.0;9;-945.0;-934.0;-793.0;-9;-17
92.0;12;-972.0;-884.0;-864.0;-12;-14
19.0;-10;-966.0;-976.0;-955.0;10;-23
-40.0;10;-969.0;-966.0;-763.0;-10;-20
82.0;7;-962.0;-881.0;-843.0;-7;-16
-71.0;-1;-940.0;-914.0;-895.0;1;-22
