InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit RLA gyroX
-227.0;-293.0;-387.0;577.0;564.0;-173;596.0;-75.0;610.0;-83.0;-69.0;290.0;16.0
231.0;-333.0;-139.0;947.0;-189.0;-155;553.0;40.0;304.0;-70.0;-19.0;335.0;127.0
233.0;-301.0;-143.0;930.0;-185.0;-155;558.0;9.0;306.0;-75.0;-22.0;325.0;298.0
216.0;-320.0;-180.0;934.0;-152.0;-155;566.0;82.0;337.0;-20.0;-4.0;369.0;85.0
212.0;-330.0;-182.0;946.0;-149.0;-155;564.0;76.0;338.0;-29.0;-56.0;367.0;127.0
197.0;-318.0;-194.0;914.0;-147.0;-155;565.0;-30.0;344.0;-35.0;-15.0;378.0;-75.0
224.0;-323.0;-130.0;929.0;-196.0;-155;548.0;-1.0;298.0;-54.0;-23.0;318.0;59.0
211.0;-299.0;-132.0;937.0;-202.0;-155;549.0;-10.0;287.0;-9.0;-5.0;306.0;38.0
212.0;-299.0;-131.0;964.0;-205.0;-155;549.0;29.0;290.0;-8.0;10.0;297.0;30.0
211.0;-304.0;-134.0;955.0;-203.0;-155;549.0;19.0;288.0;-19.0;-11.0;300.0;10.0
211.0;-301.0;-134.0;930.0;-203.0;-155;547.0;63.0;288.0;7.0;23.0;298.0;-5.0
208.0;-294.0;-134.0;930.0;-201.0;-155;547.0;98.0;291.0;25.0;58.0;309.0;-25.0
147.0;-230.0;-122.0;931.0;-172.0;-154;614.0;31.0;322.0;-4.0;-47.0;328.0;-23.0
146.0;-225.0;-122.0;932.0;-173.0;-154;617.0;-46.0;320.0;-67.0;-71.0;334.0;36.0
153.0;-227.0;-102.0;907.0;-174.0;-154;617.0;25.0;317.0;-50.0;-41.0;320.0;-102.0
177.0;-254.0;-192.0;923.0;-257.0;-155;538.0;182.0;267.0;170.0;235.0;289.0;301.0
230.0;-187.0;154.0;1150.0;310.0;-64;352.0;-161.0;412.0;61.0;-155.0;136.0;-298.0
290.0;-271.0;-130.0;953.0;-227.0;-155;532.0;-20.0;221.0;-199.0;-40.0;316.0;-369.0
-64.0;-208.0;-261.0;968.0;193.0;-106;553.0;9.0;-376.0;-319.0;31.0;-53.0;82.0
-337.0;-16.0;-572.0;527.0;308.0;-179;658.0;30.0;96.0;11.0;9.0;-43.0;-31.0
-358.0;-91.0;-331.0;497.0;537.0;166;652.0;-66.0;386.0;12.0;-66.0;75.0;-65.0
-360.0;-91.0;-368.0;501.0;524.0;166;652.0;-47.0;385.0;-112.0;-56.0;53.0;-61.0
-353.0;-89.0;-334.0;515.0;545.0;166;654.0;-69.0;386.0;-123.0;-56.0;58.0;-25.0
-363.0;-92.0;-498.0;496.0;503.0;166;656.0;-1.0;390.0;-43.0;-18.0;67.0;-107.0
-356.0;-90.0;-396.0;492.0;524.0;166;655.0;-45.0;386.0;-64.0;-39.0;46.0;-13.0
-351.0;-87.0;-432.0;502.0;533.0;166;653.0;-20.0;382.0;57.0;67.0;52.0;-43.0
-356.0;-73.0;-537.0;494.0;511.0;166;654.0;6.0;376.0;-57.0;14.0;55.0;-108.0
-350.0;-80.0;-503.0;498.0;521.0;166;655.0;-80.0;370.0;-2.0;-12.0;49.0;-70.0
-336.0;-92.0;-428.0;510.0;520.0;165;657.0;-29.0;419.0;-28.0;36.0;69.0;21.0
-337.0;-103.0;-368.0;496.0;539.0;165;656.0;-50.0;420.0;-50.0;-37.0;73.0;-22.0
-334.0;-94.0;-490.0;489.0;526.0;166;664.0;-47.0;425.0;-52.0;-31.0;82.0;-40.0
-331.0;-98.0;-509.0;521.0;521.0;166;659.0;-5.0;414.0;-6.0;-16.0;89.0;-44.0
-320.0;-104.0;-387.0;502.0;561.0;166;658.0;-20.0;410.0;-56.0;-48.0;75.0;16.0
454.0;-153.0;193.0;565.0;383.0;-20;6.0;144.0;554.0;-235.0;-175.0;127.0;495.0
143.0;-172.0;527.0;561.0;125.0;8;108.0;176.0;534.0;-902.0;-426.0;-2.0;-683.0
337.0;-277.0;-40.0;80.0;397.0;140;508.0;-831.0;615.0;-732.0;-852.0;100.0;-374.0
266.0;-381.0;-145.0;307.0;621.0;158;570.0;158.0;602.0;-449.0;-308.0;209.0;140.0
-52.0;-308.0;-68.0;401.0;-24.0;-171;400.0;78.0;274.0;789.0;427.0;249.0;-434.0
-314.0;-542.0;-588.0;430.0;348.0;141;759.0;-455.0;619.0;-165.0;-77.0;564.0;158.0
169.0;-224.0;391.0;767.0;-413.0;-46;-350.0;-41.0;-149.0;107.0;-4.0;375.0;189.0
8.0;-256.0;-193.0;950.0;-404.0;-101;548.0;-28.0;-67.0;-123.0;74.0;159.0;-117.0
17.0;-258.0;-148.0;960.0;-384.0;-101;530.0;-13.0;-182.0;-96.0;-27.0;143.0;-64.0
-429.0;-137.0;-339.0;630.0;-181.0;53;604.0;177.0;497.0;-337.0;-102.0;113.0;-208.0
-82.0;-485.0;-166.0;544.0;268.0;-75;286.0;-213.0;337.0;-137.0;-178.0;444.0;29.0
-180.0;-255.0;-444.0;910.0;359.0;-37;756.0;162.0;698.0;-572.0;-584.0;141.0;-1064.0
-300.0;-190.0;-549.0;1103.0;507.0;139;557.0;-773.0;525.0;-354.0;-534.0;102.0;129.0
-284.0;-304.0;-275.0;653.0;127.0;-61;458.0;-17.0;460.0;-221.0;-261.0;289.0;-77.0
-286.0;-260.0;-293.0;691.0;130.0;-62;453.0;70.0;469.0;58.0;217.0;282.0;-54.0
-292.0;-269.0;-271.0;723.0;193.0;-59;460.0;778.0;449.0;371.0;801.0;240.0;92.0
-493.0;-307.0;-158.0;638.0;197.0;-47;383.0;-269.0;476.0;-79.0;-150.0;252.0;-130.0
-449.0;-292.0;-97.0;638.0;202.0;-47;380.0;-108.0;479.0;-85.0;15.0;283.0;-208.0
-505.0;-102.0;-246.0;407.0;387.0;57;-116.0;149.0;572.0;259.0;135.0;112.0;172.0
-492.0;-154.0;-267.0;339.0;367.0;57;-125.0;76.0;596.0;-276.0;-69.0;83.0;255.0
45.0;-196.0;5.0;432.0;-111.0;6;398.0;1126.0;503.0;-864.0;714.0;16.0;271.0
-91.0;-350.0;-325.0;979.0;-308.0;-106;424.0;35.0;-543.0;-2326.0;-67.0;289.0;197.0
141.0;-256.0;-357.0;650.0;-605.0;-121;428.0;74.0;86.0;-77.0;-295.0;206.0;49.0
75.0;-168.0;-202.0;452.0;-52.0;-103;535.0;25.0;59.0;-395.0;-162.0;84.0;126.0
100.0;-287.0;-208.0;941.0;-521.0;-108;654.0;17.0;62.0;-71.0;-20.0;117.0;-14.0
105.0;-298.0;-204.0;944.0;-504.0;-109;652.0;-38.0;64.0;-59.0;-40.0;125.0;-21.0
135.0;-200.0;-164.0;1008.0;-353.0;-102;625.0;49.0;-3.0;-22.0;-29.0;41.0;16.0
132.0;-202.0;-172.0;990.0;-351.0;-102;623.0;3.0;0.0;10.0;-28.0;45.0;-18.0
166.0;-222.0;-239.0;998.0;-350.0;-103;591.0;100.0;27.0;-16.0;-80.0;63.0;70.0
179.0;-302.0;-204.0;1006.0;-344.0;-103;577.0;84.0;12.0;-12.0;21.0;61.0;-15.0
192.0;-293.0;-186.0;994.0;-344.0;-103;577.0;-64.0;5.0;-66.0;-14.0;63.0;-32.0
151.0;-284.0;-228.0;1003.0;-356.0;-103;568.0;-14.0;-22.0;-56.0;-126.0;48.0;-50.0
182.0;-277.0;-198.0;959.0;-357.0;-103;576.0;11.0;-19.0;-50.0;-66.0;36.0;-5.0
-227.0;-285.0;-384.0;556.0;556.0;-173;597.0;-4.0;612.0;-66.0;65.0;288.0;55.0
-229.0;-284.0;-385.0;537.0;558.0;-173;599.0;9.0;612.0;-35.0;39.0;278.0;-26.0
-228.0;-293.0;-386.0;532.0;576.0;-173;597.0;7.0;609.0;-59.0;29.0;275.0;44.0
-58.0;-84.0;-83.0;882.0;-852.0;-113;762.0;-21.0;68.0;40.0;-114.0;378.0;613.0
