InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameX
-20;-26;26;191.0;72;306.0;-26
-26;1;18;90.0;76;220.0;1
-26;3;18;64.0;76;228.0;3
-27;6;21;141.0;82;322.0;6
-27;-12;21;144.0;81;291.0;-12
-27;-9;21;148.0;78;267.0;-9
-27;10;21;157.0;76;278.0;10
-27;17;21;158.0;77;322.0;17
-26;-3;21;96.0;77;316.0;-3
-26;-30;21;107.0;72;304.0;-30
-25;-7;21;88.0;72;339.0;-7
-24;6;20;112.0;75;334.0;6
-24;-1;20;105.0;71;347.0;-1
-24;-8;20;111.0;71;351.0;-8
-24;3;20;117.0;76;353.0;3
-24;-13;20;113.0;71;342.0;-13
-24;-22;20;113.0;74;330.0;-22
-24;-5;20;128.0;73;333.0;-5
-24;-20;20;119.0;71;317.0;-20
-24;-37;20;93.0;76;313.0;-37
-26;-1;20;166.0;84;337.0;-1
-26;-27;20;160.0;85;333.0;-27
-26;-4;20;124.0;75;316.0;-4
-26;-44;20;114.0;76;314.0;-44
-26;5;20;110.0;77;314.0;5
-26;-26;20;132.0;77;319.0;-26
-35;-10;15;158.0;84;341.0;-10
-25;11;18;104.0;71;329.0;11
-25;-11;18;123.0;71;335.0;-11
-25;3;18;129.0;73;341.0;3
-25;-6;20;79.0;77;317.0;-6
-25;-7;20;97.0;77;313.0;-7
-25;25;20;119.0;73;270.0;25
-25;7;20;85.0;80;242.0;7
-26;1;20;77.0;73;242.0;1
-26;0;20;76.0;73;241.0;0
-26;5;20;76.0;76;242.0;5
-26;24;20;77.0;78;243.0;24
-26;-27;20;89.0;77;244.0;-27
-26;0;20;94.0;77;246.0;0
-26;8;20;94.0;78;250.0;8
-26;29;20;99.0;76;252.0;29
-26;-27;20;105.0;79;255.0;-27
-26;0;20;111.0;79;257.0;0
-26;26;20;111.0;78;257.0;26
-26;6;20;112.0;74;257.0;6
-26;3;20;111.0;80;259.0;3
-26;-16;20;113.0;79;260.0;-16
-26;-25;20;114.0;80;260.0;-25
-26;-43;20;114.0;86;262.0;-43
-26;1;20;110.0;76;262.0;1
-26;20;20;110.0;79;260.0;20
-26;24;20;109.0;76;260.0;24
-26;-57;20;107.0;81;259.0;-57
-26;-10;20;94.0;78;261.0;-10
-25;-2;20;89.0;78;261.0;-2
-25;-32;20;86.0;75;263.0;-32
-26;18;20;87.0;74;266.0;18
-24;-27;20;80.0;73;270.0;-27
-24;-15;20;132.0;73;279.0;-15
-24;6;20;151.0;71;281.0;6
-28;-10;32;133.0;75;359.0;-10
-25;8;20;173.0;79;245.0;8
-25;22;20;156.0;74;241.0;22
-25;5;20;156.0;76;235.0;5
-25;19;20;147.0;78;228.0;19
-25;-11;20;132.0;74;226.0;-11
-25;4;20;112.0;78;228.0;4
-25;-53;20;85.0;79;225.0;-53
-24;-24;20;57.0;68;239.0;-24
-24;-13;20;68.0;75;254.0;-13
-24;3;20;79.0;79;269.0;3
-24;-12;20;91.0;71;283.0;-12
-24;-27;20;109.0;68;298.0;-27
-24;-29;20;128.0;72;315.0;-29
-23;6;16;135.0;71;347.0;6
-23;-31;16;123.0;66;342.0;-31
-24;-45;21;113.0;70;246.0;-45
-24;-24;21;105.0;70;231.0;-24
-24;-39;21;98.0;69;219.0;-39
-24;-10;21;83.0;76;201.0;-10
-24;9;21;77.0;74;194.0;9
-24;5;21;74.0;72;188.0;5
-24;-2;21;86.0;70;173.0;-2
-24;2;21;83.0;71;175.0;2
-23;14;16;122.0;71;333.0;14
-23;0;16;139.0;71;327.0;0
-23;6;16;135.0;68;325.0;6
-23;-47;18;155.0;73;325.0;-47
-21;-7;26;99.0;88;265.0;-7
-21;20;26;104.0;68;273.0;20
-21;19;26;116.0;79;285.0;19
-21;4;26;139.0;72;316.0;4
-21;22;26;158.0;71;321.0;22
-20;8;26;184.0;75;312.0;8
-26;21;18;144.0;68;207.0;21
-25;28;14;170.0;73;180.0;28
-24;-20;20;205.0;72;283.0;-20
-26;18;18;29.0;72;239.0;18
-29;1;21;80.0;82;374.0;1
-29;5;21;194.0;88;379.0;5
-29;-40;21;185.0;86;366.0;-40
-29;-17;21;187.0;82;365.0;-17
-22;-18;19;214.0;77;364.0;-18
-29;22;21;186.0;85;363.0;22
-29;-3;21;184.0;81;359.0;-3
-27;28;21;157.0;77;225.0;28
-27;17;21;159.0;79;201.0;17
-27;3;21;159.0;77;184.0;3
-27;-54;21;156.0;78;170.0;-54
-27;-2;21;157.0;75;178.0;-2
-29;10;21;177.0;88;359.0;10
-29;-36;21;166.0;88;371.0;-36
-24;-55;20;66.0;68;328.0;-55
-24;8;20;62.0;68;319.0;8
-24;22;20;56.0;73;306.0;22
-24;3;20;54.0;76;303.0;3
-24;1;20;36.0;62;286.0;1
-24;-14;20;33.0;65;279.0;-14
-24;16;20;33.0;72;268.0;16
-24;-14;20;34.0;71;268.0;-14
-24;21;20;88.0;70;356.0;21
-24;29;20;96.0;70;347.0;29
-24;31;20;101.0;69;347.0;31
-24;17;20;115.0;71;358.0;17
-24;14;20;116.0;69;362.0;14
-24;-44;20;111.0;70;338.0;-44
-20;-35;26;228.0;72;252.0;-35
-29;-9;21;173.0;82;381.0;-9
-29;27;21;153.0;82;377.0;27
-28;-35;21;118.0;86;373.0;-35
-28;-45;21;103.0;84;371.0;-45
-29;-11;21;87.0;85;370.0;-11
-28;2;21;100.0;86;369.0;2
-28;-33;21;95.0;88;368.0;-33
-20;5;26;196.0;69;298.0;5
-28;-36;20;85.0;86;369.0;-36
-43;23;0;124.0;129;289.0;23
-43;-10;0;177.0;137;338.0;-10
-28;-26;20;99.0;87;360.0;-26
-28;-43;20;122.0;81;362.0;-43
-28;-41;20;120.0;80;363.0;-41
-28;-31;20;107.0;80;367.0;-31
-28;-26;20;97.0;80;371.0;-26
-28;-25;20;75.0;86;368.0;-25
-28;15;20;90.0;82;368.0;15
-28;-53;20;115.0;84;371.0;-53
-21;-51;16;190.0;69;242.0;-51
-28;16;20;94.0;83;374.0;16
-28;22;20;107.0;82;372.0;22
-20;24;26;176.0;71;316.0;24
-29;27;20;134.0;85;378.0;27
-28;-32;31;143.0;131;333.0;-32
-26;15;20;172.0;78;342.0;15
-21;44;26;121.0;70;292.0;44
-26;-61;20;149.0;78;331.0;-61
-25;-3;18;78.0;75;350.0;-3
-25;-14;18;85.0;73;346.0;-14
-22;-14;22;166.0;65;363.0;-14
-25;-3;18;84.0;75;351.0;-3
-25;-2;18;85.0;67;350.0;-2
-25;-18;18;88.0;73;347.0;-18
-25;11;18;94.0;71;344.0;11
-25;10;18;95.0;71;341.0;10
-25;-20;18;130.0;71;362.0;-20
-25;15;18;129.0;67;372.0;15
-25;12;18;128.0;68;383.0;12
-25;2;18;130.0;70;392.0;2
-25;-7;18;134.0;73;401.0;-7
-25;30;20;49.0;74;287.0;30
-25;14;20;73.0;78;307.0;14
-28;36;31;144.0;134;277.0;36
-25;-66;20;82.0;69;244.0;-66
-58;-86;27;60.0;-404;188.0;-86
-26;41;20;104.0;74;259.0;41
-26;53;20;88.0;76;269.0;53
-26;-23;20;48.0;77;271.0;-23
-24;-16;20;19.0;75;269.0;-16
-24;16;20;29.0;76;269.0;16
-24;1;20;32.0;75;269.0;1
-24;4;20;37.0;73;268.0;4
-24;27;20;53.0;74;266.0;27
-24;40;20;71.0;70;267.0;40
-24;20;20;220.0;75;284.0;20
-24;-10;20;234.0;74;285.0;-10
-28;36;31;151.0;54;259.0;36
-28;32;31;160.0;95;233.0;32
-22;-17;22;201.0;76;339.0;-17
-28;-72;31;173.0;91;246.0;-72
-23;-37;24;169.0;64;362.0;-37
-23;-15;24;187.0;60;365.0;-15
-28;-70;32;169.0;86;314.0;-70
-22;-2;22;208.0;70;329.0;-2
-39;-81;34;189.0;137;337.0;-81
-28;-10;32;134.0;86;377.0;-10
-25;-31;20;204.0;81;243.0;-31
-25;42;20;166.0;77;244.0;42
-25;49;20;157.0;77;239.0;49
-33;26;9;202.0;39;281.0;26
