InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1
762.0;157.0;-442.0;?;?
763.0;172.0;-437.0;-638.0;?
764.0;192.0;-427.0;-640.0;393.0
764.0;214.0;?;-642.0;413.0
765.0;237.0;-389.0;-642.0;432.0
766.0;262.0;-364.0;-641.0;451.0
770.0;287.0;-337.0;-632.0;?
777.0;314.0;-312.0;?;486.0
785.0;?;-289.0;-604.0;500.0
796.0;361.0;-266.0;?;513.0
807.0;378.0;-244.0;-568.0;523.0
815.0;?;-224.0;-555.0;530.0
819.0;398.0;-207.0;-547.0;535.0
819.0;404.0;-197.0;-546.0;538.0
?;?;-192.0;-550.0;540.0
807.0;413.0;-194.0;-558.0;?
795.0;415.0;-197.0;-570.0;545.0
781.0;419.0;-195.0;?;544.0
768.0;422.0;-192.0;-595.0;544.0
756.0;425.0;-187.0;-606.0;?
743.0;428.0;-183.0;-621.0;544.0
?;432.0;-181.0;-636.0;?
725.0;435.0;-181.0;?;544.0
720.0;438.0;-179.0;-658.0;543.0
715.0;440.0;-174.0;-666.0;543.0
713.0;442.0;?;-670.0;542.0
?;443.0;-176.0;-671.0;543.0
714.0;443.0;-180.0;-667.0;544.0
?;444.0;-180.0;-663.0;544.0
716.0;445.0;-183.0;-660.0;545.0
?;444.0;-185.0;-658.0;?
721.0;?;-187.0;-653.0;545.0
?;444.0;-189.0;-647.0;544.0
?;443.0;-193.0;-637.0;544.0
747.0;443.0;-200.0;-621.0;544.0
765.0;442.0;-205.0;-601.0;543.0
789.0;442.0;-207.0;-572.0;542.0
813.0;443.0;-214.0;-537.0;543.0
839.0;442.0;-234.0;-496.0;?
868.0;441.0;-258.0;?;542.0
896.0;?;-284.0;?;541.0
921.0;436.0;-312.0;-350.0;?
?;438.0;-329.0;-301.0;521.0
945.0;443.0;-333.0;?;509.0
942.0;453.0;-348.0;-209.0;511.0
934.0;465.0;-367.0;?;514.0
926.0;472.0;-406.0;-137.0;513.0
913.0;476.0;?;-117.0;515.0
892.0;475.0;-523.0;-104.0;521.0
867.0;472.0;-588.0;-71.0;531.0
838.0;470.0;-644.0;-59.0;541.0
807.0;473.0;-681.0;-37.0;547.0
?;473.0;-701.0;-25.0;547.0
755.0;472.0;-713.0;-17.0;548.0
745.0;470.0;-716.0;-17.0;546.0
742.0;?;-712.0;-22.0;545.0
638.0;529.0;?;-516.0;?
640.0;?;-320.0;-513.0;427.0
644.0;529.0;-320.0;-508.0;429.0
653.0;528.0;-321.0;-499.0;434.0
665.0;528.0;-323.0;-487.0;441.0
677.0;525.0;-332.0;-470.0;450.0
?;521.0;-351.0;-448.0;462.0
712.0;517.0;?;-422.0;468.0
730.0;512.0;-398.0;-394.0;477.0
748.0;506.0;-421.0;?;483.0
?;500.0;-443.0;-334.0;490.0
782.0;496.0;-465.0;-306.0;494.0
793.0;492.0;-486.0;?;500.0
799.0;489.0;-510.0;-260.0;507.0
796.0;489.0;-532.0;-243.0;512.0
781.0;488.0;-557.0;-230.0;520.0
763.0;487.0;-587.0;-215.0;532.0
735.0;480.0;?;-194.0;537.0
?;472.0;-643.0;-177.0;?
667.0;463.0;-663.0;-161.0;547.0
631.0;454.0;-676.0;-145.0;550.0
593.0;446.0;?;-130.0;549.0
559.0;439.0;-691.0;-116.0;548.0
?;432.0;-692.0;?;?
526.0;426.0;-693.0;-104.0;544.0
526.0;428.0;-695.0;-104.0;545.0
529.0;430.0;-698.0;-105.0;546.0
533.0;431.0;-699.0;-106.0;546.0
537.0;433.0;-698.0;-110.0;547.0
539.0;432.0;-696.0;-113.0;549.0
543.0;432.0;-693.0;-116.0;549.0
549.0;431.0;-691.0;?;550.0
555.0;430.0;-689.0;-125.0;549.0
561.0;430.0;?;-135.0;?
?;431.0;?;-147.0;550.0
570.0;433.0;-674.0;-164.0;551.0
606.0;564.0;-314.0;-515.0;?
?;?;-315.0;-515.0;447.0
611.0;558.0;-315.0;-515.0;?
614.0;555.0;-316.0;-515.0;452.0
620.0;553.0;-319.0;?;456.0
629.0;549.0;-324.0;-508.0;462.0
640.0;542.0;-331.0;-502.0;?
657.0;535.0;-338.0;-488.0;484.0
678.0;529.0;-346.0;-467.0;495.0
700.0;523.0;?;-444.0;498.0
721.0;515.0;-366.0;?;503.0
739.0;505.0;-381.0;-395.0;511.0
753.0;?;-396.0;-365.0;517.0
756.0;491.0;-416.0;-338.0;523.0
751.0;488.0;-437.0;-310.0;530.0
742.0;484.0;-463.0;-276.0;540.0
723.0;476.0;-491.0;-249.0;547.0
695.0;466.0;-515.0;-225.0;557.0
?;456.0;-544.0;-200.0;?
627.0;443.0;-577.0;-180.0;?
591.0;429.0;-604.0;-157.0;563.0
557.0;422.0;-627.0;-139.0;560.0
534.0;417.0;-641.0;-127.0;559.0
521.0;410.0;-647.0;-121.0;556.0
514.0;407.0;-650.0;-122.0;552.0
512.0;405.0;-654.0;-119.0;552.0
514.0;402.0;-657.0;-115.0;553.0
517.0;403.0;-661.0;-114.0;552.0
521.0;403.0;-663.0;-112.0;554.0
524.0;402.0;-663.0;-112.0;554.0
527.0;402.0;-662.0;-112.0;?
529.0;401.0;-664.0;-115.0;557.0
531.0;401.0;-667.0;-121.0;558.0
533.0;406.0;?;-133.0;559.0
538.0;416.0;-677.0;-152.0;562.0
?;?;?;-180.0;564.0
660.0;516.0;-206.0;-504.0;516.0
660.0;514.0;-206.0;?;?
660.0;512.0;-208.0;-507.0;515.0
661.0;510.0;-209.0;-507.0;515.0
662.0;?;?;-505.0;515.0
666.0;508.0;-214.0;-503.0;515.0
673.0;?;-219.0;?;516.0
683.0;504.0;-224.0;-487.0;518.0
697.0;?;-237.0;?;521.0
713.0;500.0;-262.0;-456.0;525.0
731.0;496.0;-289.0;-435.0;528.0
747.0;492.0;-318.0;-415.0;532.0
757.0;486.0;-350.0;-392.0;?
763.0;481.0;?;-362.0;541.0
761.0;479.0;-420.0;-333.0;544.0
753.0;477.0;-457.0;-302.0;548.0
737.0;475.0;-499.0;?;?
712.0;470.0;-542.0;-234.0;561.0
679.0;462.0;-573.0;-203.0;564.0
?;450.0;-605.0;-175.0;563.0
606.0;438.0;-629.0;?;561.0
?;428.0;-644.0;-123.0;556.0
541.0;423.0;-651.0;-106.0;559.0
519.0;417.0;-656.0;-99.0;569.0
?;?;-663.0;-92.0;572.0
502.0;405.0;-670.0;-82.0;567.0
507.0;406.0;-672.0;-78.0;563.0
517.0;409.0;-668.0;-79.0;564.0
528.0;412.0;?;?;564.0
538.0;415.0;-660.0;-87.0;565.0
545.0;416.0;-657.0;-92.0;565.0
550.0;415.0;-657.0;-97.0;565.0
556.0;415.0;-658.0;-100.0;565.0
565.0;416.0;-660.0;-107.0;566.0
?;418.0;-664.0;-120.0;568.0
589.0;421.0;-666.0;?;571.0
602.0;425.0;-667.0;-167.0;574.0
657.0;517.0;?;-526.0;516.0
661.0;517.0;-279.0;-523.0;517.0
665.0;517.0;-279.0;-519.0;519.0
670.0;517.0;-281.0;-515.0;522.0
675.0;516.0;-285.0;-513.0;?
683.0;515.0;-293.0;?;527.0
694.0;514.0;-308.0;-492.0;530.0
708.0;513.0;-328.0;-475.0;531.0
721.0;?;-353.0;-452.0;532.0
?;509.0;-381.0;-425.0;?
?;508.0;-405.0;-393.0;533.0
746.0;506.0;-429.0;-357.0;537.0
740.0;?;-456.0;-322.0;542.0
?;499.0;-486.0;?;543.0
701.0;?;-509.0;-243.0;551.0
671.0;483.0;-533.0;-204.0;560.0
636.0;476.0;-573.0;-166.0;570.0
594.0;470.0;-611.0;-130.0;580.0
551.0;462.0;-645.0;-100.0;580.0
510.0;453.0;-663.0;?;579.0
477.0;440.0;-668.0;-55.0;572.0
458.0;439.0;-661.0;-53.0;579.0
449.0;432.0;-659.0;-54.0;585.0
448.0;429.0;?;-57.0;583.0
451.0;428.0;-664.0;-61.0;581.0
457.0;427.0;-663.0;-62.0;580.0
466.0;428.0;-661.0;-66.0;578.0
474.0;431.0;-658.0;-72.0;578.0
480.0;?;-656.0;-75.0;579.0
483.0;432.0;-654.0;?;579.0
487.0;?;-652.0;-77.0;580.0
?;430.0;-651.0;-76.0;579.0
492.0;429.0;?;-73.0;579.0
496.0;426.0;-649.0;-72.0;580.0
500.0;423.0;-650.0;-73.0;581.0
506.0;423.0;-652.0;-80.0;582.0
?;423.0;-654.0;-93.0;583.0
679.0;544.0;-196.0;-514.0;512.0
680.0;?;-197.0;-516.0;515.0
681.0;537.0;-197.0;-518.0;516.0
682.0;?;-198.0;-518.0;518.0
684.0;532.0;-199.0;-519.0;520.0
686.0;?;-199.0;?;522.0
690.0;528.0;-198.0;-518.0;523.0
694.0;525.0;-200.0;-516.0;524.0
702.0;522.0;-201.0;-513.0;527.0
710.0;517.0;-205.0;-508.0;528.0
718.0;512.0;-212.0;-504.0;?
729.0;506.0;-228.0;?;531.0
741.0;501.0;-246.0;-486.0;531.0
?;497.0;-262.0;-473.0;535.0
765.0;493.0;-277.0;-463.0;541.0
775.0;491.0;-291.0;-451.0;548.0
786.0;488.0;-305.0;-437.0;556.0
794.0;487.0;-318.0;-425.0;560.0
798.0;487.0;-331.0;-419.0;566.0
796.0;489.0;-342.0;-417.0;569.0
795.0;487.0;-356.0;-411.0;?
795.0;486.0;-367.0;?;575.0
789.0;485.0;-383.0;-390.0;579.0
?;482.0;-399.0;?;583.0
776.0;480.0;-413.0;-375.0;581.0
771.0;480.0;-422.0;?;582.0
769.0;480.0;-431.0;-370.0;584.0
?;?;-438.0;-371.0;?
759.0;480.0;-449.0;-374.0;584.0
751.0;479.0;-462.0;?;586.0
742.0;?;-468.0;-384.0;587.0
736.0;480.0;-469.0;-392.0;?
736.0;480.0;-463.0;-402.0;590.0
739.0;480.0;-451.0;-418.0;592.0
745.0;?;-432.0;-440.0;?
753.0;479.0;-415.0;-466.0;595.0
758.0;478.0;?;-495.0;598.0
760.0;477.0;-366.0;-517.0;601.0
760.0;475.0;-354.0;-537.0;602.0
?;473.0;-336.0;-555.0;601.0
756.0;472.0;-311.0;-569.0;600.0
753.0;470.0;-288.0;-583.0;600.0
751.0;469.0;-268.0;-592.0;598.0
748.0;468.0;-250.0;-601.0;?
744.0;467.0;-237.0;-609.0;594.0
740.0;467.0;?;-616.0;593.0
737.0;467.0;-211.0;?;591.0
734.0;466.0;-204.0;-623.0;588.0
731.0;466.0;-201.0;-625.0;586.0
729.0;466.0;-198.0;-627.0;586.0
729.0;467.0;-195.0;-627.0;586.0
?;468.0;-193.0;-627.0;587.0
728.0;469.0;-193.0;-627.0;587.0
729.0;470.0;-193.0;-626.0;588.0
729.0;471.0;-194.0;-625.0;589.0
729.0;471.0;-196.0;-624.0;590.0
728.0;471.0;-196.0;?;591.0
728.0;?;-196.0;-624.0;593.0
727.0;471.0;-194.0;?;?
728.0;470.0;-190.0;-623.0;597.0
?;469.0;-185.0;-623.0;599.0
730.0;468.0;-179.0;-622.0;601.0
731.0;467.0;?;-621.0;605.0
?;466.0;-164.0;-620.0;609.0
734.0;465.0;-155.0;-619.0;613.0
735.0;464.0;-146.0;-616.0;618.0
736.0;463.0;-135.0;-613.0;624.0
?;460.0;-124.0;-610.0;629.0
738.0;459.0;-110.0;-607.0;635.0
739.0;457.0;-96.0;-603.0;?
740.0;456.0;-82.0;-599.0;648.0
740.0;456.0;-69.0;-596.0;654.0
739.0;456.0;-57.0;-592.0;?
?;457.0;-48.0;-589.0;663.0
739.0;458.0;-39.0;-584.0;668.0
739.0;459.0;-32.0;-580.0;?
739.0;459.0;-23.0;-575.0;675.0
738.0;460.0;-15.0;-570.0;?
737.0;461.0;-7.0;-565.0;685.0
736.0;463.0;3.0;?;690.0
735.0;464.0;12.0;-557.0;695.0
734.0;466.0;20.0;-554.0;699.0
?;468.0;29.0;-552.0;703.0
729.0;471.0;37.0;-549.0;707.0
727.0;473.0;45.0;-545.0;710.0
725.0;475.0;52.0;-543.0;?
?;?;58.0;-542.0;717.0
720.0;478.0;63.0;-541.0;720.0
717.0;479.0;67.0;-541.0;723.0
715.0;480.0;71.0;-542.0;725.0
713.0;481.0;72.0;-542.0;726.0
?;483.0;?;-543.0;727.0
710.0;484.0;76.0;-543.0;727.0
708.0;485.0;78.0;-542.0;727.0
710.0;486.0;-10.0;-578.0;675.0
710.0;485.0;-13.0;-579.0;674.0
711.0;484.0;-14.0;-579.0;?
711.0;483.0;-16.0;-580.0;673.0
712.0;483.0;-16.0;-580.0;674.0
712.0;482.0;-15.0;-581.0;674.0
713.0;481.0;-16.0;?;674.0
713.0;479.0;-16.0;?;?
713.0;478.0;-14.0;-580.0;675.0
?;477.0;-13.0;-579.0;677.0
714.0;477.0;-13.0;-577.0;678.0
714.0;477.0;-11.0;-575.0;?
715.0;478.0;-8.0;-573.0;682.0
715.0;481.0;-3.0;-570.0;684.0
714.0;484.0;3.0;-566.0;687.0
?;487.0;10.0;-563.0;690.0
?;490.0;18.0;-558.0;694.0
712.0;495.0;?;-553.0;697.0
710.0;?;39.0;-548.0;701.0
708.0;503.0;50.0;-542.0;705.0
