InertialMeasurementUnit RLA Quaternion1;Accelerometer RWR accZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit RLA accY;Accelerometer RUA_ accZ
-107.0;125.0;246.0;-121.0;422.0;491.0;367.0
-110.0;-86.0;295.0;117.0;512.0;406.0;483.0
104.0;91.0;552.0;29.0;383.0;-3.0;331.0
1.0;-44.0;444.0;387.0;598.0;395.0;301.0
-10.0;66.0;411.0;215.0;545.0;367.0;406.0
-17.0;-44.0;331.0;-7.0;446.0;359.0;425.0
171.0;31.0;301.0;328.0;293.0;294.0;400.0
143.0;-6.0;637.0;-115.0;515.0;292.0;317.0
-30.0;52.0;442.0;-394.0;413.0;228.0;276.0
-20.0;-58.0;278.0;-53.0;380.0;382.0;448.0
50.0;244.0;286.0;77.0;346.0;599.0;416.0
621.0;150.0;544.0;15.0;351.0;45.0;270.0
21.0;-98.0;327.0;13.0;414.0;407.0;408.0
846.0;-572.0;152.0;-265.0;474.0;558.0;535.0
266.0;-56.0;270.0;-8.0;459.0;396.0;536.0
-25.0;-111.0;327.0;127.0;412.0;305.0;438.0
33.0;-140.0;272.0;58.0;452.0;368.0;485.0
-7.0;-166.0;330.0;-7.0;443.0;523.0;485.0
-17.0;-162.0;340.0;9.0;451.0;483.0;496.0
37.0;-211.0;307.0;-433.0;428.0;622.0;751.0
-20.0;-147.0;326.0;11.0;473.0;427.0;510.0
-21.0;-212.0;328.0;-72.0;458.0;471.0;498.0
-7.0;-241.0;314.0;106.0;446.0;461.0;480.0
-18.0;-69.0;331.0;23.0;459.0;440.0;503.0
-17.0;-129.0;321.0;44.0;450.0;432.0;496.0
-16.0;-20.0;313.0;40.0;441.0;434.0;508.0
795.0;-677.0;264.0;83.0;377.0;355.0;343.0
376.0;-842.0;370.0;457.0;432.0;369.0;423.0
374.0;-369.0;565.0;937.0;722.0;506.0;849.0
686.0;-611.0;44.0;-2650.0;535.0;238.0;697.0
48.0;-157.0;303.0;-139.0;425.0;403.0;465.0
29.0;-138.0;319.0;-37.0;432.0;420.0;465.0
30.0;-89.0;295.0;-30.0;435.0;419.0;455.0
31.0;-154.0;306.0;29.0;432.0;450.0;470.0
32.0;-153.0;302.0;11.0;437.0;443.0;470.0
32.0;-163.0;304.0;-2.0;434.0;439.0;445.0
33.0;-91.0;304.0;-55.0;433.0;439.0;442.0
34.0;-142.0;300.0;-31.0;422.0;434.0;465.0
34.0;-33.0;298.0;-45.0;423.0;436.0;459.0
121.0;-43.0;302.0;9.0;382.0;504.0;502.0
-155.0;-31.0;217.0;-25.0;319.0;340.0;379.0
228.0;-189.0;338.0;68.0;503.0;687.0;737.0
67.0;-762.0;409.0;11.0;735.0;631.0;928.0
799.0;-33.0;204.0;270.0;342.0;376.0;341.0
-104.0;0.0;265.0;-14.0;393.0;300.0;353.0
-128.0;-53.0;238.0;28.0;313.0;354.0;339.0
-72.0;88.0;452.0;30.0;497.0;862.0;780.0
-33.0;159.0;201.0;334.0;343.0;855.0;616.0
-300.0;-330.0;197.0;-2.0;429.0;685.0;661.0
-273.0;-67.0;309.0;-82.0;380.0;691.0;499.0
-62.0;-205.0;388.0;-27.0;594.0;778.0;869.0
-644.0;-135.0;254.0;-349.0;464.0;447.0;463.0
-131.0;-40.0;231.0;22.0;329.0;310.0;356.0
-136.0;-18.0;234.0;-10.0;318.0;328.0;365.0
-152.0;-9.0;234.0;-1.0;358.0;347.0;343.0
296.0;-361.0;118.0;87.0;436.0;739.0;578.0
80.0;-149.0;151.0;218.0;380.0;521.0;546.0
-61.0;-728.0;450.0;-411.0;825.0;485.0;970.0
-118.0;-34.0;409.0;-67.0;433.0;211.0;604.0
-17.0;-68.0;272.0;63.0;457.0;435.0;490.0
201.0;456.0;-108.0;646.0;79.0;604.0;406.0
-63.0;-117.0;189.0;128.0;491.0;449.0;663.0
-492.0;-140.0;290.0;573.0;571.0;771.0;727.0
-380.0;-787.0;371.0;-19.0;775.0;373.0;903.0
-14.0;65.0;195.0;-149.0;314.0;338.0;301.0
-147.0;-74.0;240.0;-248.0;554.0;411.0;373.0
573.0;99.0;410.0;-214.0;560.0;355.0;302.0
-19.0;-81.0;238.0;-158.0;355.0;374.0;368.0
-14.0;17.0;211.0;6.0;339.0;349.0;320.0
-154.0;-13.0;227.0;-74.0;382.0;330.0;390.0
-313.0;-304.0;366.0;27.0;767.0;600.0;909.0
249.0;69.0;289.0;-24.0;281.0;809.0;640.0
407.0;-5.0;414.0;358.0;410.0;387.0;222.0
210.0;143.0;70.0;2.0;177.0;1008.0;375.0
142.0;61.0;363.0;-125.0;273.0;546.0;399.0
-43.0;34.0;213.0;-17.0;343.0;492.0;667.0
-16.0;38.0;270.0;-86.0;278.0;460.0;485.0
-258.0;-145.0;542.0;231.0;534.0;552.0;428.0
-147.0;-548.0;225.0;25.0;658.0;701.0;870.0
-13.0;3.0;204.0;-64.0;312.0;343.0;323.0
-385.0;-368.0;235.0;-147.0;181.0;165.0;742.0
509.0;-10.0;498.0;95.0;647.0;601.0;794.0
-106.0;-29.0;259.0;-34.0;396.0;318.0;307.0
-141.0;9.0;256.0;-8.0;333.0;343.0;330.0
-409.0;-252.0;322.0;4.0;376.0;377.0;105.0
-173.0;-25.0;231.0;-1.0;356.0;337.0;358.0
-140.0;-67.0;267.0;-124.0;339.0;315.0;299.0
238.0;-530.0;385.0;11.0;681.0;592.0;858.0
-138.0;-83.0;265.0;1.0;339.0;304.0;342.0
