InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LUA Quaternion1
2.0;-382.0;625.0;-260.0;-805.0;-91.0;595.0;-350.0;774.0
234.0;-129.0;644.0;201.0;-640.0;-120.0;643.0;112.0;728.0
206.0;-94.0;649.0;118.0;-769.0;-17.0;594.0;112.0;690.0
155.0;-161.0;658.0;140.0;-776.0;-14.0;589.0;98.0;707.0
220.0;-453.0;278.0;316.0;-874.0;167.0;9.0;152.0;842.0
101.0;-224.0;672.0;171.0;-776.0;-56.0;595.0;89.0;708.0
95.0;-235.0;677.0;183.0;-777.0;-81.0;600.0;98.0;703.0
-217.0;-522.0;350.0;-306.0;-642.0;-313.0;447.0;-709.0;793.0
-219.0;-523.0;351.0;-307.0;-648.0;-309.0;445.0;-710.0;789.0
-216.0;-515.0;353.0;-306.0;-651.0;-303.0;451.0;-711.0;790.0
-215.0;-510.0;352.0;-305.0;-651.0;-298.0;453.0;-712.0;791.0
398.0;146.0;521.0;-112.0;-651.0;138.0;504.0;-43.0;612.0
-147.0;-432.0;607.0;-321.0;-817.0;-278.0;616.0;-539.0;742.0
-156.0;-441.0;608.0;-319.0;-812.0;-264.0;618.0;-532.0;738.0
-164.0;-451.0;606.0;-321.0;-810.0;-260.0;617.0;-528.0;737.0
-168.0;-456.0;604.0;-323.0;-809.0;-261.0;617.0;-529.0;737.0
-176.0;-465.0;599.0;-326.0;-804.0;-274.0;615.0;-534.0;737.0
-191.0;-477.0;590.0;-330.0;-805.0;-277.0;609.0;-541.0;736.0
-197.0;-480.0;586.0;-331.0;-806.0;-280.0;605.0;-542.0;735.0
-201.0;-483.0;583.0;-333.0;-807.0;-283.0;602.0;-541.0;735.0
-203.0;-485.0;577.0;-336.0;-806.0;-301.0;600.0;-529.0;738.0
