Accelerometer LUA^ accX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit RUA magneticX;Accelerometer BACK accX
18.0;-7.0;44.0;-151.0;329.0;382.0;152.0
48.0;-29.0;-17.0;30.0;319.0;366.0;134.0
53.0;-98.0;69.0;-42.0;358.0;829.0;-155.0
157.0;-32.0;-4.0;-47.0;295.0;467.0;72.0
126.0;1.0;12.0;-50.0;282.0;465.0;75.0
164.0;36.0;-86.0;-7.0;309.0;418.0;86.0
131.0;-31.0;21.0;-100.0;361.0;437.0;214.0
134.0;45.0;59.0;-105.0;291.0;368.0;82.0
231.0;-34.0;-40.0;-244.0;265.0;335.0;96.0
258.0;-59.0;-136.0;-313.0;282.0;146.0;121.0
126.0;36.0;55.0;-62.0;291.0;411.0;107.0
-13.0;121.0;21.0;-377.0;564.0;1051.0;53.0
96.0;32.0;-79.0;-76.0;301.0;465.0;72.0
96.0;26.0;-26.0;-62.0;280.0;464.0;75.0
38.0;100.0;-108.0;-64.0;208.0;402.0;42.0
105.0;6.0;22.0;-68.0;285.0;472.0;63.0
-38.0;-163.0;106.0;-28.0;380.0;818.0;-124.0
97.0;-7.0;-84.0;-64.0;283.0;475.0;78.0
102.0;2.0;-95.0;-25.0;298.0;465.0;67.0
21.0;11.0;42.0;-190.0;301.0;243.0;73.0
219.0;51.0;-39.0;-247.0;300.0;341.0;98.0
93.0;-2.0;-103.0;-34.0;301.0;460.0;70.0
104.0;45.0;20.0;-45.0;280.0;463.0;79.0
111.0;26.0;-15.0;-49.0;292.0;468.0;74.0
116.0;34.0;-24.0;-15.0;284.0;463.0;84.0
102.0;-8.0;-59.0;-27.0;304.0;466.0;79.0
105.0;-31.0;-69.0;-35.0;317.0;464.0;76.0
137.0;4.0;-97.0;-16.0;314.0;457.0;86.0
123.0;-18.0;-85.0;-9.0;291.0;439.0;64.0
105.0;-13.0;-130.0;-37.0;300.0;414.0;70.0
47.0;-9.0;-7.0;26.0;325.0;363.0;123.0
52.0;-12.0;0.0;17.0;318.0;363.0;118.0
53.0;-15.0;-7.0;11.0;324.0;363.0;97.0
40.0;-24.0;-21.0;10.0;330.0;360.0;97.0
20.0;5.0;-32.0;1.0;318.0;363.0;106.0
1.0;-11.0;-29.0;-2.0;318.0;363.0;126.0
27.0;-75.0;23.0;-7.0;310.0;362.0;118.0
117.0;27.0;-59.0;-197.0;261.0;266.0;143.0
16.0;-69.0;2.0;-13.0;342.0;354.0;91.0
16.0;-52.0;-13.0;-12.0;348.0;352.0;100.0
3.0;-60.0;-26.0;-20.0;326.0;353.0;85.0
5.0;-33.0;-42.0;-24.0;320.0;351.0;95.0
2.0;-1.0;-53.0;-29.0;318.0;351.0;76.0
63.0;78.0;-186.0;-187.0;318.0;224.0;85.0
-31.0;47.0;-88.0;1.0;309.0;242.0;34.0
-19.0;2.0;13.0;-50.0;324.0;351.0;86.0
12.0;6.0;-51.0;-55.0;332.0;354.0;87.0
16.0;-2.0;8.0;-61.0;327.0;350.0;75.0
