InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
323;34;6;162;323;900.0;-101;31;1016.0;-29;?;323;31
605;-456;5;38;141;907.0;?;36;983.0;-28;-1079;141;36
?;-217;4;146;30;937.0;183;715;1020.0;-27;?;30;715
372;-109;4;?;-382;911.0;65;959;1019.0;-27;-938;-382;959
744;-154;3;-154;-591;930.0;?;1329;1050.0;-27;-1076;-591;1329
710;-215;3;-211;-637;914.0;147;1582;1021.0;-27;-887;-637;1582
332;-189;3;93;-106;903.0;143;453;995.0;?;?;-106;453
303;-143;3;106;25;905.0;101;-310;1032.0;-26;-844;25;-310
483;-107;4;-55;-70;927.0;?;-110;1050.0;-28;-799;-70;-110
489;-19;?;-9;151;919.0;-44;-119;1002.0;-28;-896;?;-119
493;18;4;-6;-92;895.0;-84;-62;1079.0;-28;-905;-92;?
488;?;4;-7;-115;952.0;-125;-49;?;-28;-895;-115;-49
499;?;4;-9;65;?;-142;20;993.0;-28;-912;65;20
479;-8;4;3;74;907.0;-59;38;966.0;-28;-894;74;38
465;-42;4;?;-51;880.0;-22;-105;1073.0;-28;-886;-51;-105
482;17;5;-7;-182;909.0;-87;-115;1009.0;-28;-880;-182;-115
?;29;5;9;-131;890.0;-108;-63;1025.0;-28;-900;-131;-63
488;11;5;-5;-92;921.0;-95;-32;?;-28;?;-92;-32
469;60;6;-1;1;937.0;-146;-48;1030.0;-28;-879;1;-48
535;115;5;-16;99;?;-207;?;?;-28;-970;99;102
513;60;5;-15;322;909.0;-140;90;1011.0;-28;-929;322;90
366;-47;4;?;357;937.0;-8;?;1009.0;?;-768;?;-122
417;-48;4;?;-4;985.0;-10;-33;1003.0;-27;-822;-4;-33
482;?;4;-20;-84;902.0;-86;41;996.0;-27;-884;-84;41
493;21;?;-18;-98;867.0;-92;-38;966.0;-28;-888;-98;-38
523;22;5;-24;-158;903.0;?;-39;1009.0;?;-917;-158;-39
507;44;5;-13;-33;?;-122;-13;1039.0;-28;-905;-33;-13
491;42;5;-2;37;924.0;-118;2;999.0;-29;-892;37;2
492;42;5;-2;37;936.0;-118;?;1017.0;-29;-892;37;2
483;28;5;4;-17;934.0;-105;-15;?;-29;-891;?;-15
476;20;5;9;-51;923.0;-99;-18;975.0;-29;-889;-51;?
485;7;5;2;-14;933.0;-88;-1;1034.0;-29;-892;-14;-1
491;8;5;?;21;936.0;-90;-2;1056.0;-29;-894;21;-2
490;27;5;-3;?;873.0;-109;?;983.0;-29;?;24;-9
491;7;5;-2;15;878.0;?;0;1041.0;-29;-894;15;0
487;6;?;3;4;932.0;?;-4;1013.0;-29;-894;4;-4
484;14;?;2;-25;885.0;-96;-19;1003.0;?;-887;-25;-19
487;?;5;0;-10;?;-97;-16;1030.0;-29;-888;-10;-16
490;17;5;2;31;926.0;-103;?;1083.0;?;-894;31;-7
491;8;5;-1;23;903.0;-93;12;1043.0;-29;-890;23;12
488;12;5;1;13;912.0;-96;15;1139.0;-29;-888;13;15
485;17;5;3;25;873.0;-102;-18;1254.0;-29;-889;25;-18
492;5;5;-3;11;878.0;-91;-5;1309.0;-29;-884;11;-5
491;-1;5;-1;-17;908.0;-84;-7;1203.0;-29;-881;-17;-7
488;10;?;2;-25;920.0;-95;-1;1045.0;?;-885;-25;-1
493;15;5;-1;-6;900.0;-103;30;684.0;-29;-890;-6;30
490;4;5;2;-11;919.0;-93;-29;871.0;-29;-889;-11;-29
490;1;?;?;-34;880.0;-91;?;818.0;-29;-886;-34;-43
493;1;5;-3;3;888.0;-93;-19;?;-29;-885;3;-19
499;14;?;-10;4;893.0;-109;?;1001.0;-29;-883;4;-15
494;3;5;-3;-12;901.0;-97;17;902.0;-29;-887;-12;17
481;-19;5;9;34;876.0;-73;31;1030.0;-29;-890;34;31
483;4;5;2;8;884.0;?;25;1004.0;-29;-886;8;25
477;-4;5;8;-28;?;-87;-1;1003.0;-29;-892;-28;-1
477;-8;5;7;?;917.0;-83;-12;1000.0;-29;?;6;-12
?;5;5;4;-7;920.0;-96;-9;1010.0;-29;-890;-7;-9
492;1;5;?;-11;?;-94;21;1009.0;-29;-889;-11;21
497;-1;5;-5;1;?;-93;-6;1003.0;-29;-883;1;-6
493;2;5;-3;-18;911.0;-95;-34;1004.0;-29;-881;-18;-34
491;11;?;0;-6;906.0;-104;-20;998.0;-29;?;-6;-20
493;7;5;-2;?;901.0;-101;6;994.0;-29;-884;?;6
490;5;5;-2;35;922.0;-97;20;958.0;-29;-878;35;20
490;?;5;1;11;908.0;-93;5;979.0;-29;-885;11;5
