InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameX
-20;-52;16;511.0;64;570.0;-52
-24;28;21;77.0;71;170.0;28
-24;16;21;-16.0;74;205.0;16
-25;14;17;336.0;72;468.0;14
-24;6;20;151.0;71;281.0;6
-21;-49;16;268.0;66;232.0;-49
-20;5;26;196.0;69;298.0;5
-53;831;-135;278.0;1204;563.0;831
-25;-20;18;28.0;70;363.0;-20
-28;-56;20;122.0;87;371.0;-56
-21;-11;18;-393.0;73;640.0;-11
-24;21;20;88.0;70;356.0;21
-28;8;19;65.0;76;467.0;8
-25;-18;18;85.0;74;493.0;-18
-26;25;21;102.0;72;508.0;25
-25;-10;18;63.0;71;415.0;-10
-26;-48;17;103.0;73;456.0;-48
-24;3;20;117.0;76;353.0;3
-24;-22;20;113.0;74;330.0;-22
-12;-637;28;-570.0;312;534.0;-637
-26;-2;16;592.0;72;727.0;-2
-69;-68;-110;447.0;717;567.0;-68
-27;6;21;141.0;82;322.0;6
-57;-746;7;454.0;207;621.0;-746
-26;5;20;110.0;77;314.0;5
-33;-338;17;460.0;58;626.0;-338
-25;-39;17;357.0;70;546.0;-39
-25;26;18;32.0;66;375.0;26
-24;-19;21;139.0;75;370.0;-19
-27;20;21;121.0;79;439.0;20
-25;-6;20;-45.0;75;352.0;-6
-25;-6;20;79.0;77;317.0;-6
-31;88;21;121.0;86;444.0;88
-25;7;20;85.0;80;242.0;7
-26;1;20;77.0;73;242.0;1
-26;0;20;76.0;73;241.0;0
-26;5;20;76.0;76;242.0;5
-42;852;32;-333.0;634;-21.0;852
-24;-45;20;-7.0;69;191.0;-45
-26;0;20;94.0;77;246.0;0
-26;8;20;94.0;78;250.0;8
-11;3540;31;-235.0;261;-113.0;3540
-26;-57;20;107.0;81;259.0;-57
-26;0;20;111.0;79;257.0;0
-4;1794;47;4.0;1735;291.0;1794
-26;6;20;112.0;74;257.0;6
-26;3;20;111.0;80;259.0;3
-26;-27;20;105.0;79;255.0;-27
-17;-173;20;90.0;54;126.0;-173
-83;-1717;12;101.0;1373;383.0;-1717
-26;1;20;110.0;76;262.0;1
-21;19;26;116.0;79;285.0;19
-26;41;20;104.0;74;259.0;41
-41;-3051;23;-128.0;-261;12.0;-3051
-26;-10;20;94.0;78;261.0;-10
-25;-2;20;89.0;78;261.0;-2
-28;-273;25;-48.0;17;-327.0;-273
-29;160;28;-50.0;98;244.0;160
-25;-28;17;-15.0;72;501.0;-28
-24;-15;20;132.0;73;279.0;-15
-25;49;20;157.0;77;239.0;49
-26;-1;21;328.0;78;685.0;-1
-22;-16;21;425.0;67;313.0;-16
-23;66;18;249.0;80;321.0;66
-25;1;14;155.0;71;159.0;1
-23;197;19;-47.0;103;-196.0;197
-25;12;15;217.0;78;61.0;12
-25;19;20;147.0;78;228.0;19
-38;-1397;9;-224.0;-148;-465.0;-1397
-37;-71;28;-296.0;99;44.0;-71
-24;-16;20;19.0;75;269.0;-16
-24;34;20;31.0;69;274.0;34
-24;-12;20;91.0;71;283.0;-12
-29;-150;21;185.0;85;374.0;-150
-27;-423;42;207.0;116;367.0;-423
-26;2;21;198.0;87;547.0;2
-46;-62;18;490.0;-605;496.0;-62
-42;-686;17;-387.0;70;-547.0;-686
-24;-39;21;98.0;69;219.0;-39
-24;0;14;16.0;70;-58.0;0
-24;-10;21;66.0;74;169.0;-10
-26;1498;20;-195.0;134;-601.0;1498
-33;5;20;-132.0;95;-248.0;5
-30;-11;16;32.0;92;-290.0;-11
-31;412;21;-292.0;63;-552.0;412
-38;803;20;404.0;103;481.0;803
-27;-27;21;184.0;75;462.0;-27
-23;46;16;145.0;67;327.0;46
-57;-1345;6;407.0;-251;502.0;-1345
-76;-84;-97;74.0;1471;269.0;-84
-20;436;46;93.0;-2018;385.0;436
-52;-23;3;137.0;170;483.0;-23
-20;21;19;207.0;74;391.0;21
-45;1737;11;333.0;20;549.0;1737
-19;223;20;519.0;94;551.0;223
-24;-2;18;558.0;66;-390.0;-2
-30;-29;23;-383.0;71;-679.0;-29
-31;6;19;-352.0;90;-233.0;6
-25;-13;21;134.0;81;684.0;-13
-20;13;16;504.0;66;564.0;13
