InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LUA Quaternion1
-219.0;-519.0;354.0;-308.0;-637.0;-316.0;456.0;-710.0;798.0
-219.0;-489.0;623.0;-425.0;-794.0;-276.0;610.0;-607.0;699.0
206.0;-94.0;649.0;118.0;-769.0;-17.0;594.0;112.0;690.0
180.0;-130.0;654.0;130.0;-773.0;-9.0;592.0;106.0;700.0
155.0;-161.0;658.0;140.0;-776.0;-14.0;589.0;98.0;707.0
101.0;-224.0;672.0;171.0;-776.0;-56.0;595.0;89.0;708.0
95.0;-235.0;677.0;183.0;-777.0;-81.0;600.0;98.0;703.0
91.0;-244.0;682.0;195.0;-777.0;-114.0;605.0;112.0;699.0
85.0;-251.0;688.0;204.0;-773.0;-147.0;611.0;124.0;695.0
81.0;-253.0;694.0;208.0;-765.0;-173.0;618.0;132.0;691.0
81.0;-215.0;713.0;198.0;-745.0;-159.0;641.0;122.0;673.0
82.0;-159.0;722.0;182.0;-737.0;-116.0;649.0;110.0;664.0
105.0;-105.0;718.0;175.0;-740.0;-120.0;641.0;120.0;664.0
111.0;-101.0;717.0;180.0;-742.0;-124.0;637.0;127.0;664.0
118.0;-96.0;716.0;183.0;-744.0;-122.0;634.0;133.0;663.0
133.0;-86.0;713.0;182.0;-750.0;-108.0;629.0;144.0;662.0
141.0;-82.0;710.0;183.0;-756.0;-102.0;625.0;148.0;663.0
183.0;-170.0;600.0;182.0;-812.0;50.0;522.0;129.0;743.0
220.0;-453.0;278.0;316.0;-874.0;167.0;9.0;152.0;842.0
271.0;-448.0;294.0;650.0;-865.0;-267.0;-197.0;328.0;633.0
641.0;392.0;433.0;268.0;-380.0;349.0;265.0;350.0;372.0
639.0;394.0;433.0;258.0;-390.0;335.0;272.0;349.0;374.0
623.0;455.0;454.0;209.0;-459.0;350.0;346.0;334.0;368.0
632.0;485.0;448.0;227.0;-475.0;404.0;361.0;332.0;349.0
639.0;454.0;457.0;276.0;-400.0;384.0;352.0;340.0;350.0
637.0;447.0;456.0;274.0;-372.0;344.0;346.0;348.0;359.0
640.0;447.0;449.0;276.0;-360.0;329.0;340.0;356.0;357.0
10.0;-341.0;595.0;-388.0;-939.0;-163.0;680.0;-333.0;781.0
242.0;-187.0;540.0;-359.0;-908.0;-137.0;583.0;-191.0;806.0
219.0;-233.0;551.0;-366.0;-900.0;-154.0;591.0;-193.0;804.0
202.0;-230.0;554.0;-365.0;-899.0;-174.0;598.0;-182.0;806.0
200.0;-216.0;557.0;-363.0;-902.0;-126.0;604.0;-164.0;804.0
230.0;-180.0;551.0;-307.0;-880.0;-107.0;590.0;-140.0;801.0
272.0;-142.0;630.0;-355.0;-971.0;67.0;602.0;-144.0;728.0
216.0;-196.0;612.0;-355.0;-979.0;60.0;642.0;-221.0;755.0
274.0;-124.0;544.0;-328.0;-899.0;-79.0;566.0;-227.0;793.0
285.0;-87.0;548.0;-339.0;-901.0;-143.0;556.0;-210.0;786.0
305.0;-51.0;551.0;-346.0;-886.0;-237.0;550.0;-171.0;776.0
642.0;450.0;445.0;276.0;-352.0;316.0;331.0;363.0;358.0
642.0;460.0;442.0;275.0;-346.0;306.0;317.0;368.0;356.0
644.0;472.0;435.0;273.0;-343.0;298.0;303.0;369.0;352.0
647.0;485.0;427.0;272.0;-343.0;296.0;292.0;368.0;348.0
651.0;495.0;419.0;271.0;-348.0;300.0;285.0;365.0;343.0
677.0;570.0;411.0;258.0;-388.0;337.0;313.0;343.0;310.0
291.0;-107.0;597.0;-343.0;-862.0;-241.0;585.0;-51.0;747.0
231.0;-157.0;613.0;-348.0;-850.0;-233.0;618.0;-62.0;755.0
179.0;-224.0;611.0;-348.0;-827.0;-255.0;668.0;-88.0;768.0
95.0;-268.0;603.0;-326.0;-815.0;-234.0;698.0;-109.0;778.0
34.0;-270.0;592.0;-329.0;-815.0;-213.0;697.0;-140.0;783.0
33.0;-268.0;583.0;-335.0;-817.0;-209.0;691.0;-159.0;791.0
48.0;-255.0;570.0;-329.0;-823.0;-177.0;684.0;-184.0;807.0
56.0;-255.0;559.0;-310.0;-823.0;-156.0;673.0;-218.0;816.0
-17.0;-326.0;537.0;-299.0;-841.0;-91.0;651.0;-342.0;823.0
-48.0;-351.0;527.0;-302.0;-845.0;-74.0;641.0;-374.0;821.0
-83.0;-376.0;514.0;-310.0;-848.0;-67.0;632.0;-409.0;817.0
-119.0;-393.0;502.0;-325.0;-850.0;-72.0;628.0;-448.0;810.0
-514.0;-723.0;405.0;-524.0;-950.0;-237.0;520.0;-692.0;568.0
631.0;465.0;428.0;217.0;-517.0;377.0;313.0;231.0;393.0
626.0;407.0;439.0;261.0;-454.0;403.0;226.0;290.0;403.0
-330.0;-599.0;444.0;-505.0;-869.0;-436.0;779.0;-569.0;779.0
-302.0;-560.0;554.0;-436.0;-792.0;-334.0;652.0;-594.0;715.0
-250.0;-504.0;570.0;-406.0;-813.0;-288.0;661.0;-546.0;736.0
-185.0;-463.0;572.0;-385.0;-833.0;-298.0;661.0;-518.0;768.0
-93.0;-423.0;537.0;-510.0;-785.0;-505.0;661.0;-535.0;810.0
-126.0;-407.0;558.0;-344.0;-809.0;-438.0;597.0;-422.0;793.0
-66.0;-339.0;578.0;-307.0;-770.0;-442.0;606.0;-345.0;795.0
-25.0;-300.0;588.0;-273.0;-748.0;-425.0;617.0;-321.0;797.0
92.0;-227.0;593.0;-161.0;-692.0;-346.0;621.0;-245.0;800.0
136.0;-217.0;599.0;-155.0;-679.0;-348.0;610.0;-236.0;789.0
212.0;-154.0;619.0;-104.0;-640.0;-286.0;591.0;-165.0;751.0
258.0;-112.0;618.0;-69.0;-620.0;-236.0;558.0;-126.0;730.0
274.0;-94.0;611.0;-55.0;-613.0;-220.0;549.0;-118.0;730.0
298.0;-59.0;590.0;-38.0;-603.0;-195.0;548.0;-109.0;736.0
315.0;-43.0;576.0;-26.0;-600.0;-189.0;557.0;-118.0;741.0
317.0;-35.0;572.0;-17.0;-611.0;-177.0;578.0;-131.0;747.0
200.0;-95.0;554.0;-170.0;-735.0;-280.0;619.0;-277.0;808.0
165.0;-135.0;545.0;-192.0;-747.0;-286.0;614.0;-330.0;820.0
126.0;-178.0;537.0;-222.0;-740.0;-330.0;614.0;-399.0;829.0
86.0;-213.0;527.0;-253.0;-717.0;-400.0;619.0;-470.0;835.0
44.0;-257.0;521.0;-282.0;-700.0;-460.0;621.0;-523.0;838.0
636.0;418.0;429.0;257.0;-393.0;348.0;216.0;327.0;381.0
656.0;494.0;419.0;250.0;-385.0;319.0;255.0;333.0;348.0
643.0;459.0;406.0;340.0;-328.0;402.0;131.0;397.0;330.0
644.0;457.0;399.0;340.0;-326.0;397.0;101.0;400.0;331.0
756.0;488.0;177.0;417.0;-293.0;380.0;-159.0;493.0;233.0
719.0;608.0;294.0;363.0;-268.0;489.0;187.0;485.0;170.0
645.0;420.0;366.0;227.0;-485.0;333.0;80.0;328.0;329.0
646.0;415.0;367.0;215.0;-504.0;323.0;82.0;314.0;327.0
651.0;410.0;380.0;179.0;-574.0;290.0;169.0;258.0;350.0
217.0;-98.0;398.0;436.0;-899.0;-202.0;305.0;320.0;762.0
237.0;61.0;558.0;233.0;-783.0;-24.0;516.0;223.0;732.0
194.0;2.0;631.0;200.0;-758.0;-7.0;591.0;190.0;712.0
172.0;-48.0;657.0;194.0;-752.0;-9.0;620.0;184.0;703.0
145.0;-141.0;675.0;200.0;-752.0;-25.0;636.0;191.0;698.0
142.0;-144.0;674.0;200.0;-754.0;-26.0;635.0;192.0;698.0
142.0;-144.0;674.0;200.0;-755.0;-27.0;633.0;194.0;699.0
143.0;-142.0;673.0;201.0;-756.0;-29.0;633.0;195.0;699.0
143.0;-138.0;673.0;202.0;-757.0;-30.0;632.0;197.0;699.0
144.0;-136.0;672.0;203.0;-757.0;-32.0;632.0;198.0;700.0
142.0;-140.0;671.0;203.0;-759.0;-39.0;633.0;201.0;702.0
141.0;-144.0;671.0;201.0;-759.0;-39.0;635.0;202.0;704.0
140.0;-154.0;670.0;194.0;-758.0;-39.0;639.0;204.0;709.0
141.0;-175.0;666.0;181.0;-758.0;-38.0;651.0;218.0;718.0
140.0;-183.0;665.0;177.0;-758.0;-38.0;657.0;225.0;721.0
137.0;-198.0;665.0;168.0;-758.0;-36.0;667.0;242.0;726.0
145.0;-176.0;660.0;154.0;-770.0;-34.0;686.0;327.0;737.0
636.0;399.0;407.0;163.0;-593.0;279.0;250.0;243.0;381.0
