InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit RLA gyroX
-676.0;-484.0;-508.0;248.0;?;55;594.0;1180.0;487.0;139.0;381.0;54.0;215.0
-678.0;-496.0;?;?;-264.0;55;597.0;1347.0;?;305.0;607.0;17.0;?
?;-463.0;?;235.0;-266.0;55;600.0;1667.0;476.0;?;1107.0;-36.0;957.0
-686.0;-438.0;-551.0;249.0;-254.0;55;605.0;?;467.0;1547.0;1704.0;-44.0;1314.0
-688.0;-425.0;-579.0;266.0;-231.0;55;609.0;2001.0;457.0;2042.0;2075.0;?;1640.0
-692.0;-381.0;-610.0;304.0;-191.0;55;613.0;2044.0;449.0;2269.0;2266.0;-48.0;1809.0
-697.0;-292.0;-644.0;249.0;-142.0;55;618.0;2090.0;444.0;2299.0;2350.0;-42.0;1733.0
-699.0;-232.0;?;200.0;-88.0;55;623.0;2205.0;439.0;2001.0;2254.0;-54.0;1323.0
?;?;-679.0;239.0;-39.0;55;622.0;1856.0;439.0;1700.0;2167.0;-91.0;619.0
?;?;-685.0;251.0;15.0;55;623.0;1763.0;444.0;1631.0;2165.0;-74.0;-454.0
-705.0;-157.0;-675.0;245.0;80.0;55;623.0;?;452.0;1499.0;1986.0;-40.0;-1347.0
-709.0;-176.0;-661.0;176.0;143.0;55;621.0;942.0;459.0;996.0;1885.0;-70.0;-1078.0
-709.0;-151.0;-653.0;230.0;198.0;55;621.0;642.0;467.0;385.0;1629.0;-69.0;-259.0
-711.0;?;-653.0;337.0;240.0;?;625.0;451.0;475.0;-120.0;1253.0;-42.0;130.0
?;-258.0;?;377.0;275.0;55;?;388.0;481.0;-367.0;884.0;?;305.0
-702.0;-239.0;-665.0;320.0;296.0;55;626.0;377.0;478.0;-545.0;161.0;-101.0;638.0
-692.0;-215.0;?;302.0;307.0;55;626.0;164.0;470.0;-697.0;-58.0;-24.0;1373.0
-677.0;-229.0;-701.0;369.0;312.0;55;626.0;178.0;?;-493.0;130.0;26.0;2072.0
-664.0;-275.0;-720.0;307.0;324.0;55;630.0;105.0;457.0;-152.0;255.0;-7.0;2385.0
-651.0;-233.0;-731.0;308.0;?;55;631.0;157.0;449.0;38.0;?;-22.0;2161.0
-640.0;-246.0;-739.0;407.0;324.0;55;632.0;140.0;438.0;?;188.0;-26.0;1329.0
?;-236.0;-745.0;365.0;309.0;55;633.0;235.0;428.0;-89.0;34.0;-95.0;472.0
-617.0;-244.0;-748.0;248.0;282.0;55;631.0;32.0;419.0;?;-174.0;-107.0;?
-614.0;?;-746.0;351.0;246.0;55;634.0;148.0;406.0;-891.0;-46.0;-55.0;-445.0
-612.0;-236.0;-745.0;377.0;201.0;55;637.0;38.0;396.0;-794.0;116.0;?;?
-608.0;-238.0;-745.0;267.0;158.0;55;637.0;6.0;392.0;-923.0;?;48.0;291.0
-613.0;?;-750.0;160.0;114.0;55;?;97.0;393.0;-501.0;-612.0;-75.0;?
-609.0;-272.0;-756.0;185.0;?;55;?;77.0;396.0;77.0;-523.0;-83.0;986.0
-602.0;-239.0;-762.0;281.0;?;?;634.0;34.0;396.0;408.0;-314.0;-93.0;497.0
-602.0;-252.0;-766.0;346.0;94.0;55;?;57.0;396.0;258.0;-419.0;-118.0;-119.0
-603.0;-282.0;-771.0;?;88.0;55;635.0;14.0;398.0;-23.0;-464.0;-92.0;-534.0
-604.0;-284.0;-773.0;387.0;87.0;55;632.0;-104.0;398.0;-123.0;?;-47.0;-525.0
-607.0;-251.0;-777.0;311.0;82.0;55;633.0;-126.0;398.0;-288.0;-515.0;-32.0;-419.0
?;-251.0;-779.0;317.0;73.0;55;630.0;-34.0;403.0;-385.0;-569.0;65.0;-588.0
-624.0;?;-777.0;195.0;81.0;55;630.0;-83.0;?;-194.0;-734.0;86.0;-1355.0
-638.0;-243.0;-767.0;189.0;101.0;55;630.0;?;434.0;31.0;-596.0;142.0;-2113.0
-659.0;-240.0;-748.0;310.0;137.0;55;630.0;-81.0;464.0;390.0;-117.0;?;-2564.0
-676.0;-241.0;-717.0;318.0;186.0;55;631.0;21.0;498.0;52.0;-630.0;118.0;-2740.0
-688.0;?;-676.0;297.0;228.0;55;632.0;-96.0;?;?;-1366.0;180.0;-2934.0
-694.0;-268.0;-630.0;317.0;283.0;?;633.0;-87.0;578.0;-201.0;-1417.0;234.0;-3555.0
-699.0;-249.0;-563.0;295.0;352.0;55;636.0;-160.0;620.0;-82.0;-1543.0;359.0;-4408.0
-692.0;-102.0;-479.0;296.0;432.0;55;639.0;-544.0;?;603.0;-1608.0;603.0;-5064.0
-665.0;-138.0;-392.0;268.0;521.0;55;638.0;-536.0;701.0;?;-928.0;?;-4637.0
-625.0;?;-327.0;261.0;604.0;55;634.0;-510.0;738.0;4076.0;-244.0;403.0;-2740.0
-555.0;-452.0;-297.0;280.0;?;55;624.0;506.0;757.0;?;-868.0;?;-864.0
-486.0;-341.0;?;276.0;673.0;55;621.0;720.0;764.0;2614.0;-1129.0;40.0;-1071.0
-409.0;?;-206.0;311.0;683.0;55;623.0;294.0;767.0;2184.0;-2386.0;-99.0;-1193.0
-347.0;-196.0;-139.0;342.0;676.0;55;620.0;97.0;768.0;1711.0;-3240.0;-87.0;-897.0
?;-324.0;-59.0;292.0;660.0;?;626.0;206.0;770.0;1971.0;-4125.0;-125.0;-1426.0
-219.0;-301.0;17.0;260.0;?;55;631.0;315.0;771.0;1935.0;-4866.0;-39.0;-173.0
-151.0;-261.0;84.0;201.0;620.0;55;643.0;472.0;773.0;1056.0;-4786.0;282.0;-1153.0
-77.0;-173.0;173.0;?;613.0;55;652.0;623.0;773.0;-500.0;-3551.0;322.0;-1063.0
-6.0;-110.0;217.0;165.0;613.0;55;660.0;-140.0;777.0;158.0;-1929.0;113.0;?
41.0;-182.0;252.0;197.0;611.0;55;?;-148.0;776.0;193.0;-1417.0;129.0;?
62.0;-192.0;275.0;198.0;?;55;?;-328.0;777.0;-238.0;-397.0;38.0;113.0
63.0;-193.0;281.0;?;618.0;55;672.0;-332.0;779.0;-837.0;527.0;-83.0;702.0
-607.0;-113.0;?;279.0;-266.0;55;736.0;?;-27.0;78.0;-113.0;?;3.0
-608.0;-117.0;-672.0;?;-262.0;?;?;78.0;-24.0;204.0;-12.0;-10.0;?
-614.0;-131.0;-676.0;197.0;-259.0;55;738.0;107.0;-21.0;251.0;110.0;88.0;90.0
-615.0;-133.0;-674.0;208.0;?;55;739.0;207.0;-11.0;628.0;?;158.0;-369.0
-615.0;-124.0;-667.0;179.0;-225.0;55;?;328.0;10.0;853.0;-4.0;201.0;-872.0
?;-162.0;-654.0;188.0;-198.0;55;727.0;192.0;44.0;915.0;-521.0;215.0;-1042.0
-599.0;-103.0;-638.0;158.0;-165.0;55;719.0;?;85.0;1435.0;-1044.0;166.0;-1316.0
-588.0;-140.0;-620.0;179.0;-116.0;55;712.0;104.0;142.0;2310.0;-1040.0;126.0;-1892.0
-571.0;-170.0;-592.0;166.0;?;55;698.0;229.0;211.0;2463.0;-1252.0;21.0;-2026.0
-546.0;-172.0;-560.0;183.0;28.0;?;684.0;-18.0;286.0;2144.0;-1186.0;-62.0;-2124.0
-517.0;-205.0;-519.0;169.0;114.0;55;675.0;140.0;378.0;2160.0;-1282.0;-58.0;-2404.0
-487.0;-181.0;?;164.0;204.0;55;671.0;?;460.0;2995.0;-1509.0;-142.0;-2577.0
-455.0;-200.0;-431.0;204.0;?;55;?;?;525.0;3515.0;-1526.0;-260.0;-2705.0
-414.0;-233.0;-378.0;193.0;385.0;55;671.0;?;596.0;3038.0;-1988.0;-186.0;-2900.0
-360.0;-215.0;-325.0;178.0;?;55;671.0;295.0;655.0;3474.0;-2011.0;-292.0;-2722.0
-292.0;-210.0;?;199.0;554.0;55;670.0;?;703.0;4509.0;-2496.0;?;-2650.0
-222.0;-295.0;-210.0;194.0;623.0;55;670.0;561.0;741.0;4452.0;-2950.0;-338.0;-2738.0
?;-145.0;-161.0;203.0;667.0;55;670.0;-102.0;765.0;3946.0;-3158.0;-379.0;-2047.0
-53.0;?;-112.0;170.0;694.0;55;674.0;?;778.0;2665.0;-3217.0;-278.0;-1511.0
32.0;-220.0;-53.0;195.0;709.0;55;676.0;-307.0;780.0;1295.0;-3027.0;-88.0;-2048.0
114.0;-224.0;16.0;180.0;710.0;55;681.0;?;778.0;479.0;?;-42.0;-2300.0
186.0;-187.0;83.0;188.0;709.0;55;684.0;-637.0;773.0;-1030.0;-1555.0;-215.0;-1793.0
246.0;-321.0;135.0;196.0;707.0;55;683.0;-544.0;777.0;-1213.0;-992.0;-229.0;-968.0
293.0;-367.0;168.0;177.0;?;55;682.0;-581.0;774.0;613.0;-330.0;-331.0;-29.0
311.0;-114.0;187.0;181.0;709.0;55;680.0;-412.0;770.0;813.0;33.0;-351.0;?
?;-190.0;197.0;219.0;705.0;55;676.0;134.0;765.0;-564.0;28.0;-211.0;-307.0
312.0;-292.0;?;215.0;702.0;55;674.0;108.0;766.0;-940.0;198.0;?;-154.0
310.0;-272.0;201.0;193.0;704.0;55;673.0;57.0;774.0;-281.0;291.0;-108.0;269.0
306.0;-236.0;202.0;247.0;704.0;55;673.0;93.0;775.0;76.0;?;-50.0;390.0
302.0;-323.0;201.0;233.0;705.0;55;673.0;104.0;775.0;306.0;318.0;?;531.0
298.0;?;198.0;231.0;705.0;55;674.0;6.0;774.0;125.0;315.0;-64.0;?
290.0;-223.0;188.0;198.0;706.0;55;674.0;?;775.0;-572.0;293.0;-89.0;900.0
282.0;-244.0;177.0;162.0;703.0;55;672.0;-70.0;778.0;-965.0;?;-93.0;971.0
267.0;-301.0;163.0;?;698.0;55;670.0;23.0;779.0;-956.0;632.0;-118.0;?
252.0;-261.0;146.0;233.0;?;55;672.0;38.0;779.0;-770.0;874.0;-172.0;1385.0
232.0;-247.0;?;248.0;691.0;55;672.0;106.0;777.0;-610.0;1128.0;-251.0;1775.0
