InertialMeasurementUnit LUA accY;InertialMeasurementUnit LLA Quaternion2;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit RUA accY;Accelerometer LUA^ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accX;Accelerometer RUA^ accZ
158.0;142.0;845.0;918.0;49.0;-64.0;944.0;-748.0;-49.0
50.0;-20.0;654.0;1015.0;126.0;324.0;737.0;-598.0;130.0
12.0;456.0;714.0;811.0;-53.0;239.0;772.0;-883.0;-54.0
220.0;192.0;831.0;812.0;408.0;-132.0;800.0;-757.0;406.0
-361.0;-412.0;708.0;853.0;316.0;280.0;810.0;-700.0;439.0
247.0;477.0;606.0;505.0;-141.0;-31.0;756.0;-635.0;-132.0
193.0;372.0;729.0;702.0;48.0;11.0;718.0;-804.0;377.0
176.0;355.0;805.0;657.0;42.0;-46.0;772.0;-662.0;403.0
379.0;524.0;853.0;417.0;-109.0;-48.0;834.0;-756.0;489.0
220.0;265.0;695.0;825.0;5.0;30.0;640.0;-976.0;138.0
67.0;213.0;672.0;823.0;-118.0;3.0;727.0;-850.0;176.0
129.0;121.0;823.0;1027.0;-218.0;-71.0;820.0;-919.0;192.0
-244.0;-20.0;1145.0;1246.0;26.0;-313.0;1204.0;-567.0;107.0
-11.0;282.0;665.0;615.0;318.0;168.0;542.0;-514.0;594.0
80.0;-22.0;788.0;829.0;-68.0;75.0;833.0;-1009.0;-50.0
-458.0;-133.0;-182.0;579.0;436.0;532.0;-195.0;307.0;541.0
278.0;20.0;454.0;513.0;29.0;173.0;452.0;-1170.0;-8.0
120.0;-104.0;716.0;901.0;-218.0;17.0;802.0;-968.0;188.0
179.0;132.0;892.0;883.0;116.0;-158.0;929.0;-941.0;176.0
-15.0;96.0;708.0;864.0;66.0;128.0;517.0;-584.0;245.0
56.0;85.0;769.0;620.0;26.0;-37.0;661.0;-757.0;297.0
-7.0;76.0;865.0;564.0;-151.0;-99.0;750.0;-782.0;89.0
103.0;82.0;810.0;710.0;0.0;-38.0;725.0;-867.0;27.0
114.0;93.0;962.0;779.0;56.0;-71.0;919.0;-934.0;1.0
72.0;125.0;960.0;697.0;39.0;-65.0;843.0;-802.0;-40.0
184.0;106.0;873.0;557.0;-34.0;-106.0;733.0;-699.0;-197.0
-10.0;221.0;628.0;183.0;37.0;-18.0;277.0;-31.0;69.0
64.0;507.0;629.0;95.0;-76.0;-124.0;197.0;-194.0;23.0
91.0;359.0;826.0;579.0;183.0;-184.0;674.0;-334.0;-61.0
98.0;303.0;867.0;629.0;56.0;-26.0;696.0;-419.0;157.0
90.0;326.0;912.0;718.0;-144.0;-120.0;795.0;-702.0;377.0
76.0;317.0;858.0;736.0;-124.0;-105.0;750.0;-750.0;183.0
-137.0;168.0;804.0;665.0;-4.0;-100.0;617.0;-231.0;184.0
285.0;104.0;785.0;731.0;-72.0;-232.0;500.0;-601.0;35.0
320.0;65.0;779.0;777.0;-274.0;-237.0;552.0;-698.0;55.0
199.0;44.0;743.0;735.0;-86.0;-119.0;467.0;-761.0;34.0
-6.0;749.0;891.0;732.0;-306.0;-71.0;758.0;-882.0;84.0
95.0;251.0;666.0;695.0;-173.0;-64.0;609.0;-867.0;-113.0
-42.0;195.0;911.0;992.0;-2.0;-84.0;916.0;-902.0;139.0
-5.0;198.0;887.0;999.0;-16.0;-41.0;924.0;-907.0;115.0
51.0;212.0;920.0;989.0;-39.0;-54.0;960.0;-910.0;128.0
44.0;197.0;895.0;971.0;112.0;-119.0;941.0;-902.0;169.0
119.0;255.0;908.0;983.0;-99.0;-298.0;913.0;-950.0;264.0
107.0;199.0;937.0;1002.0;59.0;-142.0;938.0;-899.0;141.0
-283.0;-175.0;533.0;600.0;-154.0;276.0;452.0;-506.0;-152.0
-211.0;-64.0;809.0;969.0;-96.0;-78.0;735.0;-546.0;30.0
-215.0;-56.0;840.0;959.0;-102.0;-43.0;725.0;-534.0;27.0
-276.0;-152.0;792.0;782.0;-362.0;-71.0;627.0;-425.0;-189.0
148.0;-11.0;908.0;998.0;-73.0;-99.0;914.0;-899.0;88.0
135.0;-11.0;911.0;1019.0;-80.0;-130.0;952.0;-898.0;78.0
129.0;-12.0;903.0;1006.0;-85.0;-118.0;950.0;-907.0;64.0
130.0;-13.0;905.0;1014.0;-69.0;-111.0;983.0;-912.0;69.0
125.0;-14.0;885.0;964.0;-53.0;-73.0;943.0;-905.0;85.0
116.0;-14.0;936.0;1026.0;-48.0;-112.0;995.0;-882.0;73.0
137.0;-10.0;907.0;1003.0;8.0;-106.0;937.0;-929.0;114.0
168.0;-1.0;869.0;948.0;-9.0;-84.0;900.0;-934.0;93.0
