Accelerometer HIP accZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az
-120.0;3;-931.0;-839.0;-842.0;-3;-20
-20.0;-8;-970.0;-982.0;-977.0;8;-16
-18.0;-3;-977.0;-991.0;-948.0;3;-16
53.0;12;-1000.0;-1021.0;-950.0;-12;-15
-26.0;7;-954.0;-990.0;-826.0;-7;-47
70.0;5;-978.0;-1009.0;-875.0;-5;-20
-12.0;7;-969.0;-963.0;-930.0;-7;-12
-33.0;-34;-973.0;-988.0;-859.0;34;-19
-6.0;-5;-995.0;-966.0;-911.0;5;-31
84.0;-7;-970.0;-955.0;-907.0;7;-2
61.0;-30;-953.0;-987.0;-967.0;30;-13
20.0;12;-971.0;-994.0;-967.0;-12;-19
79.0;20;-983.0;-921.0;-767.0;-20;-14
29.0;11;-951.0;-964.0;-905.0;-11;-29
-42.0;-3;-969.0;-974.0;-924.0;3;-16
20.0;21;-950.0;-973.0;-900.0;-21;-14
22.0;2;-951.0;-961.0;-910.0;-2;-14
41.0;21;-940.0;-969.0;-919.0;-21;-26
25.0;19;-947.0;-965.0;-924.0;-19;-16
35.0;9;-945.0;-969.0;-933.0;-9;-20
21.0;-3;-948.0;-972.0;-950.0;3;-21
32.0;-8;-946.0;-966.0;-935.0;8;-20
31.0;29;-952.0;-976.0;-931.0;-29;-26
3.0;6;-950.0;-964.0;-932.0;-6;-20
6.0;28;-953.0;-974.0;-934.0;-28;-19
-19.0;-2;-952.0;-964.0;-940.0;2;-22
-12.0;1;-956.0;-983.0;-928.0;-1;-23
-15.0;-9;-950.0;-983.0;-897.0;9;-25
14.0;-9;-964.0;-980.0;-902.0;9;-24
-32.0;13;-973.0;-973.0;-929.0;-13;-17
9.0;6;-963.0;-998.0;-885.0;-6;-24
-1.0;-2;-952.0;-1010.0;-879.0;2;-22
-12.0;-20;-954.0;-999.0;-904.0;20;-24
9.0;24;-962.0;-945.0;-924.0;-24;-17
3.0;-13;-954.0;-918.0;-933.0;13;-22
-1.0;-8;-959.0;-931.0;-978.0;8;-21
-31.0;-6;-965.0;-988.0;-978.0;6;-14
-27.0;-6;-965.0;-986.0;-983.0;6;-20
11.0;-1;-982.0;-1030.0;-808.0;1;-20
7.0;15;-953.0;-995.0;-808.0;-15;-27
99.0;-109;-885.0;-861.0;-781.0;109;70
30.0;31;-946.0;-893.0;-799.0;-31;-20
20.0;-1;-956.0;-960.0;-805.0;1;-23
9.0;-30;-956.0;-898.0;-757.0;30;-20
63.0;-5;-945.0;-880.0;-758.0;5;-14
89.0;14;-982.0;-874.0;-882.0;-14;-20
-62.0;27;-968.0;-948.0;-922.0;-27;-17
80.0;26;-1022.0;-940.0;-893.0;-26;-13
-36.0;5;-969.0;-994.0;-971.0;-5;-16
-52.0;6;-979.0;-938.0;-925.0;-6;-16
11.0;-14;-959.0;-875.0;-727.0;14;-23
-31.0;23;-954.0;-857.0;-738.0;-23;-21
-143.0;175;-891.0;-979.0;-967.0;-175;61
150.0;15;-843.0;-985.0;-944.0;-15;-20
-10.0;-29;-896.0;-859.0;-922.0;29;-22
119.0;-6;-648.0;-875.0;-911.0;6;-31
-18.0;1;-961.0;-857.0;-760.0;-1;-22
0.0;1;-955.0;-858.0;-753.0;-1;-24
133.0;28;-997.0;-995.0;-869.0;-28;-23
-7.0;29;-956.0;-865.0;-728.0;-29;-28
-32.0;-39;-957.0;-867.0;-744.0;39;-23
-2.0;1;-958.0;-859.0;-743.0;-1;-16
-8.0;-17;-959.0;-858.0;-739.0;17;-25
-9.0;13;-955.0;-858.0;-735.0;-13;-22
0.0;-22;-961.0;-865.0;-727.0;22;-24
2.0;4;-959.0;-863.0;-683.0;-4;-22
-37.0;-8;-969.0;-994.0;-975.0;8;-20
74.0;-21;-975.0;-899.0;-895.0;21;-16
62.0;-19;-865.0;-882.0;-846.0;19;-20
2.0;-12;-980.0;-855.0;-636.0;12;-19
139.0;59;-1034.0;-1165.0;-865.0;-59;48
-74.0;4;-982.0;-944.0;-943.0;-4;-22
71.0;-20;-989.0;-892.0;-839.0;20;-30
76.0;-24;-948.0;-905.0;-843.0;24;-20
49.0;5;-967.0;-892.0;-811.0;-5;-27
