InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1
-11.0;-393.0;291.0;35.0;-624.0
227.0;-290.0;488.0;-351.0;-308.0
214.0;-294.0;491.0;-345.0;-310.0
198.0;-300.0;500.0;-347.0;-311.0
-488.0;184.0;-746.0;191.0;303.0
-548.0;100.0;-631.0;117.0;258.0
-450.0;133.0;-583.0;133.0;166.0
-405.0;157.0;-575.0;185.0;153.0
-396.0;165.0;-577.0;201.0;152.0
-411.0;230.0;-592.0;250.0;161.0
740.0;456.0;-82.0;-599.0;648.0
-564.0;287.0;-563.0;325.0;94.0
-489.0;288.0;-458.0;297.0;52.0
-547.0;312.0;-630.0;403.0;142.0
-579.0;258.0;-603.0;427.0;112.0
-496.0;282.0;-434.0;358.0;42.0
-507.0;280.0;-423.0;375.0;35.0
-511.0;286.0;-421.0;396.0;28.0
-515.0;267.0;-436.0;416.0;20.0
-728.0;-68.0;-453.0;573.0;-304.0
-764.0;-62.0;-368.0;511.0;-187.0
-853.0;-301.0;-384.0;514.0;-466.0
-631.0;99.0;-402.0;388.0;-140.0
-626.0;98.0;-403.0;384.0;-141.0
-626.0;99.0;-404.0;382.0;-140.0
-626.0;98.0;-405.0;383.0;-138.0
-625.0;98.0;-407.0;384.0;-137.0
-627.0;105.0;-412.0;398.0;-126.0
-625.0;102.0;-413.0;381.0;-131.0
-621.0;110.0;-420.0;374.0;-123.0
-618.0;115.0;-424.0;368.0;-117.0
-658.0;155.0;-467.0;344.0;-56.0
-631.0;140.0;-384.0;394.0;-138.0
-618.0;143.0;-387.0;405.0;-135.0
-640.0;91.0;-367.0;510.0;-185.0
-612.0;146.0;-398.0;403.0;-124.0
-609.0;114.0;-415.0;428.0;-118.0
-677.0;171.0;-426.0;485.0;-77.0
-589.0;133.0;-423.0;430.0;-104.0
-599.0;151.0;-405.0;390.0;-116.0
-599.0;176.0;-411.0;434.0;-83.0
-574.0;165.0;-415.0;375.0;-100.0
-558.0;173.0;-421.0;372.0;-89.0
-659.0;201.0;-486.0;419.0;-19.0
-671.0;198.0;-498.0;327.0;-5.0
-616.0;211.0;-486.0;345.0;0.0
-638.0;141.0;-608.0;363.0;15.0
-510.0;203.0;-436.0;366.0;-52.0
-456.0;263.0;-469.0;402.0;6.0
-618.0;184.0;-570.0;463.0;0.0
-650.0;198.0;-605.0;455.0;64.0
-533.0;244.0;-593.0;423.0;70.0
-550.0;286.0;-629.0;402.0;155.0
-468.0;214.0;-508.0;153.0;164.0
-410.0;226.0;-486.0;22.0;209.0
-410.0;226.0;-478.0;14.0;217.0
-419.0;233.0;-461.0;-7.0;236.0
-438.0;245.0;-436.0;13.0;272.0
-449.0;252.0;-426.0;49.0;283.0
-455.0;254.0;-420.0;62.0;286.0
-463.0;260.0;-414.0;67.0;285.0
-467.0;263.0;-408.0;65.0;285.0
-472.0;265.0;-408.0;72.0;280.0
-472.0;264.0;-410.0;82.0;277.0
-477.0;261.0;-412.0;97.0;274.0
-480.0;258.0;-414.0;107.0;268.0
-484.0;257.0;-413.0;113.0;261.0
-487.0;257.0;-412.0;121.0;255.0
-491.0;256.0;-411.0;129.0;249.0
-505.0;248.0;-405.0;148.0;228.0
-518.0;243.0;-399.0;161.0;212.0
-522.0;240.0;-397.0;161.0;203.0
-525.0;238.0;-394.0;166.0;194.0
-528.0;236.0;-390.0;172.0;185.0
-534.0;233.0;-380.0;194.0;166.0
-540.0;230.0;-367.0;217.0;145.0
-545.0;228.0;-361.0;227.0;135.0
-550.0;227.0;-355.0;238.0;123.0
-562.0;218.0;-340.0;270.0;88.0
-573.0;210.0;-328.0;287.0;62.0
-577.0;207.0;-324.0;295.0;50.0
-582.0;203.0;-320.0;301.0;38.0
-586.0;201.0;-314.0;307.0;26.0
-590.0;197.0;-309.0;315.0;16.0
-613.0;181.0;-288.0;328.0;-30.0
-619.0;177.0;-284.0;329.0;-38.0
-627.0;171.0;-278.0;332.0;-51.0
-628.0;170.0;-276.0;332.0;-57.0
-627.0;170.0;-272.0;334.0;-63.0
-627.0;171.0;-270.0;336.0;-68.0
-624.0;176.0;-269.0;351.0;-66.0
-625.0;165.0;-291.0;348.0;-56.0
-630.0;143.0;-319.0;352.0;-39.0
-548.0;74.0;-371.0;107.0;-3.0
-512.0;70.0;-383.0;72.0;13.0
-499.0;68.0;-389.0;64.0;22.0
-488.0;67.0;-396.0;63.0;30.0
-478.0;65.0;-405.0;60.0;39.0
