InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;Accelerometer RUA^ accX;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RLA gyroY
-10;-2;-489.0;-281;-6;-8;-105.0;6;-390.0;-189.0;-2;-14.0
1;35;88.0;-315;9;5;43.0;-9;-311.0;-21.0;35;96.0
5;14;-130.0;-259;-2;-1;-238.0;2;-385.0;-162.0;14;64.0
72;677;80.0;-43;522;44;-8.0;-522;-486.0;-117.0;677;456.0
24;17;10.0;-275;-59;119;185.0;59;-547.0;-522.0;17;291.0
4;-31;-2.0;-289;-12;-1;-28.0;12;-325.0;-176.0;-31;1.0
-1;-1;8.0;-233;-15;-3;31.0;15;-368.0;-158.0;-1;81.0
6;-4;7.0;-285;27;2;-19.0;-27;-274.0;-170.0;-4;4.0
4;12;-12.0;-287;-40;-2;-31.0;40;-284.0;-170.0;12;0.0
1;-1;-2.0;-280;-25;7;-34.0;25;-283.0;-165.0;-1;-40.0
4;-25;-35.0;-289;-45;-3;-48.0;45;-272.0;-179.0;-25;-71.0
6;-20;-67.0;-238;-13;-4;-96.0;13;-157.0;-160.0;-20;-216.0
3;-7;199.0;-236;14;3;549.0;-14;-239.0;-150.0;-7;30.0
7;-36;-17.0;-286;29;1;-43.0;-29;-281.0;-171.0;-36;-57.0
6;-1;-18.0;-289;12;-2;-34.0;-12;-297.0;-171.0;-1;6.0
-2;-1;-68.0;-275;19;0;-73.0;-19;-151.0;-155.0;-1;-6.0
5;16;-51.0;-229;6;1;20.0;-6;-329.0;-253.0;16;59.0
8;-28;-36.0;-278;-17;-6;-54.0;17;-236.0;-152.0;-28;35.0
-4;17;-4.0;-271;27;1;-41.0;-27;-234.0;-139.0;17;13.0
-45;460;-82.0;-142;-618;164;-25.0;618;-353.0;-151.0;460;-36.0
7;-13;-1.0;-261;84;-3;-175.0;-84;-405.0;-177.0;-13;92.0
-1;17;12.0;-317;9;-1;-22.0;-9;-225.0;-16.0;17;14.0
-4;-23;27.0;-261;-23;-1;-140.0;23;-240.0;-179.0;-23;-180.0
-5;23;4.0;-270;33;2;1.0;-33;-224.0;-139.0;23;20.0
-1;-11;3.0;-271;-3;2;-22.0;3;-228.0;-166.0;-11;9.0
-1;6;1.0;-239;-24;-1;-119.0;24;-155.0;-172.0;6;-3.0
-1;-13;72.0;-243;6;-9;11.0;-6;-151.0;-166.0;-13;9.0
1;-9;31.0;-278;16;-7;-23.0;-16;-216.0;-141.0;-9;4.0
-8;-22;-160.0;-266;16;-9;-177.0;-16;-301.0;-30.0;-22;161.0
8;0;-76.0;-318;-14;-5;-64.0;14;-263.0;-31.0;0;50.0
2;-30;116.0;-269;18;-3;22.0;-18;-198.0;-165.0;-30;-8.0
66;-139;-32.0;-233;460;46;-42.0;-460;-381.0;-213.0;-139;-6.0
2;39;64.0;-274;-6;2;121.0;6;-168.0;-171.0;39;157.0
9;2;35.0;-278;0;-5;-5.0;0;-197.0;-157.0;2;17.0
8;-13;95.0;-249;17;-6;247.0;-17;-165.0;-211.0;-13;128.0
0;2;32.0;-304;48;2;20.0;-48;-359.0;-4.0;2;-143.0
5;8;1.0;-264;-4;1;112.0;4;-351.0;107.0;8;-163.0
4;-3;-10.0;-258;-47;0;-13.0;47;-415.0;93.0;-3;-4.0
-1;13;142.0;-246;-17;2;-6.0;17;-139.0;-179.0;13;131.0
-3;-8;46.0;-269;-41;6;16.0;41;-219.0;-153.0;-8;24.0
-4;7;144.0;-233;-5;1;114.0;5;-161.0;-161.0;7;6.0
356;-3347;-1110.0;-554;-4958;-238;-250.0;4958;-621.0;17.0;-3347;461.0
-6;-10;99.0;-239;-14;-6;3.0;14;-350.0;-123.0;-10;-113.0
-5;-25;44.0;-314;23;-10;3.0;-23;-504.0;-175.0;-25;43.0
3;-14;-1.0;-289;-22;-5;-18.0;22;-414.0;-162.0;-14;38.0
-3;-11;9.0;-288;-12;-3;11.0;12;-404.0;-176.0;-11;59.0
55;-5;-359.0;-263;-18;60;197.0;18;-534.0;4.0;-5;148.0
-11;25;91.0;-259;-31;3;121.0;31;-549.0;-119.0;25;67.0
0;-18;-8.0;-281;26;1;-16.0;-26;-411.0;-161.0;-18;11.0
-8;6;4.0;-282;-9;-1;1.0;9;-409.0;-172.0;6;55.0
3;29;120.0;-232;51;-2;107.0;-51;-364.0;-237.0;29;159.0
-2;-1;16.0;-286;-27;-4;7.0;27;-407.0;-172.0;-1;38.0
-2;-13;-12.0;-285;56;-3;-14.0;-56;-402.0;-193.0;-13;21.0
-2;-22;-2.0;-278;-43;3;12.0;43;-395.0;-170.0;-22;4.0
5;14;-15.0;-279;11;5;-14.0;-11;-396.0;-172.0;14;35.0
1;8;-44.0;-279;-22;5;-20.0;22;-395.0;-171.0;8;-10.0
-16;11;27.0;-229;20;0;12.0;-20;-399.0;-187.0;11;-29.0
1;22;-21.0;-285;17;0;-35.0;-17;-395.0;-180.0;22;21.0
-1;0;9.0;-282;-6;3;-35.0;6;-394.0;-166.0;0;21.0
6;22;-25.0;-283;16;2;-48.0;-16;-387.0;-170.0;22;5.0
4;15;22.0;-283;16;1;1.0;-16;-386.0;-179.0;15;33.0
11;-1;15.0;-280;-29;5;-59.0;29;-404.0;-180.0;-1;-28.0
14;4;55.0;-286;-21;-2;29.0;21;-385.0;-161.0;4;-117.0
2;15;19.0;-314;-10;3;31.0;10;-257.0;-28.0;15;59.0
3;-5;1.0;-317;34;0;-49.0;-34;-217.0;-46.0;-5;15.0
2;10;75.0;-253;12;1;58.0;-12;-395.0;75.0;10;37.0
-2;44;-7.0;-253;56;0;-53.0;-56;-338.0;-117.0;44;34.0
3;15;8.0;-247;-12;-4;-32.0;12;-292.0;-97.0;15;-30.0
-364;-3321;-101.0;-667;-362;-120;-96.0;362;-428.0;-163.0;-3321;-65.0
-1;15;76.0;-257;-24;-4;39.0;24;-399.0;-25.0;15;52.0
2;10;144.0;-272;31;-4;69.0;-31;-368.0;-140.0;10;-100.0
