InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX
28.0;-810;42.0;326;-218.0;49.0;43.0
-567.0;-816;356.0;371;-71.0;-67.0;277.0
-25.0;-787;17.0;424;-30.0;33.0;26.0
-11.0;-763;6.0;432;36.0;-31.0;-276.0
31.0;-785;57.0;428;15.0;62.0;41.0
54.0;-782;35.0;427;27.0;93.0;-30.0
-7.0;-789;-58.0;429;34.0;43.0;-69.0
27.0;-783;28.0;427;-12.0;48.0;83.0
-172.0;-785;54.0;377;-243.0;214.0;244.0
49.0;-751;14.0;424;-38.0;61.0;114.0
60.0;-783;29.0;428;-52.0;31.0;85.0
5.0;-778;8.0;427;-47.0;12.0;1.0
42.0;-784;40.0;427;-1.0;26.0;61.0
-32.0;-788;-11.0;426;-44.0;9.0;92.0
-240.0;-791;120.0;419;-225.0;52.0;107.0
-92.0;-754;80.0;414;-1.0;35.0;224.0
35.0;-788;53.0;415;16.0;60.0;63.0
-10.0;-789;31.0;423;4.0;45.0;49.0
69.0;-820;-40.0;371;22.0;0.0;21.0
131.0;-807;-86.0;383;17.0;-115.0;21.0
-14.0;-750;6.0;459;-5.0;45.0;-62.0
12.0;-752;6.0;420;14.0;31.0;-22.0
8.0;-747;-33.0;428;51.0;59.0;-10.0
34.0;-749;-7.0;432;11.0;42.0;0.0
-31.0;-826;11.0;363;27.0;-16.0;126.0
26.0;-751;-18.0;429;-29.0;49.0;60.0
20.0;-782;17.0;428;-96.0;74.0;51.0
-43.0;-724;-165.0;487;-7.0;272.0;162.0
17.0;-749;-53.0;428;13.0;65.0;52.0
241.0;-754;-147.0;442;-280.0;192.0;119.0
24.0;-818;6.0;372;-24.0;47.0;119.0
31.0;-823;18.0;364;-11.0;47.0;18.0
-65.0;-828;-94.0;375;59.0;-305.0;144.0
72.0;-820;-30.0;360;-37.0;81.0;32.0
115.0;-831;-117.0;342;-293.0;22.0;-52.0
81.0;-821;-102.0;364;-24.0;139.0;13.0
52.0;-818;-43.0;358;-9.0;38.0;17.0
51.0;-819;-43.0;364;-12.0;71.0;1.0
52.0;-820;-46.0;371;37.0;81.0;-32.0
64.0;-820;-37.0;369;4.0;43.0;-8.0
-19.0;-761;12.0;412;99.0;29.0;20.0
53.0;-823;-26.0;360;-8.0;65.0;-6.0
61.0;-823;-26.0;364;-16.0;71.0;-9.0
63.0;-824;-21.0;365;-35.0;71.0;-27.0
263.0;-820;12.0;359;-200.0;318.0;-163.0
61.0;-823;-47.0;368;6.0;89.0;-7.0
24.0;-757;-11.0;411;97.0;-5.0;3.0
12.0;-759;3.0;414;118.0;3.0;17.0
100.0;-820;-31.0;365;-10.0;101.0;-12.0
78.0;-827;-20.0;357;-39.0;55.0;-35.0
82.0;-826;-18.0;364;2.0;72.0;-42.0
11.0;-820;-29.0;355;-82.0;86.0;-144.0
53.0;-825;6.0;366;6.0;19.0;3.0
