Accelerometer LUA^ accX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit RUA magneticX;Accelerometer BACK accX
300.0;172.0;-33.0;45.0;1024.0;381.0;67.0
125.0;19.0;-137.0;130.0;321.0;317.0;57.0
14.0;-35.0;48.0;-70.0;302.0;380.0;146.0
67.0;6.0;-64.0;-160.0;363.0;375.0;107.0
134.0;258.0;-339.0;-494.0;951.0;555.0;-16.0
98.0;-8.0;-23.0;-522.0;236.0;386.0;73.0
42.0;19.0;-11.0;-86.0;338.0;384.0;142.0
53.0;-5.0;-15.0;-84.0;345.0;383.0;124.0
-17.0;5.0;-25.0;6.0;343.0;442.0;163.0
139.0;-168.0;112.0;-82.0;266.0;374.0;51.0
158.0;-110.0;198.0;-323.0;932.0;986.0;-35.0
174.0;107.0;-58.0;-436.0;463.0;563.0;233.0
181.0;15.0;-25.0;-563.0;341.0;315.0;125.0
110.0;-3.0;-14.0;-638.0;352.0;406.0;114.0
137.0;4.0;-97.0;-16.0;314.0;457.0;86.0
-154.0;51.0;-330.0;54.0;295.0;395.0;107.0
29.0;6.0;-5.0;41.0;325.0;362.0;100.0
126.0;1.0;12.0;-50.0;282.0;465.0;75.0
39.0;25.0;-24.0;-79.0;319.0;374.0;135.0
262.0;-11.0;-21.0;-256.0;286.0;349.0;128.0
539.0;-6.0;-29.0;-297.0;358.0;799.0;394.0
62.0;98.0;-20.0;-76.0;321.0;355.0;117.0
6.0;21.0;-80.0;-113.0;312.0;355.0;86.0
401.0;-32.0;-165.0;-575.0;210.0;552.0;256.0
-1.0;-7.0;-22.0;-63.0;325.0;352.0;72.0
8.0;34.0;-32.0;-80.0;324.0;370.0;124.0
86.0;-9.0;25.0;-148.0;335.0;381.0;137.0
87.0;18.0;4.0;-144.0;308.0;378.0;151.0
102.0;-9.0;77.0;-145.0;334.0;390.0;174.0
70.0;-20.0;26.0;-136.0;297.0;372.0;141.0
93.0;-22.0;220.0;-297.0;246.0;286.0;265.0
150.0;-155.0;125.0;-61.0;320.0;243.0;279.0
150.0;52.0;-177.0;-63.0;260.0;385.0;124.0
80.0;113.0;-121.0;-223.0;376.0;244.0;146.0
404.0;-15.0;-60.0;-339.0;226.0;287.0;269.0
196.0;-10.0;-10.0;-311.0;63.0;357.0;72.0
135.0;0.0;9.0;-124.0;259.0;371.0;163.0
374.0;43.0;179.0;-117.0;252.0;402.0;203.0
378.0;123.0;-206.0;-354.0;100.0;712.0;64.0
31.0;8.0;9.0;-150.0;360.0;377.0;132.0
30.0;-11.0;-23.0;-125.0;317.0;360.0;94.0
-7.0;69.0;-363.0;-233.0;204.0;269.0;-44.0
-94.0;-14.0;42.0;302.0;311.0;-42.0;87.0
334.0;8.0;17.0;40.0;287.0;101.0;137.0
537.0;173.0;-63.0;412.0;-6.0;225.0;367.0
114.0;13.0;-288.0;85.0;343.0;362.0;174.0
-11.0;2.0;-7.0;-148.0;342.0;373.0;124.0
269.0;21.0;-6.0;46.0;355.0;438.0;213.0
211.0;-3.0;-36.0;-61.0;400.0;848.0;-69.0
-34.0;-156.0;-1298.0;301.0;352.0;-80.0;-25.0
151.0;213.0;-274.0;-203.0;359.0;860.0;117.0
14.0;2.0;10.0;-126.0;336.0;361.0;90.0
141.0;-86.0;-51.0;86.0;300.0;324.0;67.0
24.0;21.0;-13.0;-125.0;324.0;360.0;84.0
66.0;-15.0;5.0;-167.0;396.0;387.0;103.0
214.0;195.0;-84.0;88.0;346.0;446.0;110.0
251.0;-180.0;57.0;-86.0;91.0;625.0;255.0
-11.0;15.0;18.0;-84.0;328.0;353.0;56.0
261.0;-153.0;151.0;-86.0;371.0;544.0;162.0
32.0;-4.0;-15.0;-124.0;307.0;362.0;109.0
16.0;-137.0;86.0;-38.0;364.0;828.0;-158.0
17.0;-12.0;-43.0;-135.0;335.0;387.0;102.0
309.0;-413.0;-217.0;-260.0;419.0;602.0;246.0
27.0;17.0;26.0;-126.0;329.0;370.0;115.0
163.0;13.0;-322.0;-48.0;569.0;354.0;9.0
128.0;-192.0;-77.0;99.0;697.0;489.0;32.0
447.0;-63.0;278.0;-393.0;294.0;815.0;372.0
-513.0;-7.0;-99.0;148.0;-693.0;-282.0;-722.0
-282.0;-15.0;-26.0;-325.0;91.0;356.0;60.0
40.0;66.0;-230.0;-637.0;372.0;501.0;33.0
-104.0;-82.0;176.0;6.0;344.0;427.0;131.0
7.0;-8.0;60.0;-133.0;337.0;368.0;98.0
260.0;223.0;148.0;-109.0;297.0;364.0;60.0
146.0;240.0;-131.0;-729.0;366.0;878.0;116.0
124.0;-87.0;-66.0;-294.0;-605.0;906.0;172.0
-178.0;54.0;535.0;239.0;352.0;-300.0;-25.0
108.0;-115.0;127.0;-707.0;135.0;778.0;99.0
180.0;329.0;-303.0;-14.0;203.0;606.0;175.0
-131.0;19.0;-46.0;34.0;293.0;398.0;115.0
-12.0;18.0;-31.0;-89.0;320.0;351.0;63.0
-78.0;127.0;-272.0;329.0;321.0;-27.0;78.0
122.0;8.0;52.0;67.0;330.0;388.0;240.0
152.0;-160.0;200.0;-78.0;656.0;387.0;-23.0
0.0;19.0;-126.0;-142.0;329.0;366.0;127.0
44.0;3.0;-610.0;385.0;288.0;23.0;153.0
166.0;-446.0;387.0;-598.0;348.0;562.0;192.0
224.0;-167.0;740.0;-440.0;413.0;597.0;163.0
0.0;-11.0;-40.0;-123.0;356.0;369.0;111.0
-124.0;-62.0;28.0;16.0;300.0;402.0;116.0
-70.0;-9.0;-26.0;164.0;321.0;151.0;152.0
111.0;47.0;-69.0;-520.0;79.0;543.0;80.0
-114.0;13.0;-45.0;-38.0;315.0;466.0;106.0
-132.0;168.0;66.0;-339.0;331.0;393.0;18.0
5.0;-24.0;372.0;191.0;310.0;156.0;173.0
-106.0;0.0;1.0;263.0;392.0;-281.0;0.0
115.0;119.0;-706.0;-147.0;307.0;409.0;114.0
-148.0;1.0;0.0;603.0;327.0;-310.0;19.0
-39.0;-34.0;20.0;-110.0;352.0;387.0;98.0
225.0;-475.0;372.0;293.0;146.0;341.0;44.0
-30.0;8.0;-55.0;-139.0;329.0;375.0;119.0
