Accelerometer HIP accZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az
36.0;-2;-987.0;-902.0;-850.0;2;-23
-15.0;-3;-948.0;-886.0;-818.0;3;-24
-9.0;8;-951.0;-877.0;-819.0;-8;-24
-11.0;-8;-947.0;-835.0;-787.0;8;-25
-9.0;19;-956.0;-857.0;-800.0;-19;-22
-21.0;-18;-950.0;-856.0;-817.0;18;-15
17.0;-6;-964.0;-930.0;-902.0;6;-23
-29.0;9;-877.0;-997.0;-939.0;-9;-30
5.0;26;-985.0;-976.0;-854.0;-26;-20
137.0;-7;-903.0;-1120.0;-825.0;7;-19
29.0;26;-956.0;-946.0;-825.0;-26;-22
-129.0;116;-866.0;-885.0;-910.0;-116;-30
-48.0;37;-793.0;-804.0;-859.0;-37;-22
29.0;11;-951.0;-964.0;-905.0;-11;-29
-51.0;-8;-835.0;-858.0;-784.0;8;12
27.0;18;-959.0;-1007.0;-910.0;-18;-19
22.0;2;-951.0;-961.0;-910.0;-2;-14
55.0;30;-957.0;-957.0;-928.0;-30;-18
53.0;110;-908.0;-974.0;-953.0;-110;-51
0.0;23;-943.0;-877.0;-876.0;-23;-20
-10.0;22;-971.0;-914.0;-888.0;-22;-22
85.0;-21;-912.0;-869.0;-769.0;21;-22
-14.0;26;-922.0;-943.0;-782.0;-26;-16
79.0;-1;-938.0;-934.0;-871.0;1;-16
69.0;-4;-953.0;-951.0;-884.0;4;-21
70.0;-2;-949.0;-950.0;-884.0;2;-22
-5.0;0;-874.0;-883.0;-951.0;0;-18
-15.0;-9;-950.0;-983.0;-897.0;9;-25
45.0;-16;-950.0;-951.0;-911.0;16;-18
48.0;-4;-945.0;-960.0;-870.0;4;-17
49.0;4;-955.0;-947.0;-913.0;-4;-14
56.0;-2;-947.0;-954.0;-864.0;2;-13
73.0;5;-947.0;-956.0;-869.0;-5;-18
9.0;24;-962.0;-945.0;-924.0;-24;-17
67.0;8;-949.0;-969.0;-861.0;-8;-27
68.0;82;-931.0;-951.0;-811.0;-82;-18
70.0;10;-953.0;-966.0;-865.0;-10;-17
41.0;17;-948.0;-966.0;-857.0;-17;-23
71.0;17;-953.0;-966.0;-855.0;-17;-17
71.0;6;-953.0;-958.0;-868.0;-6;-14
61.0;11;-953.0;-963.0;-863.0;-11;-16
70.0;82;-947.0;-835.0;-736.0;-82;-24
10.0;1;-975.0;-976.0;-802.0;-1;-15
114.0;20;-961.0;-1008.0;-840.0;-20;-25
48.0;27;-961.0;-977.0;-865.0;-27;-20
105.0;82;-1006.0;-1019.0;-840.0;-82;-17
61.0;7;-960.0;-933.0;-828.0;-7;-19
-7.0;35;-960.0;-912.0;-836.0;-35;-18
51.0;-4;-953.0;-945.0;-909.0;4;-17
-143.0;175;-891.0;-979.0;-967.0;-175;61
3.0;-3;-954.0;-943.0;-897.0;3;-21
249.0;67;-641.0;-741.0;-652.0;-67;-31
32.0;10;-878.0;-920.0;-899.0;-10;-15
43.0;16;-938.0;-957.0;-906.0;-16;-19
53.0;-13;-941.0;-953.0;-910.0;13;-18
51.0;-15;-936.0;-954.0;-934.0;15;-21
-50.0;40;-940.0;-933.0;-854.0;-40;-29
61.0;8;-960.0;-962.0;-888.0;-8;-18
52.0;-3;-936.0;-960.0;-909.0;3;-21
72.0;-4;-947.0;-902.0;-863.0;4;-17
62.0;3;-965.0;-913.0;-818.0;-3;-22
111.0;61;-957.0;-905.0;-834.0;-61;-12
47.0;13;-970.0;-895.0;-786.0;-13;-23
-80.0;33;-954.0;-950.0;-803.0;-33;-27
53.0;-4;-939.0;-959.0;-898.0;4;-24
57.0;10;-944.0;-894.0;-867.0;-10;-14
-29.0;-9;-961.0;-911.0;-901.0;9;-19
-5.0;-8;-965.0;-973.0;-890.0;8;-16
-24.0;9;-982.0;-962.0;-870.0;-9;-18
-14.0;47;-925.0;-937.0;-856.0;-47;-25
22.0;23;-939.0;-960.0;-635.0;-23;-26
58.0;5;-961.0;-972.0;-686.0;-5;-19
-2.0;-2;-917.0;-931.0;-901.0;2;-22
-30.0;-11;-957.0;-888.0;-816.0;11;-22
80.0;-19;-904.0;-962.0;-807.0;19;-15
-396.0;181;-753.0;-788.0;-871.0;-181;-9
-62.0;27;-930.0;-918.0;-889.0;-27;-15
-20.0;-10;-953.0;-902.0;-858.0;10;-21
-63.0;-19;-930.0;-917.0;-836.0;19;-20
-40.0;2;-953.0;-912.0;-848.0;-2;-22
56.0;0;-921.0;-963.0;-900.0;0;-15
100.0;45;-921.0;-998.0;-882.0;-45;-10
39.0;3;-942.0;-956.0;-895.0;-3;-21
-2.0;-30;-945.0;-922.0;-895.0;30;-14
-69.0;-12;-970.0;-919.0;-822.0;12;-20
-5.0;36;-953.0;-943.0;-855.0;-36;-22
-28.0;33;-943.0;-937.0;-879.0;-33;-23
-33.0;10;-802.0;-783.0;-1008.0;-10;-18
38.0;-8;-903.0;-932.0;-951.0;8;-22
50.0;152;-797.0;-789.0;-796.0;-152;62
34.0;17;-887.0;-931.0;-879.0;-17;-19
45.0;5;-884.0;-898.0;-888.0;-5;-21
54.0;16;-897.0;-951.0;-890.0;-16;-18
31.0;6;-896.0;-942.0;-878.0;-6;-19
42.0;-19;-961.0;-925.0;-842.0;19;-18
30.0;-15;-903.0;-928.0;-895.0;15;-24
-43.0;18;-923.0;-914.0;-825.0;-18;-18
-13.0;51;-862.0;-966.0;-893.0;-51;-20
33.0;-19;-947.0;-948.0;-910.0;19;-26
-51.0;4;-966.0;-948.0;-760.0;-4;-25
-41.0;6;-955.0;-926.0;-846.0;-6;-19
-2.0;-26;-945.0;-873.0;-837.0;26;-23
114.0;234;-996.0;-1035.0;-603.0;-234;-20
-127.0;-50;-877.0;-998.0;-1013.0;50;-8
-89.0;-3;-964.0;-929.0;-874.0;3;-22
-285.0;-24;-494.0;-603.0;-898.0;24;-21
-145.0;45;-983.0;-905.0;-919.0;-45;-24
86.0;-66;-990.0;-1025.0;-721.0;66;-21
79.0;129;-900.0;-846.0;-942.0;-129;-2
79.0;-19;-955.0;-992.0;-975.0;19;-17
-50.0;-17;-980.0;-1053.0;-783.0;17;-26
-18.0;-22;-959.0;-880.0;-819.0;22;-21
82.0;7;-962.0;-881.0;-843.0;-7;-16
-99.0;-14;-946.0;-941.0;-932.0;14;-17
52.0;58;-957.0;-995.0;-986.0;-58;-15
-74.0;11;-945.0;-938.0;-846.0;-11;-17
-27.0;-11;-963.0;-872.0;-823.0;11;-29
0.0;-8;-957.0;-864.0;-773.0;8;-26
109.0;2107;-935.0;-964.0;-942.0;-2107;-29
-131.0;9;-925.0;-806.0;-750.0;-9;-23
44.0;-4;-956.0;-950.0;-962.0;4;-15
-135.0;-52;-965.0;-727.0;-795.0;52;-15
91.0;267;-1004.0;-1025.0;-952.0;-267;-29
80.0;6744;-870.0;-870.0;-852.0;-6744;-623
80.0;-4;-960.0;-967.0;-938.0;4;-22
60.0;-18;-961.0;-952.0;-756.0;18;-17
-19.0;-2;-952.0;-964.0;-940.0;2;-22
121.0;34;-952.0;-950.0;-863.0;-34;-18
9.0;321;-864.0;-842.0;-871.0;-321;-286
-40.0;58;-966.0;-1008.0;-999.0;-58;-15
49.0;-23;-955.0;-1015.0;-929.0;23;-22
-52.0;28;-975.0;-789.0;-739.0;-28;-26
266.0;110;-805.0;-853.0;-893.0;-110;26
-150.0;0;-910.0;-915.0;-964.0;0;-15
-83.0;-3328;-912.0;-998.0;-853.0;3328;389
0.0;-20;-966.0;-493.0;-459.0;20;-23
81.0;11;-950.0;-959.0;-927.0;-11;-16
-32.0;1;-972.0;-995.0;-985.0;-1;-16
-93.0;291;-699.0;-640.0;-696.0;-291;5
-90.0;0;-963.0;-780.0;-836.0;0;-21
-13.0;-57;-780.0;-920.0;-882.0;57;-17
40.0;10;-953.0;-814.0;-741.0;-10;-27
-70.0;17;-949.0;-901.0;-881.0;-17;-21
68.0;0;-954.0;-961.0;-919.0;0;-17
92.0;40;-918.0;-933.0;-943.0;-40;-6
144.0;-3;-836.0;-975.0;-941.0;3;-16
84.0;-15;-946.0;-955.0;-880.0;15;-18
-51.0;2;-989.0;-1046.0;-976.0;-2;-16
70.0;10;-883.0;-901.0;-867.0;-10;-26
-124.0;-16;-941.0;-880.0;-685.0;16;-21
69.0;9;-908.0;-893.0;-890.0;-9;-19
61.0;10;-954.0;-955.0;-942.0;-10;-20
14.0;-9;-964.0;-980.0;-902.0;9;-24
63.0;592;-922.0;-1000.0;-875.0;-592;-39
57.0;-59;-819.0;-755.0;-800.0;59;-2
74.0;48;-1029.0;-1106.0;-961.0;-48;-15
-170.0;-11;-791.0;-841.0;-807.0;11;-24
76.0;48;-868.0;-909.0;-949.0;-48;-42
32.0;-13;-933.0;-1134.0;-878.0;13;-20
-324.0;17;-202.0;-724.0;-894.0;-17;-18
-3.0;-546;-877.0;-930.0;-918.0;546;-122
123.0;-16;-946.0;-954.0;-878.0;16;-18
0.0;-2;-954.0;-889.0;-971.0;2;-24
-16.0;28;-949.0;-957.0;-965.0;-28;-17
161.0;-22;-985.0;-968.0;-547.0;22;-21
11.0;-23;-947.0;-874.0;-883.0;23;-19
91.0;40;-954.0;-966.0;-934.0;-40;-26
-120.0;-4;-929.0;-880.0;-872.0;4;-23
-24.0;21;-1052.0;-963.0;-983.0;-21;-16
-21.0;-9;-990.0;-940.0;-839.0;9;-23
141.0;-27;-975.0;-993.0;-865.0;27;-24
73.0;-29;-950.0;-954.0;-878.0;29;-15
-6.0;-5;-995.0;-966.0;-911.0;5;-31
249.0;20;-971.0;-993.0;-964.0;-20;-20
-94.0;-24;-924.0;-851.0;-881.0;24;-22
-65.0;36;-1031.0;-1013.0;-809.0;-36;-39
171.0;-9;-1052.0;-992.0;-1059.0;9;8
85.0;37;-964.0;-998.0;-989.0;-37;-19
71.0;7;-954.0;-951.0;-912.0;-7;-13
93.0;18;-1086.0;-1255.0;-879.0;-18;5
59.0;-2;-961.0;-940.0;-921.0;2;-23
-55.0;23;-945.0;-857.0;-871.0;-23;-17
140.0;-9;-980.0;-968.0;-604.0;9;-17
106.0;-2;-983.0;-961.0;-397.0;2;-21
28.0;-9;-960.0;-973.0;-954.0;9;-18
70.0;-212;-967.0;-973.0;-886.0;212;-11
220.0;3;-971.0;-996.0;-855.0;-3;-16
-92.0;8;-958.0;-956.0;-949.0;-8;-22
63.0;84;-1317.0;-1312.0;-1324.0;-84;2
173.0;-72;-957.0;-968.0;-960.0;72;-2
180.0;135;-1022.0;-987.0;-921.0;-135;-23
-81.0;36;-955.0;-938.0;-1015.0;-36;-45
-108.0;13;-974.0;-928.0;-850.0;-13;-20
-158.0;-7;-933.0;-815.0;-851.0;7;-23
-45.0;-81;-928.0;-891.0;-939.0;81;-21
963.0;69;-398.0;-121.0;-194.0;-69;13
-14.0;9;-934.0;-591.0;-933.0;-9;-23
-112.0;-52;-956.0;-922.0;-752.0;52;-18
-121.0;-6;-947.0;-860.0;-808.0;6;-15
-35.0;-5171;-1098.0;-1071.0;-1031.0;5171;-109
-126.0;0;-916.0;-720.0;-911.0;0;-18
-69.0;11;-964.0;-882.0;-846.0;-11;-19
157.0;31;-856.0;-962.0;-943.0;-31;-7
-144.0;-877;-868.0;-975.0;-982.0;877;119
34.0;-7;-953.0;-726.0;-629.0;7;-25
-77.0;-10;-956.0;-856.0;-809.0;10;-23
-161.0;29;-902.0;-922.0;-915.0;-29;-23
-53.0;-7;-981.0;-957.0;-720.0;7;-19
-140.0;29;-923.0;-890.0;-748.0;-29;-22
100.0;-23;-917.0;-905.0;-950.0;23;-20
-48.0;-25;-1108.0;-1200.0;-1072.0;25;0
-79.0;-5;-946.0;-898.0;-868.0;5;-20
96.0;-30;-1034.0;-962.0;-883.0;30;-5
132.0;7;-961.0;-673.0;-726.0;-7;-18
80.0;-38;-932.0;-861.0;-822.0;38;-41
-103.0;-18;-945.0;-840.0;-765.0;18;-18
70.0;37;-965.0;-963.0;-895.0;-37;-21
101.0;-5;-950.0;-949.0;-935.0;5;-20
263.0;60;-893.0;-920.0;-845.0;-60;-17
-18.0;-9;-954.0;-860.0;-743.0;9;-25
-169.0;2;-852.0;-998.0;-962.0;-2;-25
49.0;20;-969.0;-950.0;-545.0;-20;-17
-23.0;-6;-960.0;-956.0;-536.0;6;-22
83.0;-6;-941.0;-952.0;-920.0;6;-25
102.0;-15;-957.0;-826.0;-513.0;15;-18
19.0;7;-942.0;-815.0;-676.0;-7;-22
-62.0;-19;-970.0;-919.0;-771.0;19;-19
69.0;-1;-968.0;-909.0;-828.0;1;-18
65.0;-18;-969.0;-974.0;-941.0;18;-15
-92.0;-34;-953.0;-980.0;-844.0;34;-23
-123.0;7;-951.0;-944.0;-917.0;-7;-13
82.0;7;-895.0;-901.0;-937.0;-7;-17
33.0;12;-960.0;-976.0;-950.0;-12;-27
132.0;-26;-993.0;-925.0;-825.0;26;-23
85.0;-23;-949.0;-945.0;-921.0;23;-21
92.0;-1;-963.0;-928.0;-857.0;1;-16
27.0;-91;-1043.0;-1139.0;-978.0;91;-2
-69.0;-27;-964.0;-989.0;-974.0;27;-15
6.0;-30;-1056.0;-980.0;-1064.0;30;-19
18.0;-30;-948.0;-776.0;-1007.0;30;-13
-170.0;9;-1109.0;-1030.0;-1112.0;-9;-28
40.0;12;-951.0;-990.0;-976.0;-12;-18
76.0;7;-999.0;-992.0;-749.0;-7;-23
140.0;265;-1191.0;-1219.0;-1059.0;-265;38
-64.0;14;-963.0;-1033.0;-883.0;-14;-19
118.0;-38;-876.0;-1014.0;-939.0;38;-13
-163.0;-2;-778.0;-910.0;-938.0;2;-19
35.0;9;-945.0;-969.0;-933.0;-9;-20
-79.0;11;-713.0;-961.0;-920.0;-11;-21
-28.0;-27;-973.0;-997.0;-983.0;27;-17
-53.0;-11;-965.0;-888.0;-888.0;11;-30
-132.0;27;-938.0;-867.0;-874.0;-27;-26
-171.0;-7;-945.0;-928.0;-762.0;7;-22
-128.0;19;-910.0;-994.0;-802.0;-19;-22
-75.0;4;-786.0;-1030.0;-827.0;-4;-27
35.0;-43;-1079.0;-1051.0;-870.0;43;-17
137.0;-82;-969.0;-973.0;-777.0;82;-8
217.0;125;-955.0;-921.0;-828.0;-125;-24
87.0;-24;-955.0;-914.0;-850.0;24;-16
243.0;-3;-931.0;-1001.0;-774.0;3;-23
138.0;36;-996.0;-951.0;-786.0;-36;-20
239.0;8;-965.0;-910.0;-833.0;-8;-17
-6.0;15;-971.0;-1001.0;-979.0;-15;-20
173.0;3798;-880.0;-874.0;-938.0;-3798;-162
81.0;14;-936.0;-959.0;-916.0;-14;-20
113.0;18;-945.0;-899.0;-953.0;-18;-20
-103.0;0;-970.0;-970.0;-783.0;0;-21
63.0;-12;-959.0;-890.0;-864.0;12;-25
-55.0;13;-964.0;-953.0;-967.0;-13;-21
85.0;-10;-970.0;-1021.0;-961.0;10;-18
40.0;0;-918.0;-555.0;-819.0;0;-16
190.0;-17;-958.0;-983.0;-972.0;17;-19
-211.0;-5;-880.0;-890.0;-1001.0;5;-18
-22.0;-8;-982.0;-902.0;-423.0;8;-19
60.0;35;-985.0;-1008.0;-697.0;-35;-21
56.0;61;-1064.0;-968.0;-1066.0;-61;-2
-109.0;-8;-836.0;-874.0;-999.0;8;-14
-250.0;-372;-839.0;-834.0;-1007.0;372;-42
-78.0;-1830;-875.0;-915.0;-974.0;1830;171
184.0;23;-951.0;-978.0;-964.0;-23;-23
101.0;13;-950.0;-947.0;-955.0;-13;-15
-117.0;-19;-704.0;-1098.0;-925.0;19;-23
23.0;-26;-866.0;-937.0;-1044.0;26;-20
8.0;-4;-959.0;-1003.0;-994.0;4;-20
210.0;-49;-955.0;-897.0;-817.0;49;-10
-111.0;-91;-968.0;-1020.0;-801.0;91;-15
100.0;-21;-960.0;-950.0;-961.0;21;-25
124.0;24;-968.0;-1006.0;-987.0;-24;-19
253.0;-18;-968.0;-990.0;-961.0;18;-22
40.0;-30;-968.0;-1002.0;-985.0;30;-20
57.0;1204;-998.0;-999.0;-935.0;-1204;-44
52.0;9;-997.0;-1009.0;-992.0;-9;-17
273.0;1;-968.0;-993.0;-963.0;-1;-20
-9.0;0;-957.0;-976.0;-628.0;0;-19
-45.0;15;-969.0;-997.0;-986.0;-15;-20
-104.0;-129;-819.0;-782.0;-1019.0;129;-21
-187.0;-27;-940.0;-935.0;-897.0;27;-27
-61.0;-2;-961.0;-700.0;-654.0;2;-21
31.0;0;-952.0;-976.0;-1009.0;0;-19
88.0;8;-967.0;-995.0;-989.0;-8;-16
