Accelerometer RUA^ accY;Accelerometer RKN_ accZ;Accelerometer RUA_ accY;Accelerometer LUA^ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit BACK magneticY
1038.0;-182.0;-187.0;921.0;-182.0;125.0;131.0;72.0;-154;-645.0;317.0;-163.0;214.0
984.0;2.0;847.0;889.0;891.0;-811.0;-115.0;289.0;-81;-95.0;670.0;503.0;-315.0
466.0;36.0;276.0;969.0;375.0;299.0;-138.0;-50.0;-160;-718.0;-32.0;-709.0;255.0
621.0;29.0;42.0;961.0;106.0;261.0;-133.0;-55.0;-159;-620.0;-29.0;-709.0;242.0
909.0;-106.0;851.0;998.0;830.0;-800.0;-103.0;204.0;83;-346.0;475.0;264.0;-196.0
980.0;-148.0;912.0;965.0;914.0;-843.0;-69.0;195.0;84;-284.0;473.0;259.0;-162.0
971.0;-138.0;883.0;974.0;923.0;-718.0;-66.0;189.0;83;-314.0;477.0;261.0;-163.0
996.0;-59.0;977.0;946.0;882.0;-848.0;-64.0;186.0;83;-374.0;480.0;255.0;-157.0
1160.0;-250.0;969.0;1043.0;815.0;-805.0;-60.0;178.0;83;-360.0;465.0;241.0;-141.0
918.0;-109.0;830.0;886.0;807.0;-1029.0;-53.0;198.0;78;-512.0;410.0;222.0;-125.0
990.0;-21.0;902.0;1047.0;969.0;-883.0;-103.0;201.0;83;-238.0;481.0;272.0;-200.0
910.0;-88.0;879.0;937.0;971.0;-799.0;-68.0;208.0;78;-290.0;483.0;294.0;-156.0
849.0;19.0;680.0;877.0;707.0;-703.0;-257.0;409.0;-85;-109.0;698.0;646.0;-485.0
952.0;20.0;894.0;977.0;903.0;-1005.0;-66.0;229.0;76;-371.0;512.0;340.0;-170.0
1007.0;-64.0;927.0;1044.0;877.0;-783.0;-98.0;197.0;83;-366.0;492.0;280.0;-192.0
1026.0;-141.0;920.0;991.0;886.0;-936.0;-39.0;198.0;83;-284.0;428.0;172.0;-103.0
1060.0;-117.0;952.0;1016.0;957.0;-857.0;-31.0;192.0;83;-315.0;409.0;155.0;-90.0
1010.0;-168.0;951.0;987.0;960.0;-893.0;-31.0;185.0;83;-354.0;402.0;144.0;-87.0
1067.0;-178.0;963.0;1014.0;951.0;-863.0;-34.0;185.0;83;-311.0;402.0;145.0;-82.0
1063.0;-154.0;971.0;1013.0;952.0;-872.0;-35.0;186.0;83;-325.0;405.0;149.0;-85.0
1067.0;-160.0;960.0;1000.0;951.0;-874.0;-39.0;188.0;83;-334.0;408.0;159.0;-92.0
796.0;22.0;-62.0;903.0;36.0;336.0;-146.0;-57.0;-157;-569.0;-352.0;-566.0;268.0
1035.0;-168.0;961.0;996.0;941.0;-871.0;-41.0;189.0;83;-312.0;409.0;162.0;-93.0
291.0;-137.0;-530.0;1026.0;-666.0;535.0;-695.0;556.0;73;-488.0;-652.0;-812.0;284.0
786.0;37.0;-102.0;868.0;-140.0;291.0;-140.0;-60.0;-157;-593.0;-323.0;-552.0;256.0
745.0;30.0;-125.0;853.0;104.0;77.0;-134.0;-68.0;-157;-510.0;-318.0;-505.0;226.0
760.0;27.0;-113.0;858.0;-19.0;293.0;-145.0;-58.0;-157;-167.0;-282.0;-520.0;267.0
1023.0;-197.0;952.0;984.0;933.0;-896.0;-44.0;193.0;83;-313.0;412.0;167.0;-98.0
1039.0;-161.0;960.0;1005.0;960.0;-891.0;-55.0;205.0;83;-298.0;425.0;187.0;-115.0
1032.0;-184.0;950.0;999.0;915.0;-897.0;-56.0;207.0;83;-323.0;430.0;195.0;-121.0
889.0;15.0;-179.0;882.0;5.0;125.0;-134.0;-66.0;-157;-980.0;-298.0;-528.0;218.0
1021.0;-173.0;961.0;999.0;954.0;-886.0;-59.0;207.0;83;-317.0;429.0;199.0;-120.0
753.0;21.0;39.0;865.0;420.0;427.0;-142.0;-59.0;-157;-607.0;-122.0;-673.0;262.0
696.0;43.0;46.0;854.0;356.0;359.0;-143.0;-58.0;-157;-604.0;-107.0;-673.0;264.0
742.0;47.0;26.0;863.0;382.0;358.0;-143.0;-58.0;-157;-590.0;-85.0;-674.0;262.0
1030.0;-142.0;967.0;979.0;946.0;-888.0;-59.0;211.0;83;-304.0;433.0;203.0;-122.0
1050.0;-151.0;955.0;985.0;941.0;-886.0;-54.0;210.0;83;-284.0;427.0;198.0;-113.0
1029.0;-142.0;969.0;1005.0;943.0;-891.0;-53.0;209.0;83;-311.0;425.0;195.0;-115.0
1026.0;-171.0;945.0;1016.0;930.0;-897.0;-50.0;206.0;83;-322.0;424.0;195.0;-108.0
1017.0;-172.0;950.0;1016.0;920.0;-895.0;-50.0;205.0;83;-291.0;423.0;195.0;-110.0
1025.0;-163.0;951.0;1008.0;961.0;-891.0;-50.0;205.0;83;-304.0;423.0;195.0;-110.0
1018.0;-166.0;962.0;1005.0;951.0;-886.0;-47.0;203.0;83;-316.0;414.0;174.0;-104.0
1038.0;-149.0;952.0;1016.0;938.0;-894.0;-47.0;202.0;83;-298.0;412.0;174.0;-103.0
1025.0;-168.0;969.0;997.0;930.0;-892.0;-47.0;202.0;83;-284.0;411.0;174.0;-102.0
998.0;8.0;419.0;977.0;352.0;16.0;-76.0;-81.0;-157;-1103.0;-28.0;-746.0;103.0
1050.0;-171.0;967.0;991.0;960.0;-891.0;-47.0;203.0;83;-284.0;413.0;176.0;-104.0
562.0;20.0;280.0;997.0;-27.0;-6.0;-73.0;-79.0;-157;-962.0;-26.0;-751.0;89.0
599.0;30.0;243.0;987.0;-103.0;-28.0;-74.0;-75.0;-157;-894.0;-28.0;-749.0;93.0
652.0;25.0;218.0;997.0;-148.0;-12.0;-80.0;-63.0;-157;-1049.0;-32.0;-746.0;114.0
1022.0;-156.0;957.0;1024.0;933.0;-898.0;-45.0;205.0;83;-297.0;413.0;179.0;-100.0
630.0;14.0;183.0;991.0;-165.0;111.0;-99.0;-41.0;-157;-946.0;-55.0;-729.0;192.0
1045.0;-170.0;976.0;995.0;965.0;-896.0;-45.0;204.0;83;-303.0;412.0;180.0;-99.0
1039.0;-154.0;971.0;995.0;991.0;-888.0;-44.0;204.0;83;-314.0;412.0;180.0;-100.0
1037.0;-148.0;960.0;1006.0;962.0;-888.0;-43.0;204.0;83;-305.0;410.0;176.0;-100.0
711.0;9.0;244.0;1012.0;-188.0;-222.0;-104.0;-50.0;-157;-957.0;-41.0;-710.0;177.0
1020.0;-163.0;966.0;1000.0;954.0;-894.0;-40.0;204.0;83;-328.0;407.0;170.0;-91.0
1030.0;-167.0;978.0;1000.0;942.0;-896.0;-41.0;204.0;83;-314.0;406.0;171.0;-93.0
1028.0;-186.0;961.0;999.0;935.0;-906.0;-42.0;202.0;83;-312.0;406.0;173.0;-97.0
1040.0;-188.0;964.0;987.0;950.0;-894.0;-44.0;201.0;83;-315.0;410.0;177.0;-99.0
1014.0;-155.0;961.0;995.0;946.0;-894.0;-46.0;204.0;83;-328.0;412.0;181.0;-100.0
1022.0;-151.0;972.0;1015.0;948.0;-898.0;-46.0;204.0;83;-296.0;412.0;181.0;-100.0
1029.0;-163.0;961.0;986.0;944.0;-898.0;-48.0;205.0;83;-283.0;414.0;185.0;-102.0
1028.0;-150.0;971.0;1003.0;977.0;-900.0;-47.0;205.0;83;-322.0;414.0;187.0;-101.0
1049.0;-150.0;971.0;1007.0;956.0;-900.0;-47.0;206.0;83;-298.0;414.0;184.0;-105.0
1040.0;-149.0;982.0;1015.0;954.0;-905.0;-47.0;206.0;83;-302.0;415.0;183.0;-100.0
1013.0;-126.0;953.0;987.0;953.0;-886.0;-34.0;194.0;83;-342.0;400.0;159.0;-88.0
883.0;30.0;-213.0;876.0;-261.0;321.0;-142.0;-60.0;-157;-583.0;-350.0;-568.0;257.0
808.0;20.0;-24.0;811.0;-245.0;636.0;-124.0;-95.0;-157;-707.0;-180.0;-549.0;252.0
1028.0;-121.0;962.0;967.0;979.0;-904.0;-34.0;193.0;83;-348.0;400.0;158.0;-83.0
1030.0;-104.0;976.0;971.0;948.0;-905.0;-33.0;192.0;83;-357.0;398.0;155.0;-83.0
1020.0;-83.0;961.0;985.0;947.0;-884.0;-32.0;193.0;83;-292.0;393.0;150.0;-78.0
1027.0;-142.0;949.0;996.0;959.0;-896.0;-30.0;192.0;83;-290.0;392.0;151.0;-79.0
1044.0;-135.0;977.0;1016.0;965.0;-893.0;-29.0;190.0;83;-288.0;389.0;151.0;-72.0
1118.0;-463.0;1283.0;1232.0;1368.0;-1116.0;-306.0;419.0;160;-546.0;198.0;40.0;-19.0
1034.0;-95.0;982.0;1001.0;977.0;-914.0;-29.0;199.0;83;-279.0;395.0;152.0;-75.0
1034.0;-109.0;943.0;1002.0;942.0;-912.0;-27.0;197.0;83;-290.0;398.0;158.0;-75.0
1013.0;-153.0;962.0;990.0;984.0;-894.0;-24.0;188.0;83;-385.0;391.0;147.0;-65.0
1040.0;-119.0;941.0;987.0;910.0;-886.0;-21.0;184.0;83;-387.0;382.0;134.0;-61.0
877.0;18.0;-191.0;881.0;-131.0;64.0;-117.0;-74.0;-157;-795.0;-261.0;-519.0;202.0
