InertialMeasurementUnit LUA accY;InertialMeasurementUnit LLA Quaternion2;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit RUA accY;Accelerometer LUA^ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accX;Accelerometer RUA^ accZ
425.0;172.0;762.0;675.0;33.0;-99.0;688.0;-885.0;227.0
-191.0;-16.0;805.0;942.0;-35.0;22.0;886.0;-462.0;4.0
9.0;-167.0;697.0;813.0;191.0;136.0;660.0;-518.0;78.0
-2.0;-246.0;897.0;1001.0;40.0;150.0;907.0;-573.0;-71.0
234.0;169.0;792.0;870.0;67.0;-51.0;846.0;-834.0;197.0
246.0;172.0;803.0;882.0;39.0;2.0;873.0;-844.0;180.0
132.0;548.0;735.0;720.0;-479.0;221.0;605.0;-748.0;-154.0
-133.0;-89.0;650.0;828.0;23.0;352.0;788.0;-586.0;-67.0
454.0;115.0;672.0;837.0;-161.0;40.0;737.0;-1026.0;179.0
-143.0;220.0;854.0;780.0;117.0;58.0;656.0;-701.0;72.0
67.0;213.0;672.0;823.0;-118.0;3.0;727.0;-850.0;176.0
-3.0;-44.0;672.0;785.0;-111.0;61.0;671.0;-571.0;101.0
-48.0;105.0;505.0;620.0;-304.0;114.0;536.0;-785.0;-37.0
49.0;-10.0;608.0;778.0;-265.0;107.0;586.0;-737.0;190.0
198.0;202.0;867.0;926.0;-90.0;-83.0;935.0;-728.0;236.0
232.0;599.0;1013.0;1108.0;-195.0;-224.0;1055.0;-843.0;-54.0
-35.0;46.0;653.0;758.0;-65.0;133.0;717.0;-466.0;143.0
248.0;216.0;871.0;916.0;-27.0;-50.0;890.0;-787.0;69.0
-458.0;-133.0;-182.0;579.0;436.0;532.0;-195.0;307.0;541.0
-15.0;96.0;708.0;864.0;66.0;128.0;517.0;-584.0;245.0
56.0;85.0;769.0;620.0;26.0;-37.0;661.0;-757.0;297.0
73.0;339.0;938.0;510.0;-227.0;24.0;872.0;-907.0;57.0
103.0;82.0;810.0;710.0;0.0;-38.0;725.0;-867.0;27.0
-252.0;-187.0;591.0;637.0;-178.0;174.0;558.0;-444.0;-200.0
72.0;125.0;960.0;697.0;39.0;-65.0;843.0;-802.0;-40.0
152.0;215.0;761.0;767.0;-26.0;33.0;753.0;-606.0;55.0
83.0;212.0;715.0;747.0;-26.0;59.0;728.0;-516.0;138.0
18.0;204.0;798.0;781.0;-128.0;40.0;791.0;-570.0;138.0
91.0;359.0;826.0;579.0;183.0;-184.0;674.0;-334.0;-61.0
27.0;314.0;958.0;731.0;29.0;-167.0;802.0;-408.0;138.0
-416.0;518.0;973.0;985.0;-4.0;-57.0;1044.0;-266.0;-20.0
76.0;317.0;858.0;736.0;-124.0;-105.0;750.0;-750.0;183.0
158.0;43.0;505.0;578.0;-37.0;170.0;440.0;-622.0;165.0
285.0;104.0;785.0;731.0;-72.0;-232.0;500.0;-601.0;35.0
171.0;-118.0;731.0;740.0;128.0;198.0;714.0;-701.0;-4.0
326.0;501.0;346.0;701.0;-123.0;173.0;366.0;-1185.0;535.0
331.0;372.0;447.0;412.0;-327.0;101.0;564.0;-494.0;-174.0
58.0;399.0;733.0;897.0;-114.0;178.0;793.0;-843.0;72.0
-212.0;-125.0;634.0;883.0;-245.0;182.0;547.0;-397.0;12.0
237.0;336.0;629.0;624.0;203.0;176.0;567.0;-610.0;478.0
-345.0;215.0;644.0;541.0;-286.0;369.0;804.0;-632.0;-68.0
383.0;-51.0;460.0;576.0;30.0;173.0;415.0;-1190.0;184.0
-76.0;298.0;782.0;644.0;-286.0;123.0;887.0;-774.0;-175.0
178.0;557.0;653.0;734.0;240.0;-102.0;615.0;-611.0;334.0
136.0;334.0;838.0;892.0;98.0;-40.0;691.0;-777.0;177.0
-327.0;125.0;956.0;1086.0;43.0;-30.0;819.0;-387.0;103.0
262.0;-872.0;742.0;409.0;47.0;-72.0;457.0;-582.0;207.0
34.0;289.0;594.0;564.0;-269.0;161.0;776.0;-630.0;-122.0
-188.0;79.0;706.0;933.0;-90.0;162.0;851.0;-523.0;103.0
358.0;498.0;711.0;753.0;-104.0;-269.0;696.0;-879.0;23.0
250.0;606.0;626.0;684.0;-62.0;-214.0;614.0;-654.0;127.0
193.0;372.0;729.0;702.0;48.0;11.0;718.0;-804.0;377.0
125.0;-14.0;885.0;964.0;-53.0;-73.0;943.0;-905.0;85.0
127.0;53.0;530.0;866.0;106.0;254.0;596.0;-719.0;153.0
229.0;316.0;811.0;890.0;193.0;-194.0;819.0;-794.0;309.0
183.0;-20.0;902.0;1004.0;11.0;-77.0;947.0;-958.0;138.0
-90.0;503.0;643.0;604.0;-271.0;203.0;619.0;-664.0;-189.0
356.0;347.0;893.0;414.0;-20.0;-74.0;765.0;-663.0;50.0
54.0;26.0;835.0;941.0;251.0;3.0;832.0;-472.0;77.0
103.0;17.0;804.0;829.0;247.0;69.0;796.0;-576.0;84.0
204.0;40.0;884.0;793.0;-53.0;-45.0;963.0;-921.0;79.0
135.0;-44.0;852.0;978.0;-80.0;-38.0;877.0;-848.0;85.0
54.0;-114.0;936.0;1015.0;-119.0;-89.0;963.0;-900.0;3.0
204.0;11.0;752.0;727.0;53.0;132.0;680.0;-804.0;18.0
64.0;-37.0;856.0;953.0;-71.0;-117.0;887.0;-866.0;86.0
10.0;61.0;647.0;898.0;-182.0;181.0;635.0;-708.0;92.0
208.0;-89.0;756.0;885.0;75.0;-88.0;770.0;-819.0;216.0
167.0;324.0;835.0;638.0;272.0;0.0;774.0;-546.0;356.0
-7.0;298.0;774.0;878.0;-30.0;35.0;773.0;-731.0;3.0
190.0;264.0;830.0;642.0;124.0;14.0;778.0;-582.0;172.0
149.0;86.0;753.0;798.0;54.0;-90.0;852.0;-798.0;51.0
168.0;-147.0;658.0;781.0;35.0;-60.0;631.0;-829.0;193.0
