InertialMeasurementUnit LLA accZ;Accelerometer LWR accX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer LUA_ accZ;Accelerometer LH accZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Compass;Accelerometer RUA_ accX
186.0;-140.0;-179.0;458.0;765.0;332.0;106.0;-299.0;8;-32;314.0
226.0;-57.0;-232.0;92.0;987.0;494.0;-3.0;-327.0;-3;-115;333.0
256.0;-68.0;-215.0;81.0;943.0;445.0;62.0;-382.0;-3;-115;211.0
259.0;41.0;-250.0;37.0;921.0;496.0;-96.0;-379.0;-3;-115;214.0
223.0;-1.0;-412.0;356.0;682.0;390.0;-157.0;-606.0;57;-16;234.0
263.0;18.0;-216.0;90.0;936.0;476.0;-39.0;-381.0;-3;-115;252.0
193.0;-17.0;-200.0;84.0;932.0;522.0;-53.0;-360.0;-3;-115;254.0
195.0;-39.0;-224.0;81.0;942.0;465.0;-11.0;-351.0;-3;-115;249.0
155.0;-14.0;-207.0;18.0;1019.0;429.0;23.0;-254.0;8;-144;212.0
275.0;-8.0;-237.0;86.0;932.0;451.0;-34.0;-381.0;-3;-115;242.0
166.0;-66.0;-190.0;87.0;947.0;464.0;-30.0;-380.0;-3;-115;244.0
265.0;30.0;-253.0;59.0;940.0;563.0;-386.0;-331.0;-2;-74;409.0
174.0;-61.0;-208.0;95.0;936.0;436.0;-21.0;-374.0;-3;-115;234.0
137.0;-74.0;-236.0;-55.0;1050.0;427.0;83.0;-481.0;14;-5;206.0
247.0;-57.0;-157.0;65.0;945.0;428.0;-22.0;-368.0;-3;-115;131.0
230.0;-7.0;-196.0;94.0;921.0;462.0;-59.0;-398.0;-3;-115;388.0
196.0;-23.0;-227.0;160.0;955.0;329.0;-33.0;-369.0;8;-44;143.0
223.0;40.0;-189.0;128.0;909.0;444.0;-71.0;-427.0;-3;-116;317.0
104.0;-151.0;-335.0;91.0;914.0;441.0;-129.0;-417.0;-2;-74;546.0
321.0;12.0;-247.0;142.0;839.0;462.0;-113.0;-471.0;-145;-164;136.0
119.0;-117.0;-284.0;51.0;938.0;317.0;142.0;-388.0;8;-154;95.0
156.0;-58.0;-272.0;93.0;874.0;330.0;71.0;-437.0;9;-139;253.0
213.0;-41.0;-179.0;84.0;936.0;411.0;72.0;-357.0;4;127;159.0
231.0;-15.0;-245.0;156.0;884.0;451.0;-29.0;-466.0;-3;-116;329.0
230.0;-48.0;-236.0;151.0;905.0;471.0;-3.0;-467.0;-3;-115;344.0
66.0;-38.0;-305.0;278.0;800.0;488.0;-196.0;-522.0;-28;-100;426.0
350.0;69.0;-303.0;223.0;877.0;468.0;-165.0;-492.0;5;-89;327.0
207.0;-76.0;-202.0;81.0;972.0;424.0;-75.0;-362.0;-3;-115;169.0
148.0;-93.0;-128.0;54.0;962.0;358.0;116.0;-303.0;0;-130;173.0
164.0;-80.0;-116.0;-3.0;963.0;373.0;91.0;-270.0;1;-129;208.0
152.0;-84.0;-55.0;-95.0;1000.0;327.0;80.0;-195.0;73;174;216.0
158.0;-63.0;-320.0;32.0;932.0;390.0;-50.0;-381.0;9;-19;183.0
238.0;-25.0;-230.0;174.0;866.0;456.0;12.0;-487.0;-3;-116;444.0
248.0;-58.0;-245.0;107.0;900.0;483.0;39.0;-458.0;-3;-116;310.0
205.0;30.0;-179.0;124.0;875.0;423.0;-100.0;-394.0;2;-72;300.0
167.0;-72.0;-186.0;173.0;915.0;366.0;-103.0;-331.0;79;-12;248.0
433.0;171.0;-491.0;673.0;332.0;537.0;-511.0;-871.0;65;23;439.0
282.0;-68.0;-189.0;45.0;963.0;448.0;-69.0;-399.0;-3;-115;238.0
243.0;-55.0;-257.0;141.0;914.0;473.0;11.0;-428.0;-4;-115;340.0
214.0;-237.0;-265.0;125.0;901.0;468.0;273.0;-385.0;-4;-115;343.0
96.0;-138.0;-385.0;54.0;1006.0;339.0;127.0;-498.0;5;-45;43.0
111.0;-157.0;-286.0;199.0;851.0;348.0;34.0;-538.0;8;-24;93.0
-92.0;-270.0;-243.0;126.0;922.0;491.0;168.0;-411.0;-1;-75;782.0
212.0;-39.0;-148.0;184.0;753.0;342.0;50.0;-238.0;7;-5;175.0
227.0;-46.0;-262.0;109.0;899.0;498.0;45.0;-455.0;-3;-116;418.0
335.0;68.0;-131.0;111.0;974.0;576.0;-78.0;-279.0;-2;-71;291.0
385.0;408.0;-154.0;66.0;976.0;548.0;-238.0;-235.0;-2;-71;3.0
155.0;-110.0;-99.0;5.0;977.0;298.0;41.0;-331.0;74;174;158.0
516.0;438.0;-156.0;-51.0;907.0;730.0;-666.0;-433.0;-1;-76;610.0
226.0;1.0;-226.0;-8.0;833.0;467.0;-107.0;-733.0;3;-66;469.0
223.0;-10.0;-345.0;198.0;889.0;335.0;-20.0;-455.0;4;-11;227.0
198.0;-102.0;-605.0;82.0;907.0;457.0;35.0;-841.0;3;-11;216.0
228.0;-16.0;-332.0;246.0;801.0;504.0;-49.0;-570.0;-3;-116;546.0
190.0;-44.0;-264.0;34.0;871.0;513.0;107.0;-316.0;8;-7;205.0
324.0;61.0;-178.0;23.0;837.0;424.0;-212.0;-321.0;4;-32;229.0
177.0;-64.0;-96.0;-61.0;941.0;483.0;104.0;-618.0;91;38;370.0
302.0;86.0;-344.0;205.0;893.0;480.0;-42.0;-577.0;148;33;95.0
189.0;-125.0;-247.0;203.0;979.0;347.0;97.0;-477.0;8;-22;59.0
207.0;-32.0;-195.0;71.0;946.0;484.0;-166.0;-339.0;-3;-115;194.0
37.0;-206.0;-160.0;126.0;873.0;212.0;81.0;-471.0;96;174;15.0
133.0;-348.0;-429.0;189.0;896.0;343.0;226.0;-470.0;10;-19;371.0
324.0;101.0;-423.0;328.0;698.0;407.0;-197.0;-632.0;53;-15;344.0
323.0;-144.0;-130.0;-90.0;1052.0;485.0;-84.0;-429.0;-22;-47;254.0
275.0;94.0;-112.0;122.0;1022.0;620.0;199.0;-619.0;14;-17;309.0
103.0;-174.0;-296.0;95.0;941.0;481.0;-106.0;-386.0;-2;-74;275.0
-118.0;-410.0;-68.0;-25.0;920.0;244.0;412.0;-300.0;1;-5;212.0
142.0;-24.0;-229.0;47.0;966.0;480.0;-121.0;-314.0;-4;-78;651.0
191.0;-69.0;-139.0;113.0;894.0;412.0;-68.0;-436.0;5;-29;102.0
109.0;-126.0;-185.0;268.0;902.0;341.0;-27.0;-379.0;87;-11;425.0
170.0;-142.0;-201.0;-25.0;869.0;428.0;-72.0;-253.0;5;-17;-30.0
204.0;-111.0;-257.0;128.0;796.0;413.0;-76.0;-602.0;67;33;667.0
239.0;-23.0;-249.0;202.0;843.0;472.0;-61.0;-517.0;-3;-116;791.0
285.0;-95.0;-310.0;2.0;962.0;435.0;124.0;-330.0;-2;-75;230.0
221.0;3.0;-370.0;26.0;1126.0;437.0;-36.0;-560.0;-11;-49;223.0
-143.0;-32.0;-264.0;35.0;923.0;315.0;172.0;-351.0;-41;-167;110.0
162.0;-64.0;-14.0;-59.0;1013.0;379.0;4.0;-389.0;-25;-54;277.0
119.0;-170.0;-310.0;194.0;815.0;311.0;94.0;-498.0;-5;-73;-238.0
97.0;-113.0;-344.0;221.0;868.0;293.0;143.0;-594.0;-4;-138;439.0
163.0;-74.0;-343.0;288.0;731.0;356.0;53.0;-613.0;-1;-138;815.0
154.0;-98.0;-137.0;68.0;944.0;348.0;112.0;-334.0;0;-129;175.0
227.0;113.0;-154.0;104.0;975.0;596.0;-128.0;-280.0;-2;-71;291.0
-348.0;-587.0;-370.0;382.0;737.0;336.0;524.0;-664.0;8;-16;676.0
276.0;134.0;-265.0;133.0;971.0;458.0;-476.0;-282.0;-4;-76;542.0
393.0;204.0;-148.0;137.0;966.0;618.0;-553.0;-319.0;-5;-73;397.0
496.0;366.0;-133.0;-112.0;923.0;669.0;-681.0;-413.0;-1;-75;72.0
23.0;-325.0;-404.0;415.0;726.0;247.0;86.0;-673.0;21;-1;188.0
303.0;50.0;-243.0;121.0;924.0;451.0;-4.0;-428.0;28;-20;531.0
227.0;-63.0;-356.0;306.0;950.0;623.0;114.0;-343.0;-4;-78;213.0
264.0;-63.0;-128.0;14.0;1000.0;534.0;-21.0;-271.0;16;-128;434.0
197.0;-104.0;-86.0;82.0;764.0;287.0;53.0;-177.0;15;-99;122.0
-170.0;-486.0;-593.0;695.0;396.0;239.0;478.0;-928.0;-5;-124;357.0
144.0;-71.0;-294.0;27.0;941.0;373.0;95.0;-357.0;2;-144;110.0
169.0;-66.0;-296.0;15.0;976.0;340.0;88.0;-326.0;7;-144;184.0
-630.0;-768.0;-214.0;292.0;848.0;211.0;793.0;-540.0;20;3;638.0
337.0;156.0;-157.0;87.0;998.0;536.0;-521.0;-201.0;-5;-74;-49.0
94.0;-94.0;-440.0;294.0;924.0;475.0;-28.0;-428.0;-4;-78;29.0
550.0;183.0;-185.0;111.0;945.0;649.0;-306.0;-297.0;-2;-71;337.0
240.0;10.0;-255.0;120.0;860.0;418.0;-159.0;-369.0;1;-69;-142.0
183.0;3.0;-383.0;264.0;945.0;662.0;21.0;-373.0;-3;-77;449.0
120.0;-67.0;-189.0;61.0;857.0;311.0;-28.0;-510.0;5;-66;143.0
