InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;Accelerometer RUA^ accX;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RLA gyroY
1;45;-495.0;-319;61;-1;-85.0;-61;-303.0;4.0;45;144.0
-2;9;43.0;-236;4;0;-37.0;-4;-399.0;-248.0;9;-90.0
-4;6;-2027.0;-250;13;-2;-1272.0;-13;-122.0;-81.0;6;-92.0
1;-1;-2.0;-280;-25;7;-34.0;25;-283.0;-165.0;-1;-40.0
-6;-14;45.0;-261;-5;3;-102.0;5;-382.0;-186.0;-14;265.0
4;-31;-2.0;-289;-12;-1;-28.0;12;-325.0;-176.0;-31;1.0
-3;-4;-80.0;-243;33;-1;-24.0;-33;-399.0;-161.0;-4;554.0
7;14;52.0;-275;12;-2;24.0;-12;-143.0;-151.0;14;10.0
1;-1;13.0;-266;-20;8;-39.0;20;-221.0;-164.0;-1;1.0
5;-5;67.0;-321;18;-1;41.0;-18;-71.0;-15.0;-5;-51.0
-5;3;347.0;-284;-22;-2;340.0;22;-432.0;-141.0;3;857.0
0;38;44.0;-236;-5;0;178.0;5;-389.0;-262.0;38;-3.0
-1;-16;1689.0;-275;-1;16;1023.0;1;-122.0;-100.0;-16;814.0
1;16;-104.0;-249;-12;-3;-9.0;12;-294.0;10.0;16;-108.0
6;-4;7.0;-285;27;2;-19.0;-27;-274.0;-170.0;-4;4.0
-19;6;106.0;-269;14;3;1534.0;-14;-530.0;-143.0;6;732.0
-2;7;-287.0;-274;-5;0;-209.0;5;-304.0;-158.0;7;120.0
4;-13;39.0;-227;7;9;6.0;-7;-331.0;-229.0;-13;11.0
2;-12;184.0;-257;31;-6;-5.0;-31;-407.0;-180.0;-12;240.0
-2;28;-149.0;-241;87;-10;45.0;-87;-474.0;-310.0;28;231.0
203;-337;-334.0;-234;464;-6;53.0;-464;-490.0;-119.0;-337;-651.0
17;29;217.0;-273;50;11;-145.0;-50;-273.0;-144.0;29;-1068.0
-355;-3229;-1237.0;-451;-4205;-206;-211.0;4205;-603.0;197.0;-3229;208.0
-2;-31;30.0;-249;-30;-1;15.0;30;-360.0;-262.0;-31;20.0
-11;-744;156.0;-291;247;5;-78.0;-247;-370.0;-161.0;-744;108.0
