Accelerometer RUA^ accY;Accelerometer RKN_ accZ;Accelerometer RUA_ accY;Accelerometer LUA^ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit BACK magneticY
889.0;-178.0;195.0;906.0;335.0;-467.0;-235.0;78.0;-136;-700.0;19.0;103.0;335.0
980.0;-38.0;634.0;959.0;501.0;-579.0;98.0;-95.0;145;-833.0;272.0;31.0;-108.0
961.0;-28.0;658.0;970.0;329.0;-536.0;96.0;-96.0;145;-553.0;276.0;54.0;-113.0
957.0;-54.0;632.0;969.0;193.0;-445.0;96.0;-101.0;144;-648.0;268.0;22.0;-99.0
727.0;-342.0;441.0;1046.0;142.0;-501.0;685.0;-630.0;36;-723.0;-64.0;-7.0;-175.0
940.0;-39.0;657.0;986.0;385.0;-483.0;95.0;-103.0;144;-677.0;305.0;188.0;-147.0
926.0;-30.0;604.0;979.0;312.0;-509.0;100.0;-93.0;144;-810.0;303.0;111.0;-114.0
957.0;-61.0;619.0;981.0;233.0;-483.0;107.0;-91.0;144;-758.0;295.0;92.0;-125.0
941.0;-60.0;608.0;969.0;317.0;-507.0;107.0;-94.0;145;-805.0;293.0;82.0;-123.0
954.0;-39.0;615.0;968.0;266.0;-494.0;108.0;-94.0;145;-839.0;285.0;57.0;-119.0
964.0;-50.0;537.0;978.0;314.0;-443.0;108.0;-94.0;144;-725.0;286.0;82.0;-128.0
967.0;-36.0;569.0;986.0;223.0;-421.0;108.0;-99.0;144;-641.0;286.0;81.0;-125.0
961.0;-70.0;593.0;947.0;308.0;-488.0;109.0;-99.0;144;-860.0;281.0;59.0;-121.0
1005.0;-24.0;585.0;967.0;321.0;-609.0;92.0;-35.0;144;-656.0;299.0;18.0;-135.0
955.0;-35.0;571.0;978.0;351.0;-581.0;87.0;-49.0;144;-775.0;279.0;93.0;-123.0
946.0;-46.0;638.0;973.0;423.0;-611.0;85.0;-46.0;145;-696.0;282.0;132.0;-123.0
1041.0;-40.0;665.0;962.0;433.0;-526.0;72.0;-36.0;144;-784.0;249.0;130.0;-104.0
980.0;-20.0;637.0;1007.0;386.0;-517.0;56.0;-37.0;145;-785.0;248.0;213.0;-90.0
979.0;-31.0;646.0;961.0;415.0;-504.0;55.0;-38.0;145;-759.0;239.0;187.0;-87.0
888.0;47.0;782.0;1019.0;409.0;-498.0;98.0;70.0;157;-898.0;31.0;-171.0;155.0
945.0;75.0;617.0;1012.0;290.0;-577.0;70.0;139.0;154;-899.0;51.0;-265.0;106.0
906.0;-37.0;618.0;949.0;297.0;-584.0;105.0;-91.0;145;-793.0;289.0;55.0;-128.0
963.0;86.0;281.0;950.0;209.0;-509.0;39.0;156.0;209;-870.0;14.0;-124.0;155.0
916.0;-29.0;626.0;808.0;479.0;-457.0;120.0;151.0;174;-902.0;-8.0;-192.0;124.0
980.0;-61.0;472.0;1055.0;288.0;-220.0;826.0;-512.0;-81;-841.0;-312.0;170.0;403.0
890.0;180.0;309.0;852.0;262.0;-251.0;-50.0;192.0;97;-556.0;82.0;-111.0;86.0
905.0;32.0;569.0;964.0;361.0;-374.0;153.0;15.0;144;-864.0;3.0;-30.0;208.0
