InertialMeasurementUnit RLA Quaternion1;Accelerometer RWR accZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit RLA accY;Accelerometer RUA_ accZ
435.0;150.0;186.0;38.0;213.0;272.0;199.0
431.0;164.0;169.0;143.0;187.0;242.0;134.0
423.0;94.0;137.0;254.0;173.0;229.0;97.0
411.0;87.0;113.0;320.0;202.0;227.0;112.0
394.0;227.0;99.0;296.0;225.0;238.0;160.0
374.0;109.0;93.0;260.0;280.0;273.0;204.0
354.0;16.0;209.0;200.0;?;332.0;274.0
340.0;10.0;220.0;135.0;?;456.0;359.0
?;-51.0;235.0;65.0;468.0;577.0;?
?;?;270.0;-32.0;509.0;750.0;561.0
355.0;11.0;291.0;-103.0;475.0;766.0;619.0
370.0;90.0;186.0;-163.0;437.0;640.0;598.0
381.0;-17.0;49.0;-44.0;376.0;630.0;593.0
390.0;-17.0;-29.0;130.0;309.0;660.0;520.0
?;45.0;-34.0;240.0;242.0;670.0;?
395.0;126.0;51.0;396.0;256.0;607.0;430.0
386.0;39.0;113.0;457.0;244.0;469.0;385.0
369.0;51.0;202.0;432.0;217.0;406.0;354.0
348.0;222.0;320.0;436.0;209.0;416.0;369.0
329.0;?;328.0;433.0;244.0;467.0;430.0
316.0;128.0;237.0;423.0;289.0;530.0;471.0
306.0;?;152.0;497.0;279.0;?;460.0
299.0;64.0;168.0;502.0;383.0;503.0;477.0
294.0;?;186.0;578.0;450.0;469.0;510.0
287.0;12.0;188.0;318.0;449.0;451.0;500.0
276.0;100.0;214.0;36.0;567.0;490.0;499.0
255.0;51.0;206.0;-58.0;814.0;449.0;?
241.0;-136.0;?;-126.0;508.0;?;?
233.0;-5.0;111.0;-111.0;293.0;550.0;513.0
233.0;334.0;?;-63.0;205.0;584.0;339.0
238.0;402.0;81.0;-53.0;208.0;490.0;274.0
244.0;365.0;?;-117.0;327.0;?;262.0
245.0;243.0;111.0;?;369.0;?;341.0
248.0;149.0;238.0;-368.0;420.0;397.0;412.0
?;-19.0;358.0;-650.0;621.0;484.0;470.0
280.0;-161.0;468.0;-1054.0;740.0;372.0;530.0
?;-363.0;561.0;-1653.0;912.0;?;653.0
333.0;-606.0;608.0;-1721.0;957.0;292.0;720.0
362.0;-684.0;757.0;-1754.0;1066.0;?;?
401.0;-673.0;913.0;?;1170.0;551.0;889.0
446.0;-690.0;900.0;-2256.0;1103.0;495.0;995.0
487.0;-865.0;735.0;?;?;375.0;1032.0
510.0;-1225.0;340.0;-2934.0;964.0;62.0;839.0
509.0;-1352.0;94.0;?;704.0;-116.0;584.0
493.0;-816.0;46.0;-2521.0;499.0;118.0;512.0
472.0;-617.0;167.0;-1825.0;?;?;407.0
453.0;-598.0;523.0;-1222.0;464.0;487.0;442.0
