InertialMeasurementUnit LUA accY;InertialMeasurementUnit LLA Quaternion2;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit RUA accY;Accelerometer LUA^ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accX;Accelerometer RUA^ accZ
?;-331.0;851.0;986.0;-332.0;192.0;895.0;-752.0;-112.0
-402.0;?;800.0;931.0;-374.0;254.0;?;-759.0;-173.0
-399.0;-319.0;770.0;871.0;-384.0;316.0;770.0;?;-207.0
-346.0;-300.0;812.0;875.0;?;255.0;826.0;-858.0;-206.0
-241.0;-275.0;865.0;915.0;-255.0;230.0;884.0;-928.0;-141.0
-169.0;-249.0;944.0;972.0;-173.0;115.0;977.0;-962.0;-69.0
-121.0;-225.0;1010.0;1053.0;-56.0;88.0;1089.0;-937.0;-7.0
-58.0;?;986.0;1082.0;125.0;27.0;?;-925.0;131.0
-34.0;-194.0;968.0;1093.0;276.0;11.0;1026.0;-961.0;293.0
50.0;-185.0;966.0;1088.0;?;-20.0;1043.0;?;382.0
111.0;-181.0;?;1104.0;268.0;-104.0;1067.0;-1003.0;403.0
137.0;-185.0;1021.0;1121.0;277.0;?;1099.0;-1059.0;406.0
165.0;-197.0;1034.0;1105.0;284.0;-178.0;?;-1041.0;427.0
148.0;-215.0;1063.0;?;238.0;-192.0;1119.0;-993.0;342.0
74.0;-231.0;1032.0;1115.0;220.0;-147.0;1071.0;?;304.0
122.0;-246.0;?;1088.0;89.0;-38.0;988.0;-1071.0;268.0
52.0;-260.0;1058.0;?;17.0;?;1046.0;-940.0;199.0
-40.0;-267.0;?;1091.0;72.0;-114.0;960.0;-879.0;?
?;-266.0;905.0;990.0;208.0;-16.0;871.0;-849.0;252.0
-104.0;-256.0;886.0;966.0;?;20.0;?;-838.0;?
-119.0;-242.0;868.0;942.0;225.0;34.0;?;-792.0;394.0
-129.0;-226.0;847.0;905.0;265.0;107.0;785.0;-782.0;?
-113.0;-212.0;818.0;?;291.0;?;723.0;-842.0;382.0
-139.0;-204.0;837.0;915.0;107.0;57.0;782.0;-858.0;343.0
-145.0;-196.0;892.0;1019.0;112.0;74.0;885.0;-840.0;?
-57.0;-195.0;858.0;1064.0;85.0;135.0;894.0;-931.0;326.0
-93.0;-192.0;875.0;962.0;0.0;57.0;956.0;-968.0;199.0
-145.0;-185.0;1000.0;993.0;155.0;32.0;?;-912.0;292.0
-106.0;-176.0;1002.0;1114.0;131.0;?;980.0;-874.0;331.0
-95.0;-169.0;942.0;?;69.0;?;951.0;-907.0;218.0
-78.0;-167.0;939.0;1172.0;38.0;26.0;944.0;-891.0;177.0
-66.0;-168.0;?;1081.0;35.0;?;959.0;-902.0;157.0
-16.0;?;927.0;1056.0;91.0;31.0;959.0;-953.0;150.0
-34.0;-181.0;960.0;1017.0;188.0;?;1024.0;-905.0;252.0
-79.0;-191.0;970.0;1100.0;90.0;48.0;1041.0;-954.0;?
-116.0;?;913.0;1106.0;157.0;71.0;1035.0;-1063.0;?
-172.0;-213.0;1052.0;1232.0;187.0;159.0;1181.0;-1034.0;397.0
-32.0;-234.0;1053.0;1364.0;160.0;263.0;1202.0;-1061.0;419.0
-89.0;-265.0;1027.0;1279.0;337.0;211.0;1257.0;-1085.0;493.0
-166.0;?;1085.0;1188.0;?;274.0;1259.0;-1135.0;526.0
-249.0;-335.0;?;?;453.0;305.0;1361.0;-1091.0;624.0
-393.0;?;1098.0;1209.0;57.0;399.0;?;-1150.0;606.0
-422.0;-352.0;1062.0;1052.0;-314.0;565.0;1314.0;-1234.0;188.0
-250.0;-326.0;1084.0;1218.0;-316.0;617.0;1311.0;-1145.0;-80.0
-296.0;-301.0;1103.0;1220.0;103.0;460.0;1138.0;-862.0;?
-152.0;-295.0;917.0;1157.0;?;495.0;839.0;-801.0;334.0
16.0;?;627.0;964.0;344.0;279.0;722.0;-629.0;246.0
-216.0;-313.0;685.0;795.0;342.0;175.0;592.0;-429.0;515.0
-465.0;-325.0;430.0;?;261.0;153.0;534.0;-268.0;415.0
-604.0;-338.0;168.0;518.0;849.0;413.0;309.0;-142.0;602.0
-1023.0;-362.0;-3.0;496.0;706.0;483.0;?;?;950.0
-1085.0;-394.0;-327.0;503.0;995.0;945.0;?;?;603.0
-903.0;-411.0;-769.0;549.0;1114.0;1024.0;-381.0;890.0;1199.0
-893.0;-417.0;?;-113.0;?;836.0;-713.0;950.0;1025.0
-886.0;-422.0;?;-439.0;1178.0;895.0;?;1038.0;1239.0
-956.0;-429.0;?;-573.0;1103.0;767.0;-938.0;1085.0;?
-967.0;-574.0;?;-791.0;942.0;875.0;-787.0;938.0;923.0
?;-571.0;-827.0;-874.0;?;924.0;-806.0;912.0;944.0
?;-564.0;-830.0;-923.0;?;947.0;-844.0;809.0;958.0
-858.0;-552.0;-781.0;-851.0;860.0;947.0;?;630.0;958.0
-711.0;-542.0;-684.0;-789.0;805.0;919.0;-596.0;514.0;913.0
-696.0;-537.0;-485.0;-707.0;846.0;819.0;-432.0;523.0;900.0
-798.0;?;?;-571.0;906.0;794.0;-372.0;620.0;?
-868.0;-540.0;-466.0;-531.0;872.0;875.0;-463.0;625.0;946.0
