Accelerometer LUA^ accX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit RUA magneticX;Accelerometer BACK accX
18.0;-7.0;44.0;-151.0;329.0;382.0;152.0
25.0;-11.0;29.0;96.0;324.0;374.0;251.0
199.0;1.0;-61.0;-60.0;392.0;847.0;-75.0
334.0;46.0;81.0;-62.0;353.0;498.0;231.0
124.0;-42.0;-40.0;-54.0;251.0;484.0;56.0
202.0;276.0;-22.0;112.0;331.0;445.0;125.0
435.0;50.0;1.0;-312.0;368.0;886.0;361.0
247.0;184.0;46.0;-87.0;281.0;360.0;40.0
259.0;-19.0;-21.0;-262.0;275.0;345.0;134.0
125.0;-149.0;-199.0;-437.0;316.0;532.0;-2.0
126.0;36.0;55.0;-62.0;291.0;411.0;107.0
79.0;94.0;-18.0;-292.0;492.0;925.0;13.0
94.0;263.0;-218.0;-313.0;431.0;910.0;160.0
96.0;26.0;-26.0;-62.0;280.0;464.0;75.0
261.0;145.0;-156.0;-424.0;-108.0;954.0;-35.0
105.0;6.0;22.0;-68.0;285.0;472.0;63.0
-20.0;-62.0;15.0;-13.0;354.0;796.0;-250.0
158.0;118.0;-140.0;-642.0;244.0;1213.0;127.0
135.0;70.0;-168.0;10.0;285.0;563.0;61.0
-299.0;-24.0;48.0;98.0;353.0;-395.0;-63.0
306.0;241.0;-141.0;-656.0;242.0;568.0;162.0
102.0;2.0;-95.0;-25.0;298.0;465.0;67.0
124.0;127.0;63.0;-16.0;266.0;452.0;29.0
108.0;50.0;-9.0;-28.0;280.0;467.0;14.0
123.0;125.0;-25.0;67.0;331.0;538.0;111.0
204.0;-39.0;-129.0;-84.0;339.0;571.0;193.0
147.0;21.0;-157.0;-42.0;700.0;790.0;-7.0
196.0;114.0;-202.0;-14.0;414.0;616.0;104.0
114.0;23.0;-85.0;25.0;273.0;455.0;70.0
152.0;32.0;-159.0;-55.0;314.0;384.0;116.0
52.0;-4.0;-21.0;48.0;345.0;363.0;118.0
46.0;-15.0;25.0;52.0;319.0;367.0;122.0
141.0;-13.0;4.0;36.0;289.0;331.0;91.0
20.0;5.0;-32.0;1.0;318.0;363.0;106.0
-11.0;44.0;-86.0;99.0;326.0;367.0;70.0
-93.0;22.0;-28.0;53.0;309.0;422.0;139.0
67.0;-304.0;331.0;289.0;311.0;182.0;173.0
22.0;-11.0;-92.0;-359.0;240.0;260.0;232.0
-12.0;-149.0;40.0;176.0;444.0;413.0;42.0
16.0;-69.0;2.0;-13.0;342.0;354.0;91.0
