Accelerometer HIP accZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az
36.0;-2;-987.0;-902.0;-850.0;2;-23
-15.0;-3;-948.0;-886.0;-818.0;3;-24
-9.0;8;-951.0;-877.0;-819.0;-8;-24
-7.0;-8;-949.0;-869.0;-814.0;8;-20
-26.0;22;-959.0;-881.0;-808.0;-22;-24
-21.0;-20;-945.0;-878.0;-820.0;20;-20
17.0;-6;-964.0;-930.0;-902.0;6;-23
-22.0;15;-910.0;-954.0;-909.0;-15;-20
6.0;23;-973.0;-957.0;-825.0;-23;-22
33.0;16;-935.0;-985.0;-844.0;-16;-23
29.0;26;-956.0;-946.0;-825.0;-26;-22
-89.0;146;-811.0;-862.0;-921.0;-146;-17
-48.0;37;-793.0;-804.0;-859.0;-37;-22
29.0;11;-951.0;-964.0;-905.0;-11;-29
-21.0;-7;-904.0;-839.0;-835.0;7;22
20.0;21;-950.0;-973.0;-900.0;-21;-14
22.0;2;-951.0;-961.0;-910.0;-2;-14
41.0;21;-940.0;-969.0;-919.0;-21;-26
25.0;19;-947.0;-965.0;-924.0;-19;-16
0.0;23;-943.0;-877.0;-876.0;-23;-20
-10.0;22;-971.0;-914.0;-888.0;-22;-22
26.0;-21;-919.0;-908.0;-795.0;21;-26
9.0;21;-940.0;-921.0;-789.0;-21;-25
79.0;-1;-938.0;-934.0;-871.0;1;-16
69.0;-4;-953.0;-951.0;-884.0;4;-21
70.0;-2;-949.0;-950.0;-884.0;2;-22
3.0;3;-898.0;-901.0;-920.0;-3;-9
-15.0;-9;-950.0;-983.0;-897.0;9;-25
45.0;-16;-950.0;-951.0;-911.0;16;-18
48.0;-4;-945.0;-960.0;-870.0;4;-17
49.0;4;-955.0;-947.0;-913.0;-4;-14
56.0;-2;-947.0;-954.0;-864.0;2;-13
73.0;5;-947.0;-956.0;-869.0;-5;-18
9.0;24;-962.0;-945.0;-924.0;-24;-17
67.0;8;-949.0;-969.0;-861.0;-8;-27
23.0;36;-951.0;-935.0;-850.0;-36;-15
62.0;19;-953.0;-1007.0;-891.0;-19;-17
41.0;17;-948.0;-966.0;-857.0;-17;-23
69.0;12;-951.0;-962.0;-855.0;-12;-18
71.0;6;-953.0;-958.0;-868.0;-6;-14
61.0;11;-953.0;-963.0;-863.0;-11;-16
30.0;31;-946.0;-893.0;-799.0;-31;-20
20.0;-1;-956.0;-960.0;-805.0;1;-23
71.0;17;-953.0;-966.0;-855.0;-17;-17
48.0;27;-961.0;-977.0;-865.0;-27;-20
76.0;101;-949.0;-964.0;-873.0;-101;-27
61.0;7;-960.0;-933.0;-828.0;-7;-19
-7.0;35;-960.0;-912.0;-836.0;-35;-18
51.0;-4;-953.0;-945.0;-909.0;4;-17
-62.0;32;-936.0;-933.0;-886.0;-32;-22
3.0;-3;-954.0;-943.0;-897.0;3;-21
249.0;67;-641.0;-741.0;-652.0;-67;-31
32.0;10;-878.0;-920.0;-899.0;-10;-15
43.0;16;-938.0;-957.0;-906.0;-16;-19
53.0;-13;-941.0;-953.0;-910.0;13;-18
43.0;-10;-941.0;-958.0;-920.0;10;-17
-50.0;40;-940.0;-933.0;-854.0;-40;-29
61.0;8;-960.0;-962.0;-888.0;-8;-18
52.0;-3;-936.0;-960.0;-909.0;3;-21
72.0;-4;-947.0;-902.0;-863.0;4;-17
62.0;3;-965.0;-913.0;-818.0;-3;-22
123.0;61;-918.0;-909.0;-763.0;-61;-17
40.0;11;-954.0;-905.0;-816.0;-11;-18
-80.0;33;-954.0;-950.0;-803.0;-33;-27
53.0;-4;-939.0;-959.0;-898.0;4;-24
57.0;10;-944.0;-894.0;-867.0;-10;-14
-29.0;-9;-961.0;-911.0;-901.0;9;-19
-5.0;-8;-965.0;-973.0;-890.0;8;-16
-24.0;9;-982.0;-962.0;-870.0;-9;-18
25.0;159;-959.0;-944.0;-828.0;-159;-20
-34.0;39;-883.0;-905.0;-729.0;-39;-15
26.0;8;-929.0;-936.0;-793.0;-8;-18
-2.0;-2;-917.0;-931.0;-901.0;2;-22
-30.0;-11;-957.0;-888.0;-816.0;11;-22
66.0;-8;-918.0;-936.0;-840.0;8;-19
-39.0;42;-939.0;-887.0;-868.0;-42;-14
-62.0;27;-930.0;-918.0;-889.0;-27;-15
-20.0;-10;-953.0;-902.0;-858.0;10;-21
-63.0;-19;-930.0;-917.0;-836.0;19;-20
-40.0;2;-953.0;-912.0;-848.0;-2;-22
56.0;0;-921.0;-963.0;-900.0;0;-15
56.0;28;-923.0;-967.0;-888.0;-28;-25
39.0;3;-942.0;-956.0;-895.0;-3;-21
-2.0;-30;-945.0;-922.0;-895.0;30;-14
-49.0;-16;-951.0;-921.0;-836.0;16;-16
-5.0;36;-953.0;-943.0;-855.0;-36;-22
-28.0;33;-943.0;-937.0;-879.0;-33;-23
14.0;21;-847.0;-834.0;-952.0;-21;-30
32.0;1;-908.0;-947.0;-907.0;-1;-19
49.0;32;-886.0;-906.0;-871.0;-32;-22
34.0;17;-887.0;-931.0;-879.0;-17;-19
48.0;-18;-868.0;-913.0;-863.0;18;-17
54.0;16;-897.0;-951.0;-890.0;-16;-18
31.0;6;-896.0;-942.0;-878.0;-6;-19
42.0;-19;-961.0;-925.0;-842.0;19;-18
30.0;-15;-903.0;-928.0;-895.0;15;-24
-43.0;18;-923.0;-914.0;-825.0;-18;-18
17.0;39;-893.0;-939.0;-868.0;-39;-23
33.0;-19;-947.0;-948.0;-910.0;19;-26
-40.0;9;-945.0;-934.0;-793.0;-9;-17
-41.0;6;-955.0;-926.0;-846.0;-6;-19
-2.0;-26;-945.0;-873.0;-837.0;26;-23
70.0;93;-886.0;-951.0;-1031.0;-93;-18
-121.0;-90;-951.0;-976.0;-937.0;90;-28
-99.0;89;-1168.0;-1047.0;-1140.0;-89;-24
91.0;-113;-1005.0;-972.0;-724.0;113;-16
-80.0;-12;-954.0;-954.0;-914.0;12;-16
10.0;1;-975.0;-976.0;-802.0;-1;-15
79.0;129;-900.0;-846.0;-942.0;-129;-2
243.0;87;-954.0;-904.0;-843.0;-87;-20
-26.0;7;-954.0;-990.0;-826.0;-7;-47
-18.0;-22;-959.0;-880.0;-819.0;22;-21
82.0;7;-962.0;-881.0;-843.0;-7;-16
-71.0;-1;-940.0;-914.0;-895.0;1;-22
-125.0;-2;-860.0;-917.0;-936.0;2;-27
-74.0;11;-945.0;-938.0;-846.0;-11;-17
-27.0;-11;-963.0;-872.0;-823.0;11;-29
7.0;-4;-946.0;-861.0;-809.0;4;-22
-160.0;7;-917.0;-907.0;-1002.0;-7;-18
-23.0;16;-949.0;-862.0;-805.0;-16;-26
47.0;-6;-948.0;-957.0;-928.0;6;-23
-30.0;-26;-952.0;-853.0;-808.0;26;-20
87.0;36;-971.0;-980.0;-950.0;-36;-26
-49.0;-56;-917.0;-804.0;-763.0;56;-22
2.0;-3;-950.0;-703.0;-823.0;3;-15
-70.0;3;-962.0;-704.0;-659.0;-3;-20
-92.0;-15;-866.0;-923.0;-1012.0;15;-23
-16.0;93;-949.0;-734.0;-794.0;-93;-13
39.0;69;-987.0;-872.0;-710.0;-69;-17
-10.0;20;-858.0;-988.0;-926.0;-20;-27
-92.0;-12;-952.0;-864.0;-777.0;12;-22
-7.0;31;-951.0;-844.0;-798.0;-31;-23
-83.0;-3328;-912.0;-998.0;-853.0;3328;389
-64.0;18;-948.0;-909.0;-910.0;-18;-19
-23.0;3;-965.0;-656.0;-977.0;-3;-21
-10.0;6;-954.0;-847.0;-797.0;-6;-23
173.0;3798;-880.0;-874.0;-938.0;-3798;-162
-158.0;-17;-809.0;-823.0;-842.0;17;-15
98.0;-7;-951.0;-919.0;-919.0;7;-20
-29.0;-8;-950.0;-863.0;-832.0;8;-15
38.0;-19;-892.0;-899.0;-899.0;19;-28
40.0;10;-953.0;-814.0;-741.0;-10;-27
-80.0;23;-952.0;-885.0;-869.0;-23;-20
-121.0;-6;-943.0;-879.0;-906.0;6;-19
66.0;24;-939.0;-946.0;-915.0;-24;-15
90.0;-9;-879.0;-912.0;-930.0;9;-23
83.0;-6;-941.0;-952.0;-920.0;6;-25
-25.0;9;-971.0;-965.0;-778.0;-9;-2
70.0;10;-883.0;-901.0;-867.0;-10;-26
-48.0;-22;-952.0;-903.0;-758.0;22;-21
69.0;-7;-999.0;-993.0;-699.0;7;-22
69.0;18;-1089.0;-1012.0;-793.0;-18;-6
144.0;78;-1060.0;-1047.0;-865.0;-78;-22
203.0;123;-872.0;-882.0;-844.0;-123;-48
53.0;-43;-824.0;-937.0;-832.0;43;-34
169.0;-144;-973.0;-925.0;-904.0;144;-10
-103.0;13;-930.0;-881.0;-857.0;-13;-22
76.0;48;-868.0;-909.0;-949.0;-48;-42
81.0;11;-950.0;-959.0;-927.0;-11;-16
119.0;-1;-646.0;-879.0;-923.0;1;-25
39.0;-24;-974.0;-871.0;-852.0;24;-16
-20.0;-23;-983.0;-983.0;-785.0;23;-26
40.0;0;-918.0;-555.0;-819.0;0;-16
6.0;14;-946.0;-952.0;-948.0;-14;-16
49.0;-28;-953.0;-917.0;-790.0;28;-17
34.0;-29;-969.0;-798.0;-1008.0;29;-21
41.0;-14;-1028.0;-995.0;-876.0;14;3
-84.0;-10;-949.0;-883.0;-867.0;10;-20
-12.0;7;-969.0;-963.0;-930.0;-7;-12
80.0;-129;-869.0;-908.0;-839.0;129;-1286
20.0;-30;-961.0;-964.0;-961.0;30;-21
30.0;-19;-962.0;-971.0;-946.0;19;-21
19.0;-3;-950.0;-751.0;-624.0;3;-20
101.0;16;-942.0;-949.0;-914.0;-16;-19
-46.0;-24;-938.0;-892.0;-874.0;24;-19
-52.0;-26;-974.0;-885.0;-841.0;26;-23
69.0;8;-964.0;-949.0;-926.0;-8;-27
55.0;30;-957.0;-957.0;-928.0;-30;-18
-181.0;171;-871.0;-906.0;-766.0;-171;-24
32.0;33;-953.0;-940.0;-965.0;-33;-23
59.0;-2;-961.0;-940.0;-921.0;2;-23
-147.0;-110;-929.0;-876.0;-774.0;110;-25
81.0;0;-990.0;-929.0;-763.0;0;-22
63.0;-5;-945.0;-880.0;-758.0;5;-14
55.0;-21;-958.0;-961.0;-960.0;21;-16
47.0;19;-955.0;-954.0;-951.0;-19;-16
63.0;-2;-970.0;-942.0;-964.0;2;-23
-94.0;-11;-714.0;-963.0;-940.0;11;-23
61.0;10;-954.0;-955.0;-942.0;-10;-20
-54.0;-56;-941.0;-971.0;-870.0;56;-51
-202.0;-33;-190.0;-881.0;-886.0;33;-17
-13.0;21;-948.0;-920.0;-971.0;-21;-22
6.0;5;-601.0;-946.0;-856.0;-5;-28
-121.0;37;-923.0;-816.0;-874.0;-37;-26
-7.0;-34;-937.0;-894.0;-890.0;34;-19
48.0;2;-957.0;-959.0;-957.0;-2;-19
-10.0;9;-934.0;-585.0;-924.0;-9;-22
-89.0;10;-716.0;-1049.0;-829.0;-10;-22
-107.0;-9;-953.0;-905.0;-845.0;9;-19
-102.0;-22;-947.0;-868.0;-870.0;22;-26
-39.0;32;-879.0;-848.0;-877.0;-32;-13
-56.0;4;-948.0;-875.0;-861.0;-4;-23
106.0;25;-907.0;-946.0;-907.0;-25;-35
43.0;-78;-893.0;-896.0;-957.0;78;-27
13.0;308;-954.0;-1023.0;-971.0;-308;-63
-48.0;-10;-948.0;-880.0;-829.0;10;-22
-111.0;28;-883.0;-922.0;-895.0;-28;-19
-13.0;-22;-947.0;-936.0;-790.0;22;-24
-142.0;39;-942.0;-887.0;-789.0;-39;-15
12.0;-200;-855.0;-812.0;-957.0;200;-483
-30.0;-14;-958.0;-982.0;-914.0;14;-23
-71.0;4;-943.0;-896.0;-874.0;-4;-14
-7.0;9;-946.0;-949.0;-961.0;-9;-17
55.0;7;-979.0;-850.0;-813.0;-7;-15
76.0;-24;-948.0;-905.0;-843.0;24;-20
-31.0;-20;-951.0;-876.0;-803.0;20;-28
71.0;-20;-989.0;-892.0;-839.0;20;-30
80.0;-9;-944.0;-947.0;-920.0;9;-19
-144.0;-12;-892.0;-1065.0;-891.0;12;-24
-133.0;-39;-934.0;-802.0;-872.0;39;-23
-95.0;9;-863.0;-970.0;-884.0;-9;-25
-24.0;18;-965.0;-941.0;-760.0;-18;-16
-57.0;11;-977.0;-933.0;-753.0;-11;-23
80.0;-3;-943.0;-956.0;-915.0;3;-19
257.0;9;-969.0;-994.0;-964.0;-9;-20
-12.0;-20;-972.0;-995.0;-984.0;20;-22
-91.0;-18;-962.0;-958.0;-763.0;18;-20
127.0;-8;-934.0;-877.0;-774.0;8;-15
23.0;-9;-968.0;-979.0;-947.0;9;-18
5.0;-10;-969.0;-1025.0;-977.0;10;-20
-111.0;-8;-967.0;-972.0;-867.0;8;-23
68.0;-8;-971.0;-993.0;-982.0;8;-17
-50.0;-17;-980.0;-1053.0;-783.0;17;-26
80.0;-117;-508.0;-520.0;-540.0;117;49
227.0;-16;-958.0;-903.0;-764.0;16;-16
74.0;-21;-975.0;-899.0;-895.0;21;-16
22.0;-6;-968.0;-971.0;-933.0;6;-22
-37.0;-14;-954.0;-971.0;-921.0;14;-22
18.0;0;-963.0;-960.0;-948.0;0;-22
-104.0;-28;-930.0;-921.0;-869.0;28;-21
35.0;-1;-959.0;-992.0;-954.0;1;-20
-394.0;123;-712.0;-834.0;-993.0;-123;-33
35.0;0;-977.0;-960.0;-807.0;0;-21
5.0;26;-985.0;-976.0;-854.0;-26;-20
-47.0;11;-943.0;-1009.0;-885.0;-11;-21
48.0;-21;-913.0;-949.0;-915.0;21;-19
-142.0;-16;-795.0;-917.0;-933.0;16;-23
-169.0;-3;-844.0;-973.0;-992.0;3;-24
-79.0;-27;-945.0;-916.0;-852.0;27;-22
-160.0;-9;-924.0;-832.0;-819.0;9;-18
-53.0;-11;-965.0;-888.0;-888.0;11;-30
-318.0;-67;-610.0;-880.0;-984.0;67;-24
-182.0;101;-691.0;-762.0;-759.0;-101;-23
33.0;12;-960.0;-976.0;-950.0;-12;-27
-29.0;-3;-837.0;-982.0;-853.0;3;-23
-65.0;36;-1031.0;-1013.0;-809.0;-36;-39
20.0;1;-952.0;-991.0;-988.0;-1;-19
35.0;-22;-957.0;-958.0;-951.0;22;-23
48.0;-20;-964.0;-990.0;-982.0;20;-19
-117.0;-3;-928.0;-819.0;-970.0;3;-29
134.0;15;-982.0;-954.0;-809.0;-15;-21
28.0;-9;-960.0;-973.0;-954.0;9;-18
9.0;12;-955.0;-969.0;-944.0;-12;-20
18.0;12;-970.0;-1001.0;-980.0;-12;-22
99.0;36;-1162.0;-1289.0;-1110.0;-36;-12
60.0;24;-964.0;-999.0;-978.0;-24;-22
239.0;8;-965.0;-910.0;-833.0;-8;-17
63.0;-12;-959.0;-890.0;-864.0;12;-25
108.0;9;-922.0;-1110.0;-836.0;-9;-38
-22.0;34;-841.0;-985.0;-859.0;-34;-11
0.0;2;-974.0;-996.0;-986.0;-2;-15
-30.0;0;-951.0;-955.0;-931.0;0;-21
31.0;5;-954.0;-962.0;-966.0;-5;-18
-22.0;-4;-980.0;-938.0;-775.0;4;-27
-66.0;11;-977.0;-934.0;-815.0;-11;-19
85.0;36;-952.0;-934.0;-930.0;-36;-22
-2.0;-43;-919.0;-956.0;-956.0;43;-17
67.0;-74;-851.0;-770.0;-807.0;74;6
71.0;12;-933.0;-949.0;-917.0;-12;-22
125.0;43;-1128.0;-1009.0;-1169.0;-43;13
53.0;110;-908.0;-974.0;-953.0;-110;-51
114.0;-14;-943.0;-945.0;-915.0;14;-13
45.0;49;-885.0;-1031.0;-983.0;-49;-14
113.0;18;-945.0;-899.0;-953.0;-18;-20
123.0;-35;-996.0;-937.0;-832.0;35;-24
-70.0;28;-984.0;-925.0;-869.0;-28;-22
-74.0;-4;-984.0;-933.0;-846.0;4;-19
100.0;-21;-960.0;-950.0;-961.0;21;-25
-14.0;13;-758.0;-849.0;-744.0;-13;-11
92.0;-1;-963.0;-928.0;-857.0;1;-16
-227.0;-224;-931.0;-966.0;-1030.0;224;10
129.0;0;-950.0;-960.0;-854.0;0;-17
109.0;2107;-935.0;-964.0;-942.0;-2107;-29
-85.0;-8;-939.0;-925.0;-980.0;8;-23
81.0;-6;-952.0;-912.0;-853.0;6;-17
92.0;12;-972.0;-884.0;-864.0;-12;-14
-12.0;-5;-967.0;-958.0;-499.0;5;-25
-92.0;8;-958.0;-956.0;-949.0;-8;-22
-32.0;-143;-962.0;-1030.0;-824.0;143;-33
129.0;-62;-950.0;-954.0;-811.0;62;-19
5.0;36;-940.0;-966.0;-973.0;-36;-18
220.0;3;-971.0;-996.0;-855.0;-3;-16
107.0;14;-959.0;-953.0;-950.0;-14;-18
-84.0;2;-976.0;-925.0;-855.0;-2;-21
139.0;59;-1034.0;-1165.0;-865.0;-59;48
-82.0;-8;-963.0;-918.0;-891.0;8;-28
-76.0;-37;-1092.0;-1173.0;-982.0;37;-13
18.0;-20;-969.0;-979.0;-874.0;20;-27
170.0;-18;-1055.0;-971.0;-922.0;18;-11
-117.0;12;-904.0;-1001.0;-792.0;-12;-21
-132.0;0;-935.0;-871.0;-853.0;0;-19
-89.0;-3;-964.0;-929.0;-874.0;3;-22
117.0;0;-984.0;-966.0;-585.0;0;-18
-84.0;2;-960.0;-924.0;-827.0;-2;-20
40.0;4;-947.0;-999.0;-977.0;-4;-14
-119.0;24;-934.0;-878.0;-876.0;-24;-26
-99.0;13;-950.0;-929.0;-928.0;-13;-26
-31.0;16;-959.0;-968.0;-959.0;-16;-18
-15.0;-10;-958.0;-932.0;-969.0;10;-14
-189.0;-1;-912.0;-929.0;-946.0;1;-21
46.0;90;-763.0;-918.0;-819.0;-90;-65
30.0;9;-957.0;-971.0;-923.0;-9;-25
0.0;-15;-960.0;-962.0;-964.0;15;-16
21.0;14;-956.0;-970.0;-941.0;-14;-28
-9.0;-32;-980.0;-935.0;-928.0;32;-28
-100.0;-16;-953.0;-945.0;-936.0;16;-19
-29.0;23;-957.0;-898.0;-914.0;-23;-19
84.0;-5;-961.0;-930.0;-861.0;5;-16
70.0;-12;-939.0;-950.0;-913.0;12;-20
87.0;1;-956.0;-919.0;-847.0;-1;-15
-60.0;-17;-979.0;-980.0;-950.0;17;-22
35.0;9;-945.0;-969.0;-933.0;-9;-20
60.0;-3;-945.0;-938.0;-925.0;3;-18
78.0;4;-958.0;-955.0;-921.0;-4;-21
89.0;-4;-939.0;-930.0;-940.0;4;-20
19.0;14;-899.0;-983.0;-958.0;-14;-17
-39.0;-26;-955.0;-987.0;-870.0;26;-27
145.0;1;-863.0;-988.0;-954.0;-1;-17
57.0;-16;-952.0;-956.0;-919.0;16;-14
-28.0;-26;-986.0;-931.0;-818.0;26;-21
107.0;259;-1177.0;-1217.0;-1026.0;-259;11
-64.0;3;-975.0;-947.0;-944.0;-3;-16
-42.0;16;-956.0;-853.0;-723.0;-16;-21
71.0;7;-954.0;-963.0;-929.0;-7;-25
3.0;12;-953.0;-854.0;-760.0;-12;-21
14.0;-2;-955.0;-853.0;-745.0;2;-28
87.0;-26;-962.0;-1005.0;-958.0;26;-17
-12.0;-23;-959.0;-843.0;-718.0;23;-18
0.0;-20;-950.0;-887.0;-780.0;20;-21
161.0;-22;-985.0;-968.0;-547.0;22;-21
88.0;21;-896.0;-930.0;-868.0;-21;-25
70.0;37;-965.0;-963.0;-895.0;-37;-21
-122.0;39;-923.0;-943.0;-790.0;-39;-18
-41.0;-371;-928.0;-903.0;-888.0;371;27
-41.0;-2;-972.0;-965.0;-722.0;2;-19
