InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
615;-1;-4;2;14;933.0;13;-22;1008.0;-37;-812;14;-22
496;17;1;-11;18;768.0;-79;1;896.0;-23;-885;18;1
621;4;-1;1;-35;895.0;20;8;964.0;-37;-805;-35;8
702;-13;-3;0;33;862.0;75;-5;927.0;-44;-741;33;-5
484;2;1;-3;102;948.0;-78;47;957.0;-26;-887;102;47
807;-328;-13;-233;1870;701.0;179;1428;963.0;-55;-1078;1870;1428
592;9;1;4;0;903.0;-9;7;975.0;-35;-830;0;7
621;2;0;0;-56;873.0;15;-53;1024.0;-35;-815;-56;-53
594;-3;1;-7;5;919.0;-11;8;996.0;-35;-828;5;8
582;9;1;0;-19;908.0;-11;13;1024.0;-33;-836;-19;13
567;0;1;4;1;901.0;-25;-16;1019.0;-33;-846;1;-16
684;-572;23;-372;-235;916.0;268;123;918.0;-24;-943;-235;123
128;-42;-43;-21;-129;549.0;727;-41;797.0;-8;-713;-129;-41
585;5;1;0;6;882.0;-3;9;945.0;-34;-835;6;9
578;-5;1;0;10;915.0;-6;-1;983.0;-34;-840;10;-1
577;-7;1;1;16;919.0;-9;2;977.0;-34;-843;16;2
706;2;-3;-3;10;873.0;88;24;935.0;-43;-732;10;24
711;9;-3;5;16;858.0;75;12;949.0;-43;-726;16;12
599;2;0;1;-8;878.0;10;-18;984.0;-34;-826;-8;-18
717;2;-10;3;12;896.0;143;19;999.0;-45;-704;12;19
619;1;-4;4;14;936.0;15;19;1006.0;-37;-811;14;19
578;-24;11;34;41;941.0;-123;38;905.0;-37;-838;41;38
707;2;-3;3;-14;855.0;77;-7;927.0;-44;-728;-14;-7
626;4;-4;4;-12;930.0;20;1;1004.0;-37;-811;-12;1
540;-7;7;22;916;881.0;-113;-1057;1028.0;-31;-866;916;-1057
480;-23;2;41;172;621.0;-86;92;777.0;-29;-892;172;92
445;34;11;36;82;999.0;-147;43;1276.0;-29;-862;82;43
571;0;1;1;19;901.0;-8;1;1004.0;-34;-833;19;1
489;-1;9;-2;-6;932.0;-91;-9;1022.0;-29;-884;-6;-9
485;5;5;1;-17;888.0;-97;11;1007.0;-29;-889;-17;11
621;3;-4;1;0;938.0;18;21;1003.0;-37;-815;0;21
476;6;7;-7;13;906.0;-122;3;938.0;-27;-887;13;3
579;5;1;-2;23;902.0;-16;0;992.0;-33;-841;23;0
562;-1;1;0;8;896.0;-27;17;1024.0;-33;-849;8;17
479;-2;7;-1;-16;933.0;-80;-13;956.0;-27;-894;-16;-13
590;-1;3;-1;3;913.0;-3;7;1005.0;-35;-833;3;7
488;-21;8;19;-43;445.0;-148;-27;828.0;-27;-895;-43;-27
576;-9;2;12;18;888.0;-33;-23;1006.0;-34;-839;18;-23
