InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LUA Quaternion1
398.0;146.0;521.0;-112.0;-651.0;138.0;504.0;-43.0;612.0
392.0;143.0;526.0;-100.0;-658.0;127.0;512.0;-33.0;615.0
383.0;?;538.0;-83.0;-667.0;108.0;524.0;?;618.0
367.0;?;?;-62.0;?;84.0;538.0;3.0;624.0
?;100.0;572.0;?;-693.0;57.0;554.0;26.0;632.0
328.0;73.0;591.0;?;-710.0;?;568.0;51.0;641.0
305.0;41.0;607.0;22.0;?;0.0;580.0;77.0;651.0
?;?;622.0;?;-741.0;?;588.0;98.0;?
257.0;-23.0;?;82.0;-753.0;-33.0;593.0;111.0;670.0
?;-58.0;643.0;105.0;-763.0;-30.0;595.0;114.0;680.0
206.0;-94.0;649.0;118.0;-769.0;-17.0;594.0;112.0;690.0
180.0;-130.0;654.0;130.0;-773.0;-9.0;592.0;106.0;700.0
155.0;-161.0;658.0;140.0;-776.0;-14.0;589.0;98.0;707.0
132.0;-187.0;662.0;150.0;-776.0;?;589.0;92.0;711.0
111.0;-208.0;666.0;161.0;?;-40.0;591.0;89.0;712.0
101.0;-224.0;672.0;171.0;-776.0;-56.0;595.0;89.0;708.0
95.0;-235.0;677.0;183.0;-777.0;-81.0;600.0;98.0;703.0
91.0;-244.0;682.0;195.0;-777.0;-114.0;605.0;112.0;699.0
85.0;-251.0;688.0;204.0;-773.0;-147.0;611.0;124.0;695.0
81.0;-253.0;694.0;208.0;-765.0;-173.0;618.0;132.0;691.0
79.0;-250.0;699.0;209.0;?;-183.0;625.0;136.0;686.0
79.0;?;706.0;207.0;-750.0;-178.0;633.0;133.0;680.0
81.0;-215.0;713.0;198.0;-745.0;-159.0;641.0;122.0;673.0
82.0;-186.0;720.0;188.0;?;-136.0;646.0;115.0;666.0
82.0;-159.0;722.0;182.0;-737.0;-116.0;649.0;110.0;664.0
87.0;-135.0;722.0;?;-733.0;-105.0;649.0;?;665.0
?;-116.0;720.0;170.0;-736.0;-112.0;645.0;113.0;664.0
105.0;-105.0;718.0;175.0;-740.0;-120.0;641.0;120.0;664.0
111.0;-101.0;717.0;180.0;-742.0;-124.0;637.0;127.0;664.0
118.0;-96.0;716.0;183.0;-744.0;-122.0;634.0;133.0;663.0
125.0;-90.0;715.0;182.0;?;-115.0;?;138.0;662.0
133.0;-86.0;713.0;182.0;-750.0;-108.0;629.0;144.0;662.0
141.0;-82.0;710.0;183.0;-756.0;-102.0;625.0;148.0;663.0
149.0;?;704.0;182.0;-762.0;-92.0;620.0;149.0;667.0
158.0;-89.0;?;180.0;-770.0;-73.0;613.0;152.0;675.0
166.0;-102.0;677.0;178.0;-780.0;-45.0;601.0;150.0;?
?;-124.0;654.0;175.0;-791.0;-13.0;582.0;143.0;?
174.0;?;629.0;177.0;-802.0;18.0;555.0;140.0;727.0
183.0;-170.0;600.0;182.0;-812.0;50.0;522.0;129.0;743.0
190.0;-201.0;564.0;179.0;-816.0;84.0;480.0;114.0;?
?;-239.0;522.0;170.0;?;?;431.0;?;780.0
195.0;-284.0;467.0;156.0;-805.0;176.0;379.0;?;804.0
191.0;-341.0;414.0;157.0;-804.0;218.0;311.0;76.0;827.0
187.0;-392.0;367.0;188.0;-817.0;231.0;230.0;99.0;848.0
188.0;-425.0;324.0;236.0;-840.0;212.0;?;117.0;859.0
200.0;?;297.0;281.0;-861.0;191.0;84.0;134.0;859.0
220.0;-453.0;278.0;316.0;-874.0;167.0;9.0;152.0;842.0
239.0;-455.0;259.0;355.0;-879.0;138.0;-67.0;166.0;815.0
258.0;-448.0;234.0;?;-880.0;?;-149.0;184.0;?
279.0;-428.0;211.0;449.0;-870.0;?;-231.0;204.0;729.0
295.0;-387.0;182.0;498.0;-858.0;61.0;-328.0;215.0;?
305.0;-359.0;164.0;543.0;-841.0;?;-392.0;229.0;646.0
307.0;-330.0;160.0;585.0;-824.0;7.0;-438.0;237.0;624.0
310.0;?;157.0;611.0;?;-18.0;-463.0;240.0;608.0
310.0;-306.0;163.0;624.0;-791.0;-36.0;-469.0;234.0;603.0
305.0;-313.0;174.0;631.0;-780.0;-53.0;-461.0;223.0;608.0
-458.0;-783.0;666.0;448.0;-138.0;-506.0;?;-355.0;495.0
-457.0;-786.0;664.0;447.0;-138.0;-502.0;203.0;-356.0;498.0
-457.0;-793.0;659.0;448.0;-137.0;-496.0;199.0;-356.0;505.0
-457.0;?;649.0;448.0;-144.0;-486.0;193.0;-352.0;516.0
-452.0;?;639.0;452.0;-162.0;-473.0;184.0;-343.0;532.0
-436.0;-821.0;?;462.0;-183.0;-460.0;177.0;-327.0;551.0
-412.0;-825.0;617.0;475.0;-210.0;?;165.0;-304.0;571.0
-381.0;-829.0;599.0;489.0;-244.0;?;147.0;-276.0;597.0
-345.0;-829.0;580.0;502.0;-285.0;-403.0;129.0;-244.0;622.0
?;-825.0;558.0;514.0;-332.0;-379.0;119.0;-207.0;?
-256.0;-815.0;533.0;522.0;-386.0;-352.0;112.0;-167.0;674.0
-203.0;-802.0;509.0;529.0;-446.0;-323.0;96.0;-122.0;?
-146.0;-783.0;484.0;535.0;-510.0;?;72.0;-73.0;713.0
-85.0;-756.0;456.0;542.0;-578.0;-271.0;53.0;?;725.0
-22.0;-725.0;429.0;553.0;-644.0;-253.0;26.0;?;730.0
?;-685.0;403.0;571.0;-709.0;-243.0;-21.0;103.0;725.0
107.0;-636.0;374.0;587.0;-768.0;-239.0;-73.0;?;710.0
168.0;?;346.0;610.0;-813.0;-244.0;-124.0;226.0;687.0
224.0;-511.0;320.0;631.0;-843.0;-259.0;-166.0;280.0;659.0
271.0;-448.0;294.0;650.0;-865.0;-267.0;-197.0;328.0;633.0
308.0;-397.0;271.0;?;-879.0;-267.0;-219.0;371.0;612.0
332.0;-362.0;255.0;682.0;-883.0;-271.0;-227.0;409.0;596.0
346.0;-337.0;242.0;695.0;?;-285.0;-231.0;438.0;586.0
?;-315.0;?;705.0;-868.0;-305.0;-237.0;454.0;?
357.0;?;232.0;710.0;-857.0;-323.0;-246.0;457.0;581.0
353.0;-292.0;?;711.0;-853.0;-328.0;-247.0;455.0;582.0
344.0;-293.0;234.0;713.0;-851.0;-329.0;-243.0;448.0;?
334.0;?;240.0;715.0;-847.0;-334.0;?;438.0;586.0
326.0;-299.0;244.0;?;-842.0;-339.0;-241.0;429.0;?
321.0;-303.0;?;721.0;-836.0;-345.0;?;421.0;593.0
316.0;?;254.0;722.0;-829.0;-354.0;-242.0;413.0;596.0
312.0;-315.0;259.0;721.0;-823.0;-364.0;-239.0;405.0;?
305.0;-325.0;263.0;721.0;-816.0;-374.0;-231.0;396.0;603.0
296.0;-336.0;?;723.0;-807.0;-385.0;-220.0;381.0;610.0
284.0;-350.0;275.0;?;-795.0;-400.0;-209.0;361.0;?
267.0;-368.0;284.0;731.0;-777.0;?;-199.0;338.0;627.0
-476.0;-713.0;?;503.0;-121.0;-565.0;229.0;-339.0;434.0
-473.0;-718.0;696.0;500.0;-121.0;-563.0;229.0;-338.0;439.0
-471.0;-723.0;694.0;498.0;-122.0;-559.0;?;-337.0;444.0
?;-730.0;690.0;495.0;-124.0;-555.0;229.0;-335.0;451.0
-467.0;-740.0;683.0;492.0;-129.0;-549.0;?;-333.0;461.0
-464.0;-758.0;672.0;491.0;-139.0;-539.0;227.0;?;478.0
-457.0;-780.0;654.0;491.0;-162.0;-530.0;219.0;-311.0;503.0
-446.0;-804.0;631.0;495.0;-197.0;?;?;-292.0;537.0
-425.0;-827.0;607.0;503.0;-235.0;?;191.0;-263.0;576.0
-392.0;-844.0;584.0;513.0;-282.0;-482.0;?;-222.0;616.0
-348.0;-850.0;560.0;?;-343.0;-464.0;173.0;-168.0;?
-287.0;-845.0;535.0;536.0;-423.0;-439.0;176.0;-105.0;697.0
-216.0;-828.0;512.0;547.0;-509.0;-411.0;?;-35.0;731.0
-138.0;?;487.0;559.0;-595.0;-390.0;162.0;40.0;755.0
-56.0;-758.0;462.0;572.0;-680.0;-372.0;?;115.0;770.0
31.0;-701.0;434.0;580.0;-751.0;-361.0;135.0;192.0;772.0
113.0;-634.0;408.0;?;-804.0;-360.0;119.0;263.0;?
184.0;-562.0;390.0;600.0;-843.0;-358.0;75.0;327.0;741.0
252.0;?;364.0;611.0;-871.0;-351.0;25.0;384.0;713.0
312.0;-403.0;337.0;624.0;-884.0;-350.0;-26.0;430.0;675.0
359.0;-333.0;308.0;?;-884.0;-357.0;-72.0;467.0;?
393.0;-283.0;284.0;652.0;-877.0;-370.0;-110.0;495.0;609.0
414.0;-250.0;?;660.0;-867.0;-380.0;-144.0;513.0;588.0
424.0;-233.0;259.0;666.0;-861.0;-382.0;-170.0;520.0;578.0
427.0;-228.0;251.0;671.0;-855.0;-385.0;-181.0;521.0;576.0
?;?;248.0;674.0;?;-389.0;-190.0;520.0;576.0
?;-230.0;247.0;676.0;-845.0;-391.0;-202.0;516.0;576.0
413.0;-234.0;245.0;679.0;-843.0;-390.0;-208.0;509.0;576.0
409.0;-239.0;242.0;679.0;-841.0;-390.0;-211.0;505.0;?
406.0;-241.0;241.0;680.0;-839.0;-391.0;-215.0;?;582.0
403.0;-242.0;240.0;681.0;-837.0;-392.0;-220.0;495.0;?
400.0;-246.0;239.0;?;-830.0;-399.0;-224.0;?;585.0
394.0;-251.0;240.0;691.0;-818.0;-417.0;-227.0;476.0;585.0
382.0;-262.0;?;697.0;-802.0;-440.0;-228.0;461.0;586.0
363.0;-279.0;?;?;-787.0;-460.0;-227.0;443.0;587.0
332.0;-302.0;276.0;708.0;-768.0;-481.0;?;414.0;589.0
-516.0;?;627.0;420.0;-174.0;-491.0;250.0;-366.0;546.0
-514.0;-790.0;628.0;419.0;-172.0;-492.0;250.0;-365.0;547.0
-511.0;-791.0;?;419.0;-170.0;-491.0;252.0;-364.0;549.0
-510.0;-793.0;627.0;418.0;-169.0;-491.0;252.0;-364.0;550.0
-508.0;-796.0;625.0;417.0;-169.0;-489.0;251.0;-363.0;553.0
-507.0;-802.0;621.0;418.0;-171.0;-485.0;248.0;-360.0;557.0
-503.0;-810.0;616.0;421.0;-179.0;-479.0;241.0;-352.0;?
-496.0;-817.0;610.0;428.0;-194.0;-470.0;231.0;-337.0;577.0
-481.0;-823.0;600.0;?;-217.0;-462.0;220.0;?;594.0
-453.0;-830.0;585.0;455.0;-252.0;-451.0;?;-276.0;?
-413.0;?;564.0;473.0;-301.0;-437.0;189.0;?;654.0
-360.0;-834.0;?;492.0;-365.0;-422.0;172.0;-167.0;686.0
-298.0;-826.0;522.0;514.0;-446.0;-406.0;?;-95.0;719.0
-222.0;-806.0;496.0;536.0;-539.0;-383.0;130.0;-16.0;747.0
-140.0;-771.0;467.0;553.0;-637.0;-355.0;114.0;64.0;765.0
-51.0;-719.0;438.0;566.0;-729.0;-322.0;94.0;146.0;?
40.0;-651.0;405.0;577.0;-805.0;-288.0;78.0;230.0;?
127.0;-575.0;369.0;585.0;-860.0;-269.0;45.0;310.0;744.0
203.0;-495.0;340.0;592.0;-898.0;-254.0;-17.0;383.0;717.0
273.0;-410.0;?;?;-924.0;-230.0;-84.0;445.0;682.0
333.0;-337.0;276.0;603.0;-936.0;-211.0;-138.0;497.0;646.0
378.0;-285.0;249.0;606.0;-937.0;-204.0;-180.0;?;617.0
?;-252.0;?;606.0;?;-203.0;-210.0;?;600.0
416.0;-233.0;219.0;612.0;?;-201.0;-233.0;588.0;591.0
419.0;-223.0;216.0;624.0;-921.0;-199.0;-246.0;589.0;?
414.0;-219.0;213.0;636.0;-912.0;-205.0;-252.0;?;578.0
406.0;-220.0;214.0;647.0;?;-220.0;-254.0;?;582.0
397.0;-226.0;218.0;653.0;-899.0;-228.0;-247.0;?;590.0
390.0;-234.0;224.0;655.0;-898.0;-232.0;-238.0;535.0;597.0
386.0;-242.0;230.0;?;-898.0;-233.0;-233.0;525.0;602.0
384.0;?;233.0;654.0;-897.0;?;-230.0;516.0;605.0
381.0;-257.0;235.0;656.0;-893.0;-241.0;-228.0;508.0;606.0
378.0;?;236.0;656.0;-888.0;-257.0;-227.0;500.0;607.0
370.0;-272.0;239.0;658.0;?;-276.0;-226.0;486.0;608.0
356.0;-284.0;247.0;661.0;-871.0;-297.0;-225.0;?;610.0
333.0;-303.0;259.0;667.0;-855.0;-323.0;-221.0;434.0;615.0
302.0;-329.0;276.0;674.0;-833.0;-355.0;-215.0;394.0;622.0
-457.0;-792.0;651.0;481.0;-195.0;-471.0;373.0;-245.0;538.0
-455.0;-794.0;649.0;479.0;-198.0;-466.0;375.0;-247.0;542.0
-452.0;-800.0;646.0;477.0;?;?;373.0;-247.0;549.0
-446.0;-805.0;642.0;476.0;-213.0;?;?;-243.0;?
-438.0;-811.0;636.0;477.0;?;-453.0;360.0;-234.0;567.0
-427.0;-817.0;627.0;479.0;-249.0;-451.0;349.0;-223.0;582.0
-408.0;-821.0;615.0;?;-278.0;-441.0;?;-204.0;601.0
-380.0;?;?;494.0;-314.0;-428.0;319.0;?;624.0
-343.0;-831.0;576.0;509.0;-359.0;-413.0;296.0;-129.0;653.0
-299.0;-834.0;549.0;?;-418.0;-392.0;270.0;-76.0;682.0
-247.0;-833.0;522.0;540.0;-487.0;-367.0;238.0;-9.0;709.0
-189.0;-825.0;492.0;558.0;-559.0;-345.0;?;63.0;733.0
-122.0;-807.0;459.0;574.0;-635.0;-326.0;157.0;137.0;753.0
?;-774.0;426.0;590.0;-709.0;-307.0;117.0;212.0;762.0
31.0;-725.0;401.0;607.0;-773.0;-287.0;68.0;285.0;761.0
113.0;-658.0;?;619.0;-829.0;-264.0;25.0;352.0;747.0
?;-576.0;352.0;628.0;-869.0;-244.0;-15.0;417.0;711.0
284.0;-481.0;321.0;636.0;-893.0;-235.0;-72.0;475.0;666.0
352.0;-396.0;285.0;643.0;?;-230.0;-121.0;522.0;616.0
400.0;?;258.0;648.0;-903.0;-228.0;-163.0;562.0;578.0
431.0;-291.0;247.0;648.0;-897.0;-232.0;-193.0;591.0;554.0
449.0;-264.0;248.0;648.0;-890.0;-241.0;-206.0;607.0;?
449.0;-253.0;252.0;647.0;-884.0;-254.0;-207.0;614.0;548.0
439.0;-252.0;258.0;652.0;-878.0;-267.0;-201.0;609.0;552.0
425.0;?;263.0;661.0;-872.0;?;-195.0;597.0;556.0
414.0;?;268.0;667.0;-869.0;-276.0;-190.0;585.0;562.0
406.0;-271.0;271.0;670.0;-868.0;-281.0;?;574.0;570.0
399.0;-281.0;273.0;673.0;-867.0;-284.0;-183.0;564.0;?
394.0;?;274.0;673.0;-868.0;-281.0;-182.0;558.0;583.0
390.0;?;276.0;?;-869.0;-279.0;-185.0;?;587.0
390.0;-299.0;?;674.0;-868.0;-277.0;-184.0;550.0;589.0
390.0;-302.0;274.0;674.0;?;-276.0;-186.0;548.0;590.0
391.0;-303.0;273.0;673.0;-867.0;-274.0;-187.0;548.0;593.0
391.0;-303.0;271.0;672.0;-866.0;-275.0;-190.0;546.0;594.0
388.0;-302.0;270.0;673.0;-862.0;-286.0;-195.0;541.0;595.0
?;-306.0;271.0;677.0;-854.0;-305.0;-196.0;529.0;599.0
361.0;-316.0;278.0;685.0;-844.0;-324.0;-197.0;508.0;604.0
-539.0;-813.0;598.0;380.0;-231.0;?;295.0;-361.0;560.0
-535.0;-812.0;600.0;378.0;-229.0;-519.0;299.0;?;562.0
-531.0;?;600.0;376.0;?;?;?;-356.0;564.0
-528.0;-814.0;601.0;375.0;-229.0;-517.0;305.0;-353.0;566.0
-526.0;-816.0;600.0;375.0;-229.0;-515.0;306.0;-350.0;569.0
-523.0;-817.0;600.0;374.0;?;?;308.0;-347.0;572.0
-519.0;-819.0;598.0;375.0;-233.0;-506.0;309.0;-341.0;578.0
-512.0;?;?;378.0;?;-502.0;307.0;-330.0;584.0
-502.0;-825.0;596.0;382.0;-250.0;-497.0;305.0;-315.0;593.0
-488.0;-827.0;596.0;388.0;-265.0;-492.0;302.0;-295.0;605.0
-467.0;-827.0;595.0;398.0;-285.0;?;301.0;-269.0;619.0
-437.0;-824.0;594.0;409.0;-310.0;-490.0;299.0;-235.0;635.0
-405.0;-822.0;586.0;?;-343.0;-485.0;294.0;-198.0;658.0
-365.0;-818.0;577.0;428.0;-383.0;-477.0;288.0;-155.0;682.0
-322.0;-809.0;570.0;435.0;-430.0;-464.0;?;-110.0;703.0
-273.0;-798.0;562.0;437.0;-485.0;-448.0;279.0;-62.0;724.0
-221.0;-783.0;?;437.0;-545.0;-428.0;267.0;-14.0;746.0
-165.0;-762.0;533.0;433.0;?;-403.0;255.0;33.0;767.0
-108.0;-729.0;518.0;427.0;-667.0;-380.0;256.0;76.0;782.0
-53.0;-683.0;503.0;421.0;-729.0;-358.0;262.0;?;792.0
1.0;-629.0;?;?;-786.0;-330.0;?;?;797.0
53.0;-567.0;472.0;410.0;-832.0;-299.0;?;203.0;800.0
101.0;-505.0;455.0;410.0;?;-278.0;283.0;240.0;797.0
139.0;-448.0;?;?;-886.0;-265.0;?;?;792.0
166.0;-390.0;425.0;420.0;-901.0;-250.0;279.0;286.0;788.0
184.0;?;415.0;423.0;-909.0;-235.0;287.0;297.0;?
198.0;-268.0;409.0;427.0;-912.0;-221.0;290.0;298.0;780.0
206.0;-217.0;407.0;429.0;-911.0;-208.0;287.0;?;775.0
210.0;-162.0;403.0;433.0;-907.0;-200.0;292.0;311.0;769.0
217.0;-98.0;398.0;436.0;-899.0;-202.0;305.0;320.0;762.0
222.0;-32.0;399.0;440.0;?;-208.0;319.0;?;757.0
?;26.0;?;438.0;-882.0;-208.0;328.0;?;752.0
234.0;71.0;415.0;427.0;-875.0;-197.0;337.0;339.0;747.0
244.0;98.0;426.0;409.0;-868.0;-179.0;351.0;334.0;745.0
250.0;109.0;439.0;382.0;-858.0;?;372.0;323.0;?
254.0;109.0;454.0;?;-845.0;-124.0;398.0;306.0;747.0
254.0;101.0;476.0;317.0;-831.0;-94.0;?;284.0;?
252.0;89.0;497.0;288.0;-817.0;-69.0;448.0;268.0;745.0
251.0;79.0;513.0;267.0;-805.0;-51.0;472.0;?;?
246.0;71.0;?;249.0;-793.0;-36.0;494.0;235.0;735.0
