InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
590;-1;0;-7;3;878.0;10;-15;991.0;-34;-837;3;-15
604;-1;1;8;-32;935.0;-25;-11;985.0;-35;-841;-32;-11
476;-4;8;6;-3;943.0;-88;8;996.0;-23;-890;-3;8
618;-4;-2;10;-7;937.0;10;-19;982.0;-37;-812;-7;-19
488;3;8;-3;14;932.0;-92;5;1000.0;-23;-889;14;5
490;-4;8;-2;-4;920.0;-85;-7;1023.0;-23;-888;-4;-7
489;0;4;6;23;916.0;-86;8;909.0;-28;-901;23;8
530;143;7;84;-41;1063.0;-84;-20;844.0;-19;-873;-41;-20
486;-1;6;0;22;923.0;-107;2;949.0;-30;-890;22;2
475;9;2;4;-12;874.0;-80;-8;979.0;-27;-891;-12;-8
484;1;6;4;25;925.0;-112;13;946.0;-30;-888;25;13
638;1;-2;6;11;933.0;22;-11;1003.0;-38;-802;11;-11
572;-25;11;33;35;933.0;-114;28;886.0;-37;-835;35;28
466;5;10;-2;-80;988.0;-156;6;878.0;-28;-893;-80;6
488;2;6;4;34;920.0;-116;3;949.0;-30;-887;34;3
494;-7;7;-14;-23;909.0;-103;37;892.0;-28;-886;-23;37
482;0;6;-4;7;902.0;-129;0;898.0;-29;-882;7;0
493;2;5;-3;-18;911.0;-95;-34;1004.0;-29;-881;-18;-34
490;5;5;-2;35;922.0;-97;20;958.0;-29;-878;35;20
494;-1;5;-6;-12;905.0;-91;-16;1032.0;-29;-879;-12;-16
489;-11;5;1;15;916.0;-81;11;1017.0;-29;-884;15;11
495;4;5;-8;5;918.0;-96;1;1018.0;-29;-882;5;1
492;-2;6;1;-3;928.0;-110;-20;946.0;-30;-887;-3;-20
479;12;8;-19;32;796.0;-101;30;1008.0;-24;-897;32;30
484;3;8;-4;-1;904.0;-128;-2;949.0;-29;-895;-1;-2
477;4;5;2;25;911.0;-94;11;1008.0;-29;-886;25;11
490;7;8;-3;-25;950.0;-101;16;980.0;-23;-892;-25;16
505;-4;4;-6;48;918.0;-47;36;869.0;-29;-889;48;36
488;-1;3;8;-6;949.0;-77;-6;952.0;-28;-901;-6;-6
482;-9;5;1;13;916.0;-84;-22;966.0;-29;-887;13;-22
479;2;3;2;-29;959.0;-72;-3;939.0;-28;-898;-29;-3
479;-9;5;8;34;903.0;-83;-22;964.0;-29;-900;34;-22
490;15;3;-8;85;898.0;-11;53;907.0;-29;-886;85;53
491;8;5;-1;23;903.0;-93;12;1043.0;-29;-890;23;12
478;1;5;4;14;926.0;-90;-31;1006.0;-29;-894;14;-31
491;-1;8;-1;-27;964.0;-91;3;993.0;-23;-886;-27;3
484;-6;5;1;29;914.0;-82;41;1009.0;-29;-894;29;41
487;-3;5;1;-7;912.0;-91;3;1010.0;-29;-892;-7;3
489;0;5;-5;-6;920.0;-94;-10;1009.0;-29;-883;-6;-10
485;0;5;2;-13;935.0;-92;6;1020.0;-29;-888;-13;6
490;-5;5;-2;6;919.0;-92;0;1011.0;-29;-892;6;0
492;1;5;-6;26;919.0;-97;-16;1020.0;-29;-889;26;-16
474;-4;9;-1;13;916.0;-83;19;994.0;-27;-898;13;19
476;1;9;4;-6;914.0;-89;-30;975.0;-27;-895;-6;-30
474;1;9;5;16;900.0;-90;5;990.0;-27;-893;16;5
489;-5;5;-5;-7;919.0;-93;21;994.0;-29;-888;-7;21
485;5;5;1;-17;888.0;-97;11;1007.0;-29;-889;-17;11
495;2;5;-8;-9;891.0;-99;19;1004.0;-29;-883;-9;19
496;2;5;-7;-9;900.0;-99;3;1000.0;-29;-887;-9;3
488;-1;5;2;-5;906.0;-94;-7;964.0;-29;-891;-5;-7
488;2;5;2;-10;916.0;-97;21;1002.0;-29;-895;-10;21
497;64;7;23;75;874.0;-77;-1;973.0;-29;-880;75;-1
476;7;9;7;-34;923.0;-94;-13;985.0;-27;-889;-34;-13
476;12;5;9;10;912.0;-105;7;1009.0;-29;-896;10;7
485;-4;5;-3;3;917.0;-89;-21;1013.0;-29;-885;3;-21
474;-2;5;8;-1;902.0;-93;2;1000.0;-29;-894;-1;2
478;0;9;0;2;906.0;-86;10;995.0;-27;-900;2;10
485;3;5;-6;-16;912.0;-99;5;950.0;-29;-888;-16;5
480;2;9;-7;8;915.0;-80;-20;984.0;-27;-893;8;-20
488;-3;5;-5;18;931.0;-94;-6;1006.0;-29;-889;18;-6
