InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameX
-24;-20;20;205.0;72;283.0;-20
-26;1;18;90.0;76;220.0;1
-26;3;18;64.0;76;228.0;3
-27;6;21;141.0;82;322.0;6
-27;-12;21;144.0;81;291.0;-12
-27;-9;21;148.0;78;267.0;-9
-27;10;21;157.0;76;278.0;10
-27;17;21;158.0;77;322.0;17
-26;-3;21;96.0;77;316.0;-3
-26;-30;21;107.0;72;304.0;-30
-25;-7;21;88.0;72;339.0;-7
-24;6;20;112.0;75;334.0;6
-24;-1;20;105.0;71;347.0;-1
-24;-8;20;111.0;71;351.0;-8
-24;3;20;117.0;76;353.0;3
-24;-13;20;113.0;71;342.0;-13
-24;-22;20;113.0;74;330.0;-22
-24;-5;20;128.0;73;333.0;-5
-24;-20;20;119.0;71;317.0;-20
-24;-37;20;93.0;76;313.0;-37
-26;-1;20;166.0;84;337.0;-1
-26;-27;20;160.0;85;333.0;-27
-26;-4;20;124.0;75;316.0;-4
-26;-44;20;114.0;76;314.0;-44
-26;5;20;110.0;77;314.0;5
-26;-26;20;132.0;77;319.0;-26
-35;-10;15;158.0;84;341.0;-10
-25;11;18;104.0;71;329.0;11
-25;-11;18;123.0;71;335.0;-11
-25;3;18;129.0;73;341.0;3
-25;-6;20;79.0;77;317.0;-6
-25;-7;20;97.0;77;313.0;-7
-25;25;20;119.0;73;270.0;25
-25;7;20;85.0;80;242.0;7
-26;1;20;77.0;73;242.0;1
-26;0;20;76.0;73;241.0;0
-26;5;20;76.0;76;242.0;5
-26;24;20;77.0;78;243.0;24
-26;-27;20;89.0;77;244.0;-27
-26;0;20;94.0;77;246.0;0
-26;8;20;94.0;78;250.0;8
-26;29;20;99.0;76;252.0;29
-26;-27;20;105.0;79;255.0;-27
-26;0;20;111.0;79;257.0;0
-26;26;20;111.0;78;257.0;26
-26;6;20;112.0;74;257.0;6
-26;3;20;111.0;80;259.0;3
-26;-16;20;113.0;79;260.0;-16
-26;-25;20;114.0;80;260.0;-25
-26;-43;20;114.0;86;262.0;-43
-26;1;20;110.0;76;262.0;1
-26;20;20;110.0;79;260.0;20
-26;24;20;109.0;76;260.0;24
-28;-82;31;177.0;85;268.0;-82
-26;-10;20;94.0;78;261.0;-10
-25;-2;20;89.0;78;261.0;-2
-25;-32;20;86.0;75;263.0;-32
-26;18;20;87.0;74;266.0;18
-24;-27;20;80.0;73;270.0;-27
-24;-15;20;132.0;73;279.0;-15
-24;6;20;151.0;71;281.0;6
-28;-10;32;133.0;75;359.0;-10
-25;8;20;173.0;79;245.0;8
-25;22;20;156.0;74;241.0;22
-25;5;20;156.0;76;235.0;5
-25;19;20;147.0;78;228.0;19
-25;-11;20;132.0;74;226.0;-11
-25;4;20;112.0;78;228.0;4
-25;-66;20;82.0;69;244.0;-66
-24;-24;20;57.0;68;239.0;-24
-24;-13;20;68.0;75;254.0;-13
-24;3;20;79.0;79;269.0;3
-24;-12;20;91.0;71;283.0;-12
-24;-27;20;109.0;68;298.0;-27
-24;-29;20;128.0;72;315.0;-29
-23;6;16;135.0;71;347.0;6
-23;-31;16;123.0;66;342.0;-31
-24;-45;21;113.0;70;246.0;-45
-24;-24;21;105.0;70;231.0;-24
-24;-39;21;98.0;69;219.0;-39
-24;-10;21;83.0;76;201.0;-10
-24;9;21;77.0;74;194.0;9
-24;5;21;74.0;72;188.0;5
-24;-2;21;86.0;70;173.0;-2
-24;2;21;83.0;71;175.0;2
-23;14;16;122.0;71;333.0;14
-23;0;16;139.0;71;327.0;0
-23;6;16;135.0;68;325.0;6
-23;-47;18;155.0;73;325.0;-47
-21;-7;26;99.0;88;265.0;-7
-21;20;26;104.0;68;273.0;20
-21;19;26;116.0;79;285.0;19
-21;4;26;139.0;72;316.0;4
-21;22;26;158.0;71;321.0;22
-20;5;26;196.0;69;298.0;5
-26;21;18;144.0;68;207.0;21
-22;139;24;212.0;66;55.0;139
-25;3;20;366.0;79;263.0;3
