InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;Accelerometer LUA_ accX;InertialMeasurementUnit RLA magneticX;Accelerometer LH accX;InertialMeasurementUnit LLA magneticX;Accelerometer LWR accZ;InertialMeasurementUnit LUA magneticY
-428.0;257.0;1009.0;-465.0;-284.0;211.0;374.0;368.0;359.0;-106.0
-548.0;384.0;726.0;-394.0;-216.0;-18.0;342.0;340.0;298.0;49.0
-603.0;200.0;1039.0;-595.0;-530.0;-283.0;806.0;587.0;722.0;63.0
-599.0;123.0;940.0;-756.0;-270.0;-368.0;623.0;347.0;576.0;-205.0
-522.0;262.0;1017.0;-728.0;-236.0;-402.0;496.0;565.0;442.0;136.0
-380.0;216.0;834.0;-609.0;-423.0;-110.0;612.0;352.0;575.0;-80.0
-382.0;264.0;821.0;-479.0;-222.0;78.0;398.0;406.0;540.0;54.0
-391.0;243.0;820.0;-468.0;-117.0;50.0;463.0;378.0;426.0;-38.0
-329.0;117.0;975.0;-693.0;-611.0;-97.0;548.0;-272.0;736.0;282.0
-346.0;184.0;903.0;-966.0;-779.0;-83.0;769.0;-34.0;741.0;165.0
-636.0;490.0;823.0;-436.0;-294.0;-202.0;349.0;136.0;283.0;109.0
-348.0;276.0;1207.0;-658.0;-365.0;382.0;739.0;482.0;526.0;107.0
-203.0;36.0;981.0;-606.0;-448.0;-35.0;637.0;-109.0;540.0;-16.0
-289.0;38.0;951.0;-599.0;-657.0;-106.0;635.0;159.0;862.0;-79.0
-310.0;69.0;965.0;-599.0;-472.0;-121.0;578.0;32.0;455.0;24.0
-306.0;75.0;973.0;-594.0;-424.0;-109.0;523.0;9.0;538.0;29.0
-126.0;-80.0;928.0;-665.0;-748.0;51.0;261.0;70.0;406.0;-218.0
-328.0;108.0;974.0;-569.0;-435.0;-107.0;439.0;-55.0;549.0;43.0
-366.0;143.0;940.0;-729.0;-463.0;-143.0;360.0;-115.0;577.0;47.0
-377.0;166.0;942.0;-677.0;-568.0;-156.0;325.0;-160.0;507.0;60.0
-505.0;389.0;1020.0;-547.0;-318.0;239.0;369.0;246.0;370.0;322.0
-379.0;429.0;911.0;-398.0;-237.0;137.0;312.0;105.0;370.0;220.0
-312.0;397.0;908.0;-309.0;-254.0;258.0;174.0;128.0;394.0;214.0
-563.0;476.0;902.0;-382.0;-391.0;-81.0;484.0;251.0;372.0;136.0
1234.0;-443.0;861.0;-526.0;-56.0;173.0;617.0;375.0;628.0;-131.0
20.0;225.0;963.0;-631.0;-434.0;100.0;565.0;263.0;591.0;301.0
-105.0;157.0;1275.0;-725.0;-451.0;230.0;408.0;44.0;434.0;192.0
-166.0;275.0;1474.0;-648.0;-328.0;153.0;365.0;298.0;425.0;248.0
-4.0;129.0;105.0;-345.0;-79.0;532.0;108.0;366.0;287.0;253.0
-447.0;498.0;837.0;-665.0;-336.0;114.0;518.0;129.0;478.0;409.0
-430.0;341.0;725.0;-389.0;-384.0;-45.0;518.0;457.0;423.0;53.0
-609.0;379.0;950.0;-556.0;-430.0;-470.0;384.0;-436.0;452.0;453.0
-543.0;437.0;925.0;-604.0;-452.0;-148.0;634.0;-42.0;550.0;523.0
-542.0;435.0;933.0;-605.0;-395.0;-144.0;780.0;-27.0;514.0;527.0
-562.0;434.0;913.0;-588.0;-424.0;-202.0;720.0;-22.0;564.0;540.0
-535.0;458.0;851.0;-600.0;-458.0;-261.0;672.0;25.0;560.0;583.0
-447.0;405.0;1046.0;-341.0;-422.0;-194.0;642.0;16.0;535.0;439.0
-399.0;379.0;985.0;-524.0;-251.0;-155.0;571.0;112.0;356.0;378.0
-354.0;270.0;939.0;-402.0;-349.0;-29.0;375.0;402.0;385.0;-31.0
-506.0;446.0;1737.0;-453.0;-86.0;-309.0;202.0;227.0;323.0;90.0
-580.0;506.0;854.0;-429.0;-201.0;-268.0;433.0;163.0;455.0;309.0
-580.0;494.0;847.0;-421.0;-195.0;-317.0;378.0;180.0;413.0;308.0
-601.0;482.0;846.0;-422.0;-255.0;-324.0;381.0;170.0;520.0;298.0
-603.0;480.0;851.0;-437.0;-278.0;-321.0;402.0;170.0;462.0;293.0
-612.0;467.0;850.0;-477.0;-265.0;-334.0;456.0;166.0;389.0;272.0
-611.0;457.0;859.0;-475.0;-249.0;-336.0;460.0;170.0;493.0;257.0
-611.0;456.0;846.0;-472.0;-281.0;-339.0;456.0;172.0;378.0;251.0
-608.0;451.0;846.0;-496.0;-271.0;-338.0;446.0;178.0;423.0;241.0
-601.0;441.0;854.0;-497.0;-254.0;-344.0;465.0;189.0;445.0;225.0
-585.0;430.0;863.0;-508.0;-272.0;-312.0;472.0;194.0;529.0;213.0
-582.0;428.0;875.0;-500.0;-277.0;-305.0;477.0;194.0;508.0;210.0
-583.0;426.0;875.0;-479.0;-262.0;-301.0;490.0;194.0;461.0;212.0
-588.0;422.0;834.0;-517.0;-242.0;-302.0;491.0;194.0;444.0;209.0
-623.0;427.0;848.0;-483.0;-221.0;-365.0;515.0;183.0;492.0;222.0
-769.0;535.0;940.0;-608.0;-544.0;-649.0;623.0;58.0;564.0;585.0
-655.0;503.0;809.0;-537.0;-284.0;-339.0;489.0;160.0;489.0;271.0
-655.0;494.0;823.0;-545.0;-261.0;-348.0;493.0;175.0;497.0;257.0
-657.0;493.0;822.0;-555.0;-275.0;-351.0;455.0;179.0;592.0;248.0
-659.0;489.0;833.0;-555.0;-306.0;-349.0;437.0;185.0;445.0;241.0
-653.0;482.0;830.0;-529.0;-262.0;-351.0;457.0;190.0;498.0;233.0
-364.0;456.0;979.0;-442.0;-800.0;-546.0;331.0;-230.0;393.0;486.0
-645.0;478.0;815.0;-497.0;-272.0;-356.0;443.0;193.0;453.0;229.0
-646.0;474.0;825.0;-512.0;-269.0;-351.0;432.0;186.0;444.0;227.0
-618.0;472.0;809.0;-492.0;-256.0;-288.0;394.0;184.0;411.0;232.0
-613.0;470.0;798.0;-482.0;-268.0;-278.0;377.0;184.0;380.0;233.0
-612.0;469.0;819.0;-482.0;-276.0;-278.0;396.0;182.0;421.0;234.0
-612.0;468.0;812.0;-472.0;-285.0;-284.0;388.0;179.0;450.0;236.0
-612.0;467.0;811.0;-461.0;-256.0;-293.0;421.0;176.0;467.0;236.0
-613.0;467.0;804.0;-467.0;-259.0;-299.0;412.0;175.0;512.0;235.0
-613.0;467.0;833.0;-468.0;-261.0;-299.0;425.0;173.0;433.0;231.0
-607.0;465.0;832.0;-486.0;-263.0;-287.0;429.0;184.0;402.0;232.0
-602.0;460.0;813.0;-472.0;-227.0;-276.0;396.0;195.0;357.0;230.0
-607.0;461.0;825.0;-451.0;-247.0;-330.0;389.0;195.0;341.0;231.0
-607.0;458.0;813.0;-474.0;-223.0;-339.0;382.0;200.0;384.0;227.0
-611.0;458.0;825.0;-450.0;-242.0;-345.0;400.0;199.0;382.0;228.0
-611.0;457.0;805.0;-450.0;-243.0;-347.0;400.0;201.0;427.0;227.0
-610.0;457.0;825.0;-450.0;-236.0;-344.0;410.0;201.0;417.0;226.0
-608.0;458.0;792.0;-459.0;-231.0;-343.0;394.0;200.0;409.0;227.0
-604.0;459.0;787.0;-468.0;-221.0;-344.0;389.0;200.0;453.0;226.0
-579.0;525.0;899.0;-426.0;-279.0;-194.0;394.0;287.0;354.0;198.0
-578.0;523.0;909.0;-384.0;-184.0;-173.0;445.0;293.0;429.0;192.0
-578.0;516.0;872.0;-379.0;-212.0;-175.0;531.0;309.0;393.0;174.0
-576.0;512.0;875.0;-370.0;-231.0;-174.0;511.0;305.0;493.0;171.0
-580.0;508.0;914.0;-429.0;-223.0;-178.0;495.0;300.0;435.0;166.0
-579.0;508.0;850.0;-435.0;-241.0;-185.0;474.0;301.0;440.0;163.0
-583.0;530.0;857.0;-406.0;-212.0;-241.0;432.0;260.0;372.0;243.0
-583.0;533.0;850.0;-429.0;-205.0;-244.0;475.0;272.0;423.0;244.0
-586.0;531.0;893.0;-413.0;-224.0;-246.0;361.0;270.0;418.0;230.0
-584.0;528.0;897.0;-444.0;-214.0;-244.0;394.0;270.0;355.0;222.0
-583.0;526.0;892.0;-392.0;-204.0;-238.0;437.0;281.0;458.0;218.0
-584.0;524.0;894.0;-433.0;-202.0;-233.0;457.0;316.0;411.0;202.0
-583.0;523.0;882.0;-441.0;-206.0;-231.0;439.0;323.0;475.0;195.0
-580.0;519.0;884.0;-412.0;-222.0;-218.0;425.0;295.0;417.0;204.0
-553.0;391.0;886.0;-474.0;-122.0;8.0;400.0;324.0;494.0;175.0
-581.0;522.0;890.0;-417.0;-209.0;-220.0;393.0;296.0;381.0;207.0
-739.0;592.0;1438.0;-485.0;-449.0;166.0;480.0;365.0;411.0;138.0
-511.0;386.0;953.0;-384.0;-298.0;132.0;474.0;313.0;459.0;264.0
-493.0;364.0;991.0;-452.0;-320.0;151.0;459.0;323.0;445.0;264.0
-566.0;440.0;932.0;-347.0;-194.0;-96.0;333.0;150.0;459.0;176.0
-556.0;390.0;847.0;-431.0;-151.0;-69.0;327.0;241.0;312.0;113.0
-545.0;372.0;787.0;-476.0;-330.0;-27.0;396.0;318.0;323.0;80.0
-538.0;364.0;719.0;-437.0;-364.0;-2.0;390.0;365.0;405.0;56.0
-526.0;349.0;738.0;-366.0;-143.0;10.0;318.0;349.0;417.0;59.0
-544.0;396.0;738.0;-545.0;-168.0;-7.0;303.0;339.0;366.0;71.0
-543.0;397.0;754.0;-441.0;-174.0;-7.0;363.0;345.0;365.0;68.0
-544.0;395.0;731.0;-327.0;-191.0;-17.0;398.0;347.0;453.0;65.0
-545.0;393.0;712.0;-346.0;-209.0;-21.0;326.0;348.0;421.0;62.0
-546.0;373.0;716.0;-397.0;-198.0;-23.0;348.0;344.0;372.0;37.0
-538.0;364.0;714.0;-388.0;-184.0;-15.0;311.0;348.0;357.0;30.0
-581.0;564.0;848.0;-341.0;-286.0;-87.0;338.0;178.0;353.0;343.0
-586.0;562.0;754.0;-420.0;-266.0;-99.0;330.0;235.0;386.0;318.0
-590.0;564.0;816.0;-430.0;-252.0;-105.0;297.0;247.0;365.0;311.0
-555.0;496.0;1008.0;-358.0;-225.0;-48.0;311.0;203.0;367.0;309.0
-572.0;483.0;1027.0;-366.0;-261.0;-123.0;448.0;228.0;316.0;271.0
-603.0;534.0;766.0;-526.0;-346.0;-15.0;423.0;229.0;323.0;342.0
-615.0;-45.0;989.0;-536.0;-476.0;-703.0;538.0;727.0;590.0;-244.0
-542.0;408.0;738.0;-310.0;-154.0;28.0;449.0;310.0;322.0;115.0
-596.0;570.0;838.0;-402.0;-260.0;-38.0;299.0;214.0;345.0;357.0
-695.0;15.0;848.0;-602.0;-421.0;-602.0;519.0;701.0;482.0;-211.0
-592.0;590.0;947.0;-398.0;-252.0;-52.0;330.0;206.0;458.0;368.0
-572.0;499.0;838.0;-432.0;-173.0;-306.0;329.0;179.0;424.0;307.0
-582.0;529.0;848.0;-400.0;-203.0;-242.0;444.0;267.0;333.0;244.0
-572.0;500.0;821.0;-460.0;-182.0;-289.0;333.0;175.0;349.0;304.0
-546.0;495.0;869.0;-416.0;-213.0;-248.0;262.0;230.0;319.0;247.0
-536.0;479.0;926.0;-406.0;-172.0;-270.0;301.0;237.0;358.0;209.0
-539.0;473.0;955.0;-422.0;-135.0;-290.0;368.0;231.0;397.0;198.0
-585.0;537.0;874.0;-423.0;-212.0;-258.0;429.0;287.0;381.0;242.0
-584.0;571.0;809.0;-404.0;-243.0;-28.0;295.0;211.0;366.0;370.0
-584.0;524.0;843.0;-383.0;-209.0;-241.0;363.0;252.0;374.0;233.0
-469.0;418.0;1024.0;-460.0;-351.0;-192.0;708.0;-12.0;467.0;498.0
-586.0;538.0;854.0;-435.0;-170.0;-261.0;382.0;282.0;462.0;242.0
-554.0;562.0;991.0;-433.0;-272.0;-73.0;283.0;210.0;356.0;321.0
-587.0;536.0;848.0;-398.0;-210.0;-256.0;395.0;273.0;350.0;247.0
-569.0;436.0;900.0;-575.0;-452.0;-242.0;763.0;-27.0;518.0;544.0
-510.0;-98.0;964.0;-417.0;-211.0;-348.0;429.0;557.0;405.0;-346.0
-587.0;522.0;872.0;-376.0;-192.0;-247.0;444.0;272.0;366.0;225.0
-608.0;562.0;781.0;-536.0;-290.0;-1.0;525.0;228.0;277.0;370.0
-584.0;526.0;891.0;-399.0;-223.0;-236.0;447.0;293.0;372.0;211.0
