InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LUA Quaternion1
212.0;-154.0;619.0;-104.0;-640.0;-286.0;591.0;-165.0;751.0
-21.0;-407.0;622.0;-267.0;-803.0;-99.0;589.0;-362.0;775.0
150.0;-219.0;630.0;-155.0;-778.0;-10.0;613.0;-237.0;761.0
154.0;-246.0;629.0;-161.0;-780.0;-16.0;608.0;-250.0;761.0
140.0;-331.0;632.0;-159.0;-775.0;-5.0;585.0;-246.0;760.0
122.0;-360.0;634.0;-152.0;-772.0;3.0;572.0;-237.0;762.0
98.0;-376.0;638.0;-148.0;-773.0;-20.0;558.0;-225.0;761.0
97.0;-352.0;645.0;-177.0;-784.0;-58.0;566.0;-245.0;756.0
101.0;-336.0;645.0;-189.0;-789.0;-78.0;575.0;-253.0;756.0
642.0;253.0;440.0;253.0;-375.0;163.0;314.0;321.0;452.0
-20.0;-680.0;605.0;-314.0;-869.0;-201.0;408.0;-380.0;777.0
498.0;198.0;581.0;-95.0;-652.0;197.0;537.0;-51.0;566.0
627.0;224.0;451.0;244.0;-388.0;155.0;314.0;310.0;467.0
604.0;181.0;464.0;224.0;-415.0;136.0;324.0;280.0;492.0
361.0;-316.0;278.0;685.0;-844.0;-324.0;-197.0;508.0;604.0
571.0;180.0;489.0;166.0;-482.0;70.0;419.0;191.0;543.0
563.0;204.0;500.0;172.0;-474.0;76.0;441.0;187.0;550.0
562.0;274.0;498.0;206.0;-409.0;71.0;453.0;189.0;550.0
588.0;310.0;463.0;271.0;-244.0;138.0;442.0;272.0;554.0
189.0;-65.0;652.0;-175.0;-749.0;-55.0;620.0;-131.0;731.0
95.0;-175.0;664.0;-171.0;-789.0;-74.0;617.0;-215.0;742.0
81.0;-193.0;673.0;-167.0;-785.0;-42.0;614.0;-226.0;735.0
73.0;-207.0;678.0;-168.0;-784.0;2.0;613.0;-231.0;732.0
67.0;-228.0;674.0;-179.0;-785.0;22.0;615.0;-242.0;736.0
-30.0;-330.0;615.0;-212.0;-802.0;-89.0;632.0;-295.0;769.0
-53.0;-333.0;630.0;-313.0;-794.0;-153.0;556.0;-400.0;758.0
-25.0;-302.0;631.0;-302.0;-800.0;-140.0;572.0;-381.0;763.0
-165.0;-447.0;632.0;-315.0;-796.0;-172.0;626.0;-383.0;728.0
-182.0;-596.0;603.0;-277.0;-841.0;-117.0;575.0;-452.0;771.0
-130.0;-429.0;621.0;-301.0;-787.0;-122.0;617.0;-396.0;745.0
-108.0;-407.0;618.0;-303.0;-786.0;-126.0;612.0;-401.0;753.0
-90.0;-375.0;615.0;-305.0;-786.0;-130.0;607.0;-402.0;758.0
-77.0;-345.0;614.0;-306.0;-791.0;-131.0;601.0;-408.0;761.0
-31.0;-322.0;625.0;-252.0;-794.0;-82.0;611.0;-327.0;759.0
-128.0;-396.0;635.0;-304.0;-818.0;-155.0;612.0;-327.0;727.0
-100.0;-365.0;644.0;-305.0;-823.0;-155.0;631.0;-324.0;730.0
-43.0;-436.0;645.0;-292.0;-788.0;-80.0;607.0;-358.0;746.0
169.0;-274.0;636.0;-68.0;-740.0;99.0;589.0;-225.0;748.0
179.0;-230.0;634.0;-64.0;-740.0;86.0;583.0;-203.0;745.0
392.0;143.0;526.0;-100.0;-658.0;127.0;512.0;-33.0;615.0
351.0;29.0;588.0;-53.0;-721.0;13.0;558.0;12.0;677.0
306.0;26.0;666.0;45.0;-759.0;100.0;647.0;140.0;662.0
817.0;389.0;315.0;492.0;205.0;387.0;-22.0;612.0;220.0
720.0;271.0;371.0;316.0;-18.0;103.0;75.0;484.0;341.0
720.0;272.0;382.0;292.0;-74.0;61.0;90.0;453.0;347.0
719.0;273.0;385.0;287.0;-82.0;49.0;96.0;445.0;349.0
712.0;166.0;427.0;96.0;-48.0;-68.0;150.0;441.0;344.0
716.0;275.0;396.0;295.0;-68.0;42.0;114.0;434.0;362.0
716.0;272.0;397.0;320.0;-50.0;67.0;113.0;456.0;367.0
721.0;279.0;393.0;324.0;-51.0;64.0;115.0;454.0;369.0
187.0;-200.0;633.0;152.0;-618.0;-151.0;635.0;30.0;751.0
130.0;-275.0;642.0;277.0;-635.0;-218.0;633.0;-36.0;756.0
-758.0;-679.0;-168.0;474.0;-86.0;-474.0;-19.0;670.0;-18.0
