InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameX
-21;-125;18;606.0;73;784.0;?
-21;-80;18;605.0;68;781.0;-80
-21;34;?;604.0;62;778.0;34
-21;86;?;603.0;58;778.0;86
-21;10;18;601.0;65;780.0;10
-21;6;18;596.0;67;781.0;6
-21;31;18;589.0;66;782.0;31
-21;84;18;579.0;67;782.0;84
-21;34;18;566.0;67;781.0;34
-21;-11;?;550.0;67;780.0;-11
-21;81;18;531.0;64;778.0;81
-21;46;18;515.0;60;?;46
-21;29;18;503.0;59;767.0;29
-21;27;18;494.0;65;?;27
-21;-37;18;490.0;68;744.0;-37
-21;3;18;?;66;731.0;3
-21;51;18;?;65;720.0;51
-21;24;18;?;61;?;24
-21;?;18;510.0;62;702.0;-18
-21;-4;18;527.0;?;?;-4
-21;29;18;543.0;?;699.0;29
?;42;18;?;61;702.0;42
-21;41;18;574.0;62;705.0;41
-21;35;18;588.0;60;712.0;35
-21;69;18;601.0;69;718.0;69
-21;83;18;613.0;75;723.0;83
-21;86;18;617.0;74;730.0;86
-21;77;18;?;74;738.0;77
-21;7;18;616.0;69;744.0;7
-21;0;18;614.0;65;749.0;0
-21;?;18;611.0;60;752.0;?
-21;-6;18;605.0;62;755.0;-6
-21;-21;18;598.0;66;757.0;-21
-21;-22;18;591.0;64;759.0;-22
-21;-55;18;578.0;63;?;-55
-21;-73;18;558.0;62;766.0;-73
-21;-24;18;531.0;70;775.0;-24
?;-26;18;496.0;71;785.0;-26
-21;?;18;?;62;793.0;-80
-21;-48;18;408.0;?;?;-48
-21;-26;18;354.0;72;803.0;-26
-21;-58;?;289.0;68;?;-58
-21;-20;18;215.0;66;814.0;-20
-21;-25;18;140.0;68;829.0;-25
-22;?;18;?;70;839.0;-30
-22;42;18;7.0;68;842.0;42
-22;35;18;-60.0;65;840.0;35
-22;35;18;-124.0;70;831.0;35
?;27;18;-196.0;69;?;27
-22;-8;18;-266.0;70;806.0;-8
-22;17;18;-331.0;73;782.0;17
-22;?;18;-399.0;66;750.0;21
-22;9;18;-445.0;68;728.0;9
-22;?;18;?;66;717.0;21
-22;14;18;-508.0;61;713.0;14
-22;12;18;-519.0;64;711.0;12
-22;0;18;-134.0;75;-125.0;?
-21;-3;?;-133.0;70;-123.0;-3
-21;-24;18;-132.0;61;-119.0;-24
?;-5;18;-134.0;69;-109.0;-5
-21;-12;?;-141.0;?;-93.0;-12
-22;?;18;-149.0;66;-73.0;-61
-22;-19;18;-158.0;68;-44.0;-19
-21;-5;18;-174.0;71;-2.0;-5
?;-1;18;-188.0;68;47.0;-1
-21;31;18;-199.0;66;97.0;31
-22;28;?;-211.0;69;152.0;28
-22;10;18;-220.0;70;216.0;10
-21;-3;18;-229.0;63;284.0;?
-22;43;18;-238.0;64;346.0;43
-21;62;18;-245.0;64;408.0;62
-21;?;18;-253.0;66;474.0;30
-21;20;?;-262.0;68;534.0;20
-21;10;18;-268.0;55;586.0;10
-21;10;18;-276.0;?;622.0;10
-21;?;18;-294.0;64;639.0;15
-21;?;18;-316.0;64;643.0;28
-21;12;18;-339.0;66;630.0;12
-21;16;18;-361.0;?;614.0;16
-21;32;?;-378.0;63;?;32
-21;?;18;-389.0;66;628.0;-28
-21;-31;18;-396.0;66;621.0;-31
-21;6;18;-399.0;61;610.0;6
-21;12;18;-402.0;61;607.0;12
-21;8;18;-405.0;?;609.0;8
-21;?;18;-409.0;62;614.0;-9
-21;-7;?;-411.0;59;616.0;-7
-21;-27;18;-408.0;66;610.0;-27
-21;-12;18;-405.0;66;600.0;-12
-21;?;18;-403.0;67;591.0;26
-21;-4;18;-401.0;71;584.0;-4
-21;-20;18;?;65;?;-20
?;-2;18;-182.0;68;-285.0;-2
?;-19;18;-179.0;67;?;?
-21;-37;18;?;67;-272.0;-37
-21;-46;18;-170.0;66;-264.0;-46
-21;-32;18;?;66;?;-32
?;20;18;-167.0;?;-241.0;20
?;13;18;-167.0;65;-216.0;13
-21;29;18;-171.0;60;-180.0;29
-21;36;18;-175.0;66;-129.0;36
-21;3;18;-175.0;72;-66.0;3
-21;13;?;-176.0;70;1.0;13
-21;11;18;-187.0;?;75.0;11
-21;-7;18;-198.0;65;163.0;-7
-21;-12;18;-199.0;70;?;-12
-21;-6;18;-197.0;72;354.0;-6
-21;2;?;?;65;427.0;2
-21;-1;18;-185.0;62;493.0;-1
-21;?;18;-193.0;67;564.0;0
-21;3;18;-210.0;?;617.0;3
-21;-8;18;-234.0;?;652.0;-8
-21;-11;18;-261.0;63;666.0;-11
-21;?;18;-288.0;64;656.0;-28
-21;-39;18;-312.0;63;654.0;-39
-21;-22;18;-329.0;63;656.0;-22
-21;-34;?;-342.0;69;654.0;-34
-21;-39;18;-352.0;71;657.0;-39
-21;-27;18;-359.0;62;660.0;-27
-21;-30;18;?;63;653.0;?
-21;?;?;-367.0;71;647.0;2
-21;6;18;-369.0;71;650.0;6
?;-33;?;-372.0;72;654.0;-33
-21;-3;18;-376.0;?;650.0;-3
-21;-29;18;-379.0;65;639.0;-29
