InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;Accelerometer RUA^ accX;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RLA gyroY
1;-24;22.0;-250;-22;-13;-34.0;22;-340.0;-221.0;-24;27.0
-179;1899;-361.0;-275;-3565;-484;-313.0;3565;-384.0;16.0;1899;-266.0
13;21;-162.0;-299;2;-1;-129.0;-2;-351.0;-171.0;21;56.0
-10;33;-103.0;-270;21;6;10.0;-21;-423.0;-170.0;33;156.0
-4;-11;-19.0;-300;-24;-4;-24.0;24;-373.0;-153.0;-11;46.0
4;-31;-2.0;-289;-12;-1;-28.0;12;-325.0;-176.0;-31;1.0
2;-19;-60.0;-236;46;-3;256.0;-46;-417.0;-126.0;-19;196.0
6;-4;7.0;-285;27;2;-19.0;-27;-274.0;-170.0;-4;4.0
4;12;-12.0;-287;-40;-2;-31.0;40;-284.0;-170.0;12;0.0
4;-25;-35.0;-289;-45;-3;-48.0;45;-272.0;-179.0;-25;-71.0
1;77;220.0;-242;112;-5;218.0;-112;-353.0;-192.0;77;199.0
4;-15;26.0;-273;16;-1;67.0;-16;-370.0;-149.0;-15;32.0
3;-9;140.0;-272;15;7;-13.0;-15;-366.0;-136.0;-9;115.0
2;-20;-40.0;-289;13;-4;-50.0;-13;-272.0;-188.0;-20;-90.0
6;-1;-18.0;-289;12;-2;-34.0;-12;-297.0;-171.0;-1;6.0
-19;6;106.0;-269;14;3;1534.0;-14;-530.0;-143.0;6;732.0
2;-15;-127.0;-270;-36;2;-96.0;36;-259.0;-158.0;-15;92.0
8;-28;-36.0;-278;-17;-6;-54.0;17;-236.0;-152.0;-28;35.0
-4;17;-4.0;-271;27;1;-41.0;-27;-234.0;-139.0;17;13.0
-6;9;-206.0;-273;13;-1;27.0;-13;-573.0;-194.0;9;-32.0
-5;-12;-32.0;-298;47;3;-1.0;-47;-350.0;-139.0;-12;-19.0
11;24;54.0;-258;95;-10;54.0;-95;-405.0;-136.0;24;411.0
18;-362;31.0;-332;-542;42;-29.0;542;-386.0;-111.0;-362;77.0
-5;23;4.0;-270;33;2;1.0;-33;-224.0;-139.0;23;20.0
-1;-11;3.0;-271;-3;2;-22.0;3;-228.0;-166.0;-11;9.0
-2;-14;41.0;-265;4;-3;-58.0;-4;-171.0;-180.0;-14;-38.0
0;-3;-32.0;-282;3;14;-19.0;-3;-373.0;-121.0;-3;-15.0
1;-9;31.0;-278;16;-7;-23.0;-16;-216.0;-141.0;-9;4.0
-17;28;64.0;-301;45;-15;18.0;-45;-377.0;-84.0;28;-1.0
-7;-1;-319.0;-274;-67;-6;-99.0;67;-400.0;-152.0;-1;68.0
3;-43;49.0;-284;34;7;-10.0;-34;-320.0;-119.0;-43;-35.0
2;-41;14.0;-289;8;2;9.0;-8;-340.0;-105.0;-41;-46.0
-3;-22;-8.0;-291;32;-4;-46.0;-32;-359.0;-133.0;-22;-16.0
0;-25;9.0;-258;-3;3;-59.0;3;-254.0;-183.0;-25;-11.0
0;-2;220.0;-233;-12;-2;143.0;12;-387.0;-150.0;-2;209.0
-3;25;-47.0;-300;32;-3;7.0;-32;-342.0;-110.0;25;19.0
1;5;-195.0;-250;-11;-4;-99.0;11;-275.0;-114.0;5;-157.0
4;-21;50.0;-275;11;-1;63.0;-11;-309.0;-125.0;-21;-11.0
-5;-35;31.0;-266;-14;7;63.0;14;-329.0;-113.0;-35;10.0
0;-15;27.0;-268;18;5;34.0;-18;-347.0;-122.0;-15;-23.0
3;-4;92.0;-300;-1;12;66.0;1;-356.0;-99.0;-4;-95.0
-1;17;12.0;-317;9;-1;-22.0;-9;-225.0;-16.0;17;14.0
-4;-20;-13.0;-294;8;5;-2.0;-8;-368.0;-111.0;-20;-4.0
-6;39;2.0;-294;0;3;-27.0;0;-360.0;-131.0;39;15.0
3;-31;-12.0;-267;-6;0;-12.0;6;-454.0;-153.0;-31;77.0
-3;-11;9.0;-288;-12;-3;11.0;12;-404.0;-176.0;-11;59.0
103;934;-214.0;-301;572;88;-89.0;-572;-327.0;-32.0;934;46.0
-14;7;18.0;-292;-7;-14;6.0;7;-330.0;-80.0;7;55.0
3;-15;3.0;-289;52;-8;4.0;-52;-424.0;-169.0;-15;42.0
-8;6;4.0;-282;-9;-1;1.0;9;-409.0;-172.0;6;55.0
-3;40;-7.0;-254;29;5;-29.0;-29;-235.0;-132.0;40;-38.0
-2;0;75.0;-275;-22;0;48.0;22;-377.0;-182.0;0;60.0
6;22;209.0;-246;47;-13;-599.0;-47;-350.0;-188.0;22;-129.0
-2;-22;-2.0;-278;-43;3;12.0;43;-395.0;-170.0;-22;4.0
5;14;-15.0;-279;11;5;-14.0;-11;-396.0;-172.0;14;35.0
-21;9;-90.0;-308;-58;-23;-77.0;58;-428.0;-138.0;9;-6.0
0;8;64.0;-230;-4;1;7.0;4;-459.0;-229.0;8;-26.0
1;22;-21.0;-285;17;0;-35.0;-17;-395.0;-180.0;22;21.0
-1;0;9.0;-282;-6;3;-35.0;6;-394.0;-166.0;0;21.0
-13;13;-95.0;-263;21;-21;-146.0;-21;-440.0;-146.0;13;-39.0
1;3;44.0;-292;25;4;48.0;-25;-371.0;-126.0;3;72.0
-3;50;126.0;-240;-43;-4;-228.0;43;-517.0;-173.0;50;-5.0
-138;-1293;-134.0;-81;2099;-5;-274.0;-2099;-509.0;-101.0;-1293;277.0
-6;-10;9.0;-313;11;6;106.0;-11;-187.0;-19.0;-10;209.0
1;11;13.0;-274;40;-3;327.0;-40;-360.0;-141.0;11;-184.0
-287;41;273.0;-461;163;19;44.0;-163;-600.0;-175.0;41;121.0
3;1348;496.0;-505;3586;147;191.0;-3586;-588.0;-51.0;1348;169.0
3;15;8.0;-247;-12;-4;-32.0;12;-292.0;-97.0;15;-30.0
3;6;-17.0;-313;-15;-15;-42.0;15;-350.0;-90.0;6;-4.0
2;-15;446.0;-248;-2;0;-46.0;2;-424.0;-100.0;-15;455.0
-3;13;350.0;-251;-35;-16;159.0;35;-538.0;-219.0;13;-125.0
-9;-8;29.0;-296;-27;5;-38.0;27;-327.0;-112.0;-8;-22.0
-2;-8;9.0;-259;27;-2;-13.0;-27;-415.0;99.0;-8;-10.0
139;-21;-110.0;-438;-69;9;173.0;69;-472.0;32.0;-21;-9.0
-38;14;-393.0;-288;15;-27;987.0;-15;-507.0;-145.0;14;-19.0
0;-9;40.0;-269;-17;2;-19.0;17;-340.0;-140.0;-9;4.0
