InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;Accelerometer RUA^ accX;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RLA gyroY
2;-18;-101.0;-275;-54;4;-75.0;54;-204.0;-164.0;-18;24.0
6;26;-2.0;-289;1;-7;42.0;-1;-531.0;-59.0;26;136.0
-2;51;7.0;-227;-34;8;-30.0;34;-426.0;-263.0;51;81.0
0;2;9.0;-236;36;-2;-13.0;-36;-435.0;-270.0;2;17.0
3;-4;-1.0;-234;-18;3;24.0;18;-435.0;-246.0;-4;25.0
140;-235;61.0;-377;908;96;242.0;-908;-389.0;-185.0;-235;148.0
0;27;14.0;-315;75;-2;20.0;-75;-220.0;-22.0;27;55.0
-4;16;15.0;-312;12;3;-165.0;-12;-246.0;-32.0;16;-179.0
6;16;-93.0;-230;-50;-1;-134.0;50;-174.0;-107.0;16;-112.0
1;34;31.0;-247;14;-3;-331.0;-14;-187.0;-127.0;34;-347.0
0;-17;18.0;-317;17;0;-153.0;-17;-206.0;-29.0;-17;-164.0
1;-21;71.0;-319;-8;-4;-101.0;8;-216.0;-40.0;-21;-108.0
2;-30;85.0;-313;26;7;-89.0;-26;-218.0;-27.0;-30;43.0
6;8;123.0;-320;29;-2;-52.0;-29;-224.0;-9.0;8;137.0
0;1;49.0;-232;-31;1;-1.0;31;-482.0;-261.0;1;-10.0
-6;-2;84.0;-241;6;-8;50.0;-6;-466.0;-268.0;-2;-19.0
5;16;-51.0;-229;6;1;20.0;-6;-329.0;-253.0;16;59.0
-1;0;180.0;-317;15;0;-37.0;-15;-194.0;-3.0;0;-73.0
-1;27;-68.0;-227;11;5;-101.0;-11;-281.0;-245.0;27;70.0
0;15;-8.0;-319;-73;-4;-47.0;73;-268.0;-12.0;15;-61.0
0;5;-101.0;-318;-13;-3;-76.0;13;-225.0;-49.0;5;-77.0
-1;17;12.0;-317;9;-1;-22.0;-9;-225.0;-16.0;17;14.0
3;-14;-66.0;-315;12;3;-69.0;-12;-216.0;-19.0;-14;-60.0
3;3;-81.0;-319;18;-1;-90.0;-18;-220.0;-28.0;3;-123.0
0;5;34.0;-317;47;-2;-25.0;-47;-220.0;-11.0;5;-145.0
-1;5;199.0;-313;-6;5;-89.0;6;-267.0;-21.0;5;21.0
-2;20;41.0;-230;55;2;3.0;-55;-254.0;-231.0;20;77.0
-2;24;-8.0;-231;53;1;-3.0;-53;-233.0;-241.0;24;53.0
8;0;-76.0;-318;-14;-5;-64.0;14;-263.0;-31.0;0;50.0
5;-5;-83.0;-317;-31;-5;-23.0;31;-314.0;-26.0;-5;22.0
-5;-10;62.0;-311;49;4;-21.0;-49;-158.0;-22.0;-10;-127.0
3;-19;20.0;-243;61;-11;-23.0;-61;-271.0;-214.0;-19;-27.0
-2;55;129.0;-230;-22;5;-50.0;22;-361.0;-240.0;55;32.0
-4;94;36.0;-228;52;6;-15.0;-52;-300.0;-237.0;94;-24.0
-8;46;-30.0;-225;71;8;79.0;-71;-347.0;-252.0;46;-16.0
5;9;38.0;-270;30;-1;6.0;-30;-342.0;-2.0;9;-100.0
3;5;3.0;-243;7;25;35.0;-7;-386.0;-16.0;5;-115.0
-5;-44;-12.0;-260;22;1;-36.0;-22;-393.0;13.0;-44;-116.0
6;-29;-87.0;-278;-6;-14;-47.0;6;-414.0;31.0;-29;-119.0
-1;12;-53.0;-312;6;1;-30.0;-6;-102.0;-4.0;12;-57.0
-4;-16;-19.0;-312;-23;3;-72.0;23;-106.0;-22.0;-16;-24.0
-1;16;-44.0;-314;-28;2;-45.0;28;-102.0;-20.0;16;-31.0
-1;5;-63.0;-318;-15;-3;-17.0;15;-125.0;-9.0;5;29.0
-1;17;-31.0;-310;29;4;-16.0;-29;-118.0;-30.0;17;27.0
-4;-8;-31.0;-318;-53;-2;-86.0;53;-116.0;-30.0;-8;59.0
-4;-10;53.0;-271;40;-1;-42.0;-40;-386.0;114.0;-10;-43.0
-2;-20;111.0;-313;0;2;-5.0;0;-112.0;-17.0;-20;-16.0
3;-39;94.0;-278;-50;3;58.0;50;-397.0;81.0;-39;-9.0
7;8;-17.0;-268;14;2;-18.0;-14;-411.0;101.0;8;9.0
6;8;38.0;-268;6;2;5.0;-6;-408.0;101.0;8;32.0
2;-12;-4.0;-271;8;2;-19.0;-8;-404.0;87.0;-12;50.0
0;-16;32.0;-273;-37;-1;-8.0;37;-421.0;85.0;-16;49.0
2;36;-6.0;-278;7;-5;-25.0;-7;-406.0;108.0;36;23.0
-3;-17;-2.0;-271;16;0;-16.0;-16;-413.0;110.0;-17;-15.0
1;-2;137.0;-320;-32;-2;110.0;32;-161.0;-31.0;-2;0.0
3;-15;24.0;-268;26;-2;-11.0;-26;-425.0;100.0;-15;-18.0
0;-23;11.0;-272;25;-6;2.0;-25;-425.0;77.0;-23;-7.0
-3;-27;54.0;-269;16;-2;6.0;-16;-415.0;105.0;-27;11.0
-2;-2;56.0;-271;6;-4;10.0;-6;-429.0;101.0;-2;1.0
-2;-28;-18.0;-320;-1;-3;76.0;1;-166.0;-32.0;-28;125.0
