InertialMeasurementUnit LUA accY;InertialMeasurementUnit LLA Quaternion2;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit RUA accY;Accelerometer LUA^ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accX;Accelerometer RUA^ accZ
24.0;-596.0;666.0;751.0;18.0;-31.0;683.0;-582.0;82.0
224.0;382.0;865.0;964.0;-145.0;-121.0;916.0;-773.0;-37.0
-245.0;-176.0;789.0;845.0;34.0;376.0;865.0;-506.0;-58.0
409.0;612.0;1019.0;1028.0;-192.0;-432.0;1006.0;-986.0;-32.0
190.0;190.0;868.0;958.0;190.0;-75.0;916.0;-841.0;258.0
230.0;480.0;972.0;1108.0;101.0;-175.0;1020.0;-943.0;231.0
305.0;-601.0;626.0;692.0;-41.0;147.0;648.0;-965.0;78.0
58.0;-548.0;439.0;484.0;15.0;-90.0;457.0;-546.0;189.0
-31.0;-330.0;710.0;711.0;0.0;108.0;619.0;-592.0;200.0
485.0;414.0;990.0;1061.0;-450.0;-414.0;1012.0;-1006.0;-297.0
239.0;574.0;644.0;740.0;-275.0;-120.0;655.0;-998.0;238.0
-276.0;-152.0;792.0;782.0;-362.0;-71.0;627.0;-425.0;-189.0
-48.0;105.0;505.0;620.0;-304.0;114.0;536.0;-785.0;-37.0
88.0;-60.0;664.0;763.0;46.0;-27.0;640.0;-641.0;224.0
106.0;-39.0;827.0;924.0;-23.0;-67.0;784.0;-767.0;127.0
-67.0;-85.0;942.0;1023.0;16.0;-41.0;963.0;-913.0;134.0
-102.0;3.0;722.0;869.0;-100.0;107.0;750.0;-444.0;75.0
92.0;107.0;826.0;865.0;5.0;-96.0;833.0;-732.0;185.0
-458.0;-133.0;-182.0;579.0;436.0;532.0;-195.0;307.0;541.0
13.0;163.0;762.0;1215.0;17.0;-22.0;594.0;-278.0;114.0
305.0;209.0;655.0;212.0;73.0;15.0;571.0;-603.0;162.0
123.0;388.0;841.0;456.0;-130.0;-71.0;794.0;-768.0;3.0
102.0;332.0;861.0;593.0;-120.0;26.0;788.0;-820.0;-106.0
-207.0;-124.0;646.0;812.0;-254.0;170.0;541.0;-472.0;-24.0
334.0;-433.0;749.0;919.0;-251.0;-50.0;847.0;-972.0;13.0
186.0;488.0;707.0;695.0;-331.0;73.0;804.0;-627.0;-156.0
83.0;212.0;715.0;747.0;-26.0;59.0;728.0;-516.0;138.0
-80.0;275.0;784.0;692.0;-243.0;62.0;889.0;-753.0;-89.0
401.0;76.0;866.0;991.0;-19.0;-21.0;848.0;-1164.0;211.0
253.0;469.0;920.0;977.0;434.0;-171.0;930.0;-915.0;557.0
-416.0;518.0;973.0;985.0;-4.0;-57.0;1044.0;-266.0;-20.0
143.0;117.0;897.0;982.0;-12.0;-124.0;961.0;-920.0;368.0
249.0;-235.0;686.0;339.0;-66.0;-59.0;356.0;-489.0;167.0
246.0;172.0;803.0;882.0;39.0;2.0;873.0;-844.0;180.0
171.0;-118.0;731.0;740.0;128.0;198.0;714.0;-701.0;-4.0
199.0;44.0;743.0;735.0;-86.0;-119.0;467.0;-761.0;34.0
82.0;237.0;932.0;1025.0;-26.0;-119.0;963.0;-928.0;118.0
102.0;462.0;795.0;966.0;-136.0;40.0;805.0;-780.0;-89.0
30.0;243.0;961.0;1055.0;-46.0;-134.0;980.0;-900.0;113.0
22.0;-197.0;866.0;655.0;-114.0;-77.0;734.0;-755.0;-59.0
-200.0;200.0;696.0;602.0;-292.0;244.0;741.0;-627.0;-136.0
252.0;-876.0;750.0;436.0;24.0;-105.0;448.0;-573.0;181.0
200.0;-398.0;879.0;740.0;-113.0;-111.0;799.0;-759.0;24.0
69.0;614.0;778.0;889.0;94.0;-61.0;815.0;-778.0;231.0
306.0;-316.0;721.0;863.0;132.0;-145.0;785.0;-883.0;203.0
63.0;-197.0;809.0;967.0;133.0;-175.0;747.0;-634.0;383.0
79.0;104.0;867.0;987.0;-217.0;-68.0;908.0;-809.0;-43.0
43.0;179.0;905.0;975.0;-166.0;-76.0;927.0;-920.0;5.0
136.0;-44.0;704.0;748.0;153.0;-59.0;680.0;-725.0;207.0
12.0;-603.0;762.0;831.0;-239.0;-40.0;808.0;-867.0;17.0
250.0;606.0;626.0;684.0;-62.0;-214.0;614.0;-654.0;127.0
314.0;387.0;707.0;648.0;113.0;-23.0;567.0;-778.0;423.0
