Accelerometer HIP accZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az
70.0;56;-859.0;-914.0;-956.0;-56;25
45.0;?;-888.0;-943.0;-947.0;198;-207
65.0;-336;-910.0;-967.0;-986.0;336;139
86.0;-57;-955.0;-999.0;?;57;1
93.0;-297;?;-1041.0;-1081.0;297;-291
74.0;-482;-984.0;?;-1104.0;?;?
61.0;-132;-970.0;?;?;132;93
?;434;-947.0;-977.0;-1029.0;-434;?
73.0;?;-1009.0;-988.0;-1077.0;-467;73
36.0;83;-997.0;?;-1073.0;-83;-22
-33.0;15;-988.0;-989.0;-1006.0;-15;-33
63.0;15;-972.0;-1012.0;-936.0;-15;-25
-26.0;7;-954.0;-990.0;-826.0;-7;-47
72.0;32;-949.0;?;-755.0;-32;-16
100.0;-31;-950.0;-1054.0;-885.0;?;0
117.0;-31;?;-1101.0;-887.0;31;-6
70.0;5;-978.0;-1009.0;-875.0;-5;-20
?;-27;?;-1000.0;-946.0;?;-28
63.0;42;-977.0;-1016.0;-992.0;-42;-6
67.0;?;-991.0;-1036.0;-968.0;?;-121
45.0;-269;-958.0;?;-969.0;269;?
22.0;-397;-955.0;-979.0;-1007.0;397;152
12.0;28;-941.0;-980.0;-966.0;?;80
27.0;204;-930.0;-926.0;-961.0;-204;-11
60.0;235;-927.0;-957.0;?;-235;-20
12.0;277;-969.0;-1010.0;?;-277;?
49.0;125;-976.0;-1033.0;-1080.0;-125;-44
8.0;36;-964.0;?;-1064.0;-36;-24
33.0;38;-970.0;-984.0;-1025.0;?;-24
20.0;11;-973.0;?;-1027.0;-11;-18
61.0;-30;-953.0;-987.0;-967.0;30;-13
20.0;12;-971.0;-994.0;-967.0;-12;-19
67.0;16;-980.0;-1038.0;-1051.0;-16;-24
42.0;-3;?;-1039.0;-1060.0;3;-23
8.0;38;-977.0;-1066.0;-1062.0;-38;?
23.0;-16;-979.0;-1146.0;-1099.0;16;-22
21.0;-4;-948.0;-1105.0;-1026.0;4;-15
10.0;30;-956.0;-1054.0;-1095.0;-30;-18
29.0;18;-950.0;-1123.0;-1214.0;-18;-25
29.0;?;-963.0;-1115.0;-1209.0;-37;-20
51.0;16;-960.0;-1159.0;-1300.0;-16;-17
25.0;64;-1024.0;-1182.0;-1366.0;?;-18
126.0;61;-1088.0;-1127.0;-1091.0;-61;?
136.0;-27;-1070.0;-1085.0;-843.0;27;-12
133.0;-18;-995.0;-937.0;-480.0;18;-15
13.0;16;-992.0;-671.0;-338.0;-16;-22
159.0;18;-950.0;-580.0;-343.0;-18;-19
131.0;2;-843.0;?;-264.0;-2;-16
?;-18;-829.0;-476.0;-308.0;18;-18
?;-33;-846.0;?;-216.0;33;-20
12.0;-39;?;-481.0;-189.0;39;-20
62.0;-39;-1012.0;?;-198.0;39;-14
79.0;-39;-943.0;-475.0;-107.0;39;-13
39.0;-34;-965.0;-558.0;-141.0;34;-15
33.0;-15;-1014.0;-585.0;-173.0;15;-15
38.0;16;-1056.0;-571.0;-245.0;-16;-15
54.0;-7;-954.0;-349.0;?;7;-20
?;10;-934.0;-395.0;?;-10;-17
63.0;10;-937.0;-437.0;-375.0;-10;-14
85.0;-16;-964.0;-463.0;-413.0;16;-19
?;-15;-954.0;-503.0;-431.0;15;-17
?;-6;-914.0;?;-413.0;6;-9
103.0;?;-933.0;?;-440.0;-12;-16
?;17;-970.0;-665.0;-505.0;-17;-18
101.0;?;-968.0;-615.0;-491.0;25;?
93.0;-34;-958.0;-647.0;-566.0;?;-17
133.0;-18;-1025.0;-668.0;-606.0;18;?
103.0;-50;?;-700.0;-581.0;50;?
93.0;-56;-973.0;-735.0;-661.0;56;-18
69.0;-24;-990.0;-729.0;-648.0;24;?
69.0;-17;?;-760.0;-683.0;?;-22
55.0;-13;-1001.0;-770.0;-710.0;13;-24
50.0;10;-952.0;-764.0;?;-10;-18
50.0;37;-967.0;-693.0;-561.0;-37;-20
64.0;43;-988.0;-669.0;-656.0;-43;-20
110.0;7;-976.0;-640.0;-704.0;-7;-21
86.0;-9;-940.0;-616.0;-678.0;9;-20
113.0;-9;-963.0;-597.0;-738.0;?;-15
43.0;-31;-990.0;?;-624.0;31;-13
17.0;-29;-951.0;-748.0;-550.0;29;-13
80.0;-8;-994.0;-612.0;?;8;-21
81.0;?;-933.0;-606.0;-763.0;21;-23
81.0;-58;-931.0;-669.0;-703.0;58;-16
84.0;-51;-951.0;?;-715.0;51;?
104.0;-14;-976.0;-804.0;-748.0;14;-17
98.0;-16;?;-780.0;-726.0;16;-17
?;-23;-953.0;-767.0;-722.0;23;-11
100.0;6;-1000.0;-746.0;-728.0;-6;-17
124.0;17;-965.0;-723.0;-684.0;-17;?
100.0;18;-935.0;-708.0;-637.0;-18;-18
106.0;27;-932.0;-675.0;-633.0;?;-13
85.0;?;-964.0;-663.0;-680.0;?;-13
52.0;0;-939.0;?;-329.0;0;-12
54.0;-15;-937.0;-379.0;-353.0;15;-20
71.0;14;-934.0;-398.0;-367.0;-14;-20
?;2;-938.0;-413.0;-378.0;-2;-16
8.0;-28;-912.0;-449.0;-381.0;28;-15
70.0;3;-950.0;?;-405.0;-3;-17
36.0;-5;-941.0;?;-460.0;5;-20
59.0;-44;-907.0;-693.0;-466.0;44;-16
81.0;-15;-989.0;-731.0;-495.0;15;-15
?;?;-975.0;-829.0;-624.0;-5;-16
63.0;-5;-945.0;-880.0;-758.0;5;-14
89.0;14;-982.0;-874.0;-882.0;-14;-20
140.0;20;-981.0;-927.0;-813.0;?;-22
160.0;-3;-1022.0;-930.0;-932.0;3;?
142.0;-26;-995.0;-959.0;-943.0;26;-13
93.0;-3;-972.0;-891.0;?;3;-14
80.0;26;-1022.0;-940.0;-893.0;-26;-13
32.0;-13;-974.0;-820.0;-926.0;13;-16
118.0;-19;-935.0;-791.0;-818.0;19;?
103.0;23;-1011.0;-770.0;-827.0;-23;-23
110.0;17;-919.0;-608.0;-669.0;-17;-21
66.0;5;-972.0;-571.0;-728.0;-5;-19
79.0;3;-944.0;-746.0;-705.0;-3;-16
42.0;-34;-995.0;-767.0;-686.0;34;-16
24.0;-27;-968.0;-717.0;-769.0;27;-16
101.0;34;-889.0;?;-728.0;-34;?
111.0;19;-919.0;-803.0;-734.0;-19;-17
92.0;-6;-991.0;?;-796.0;6;-22
65.0;4;-978.0;-816.0;?;-4;-17
78.0;-24;-963.0;?;-767.0;24;-14
72.0;-25;?;-754.0;-728.0;25;-19
63.0;0;-934.0;-758.0;?;0;-19
90.0;29;-933.0;?;?;-29;-22
66.0;15;-923.0;-618.0;-755.0;-15;-20
51.0;-39;-1021.0;-670.0;-799.0;39;-10
82.0;-7;-1026.0;-776.0;-754.0;7;-15
33.0;5;-971.0;?;-347.0;-5;?
20.0;-22;-958.0;-467.0;-363.0;22;-13
61.0;-10;-964.0;-471.0;-387.0;10;-17
24.0;29;-963.0;-473.0;-387.0;-29;-19
29.0;4;-945.0;-465.0;-389.0;-4;-19
