InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LUA Quaternion1
212.0;-154.0;619.0;-104.0;-640.0;-286.0;591.0;-165.0;751.0
-634.0;-532.0;-242.0;-8.0;-717.0;296.0;-316.0;-293.0;-177.0
222.0;-129.0;660.0;-168.0;-764.0;-13.0;631.0;-251.0;715.0
135.0;-216.0;654.0;-201.0;-802.0;-35.0;609.0;-296.0;744.0
122.0;-360.0;634.0;-152.0;-772.0;3.0;572.0;-237.0;762.0
80.0;-410.0;657.0;-103.0;-765.0;68.0;596.0;-281.0;749.0
-610.0;-749.0;789.0;326.0;-994.0;99.0;596.0;388.0;61.0
-261.0;-597.0;454.0;-195.0;-819.0;-80.0;-345.0;-533.0;687.0
101.0;-336.0;645.0;-189.0;-789.0;-78.0;575.0;-253.0;756.0
666.0;519.0;404.0;272.0;-394.0;336.0;294.0;346.0;338.0
-780.0;-510.0;-213.0;-589.0;-277.0;-482.0;-51.0;-635.0;-156.0
764.0;480.0;384.0;-386.0;-120.0;386.0;325.0;-513.0;348.0
650.0;68.0;504.0;381.0;-243.0;443.0;321.0;430.0;434.0
627.0;224.0;451.0;244.0;-388.0;155.0;314.0;310.0;467.0
361.0;-316.0;278.0;685.0;-844.0;-324.0;-197.0;508.0;604.0
489.0;362.0;554.0;37.0;-719.0;161.0;294.0;-118.0;568.0
609.0;314.0;509.0;161.0;-681.0;-248.0;491.0;-45.0;537.0
561.0;252.0;503.0;191.0;-428.0;68.0;454.0;192.0;551.0
826.0;548.0;375.0;439.0;-52.0;415.0;324.0;566.0;216.0
273.0;-70.0;640.0;-153.0;-794.0;-76.0;639.0;-186.0;713.0
153.0;-82.0;652.0;-183.0;-775.0;-55.0;624.0;-150.0;742.0
81.0;-193.0;673.0;-167.0;-785.0;-42.0;614.0;-226.0;735.0
73.0;-207.0;678.0;-168.0;-784.0;2.0;613.0;-231.0;732.0
67.0;-228.0;674.0;-179.0;-785.0;22.0;615.0;-242.0;736.0
-30.0;-330.0;615.0;-212.0;-802.0;-89.0;632.0;-295.0;769.0
-151.0;-424.0;627.0;-422.0;-804.0;-267.0;634.0;-583.0;729.0
-30.0;-307.0;656.0;-358.0;-808.0;-203.0;630.0;-480.0;744.0
-473.0;-762.0;631.0;-470.0;-791.0;-396.0;597.0;-370.0;530.0
-499.0;-812.0;594.0;-515.0;-923.0;-349.0;551.0;-651.0;565.0
-148.0;-463.0;583.0;-407.0;-850.0;-256.0;603.0;-578.0;766.0
-354.0;-615.0;336.0;-424.0;-643.0;-375.0;409.0;-755.0;713.0
-182.0;-596.0;603.0;-277.0;-841.0;-117.0;575.0;-452.0;771.0
-237.0;-506.0;629.0;-448.0;-797.0;-287.0;611.0;-611.0;685.0
-31.0;-322.0;625.0;-252.0;-794.0;-82.0;611.0;-327.0;759.0
-245.0;-597.0;471.0;-435.0;-855.0;-370.0;577.0;-440.0;788.0
-106.0;-433.0;553.0;-442.0;-885.0;-292.0;605.0;-399.0;793.0
-24.0;-739.0;613.0;-136.0;-781.0;-175.0;-44.0;-112.0;769.0
60.0;-399.0;395.0;-75.0;-680.0;149.0;525.0;447.0;825.0
-376.0;-714.0;465.0;456.0;-785.0;-298.0;526.0;657.0;681.0
489.0;87.0;579.0;-386.0;-307.0;408.0;600.0;-289.0;545.0
614.0;303.0;502.0;-216.0;-571.0;230.0;485.0;-143.0;498.0
158.0;-143.0;678.0;158.0;-757.0;-38.0;644.0;196.0;698.0
585.0;690.0;-534.0;544.0;845.0;390.0;-527.0;516.0;-416.0
759.0;473.0;212.0;130.0;552.0;-201.0;-94.0;898.0;-19.0
720.0;271.0;375.0;306.0;-41.0;90.0;79.0;473.0;342.0
