Accelerometer RUA^ accY;Accelerometer RKN_ accZ;Accelerometer RUA_ accY;Accelerometer LUA^ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit BACK magneticY
1051.0;18.0;1022.0;?;1001.0;-1005.0;579.0;-716.0;79;-387.0;?;396.0;-248.0
1013.0;10.0;?;932.0;1041.0;-1019.0;571.0;-710.0;80;-386.0;170.0;407.0;-273.0
1019.0;10.0;1097.0;938.0;1111.0;-1048.0;562.0;-702.0;80;-373.0;190.0;426.0;-296.0
1071.0;45.0;1087.0;?;1092.0;-1060.0;552.0;-692.0;82;-348.0;222.0;451.0;-320.0
?;39.0;1091.0;?;?;-1068.0;540.0;-682.0;85;-270.0;?;485.0;?
1177.0;-10.0;1091.0;1070.0;1048.0;-1060.0;525.0;-672.0;86;?;313.0;518.0;?
?;32.0;1096.0;1106.0;1065.0;-939.0;511.0;-661.0;?;-483.0;364.0;553.0;-395.0
1059.0;43.0;972.0;1068.0;891.0;-861.0;496.0;-647.0;88;-588.0;406.0;574.0;-422.0
1102.0;8.0;912.0;1038.0;811.0;-813.0;482.0;-635.0;87;-671.0;440.0;586.0;-440.0
1163.0;21.0;877.0;?;746.0;-800.0;470.0;-622.0;87;-1029.0;475.0;596.0;-451.0
1090.0;28.0;895.0;1035.0;567.0;-753.0;460.0;-609.0;87;-1064.0;503.0;597.0;-465.0
1048.0;100.0;847.0;1031.0;446.0;-645.0;453.0;-602.0;87;-922.0;526.0;588.0;-472.0
?;60.0;733.0;1064.0;295.0;-495.0;449.0;-595.0;87;-786.0;544.0;582.0;-476.0
877.0;78.0;579.0;1023.0;170.0;-425.0;445.0;-591.0;87;?;560.0;580.0;-483.0
879.0;22.0;491.0;986.0;291.0;?;440.0;?;87;?;573.0;581.0;-487.0
1006.0;69.0;585.0;1028.0;426.0;-633.0;?;-586.0;87;-752.0;583.0;?;-486.0
920.0;25.0;?;1088.0;553.0;-689.0;437.0;-583.0;86;-706.0;?;591.0;-486.0
902.0;-33.0;751.0;984.0;?;-716.0;434.0;-583.0;86;-651.0;595.0;599.0;-484.0
?;20.0;789.0;955.0;622.0;-698.0;431.0;?;86;?;605.0;607.0;-486.0
1010.0;?;?;1015.0;611.0;?;428.0;-583.0;86;-539.0;613.0;611.0;?
998.0;-70.0;758.0;?;564.0;-681.0;426.0;-582.0;86;-541.0;620.0;611.0;?
1033.0;-115.0;742.0;976.0;612.0;-670.0;423.0;-581.0;86;-515.0;627.0;616.0;-486.0
1068.0;83.0;723.0;980.0;701.0;-755.0;421.0;-582.0;86;-486.0;631.0;622.0;-486.0
1003.0;-46.0;810.0;985.0;774.0;-823.0;418.0;-581.0;86;?;641.0;627.0;-484.0
990.0;-129.0;871.0;956.0;920.0;-894.0;416.0;-582.0;86;-595.0;647.0;634.0;-487.0
1048.0;-149.0;959.0;946.0;1049.0;-957.0;415.0;-582.0;86;-608.0;646.0;641.0;?
1156.0;?;1037.0;1020.0;1104.0;-1012.0;415.0;-581.0;86;-699.0;643.0;644.0;-485.0
1106.0;-30.0;1110.0;1080.0;1316.0;-924.0;414.0;-580.0;86;?;638.0;639.0;-488.0
1093.0;6.0;1014.0;?;?;-878.0;414.0;-579.0;86;-922.0;635.0;635.0;?
1101.0;9.0;?;1002.0;1000.0;-884.0;415.0;-577.0;86;-726.0;629.0;629.0;-487.0
1085.0;-41.0;954.0;979.0;947.0;-830.0;416.0;-576.0;86;-637.0;628.0;?;-487.0
1010.0;-87.0;?;1009.0;841.0;-860.0;416.0;-577.0;86;-461.0;620.0;619.0;-487.0
1064.0;-133.0;918.0;1021.0;887.0;?;418.0;-577.0;86;-401.0;614.0;618.0;-484.0
1119.0;-85.0;956.0;1057.0;1021.0;-914.0;419.0;-576.0;86;-599.0;607.0;617.0;-490.0
1083.0;-78.0;985.0;1056.0;1056.0;-975.0;420.0;-575.0;86;?;593.0;614.0;-488.0
1110.0;-57.0;1071.0;1090.0;1104.0;-1028.0;422.0;?;86;-839.0;?;610.0;-488.0
1096.0;-23.0;1116.0;1207.0;1064.0;-1012.0;422.0;-576.0;?;-992.0;549.0;596.0;-491.0
937.0;-63.0;1099.0;1184.0;1080.0;-1068.0;422.0;-575.0;86;-1029.0;518.0;?;-489.0
1167.0;-79.0;1147.0;1180.0;1119.0;-1153.0;423.0;-576.0;86;-1167.0;480.0;539.0;-488.0
1197.0;-131.0;1252.0;1213.0;?;?;423.0;-577.0;?;-1352.0;432.0;499.0;-487.0
1151.0;-109.0;1371.0;?;691.0;-1295.0;424.0;-579.0;86;-1440.0;375.0;450.0;-486.0
1298.0;-117.0;1364.0;1256.0;797.0;-1476.0;?;-584.0;86;-1360.0;299.0;392.0;-484.0
1193.0;-112.0;1517.0;?;1002.0;-1331.0;434.0;-591.0;86;-935.0;226.0;311.0;-490.0
1018.0;-91.0;1238.0;1129.0;911.0;-1074.0;437.0;-594.0;86;-286.0;155.0;?;-503.0
840.0;-79.0;932.0;1169.0;662.0;-815.0;432.0;-589.0;86;?;89.0;65.0;-516.0
562.0;-88.0;606.0;928.0;446.0;-812.0;420.0;-586.0;86;-961.0;33.0;-48.0;-520.0
415.0;?;643.0;694.0;?;-598.0;413.0;?;86;-1078.0;-11.0;-165.0;-519.0
438.0;-134.0;486.0;526.0;-29.0;-435.0;411.0;-583.0;86;-1169.0;-42.0;-241.0;-519.0
350.0;-142.0;?;385.0;?;-162.0;409.0;-579.0;86;-472.0;-68.0;-297.0;-512.0
?;-166.0;-107.0;296.0;117.0;224.0;408.0;-573.0;86;-203.0;-91.0;-356.0;-510.0
167.0;-176.0;-344.0;316.0;-471.0;261.0;406.0;-567.0;?;38.0;-108.0;-384.0;-499.0
230.0;?;-418.0;278.0;55.0;603.0;399.0;-564.0;86;594.0;-119.0;-382.0;-490.0
91.0;-67.0;-718.0;203.0;-300.0;804.0;400.0;-564.0;86;784.0;?;-365.0;-484.0
?;-60.0;-855.0;290.0;-515.0;1002.0;400.0;-563.0;86;?;-120.0;-363.0;-477.0
?;-81.0;-990.0;243.0;-589.0;1039.0;402.0;-565.0;86;687.0;-116.0;-362.0;-478.0
237.0;?;-1000.0;381.0;-517.0;?;406.0;-566.0;86;816.0;-104.0;-353.0;-481.0
496.0;?;-740.0;273.0;-767.0;807.0;?;-622.0;86;?;634.0;341.0;-562.0
501.0;?;-707.0;289.0;-726.0;?;389.0;-622.0;86;305.0;633.0;341.0;-560.0
490.0;-84.0;-696.0;323.0;-680.0;701.0;388.0;-621.0;86;328.0;637.0;337.0;-558.0
490.0;-88.0;-588.0;363.0;?;594.0;387.0;-618.0;86;71.0;634.0;332.0;-560.0
