InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1
-466.0;62.0;-412.0;54.0;49.0
-11.0;-393.0;291.0;35.0;-624.0
-23.0;-396.0;288.0;75.0;-622.0
-272.0;-685.0;547.0;149.0;-683.0
-250.0;-590.0;560.0;154.0;-767.0
-529.0;137.0;-210.0;104.0;108.0
-528.0;137.0;-211.0;96.0;112.0
-528.0;137.0;-211.0;90.0;116.0
-462.0;319.0;630.0;298.0;211.0
-421.0;235.0;-232.0;150.0;181.0
-408.0;224.0;-245.0;136.0;198.0
-402.0;220.0;-249.0;122.0;206.0
-393.0;211.0;-256.0;101.0;222.0
-388.0;207.0;-259.0;94.0;231.0
-381.0;204.0;-261.0;84.0;241.0
-376.0;202.0;-263.0;75.0;250.0
-362.0;201.0;-264.0;53.0;269.0
-344.0;204.0;-265.0;23.0;296.0
-145.0;566.0;583.0;55.0;501.0
541.0;624.0;311.0;-311.0;767.0
-327.0;203.0;-270.0;-41.0;339.0
-449.0;55.0;-425.0;44.0;69.0
-456.0;59.0;-418.0;48.0;59.0
0.0;-388.0;294.0;28.0;-623.0
-548.0;74.0;-371.0;107.0;-3.0
-207.0;208.0;-563.0;267.0;60.0
72.0;-374.0;617.0;64.0;-600.0
37.0;-706.0;-686.0;-26.0;-682.0
127.0;-610.0;-690.0;-106.0;-530.0
100.0;-380.0;373.0;84.0;-558.0
-205.0;207.0;-564.0;265.0;61.0
58.0;-416.0;264.0;-30.0;-638.0
16.0;-386.0;299.0;29.0;-622.0
20.0;-395.0;306.0;53.0;-621.0
22.0;-584.0;509.0;157.0;-643.0
-268.0;-477.0;476.0;466.0;-852.0
15.0;-400.0;304.0;47.0;-623.0
-62.0;-630.0;655.0;27.0;-603.0
-203.0;207.0;-565.0;263.0;61.0
-200.0;205.0;-568.0;261.0;61.0
35.0;-424.0;265.0;-22.0;-631.0
162.0;-344.0;392.0;-10.0;-651.0
158.0;-393.0;344.0;38.0;-535.0
161.0;-397.0;343.0;36.0;-534.0
157.0;-407.0;348.0;36.0;-532.0
129.0;-429.0;356.0;20.0;-525.0
125.0;-431.0;355.0;9.0;-523.0
130.0;-437.0;365.0;-12.0;-511.0
-14.0;-583.0;627.0;-55.0;-655.0
-551.0;160.0;-224.0;127.0;81.0
-553.0;151.0;-219.0;122.0;86.0
-548.0;148.0;-218.0;116.0;89.0
-546.0;141.0;-216.0;116.0;94.0
-544.0;137.0;-213.0;115.0;97.0
-538.0;143.0;-210.0;105.0;125.0
-546.0;158.0;-210.0;122.0;131.0
-546.0;167.0;-210.0;137.0;134.0
-533.0;177.0;-210.0;148.0;138.0
-518.0;190.0;-210.0;153.0;142.0
-494.0;215.0;-213.0;164.0;152.0
-472.0;235.0;-223.0;160.0;157.0
-464.0;240.0;-226.0;158.0;159.0
29.0;-423.0;269.0;-14.0;-629.0
20.0;-421.0;274.0;-4.0;-627.0
14.0;-416.0;282.0;6.0;-626.0
-330.0;201.0;-273.0;-45.0;347.0
-350.0;191.0;-289.0;-59.0;370.0
-366.0;187.0;-289.0;-45.0;377.0
-364.0;187.0;-287.0;-49.0;378.0
-362.0;187.0;-280.0;-54.0;381.0
-378.0;184.0;-273.0;-61.0;369.0
-390.0;180.0;-274.0;-60.0;362.0
-466.0;15.0;-461.0;-9.0;134.0
-449.0;31.0;-449.0;0.0;118.0
-445.0;35.0;-447.0;6.0;111.0
-443.0;36.0;-446.0;6.0;106.0
-447.0;37.0;-442.0;13.0;100.0
-448.0;40.0;-434.0;27.0;88.0
-448.0;44.0;-430.0;35.0;83.0
-478.0;65.0;-405.0;60.0;39.0
-488.0;67.0;-396.0;63.0;30.0
