InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit RLA gyroX
231.0;-333.0;-139.0;947.0;-189.0;-155;553.0;40.0;304.0;-70.0;-19.0;335.0;127.0
-10.0;-262.0;-756.0;345.0;640.0;-90;510.0;11.0;454.0;-78.0;-30.0;58.0;36.0
159.0;-226.0;-99.0;999.0;-418.0;-102;615.0;118.0;-43.0;-89.0;-99.0;42.0;517.0
267.0;-250.0;-101.0;970.0;-361.0;-104;623.0;9.0;9.0;-31.0;19.0;47.0;23.0
248.0;-267.0;-112.0;1016.0;-355.0;-103;610.0;-123.0;26.0;-225.0;-77.0;71.0;-28.0
245.0;-264.0;-114.0;1010.0;-357.0;-103;602.0;-81.0;33.0;-33.0;-12.0;86.0;-16.0
192.0;-299.0;-126.0;934.0;-605.0;-107;667.0;-85.0;63.0;-55.0;-72.0;243.0;187.0
257.0;-270.0;-102.0;1039.0;-350.0;-103;598.0;-44.0;39.0;-47.0;-87.0;101.0;-138.0
268.0;-278.0;-92.0;1003.0;-349.0;-103;597.0;-62.0;42.0;-149.0;-220.0;100.0;-128.0
194.0;-273.0;-82.0;1010.0;-434.0;-102;566.0;93.0;-68.0;-11.0;-519.0;147.0;8.0
299.0;-287.0;-66.0;1030.0;-353.0;-102;592.0;-54.0;41.0;-93.0;-87.0;102.0;-52.0
163.0;-362.0;-138.0;944.0;-483.0;-108;650.0;-129.0;93.0;89.0;116.0;131.0;337.0
299.0;-276.0;-65.0;996.0;-354.0;-102;591.0;-67.0;42.0;-47.0;-47.0;105.0;-5.0
301.0;-283.0;-64.0;1008.0;-354.0;-102;588.0;-26.0;44.0;-53.0;-57.0;116.0;16.0
294.0;-287.0;-73.0;1010.0;-356.0;-102;591.0;-65.0;43.0;-101.0;-93.0;104.0;109.0
278.0;-259.0;-89.0;990.0;-364.0;-102;588.0;-84.0;39.0;-45.0;-81.0;91.0;85.0
277.0;-253.0;-94.0;1019.0;-363.0;-102;587.0;-29.0;39.0;-60.0;-10.0;113.0;-70.0
158.0;-289.0;-173.0;931.0;-488.0;-107;635.0;90.0;102.0;87.0;-205.0;99.0;81.0
-219.0;-227.0;-859.0;776.0;-327.0;-90;528.0;14.0;132.0;-3.0;-223.0;98.0;65.0
-216.0;-240.0;-856.0;750.0;-336.0;-90;530.0;-3.0;136.0;330.0;-282.0;120.0;-6.0
-221.0;-244.0;-861.0;755.0;-320.0;-90;536.0;-91.0;134.0;98.0;-135.0;59.0;-34.0
-220.0;-232.0;-858.0;748.0;-320.0;-90;533.0;-124.0;130.0;59.0;-138.0;93.0;-70.0
-219.0;-232.0;-856.0;745.0;-319.0;-90;536.0;-126.0;127.0;27.0;-131.0;90.0;-87.0
-218.0;-252.0;-855.0;747.0;-318.0;-90;534.0;-77.0;122.0;72.0;-216.0;154.0;-58.0
-208.0;-238.0;-850.0;770.0;-316.0;-90;534.0;-73.0;122.0;-127.0;89.0;164.0;-92.0
-205.0;-220.0;-850.0;791.0;-319.0;-90;537.0;-58.0;128.0;-71.0;162.0;31.0;-23.0
114.0;-234.0;-92.0;933.0;-412.0;-154;570.0;-28.0;-13.0;-327.0;-51.0;179.0;361.0
208.0;-327.0;-117.0;929.0;-489.0;-107;642.0;-14.0;97.0;-215.0;-84.0;227.0;-30.0
-235.0;-215.0;-871.0;801.0;441.0;-90;564.0;-114.0;499.0;-924.0;285.0;81.0;-64.0
-237.0;-228.0;-872.0;742.0;405.0;-90;569.0;75.0;484.0;-51.0;156.0;308.0;113.0
-200.0;-311.0;-911.0;1424.0;778.0;-60;1046.0;-88.0;1017.0;1030.0;702.0;271.0;-136.0
-250.0;-236.0;-879.0;751.0;368.0;-90;568.0;70.0;476.0;57.0;139.0;101.0;114.0
-267.0;-250.0;-886.0;752.0;352.0;-90;571.0;51.0;473.0;-58.0;-51.0;100.0;-20.0
-267.0;-250.0;-885.0;762.0;349.0;-90;570.0;19.0;469.0;-85.0;-61.0;113.0;-36.0
-265.0;-251.0;-885.0;762.0;353.0;-90;569.0;-42.0;469.0;-65.0;-96.0;118.0;-65.0
-250.0;-245.0;-876.0;727.0;365.0;-90;565.0;-63.0;467.0;-69.0;-83.0;90.0;-191.0
-160.0;-201.0;-211.0;313.0;717.0;137;750.0;-2077.0;695.0;-421.0;-1885.0;-81.0;171.0
-214.0;-206.0;-856.0;644.0;387.0;-90;563.0;-127.0;476.0;-220.0;-222.0;89.0;-52.0
-212.0;-203.0;-856.0;640.0;392.0;-90;565.0;-149.0;482.0;-282.0;-190.0;114.0;-52.0
-417.0;-166.0;-782.0;1961.0;379.0;-78;1294.0;-390.0;1221.0;431.0;-432.0;131.0;141.0
