InertialMeasurementUnit LLA accZ;Accelerometer LWR accX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer LUA_ accZ;Accelerometer LH accZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Compass;Accelerometer RUA_ accX
88.0;-196.0;-583.0;368.0;707.0;512.0;204.0;-685.0;10;-2;184.0
187.0;-35.0;-345.0;182.0;818.0;214.0;-46.0;-441.0;12;-14;189.0
114.0;-58.0;-373.0;285.0;945.0;477.0;-50.0;-366.0;-4;-78;124.0
207.0;7.0;-393.0;298.0;941.0;707.0;46.0;-391.0;-4;-78;101.0
117.0;-57.0;-376.0;261.0;960.0;493.0;-43.0;-394.0;-4;-78;110.0
132.0;-49.0;-385.0;262.0;960.0;500.0;-17.0;-359.0;-4;-78;76.0
133.0;-64.0;-363.0;251.0;942.0;520.0;-50.0;-360.0;-4;-78;151.0
131.0;-18.0;-364.0;252.0;944.0;504.0;-60.0;-384.0;-4;-78;190.0
321.0;151.0;-161.0;48.0;951.0;626.0;-233.0;-389.0;-1;-75;802.0
135.0;-58.0;-384.0;261.0;939.0;495.0;-58.0;-349.0;-4;-78;128.0
204.0;53.0;-380.0;278.0;952.0;683.0;-3.0;-360.0;-4;-78;406.0
212.0;-32.0;-241.0;170.0;895.0;533.0;-67.0;-395.0;-3;-116;338.0
133.0;-62.0;-382.0;249.0;939.0;497.0;-41.0;-369.0;-4;-78;235.0
131.0;-60.0;-370.0;257.0;947.0;495.0;-50.0;-360.0;-4;-78;312.0
123.0;-34.0;-386.0;251.0;942.0;497.0;-8.0;-379.0;-4;-78;300.0
135.0;-59.0;-374.0;246.0;938.0;481.0;-104.0;-362.0;-4;-78;373.0
213.0;8.0;-393.0;273.0;961.0;659.0;4.0;-361.0;-4;-78;515.0
124.0;-71.0;-340.0;239.0;984.0;474.0;-81.0;-338.0;-4;-78;390.0
276.0;-21.0;-377.0;171.0;925.0;458.0;-96.0;-486.0;140;31;343.0
159.0;-100.0;-190.0;18.0;970.0;281.0;-10.0;-359.0;0;-157;222.0
144.0;-159.0;-340.0;59.0;910.0;235.0;80.0;-373.0;19;-29;227.0
199.0;-14.0;-182.0;118.0;839.0;294.0;156.0;-360.0;5;-5;288.0
183.0;-34.0;-115.0;143.0;880.0;370.0;83.0;-438.0;-9;-3;166.0
53.0;-156.0;-158.0;124.0;885.0;230.0;90.0;-488.0;94;174;39.0
112.0;-155.0;-243.0;32.0;928.0;322.0;31.0;-421.0;0;-154;206.0
114.0;-21.0;-520.0;445.0;630.0;188.0;90.0;-764.0;9;-147;-19.0
226.0;-48.0;-258.0;158.0;1041.0;448.0;-147.0;-456.0;-8;53;278.0
148.0;38.0;-233.0;95.0;929.0;477.0;-157.0;-312.0;15;44;177.0
206.0;-78.0;-137.0;-4.0;953.0;347.0;-142.0;-346.0;72;174;183.0
260.0;13.0;-106.0;102.0;948.0;361.0;-23.0;-357.0;89;25;215.0
242.0;-107.0;-373.0;128.0;919.0;393.0;-76.0;-515.0;-23;-63;242.0
155.0;-87.0;-329.0;296.0;763.0;327.0;81.0;-608.0;-1;-138;825.0
507.0;501.0;-149.0;-100.0;889.0;789.0;-617.0;-399.0;-2;-75;677.0
239.0;-28.0;-289.0;4.0;878.0;505.0;88.0;-324.0;0;-49;310.0
232.0;-5.0;-221.0;4.0;913.0;466.0;75.0;-141.0;3;-139;210.0
