InertialMeasurementUnit LLA accZ;Accelerometer LWR accX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer LUA_ accZ;Accelerometer LH accZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Compass;Accelerometer RUA_ accX
199.0;58.0;-382.0;255.0;970.0;670.0;0.0;-358.0;-3;-77;444.0
233.0;-7.0;-182.0;67.0;926.0;419.0;-2.0;-338.0;138;22;-210.0
191.0;-68.0;-262.0;117.0;881.0;507.0;16.0;-507.0;-3;-116;634.0
253.0;66.0;-176.0;168.0;895.0;494.0;-106.0;-407.0;-3;-116;609.0
311.0;104.0;-157.0;84.0;961.0;523.0;-139.0;-279.0;-2;-71;249.0
307.0;130.0;-167.0;93.0;982.0;507.0;-101.0;-286.0;-2;-71;271.0
455.0;256.0;-186.0;106.0;951.0;687.0;-282.0;-300.0;-2;-71;445.0
323.0;261.0;-187.0;214.0;1023.0;694.0;-68.0;-281.0;-4;-76;406.0
252.0;59.0;-164.0;153.0;904.0;493.0;-123.0;-420.0;-3;-116;417.0
140.0;74.0;-157.0;102.0;836.0;736.0;-203.0;-501.0;-28;-79;770.0
119.0;-12.0;-218.0;197.0;937.0;547.0;-153.0;-391.0;-6;-78;648.0
212.0;-32.0;-241.0;170.0;895.0;533.0;-67.0;-395.0;-3;-116;338.0
227.0;113.0;-154.0;104.0;975.0;596.0;-128.0;-280.0;-2;-71;291.0
324.0;51.0;-161.0;107.0;964.0;596.0;-122.0;-263.0;-2;-71;277.0
335.0;68.0;-131.0;111.0;974.0;576.0;-78.0;-279.0;-2;-71;291.0
530.0;266.0;-166.0;104.0;998.0;710.0;-280.0;-240.0;-2;-71;278.0
377.0;209.0;-197.0;102.0;959.0;551.0;-312.0;-292.0;-2;-71;118.0
261.0;-41.0;-253.0;186.0;862.0;466.0;0.0;-492.0;-3;-115;484.0
272.0;20.0;-270.0;209.0;828.0;495.0;-21.0;-475.0;-3;-116;483.0
259.0;-2.0;-281.0;230.0;843.0;493.0;-75.0;-526.0;-3;-116;562.0
