Accelerometer LUA^ accX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit RUA magneticX;Accelerometer BACK accX
137.0;-74.0;10.0;-43.0;293.0;475.0;67.0
27.0;89.0;70.0;75.0;224.0;219.0;-148.0
11.0;85.0;-60.0;28.0;394.0;322.0;-10.0
174.0;107.0;-58.0;-436.0;463.0;563.0;233.0
38.0;40.0;-74.0;28.0;360.0;322.0;-10.0
301.0;101.0;-59.0;-221.0;283.0;326.0;79.0
275.0;-6.0;-51.0;-230.0;287.0;331.0;75.0
-128.0;-49.0;-28.0;31.0;265.0;336.0;93.0
231.0;-34.0;-40.0;-244.0;265.0;335.0;96.0
218.0;-47.0;-45.0;-252.0;268.0;339.0;97.0
220.0;-18.0;-36.0;-260.0;226.0;343.0;121.0
262.0;-32.0;40.0;-284.0;273.0;348.0;139.0
275.0;-45.0;55.0;-294.0;286.0;350.0;156.0
269.0;-106.0;-19.0;-407.0;274.0;336.0;245.0
221.0;-62.0;-59.0;-300.0;284.0;347.0;131.0
270.0;-62.0;-54.0;-298.0;320.0;350.0;116.0
264.0;-56.0;-39.0;-293.0;302.0;349.0;94.0
290.0;-60.0;-54.0;-288.0;313.0;346.0;68.0
277.0;-79.0;-3.0;-293.0;296.0;347.0;77.0
39.0;8.0;59.0;-346.0;228.0;257.0;215.0
-32.0;-79.0;68.0;-360.0;275.0;131.0;316.0
78.0;-50.0;-62.0;-203.0;238.0;258.0;249.0
76.0;-43.0;54.0;-194.0;259.0;257.0;231.0
-50.0;-163.0;341.0;-82.0;337.0;180.0;265.0
93.0;-22.0;220.0;-297.0;246.0;286.0;265.0
221.0;-75.0;48.0;-298.0;298.0;347.0;79.0
-89.0;-22.0;51.0;27.0;304.0;403.0;100.0
-92.0;-24.0;78.0;29.0;292.0;404.0;113.0
-109.0;-17.0;111.0;30.0;296.0;400.0;109.0
-81.0;-31.0;-5.0;-220.0;256.0;327.0;210.0
208.0;-57.0;-92.0;-268.0;255.0;328.0;200.0
-84.0;-57.0;-22.0;24.0;289.0;383.0;115.0
450.0;19.0;-265.0;-252.0;164.0;380.0;208.0
391.0;34.0;-454.0;-214.0;238.0;359.0;207.0
192.0;-52.0;69.0;-303.0;287.0;348.0;87.0
52.0;-50.0;-38.0;-394.0;200.0;493.0;214.0
151.0;98.0;-96.0;-195.0;249.0;260.0;143.0
117.0;27.0;-59.0;-197.0;261.0;266.0;143.0
150.0;85.0;-183.0;-194.0;255.0;265.0;202.0
333.0;137.0;-13.0;-219.0;283.0;326.0;91.0
235.0;-58.0;67.0;-311.0;272.0;353.0;97.0
302.0;56.0;-64.0;-233.0;236.0;334.0;94.0
230.0;-39.0;84.0;-312.0;304.0;350.0;114.0
74.0;43.0;-89.0;-192.0;306.0;243.0;85.0
21.0;11.0;42.0;-190.0;301.0;243.0;73.0
-24.0;-159.0;-123.0;-674.0;-2.0;513.0;330.0
210.0;-40.0;23.0;-335.0;291.0;349.0;102.0
706.0;434.0;-539.0;-481.0;455.0;669.0;455.0
257.0;-40.0;30.0;-370.0;291.0;352.0;80.0
108.0;30.0;64.0;-195.0;357.0;244.0;146.0
246.0;54.0;-26.0;-406.0;211.0;622.0;231.0
280.0;-37.0;3.0;-377.0;297.0;361.0;86.0
80.0;113.0;-121.0;-223.0;376.0;244.0;146.0
115.0;75.0;-86.0;-268.0;350.0;249.0;211.0
97.0;98.0;-46.0;-292.0;310.0;251.0;177.0
244.0;180.0;154.0;-428.0;370.0;179.0;163.0
260.0;-54.0;1.0;-380.0;311.0;366.0;97.0
210.0;-32.0;-100.0;-400.0;335.0;390.0;81.0
271.0;-114.0;-325.0;-551.0;203.0;303.0;70.0
211.0;19.0;-45.0;-432.0;281.0;421.0;69.0
-58.0;-26.0;-2.0;30.0;315.0;345.0;-26.0
86.0;-111.0;-106.0;73.0;444.0;407.0;120.0
489.0;150.0;-455.0;-332.0;207.0;520.0;186.0
385.0;169.0;683.0;-297.0;241.0;440.0;10.0
17.0;23.0;-82.0;-215.0;335.0;299.0;232.0
214.0;91.0;162.0;-194.0;305.0;372.0;22.0
126.0;282.0;-270.0;-323.0;516.0;519.0;82.0
218.0;250.0;-67.0;-53.0;358.0;347.0;25.0
357.0;301.0;-17.0;-105.0;193.0;324.0;25.0
54.0;67.0;-43.0;53.0;592.0;545.0;-19.0
230.0;12.0;130.0;-255.0;269.0;333.0;209.0
239.0;50.0;-102.0;-245.0;252.0;338.0;90.0
217.0;-96.0;237.0;-23.0;346.0;332.0;141.0
122.0;-45.0;-158.0;219.0;283.0;338.0;333.0
222.0;-351.0;112.0;318.0;156.0;254.0;-120.0
264.0;-27.0;-134.0;-278.0;284.0;351.0;88.0
254.0;16.0;-84.0;-293.0;265.0;353.0;86.0
263.0;2.0;-55.0;-303.0;245.0;354.0;77.0
266.0;-1.0;-33.0;-313.0;253.0;355.0;86.0
285.0;3.0;-7.0;-327.0;266.0;362.0;65.0
247.0;-2.0;18.0;-338.0;251.0;367.0;78.0
63.0;67.0;64.0;-363.0;253.0;348.0;199.0
86.0;14.0;-42.0;-480.0;270.0;381.0;106.0
-86.0;38.0;-238.0;154.0;322.0;189.0;160.0
428.0;-62.0;-270.0;-151.0;200.0;296.0;331.0
222.0;-3.0;-53.0;-270.0;389.0;359.0;139.0
342.0;28.0;-77.0;-89.0;273.0;367.0;209.0
216.0;19.0;-12.0;-251.0;399.0;359.0;165.0
247.0;106.0;94.0;-181.0;353.0;355.0;111.0
209.0;89.0;119.0;-170.0;317.0;358.0;158.0
370.0;-9.0;24.0;-106.0;254.0;384.0;197.0
134.0;-131.0;67.0;-153.0;510.0;678.0;-52.0
132.0;-117.0;-47.0;-122.0;265.0;656.0;-17.0
82.0;-15.0;-39.0;-470.0;255.0;367.0;114.0
363.0;17.0;100.0;-114.0;269.0;404.0;202.0
178.0;-16.0;-88.0;-18.0;329.0;418.0;237.0
80.0;-46.0;-31.0;-465.0;262.0;360.0;89.0
128.0;23.0;35.0;25.0;328.0;405.0;233.0
198.0;38.0;163.0;-163.0;260.0;361.0;143.0
11.0;12.0;-38.0;23.0;274.0;420.0;73.0
-102.0;-28.0;-15.0;23.0;287.0;421.0;79.0
99.0;32.0;-23.0;25.0;324.0;407.0;240.0
85.0;32.0;-69.0;23.0;334.0;408.0;226.0
20.0;37.0;-18.0;23.0;342.0;406.0;243.0
50.0;17.0;50.0;19.0;312.0;411.0;231.0
-133.0;13.0;-28.0;27.0;289.0;413.0;68.0
100.0;32.0;-17.0;34.0;323.0;405.0;231.0
181.0;16.0;133.0;-158.0;222.0;363.0;103.0
55.0;25.0;-91.0;34.0;327.0;406.0;238.0
179.0;2.0;142.0;-158.0;359.0;363.0;102.0
61.0;6.0;-158.0;36.0;325.0;405.0;232.0
103.0;6.0;69.0;54.0;327.0;397.0;242.0
127.0;29.0;65.0;62.0;328.0;394.0;240.0
131.0;-17.0;32.0;65.0;325.0;393.0;254.0
122.0;8.0;52.0;67.0;330.0;388.0;240.0
33.0;13.0;92.0;-346.0;183.0;333.0;152.0
365.0;-55.0;-104.0;-136.0;270.0;314.0;94.0
134.0;36.0;370.0;94.0;309.0;333.0;94.0
162.0;-14.0;49.0;51.0;306.0;385.0;108.0
76.0;-21.0;19.0;48.0;321.0;385.0;104.0
69.0;-39.0;58.0;77.0;327.0;386.0;240.0
-14.0;-35.0;15.0;90.0;327.0;376.0;238.0
125.0;-36.0;-54.0;-368.0;389.0;341.0;229.0
-1.0;-26.0;26.0;93.0;336.0;375.0;234.0
25.0;-11.0;29.0;96.0;324.0;374.0;251.0
