InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
609;-3;-4;7;11;930.0;11;10;968.0;-37;-812;11;10
597;0;1;-2;3;934.0;-16;10;965.0;-35;-834;3;10
595;3;1;-1;-9;907.0;-16;10;974.0;-35;-825;-9;10
593;-2;1;-2;21;894.0;-17;-8;958.0;-35;-830;21;-8
594;-5;1;-2;37;907.0;-18;15;988.0;-35;-835;37;15
598;1;1;1;-13;915.0;-18;-13;936.0;-35;-827;-13;-13
599;5;1;0;-2;886.0;-19;-9;955.0;-35;-828;-2;-9
597;0;1;-8;-9;896.0;-10;-9;980.0;-35;-830;-9;-9
594;-3;1;-7;5;919.0;-11;8;996.0;-35;-828;5;8
601;4;1;1;-13;918.0;-18;19;929.0;-35;-822;-13;19
601;0;1;5;15;926.0;-24;-9;999.0;-35;-829;15;-9
593;-1;0;1;-13;885.0;3;27;994.0;-34;-835;-13;27
593;-4;1;2;-5;880.0;-21;6;998.0;-35;-826;-5;6
595;0;1;0;14;915.0;-18;3;965.0;-35;-825;14;3
589;-3;4;-1;55;931.0;-13;9;991.0;-35;-838;55;9
599;2;0;1;-8;878.0;10;-18;984.0;-34;-826;-8;-18
596;-1;1;-3;4;904.0;-13;17;964.0;-35;-828;4;17
597;3;1;-2;14;898.0;-13;9;986.0;-35;-822;14;9
598;2;1;6;5;917.0;-23;11;930.0;-35;-823;5;11
599;-1;1;3;-13;931.0;-22;18;967.0;-35;-830;-13;18
594;-7;1;0;36;913.0;-22;18;959.0;-35;-836;36;18
589;-9;1;18;8;921.0;-36;7;975.0;-35;-828;8;7
597;0;1;0;-9;893.0;-17;-5;967.0;-35;-831;-9;-5
504;93;2;19;128;1845.0;-95;73;1167.0;-26;-866;128;73
588;-9;1;-2;-21;898.0;-14;-1;986.0;-35;-835;-21;-1
606;18;0;-9;-1;958.0;12;13;947.0;-36;-809;-1;13
593;1;0;-5;-13;895.0;10;-19;969.0;-34;-832;-13;-19
588;1;4;-27;-59;848.0;-63;-12;888.0;-31;-823;-59;-12
585;-3;0;3;-18;888.0;-1;-39;956.0;-34;-836;-18;-39
509;11;7;21;713;879.0;-133;-913;959.0;-29;-881;713;-913
590;1;0;-2;14;899.0;7;16;955.0;-34;-832;14;16
567;0;0;-1;-4;1019.0;-13;0;1017.0;-33;-847;-4;0
595;4;0;2;5;896.0;4;-16;974.0;-34;-835;5;-16
