Accelerometer RUA^ accY;Accelerometer RKN_ accZ;Accelerometer RUA_ accY;Accelerometer LUA^ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit BACK magneticY
990.0;-86.0;347.0;977.0;169.0;-153.0;-854.0;485.0;-57;-887.0;-378.0;176.0;276.0
988.0;114.0;955.0;979.0;911.0;-869.0;835.0;-515.0;-94;-417.0;95.0;454.0;12.0
1119.0;119.0;518.0;869.0;206.0;-516.0;361.0;-529.0;41;-255.0;184.0;334.0;-213.0
939.0;-82.0;378.0;928.0;1.0;-255.0;259.0;-292.0;142;-402.0;440.0;256.0;-308.0
922.0;-42.0;682.0;1000.0;-10.0;-575.0;95.0;-105.0;145;-694.0;278.0;63.0;-103.0
1044.0;-32.0;970.0;1014.0;935.0;-889.0;349.0;-547.0;83;-332.0;597.0;576.0;-465.0
940.0;-39.0;657.0;986.0;385.0;-483.0;95.0;-103.0;144;-677.0;305.0;188.0;-147.0
950.0;-48.0;604.0;1003.0;194.0;-475.0;108.0;-93.0;145;-828.0;293.0;89.0;-129.0
941.0;-60.0;608.0;969.0;317.0;-507.0;107.0;-94.0;145;-805.0;293.0;82.0;-123.0
950.0;-25.0;600.0;1008.0;171.0;-568.0;96.0;-102.0;144;-967.0;293.0;105.0;-110.0
1082.0;11.0;250.0;1021.0;512.0;-219.0;358.0;-459.0;97;-411.0;436.0;331.0;-278.0
658.0;-66.0;-462.0;648.0;-713.0;549.0;380.0;-567.0;86;-219.0;597.0;335.0;-530.0
961.0;-28.0;581.0;953.0;319.0;-494.0;109.0;-94.0;145;-962.0;310.0;176.0;-161.0
961.0;-28.0;658.0;970.0;329.0;-536.0;96.0;-96.0;145;-553.0;276.0;54.0;-113.0
971.0;-43.0;688.0;1028.0;446.0;-641.0;82.0;-43.0;145;-782.0;274.0;129.0;-119.0
852.0;25.0;639.0;724.0;514.0;-808.0;242.0;-361.0;132;-523.0;403.0;230.0;-251.0
1150.0;-37.0;867.0;988.0;686.0;-606.0;41.0;-210.0;172;-784.0;110.0;198.0;-63.0
1087.0;-54.0;662.0;1058.0;381.0;-530.0;62.0;-35.0;145;-747.0;262.0;289.0;-93.0
936.0;-279.0;868.0;907.0;689.0;-827.0;-867.0;84.0;-27;-523.0;443.0;590.0;-298.0
962.0;54.0;781.0;1035.0;421.0;-513.0;101.0;64.0;159;-929.0;30.0;-166.0;155.0
989.0;79.0;728.0;1039.0;441.0;-653.0;51.0;193.0;154;-898.0;47.0;-318.0;76.0
970.0;-85.0;717.0;967.0;271.0;-653.0;103.0;41.0;145;-792.0;245.0;-34.0;-155.0
760.0;-213.0;-269.0;796.0;-338.0;376.0;27.0;91.0;-167;-926.0;233.0;-451.0;44.0
975.0;-155.0;636.0;799.0;430.0;-437.0;200.0;40.0;174;-985.0;-54.0;-248.0;249.0
951.0;42.0;721.0;838.0;452.0;-550.0;807.0;-532.0;-48;-591.0;-457.0;-111.0;379.0
390.0;-132.0;-485.0;984.0;-528.0;512.0;-704.0;575.0;89;-585.0;-499.0;-486.0;238.0
