Accelerometer RUA^ accY;Accelerometer RKN_ accZ;Accelerometer RUA_ accY;Accelerometer LUA^ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit BACK magneticY
980.0;-38.0;634.0;959.0;501.0;-579.0;98.0;-95.0;145;-833.0;272.0;31.0;-108.0
976.0;-43.0;666.0;1005.0;176.0;-665.0;96.0;-103.0;144;-791.0;311.0;178.0;-136.0
771.0;-195.0;-353.0;949.0;-94.0;262.0;33.0;79.0;-158;-572.0;327.0;-315.0;60.0
935.0;-263.0;257.0;899.0;30.0;-37.0;-20.0;86.0;-152;-763.0;358.0;-380.0;-102.0
672.0;-230.0;561.0;891.0;238.0;-26.0;-22.0;85.0;-152;-1112.0;362.0;-387.0;-109.0
552.0;-234.0;319.0;948.0;213.0;23.0;-24.0;84.0;-152;-987.0;362.0;-394.0;-110.0
658.0;6.0;557.0;570.0;566.0;-611.0;-166.0;329.0;-99;-363.0;66.0;110.0;13.0
689.0;2.0;634.0;721.0;435.0;-645.0;-21.0;226.0;-95;-233.0;69.0;106.0;63.0
751.0;392.0;700.0;766.0;583.0;-534.0;6.0;204.0;-95;-175.0;59.0;106.0;68.0
575.0;-144.0;579.0;542.0;582.0;-532.0;50.0;164.0;-94;-354.0;78.0;130.0;75.0
593.0;-195.0;194.0;942.0;163.0;22.0;-48.0;104.0;-151;-1106.0;372.0;-386.0;-157.0
624.0;-292.0;177.0;912.0;90.0;-249.0;4.0;86.0;-152;-1041.0;325.0;-236.0;5.0
543.0;-354.0;223.0;946.0;135.0;-332.0;-6.0;93.0;-152;-1147.0;328.0;-248.0;-25.0
1107.0;-36.0;632.0;954.0;875.0;-648.0;288.0;-137.0;-72;-212.0;84.0;113.0;104.0
540.0;-108.0;481.0;650.0;409.0;-711.0;359.0;-215.0;-73;-255.0;62.0;114.0;171.0
929.0;127.0;996.0;929.0;292.0;-870.0;801.0;-561.0;-52;-624.0;-98.0;132.0;147.0
595.0;-270.0;171.0;949.0;-24.0;90.0;-9.0;89.0;-152;-942.0;350.0;-340.0;-88.0
610.0;-221.0;396.0;929.0;244.0;43.0;-10.0;95.0;-153;-1185.0;353.0;-340.0;-80.0
581.0;-311.0;41.0;961.0;134.0;-46.0;-42.0;110.0;-151;-947.0;363.0;-354.0;-153.0
623.0;-244.0;173.0;966.0;37.0;-7.0;-16.0;98.0;-152;-1022.0;348.0;-310.0;-89.0
