InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1
-466.0;62.0;-412.0;54.0;49.0
-11.0;-393.0;291.0;35.0;-624.0
-24.0;-396.0;286.0;62.0;-623.0
-23.0;-396.0;288.0;75.0;-622.0
-250.0;-469.0;497.0;453.0;-858.0
-529.0;137.0;-210.0;104.0;108.0
-528.0;137.0;-211.0;96.0;112.0
-528.0;137.0;-211.0;90.0;116.0
-429.0;240.0;-229.0;159.0;175.0
-421.0;235.0;-232.0;150.0;181.0
-408.0;224.0;-245.0;136.0;198.0
-402.0;220.0;-249.0;122.0;206.0
-393.0;211.0;-256.0;101.0;222.0
-388.0;207.0;-259.0;94.0;231.0
-381.0;204.0;-261.0;84.0;241.0
-376.0;202.0;-263.0;75.0;250.0
-362.0;201.0;-264.0;53.0;269.0
-344.0;204.0;-265.0;23.0;296.0
-339.0;205.0;-265.0;10.0;306.0
541.0;624.0;311.0;-311.0;767.0
-327.0;203.0;-270.0;-41.0;339.0
-449.0;55.0;-425.0;44.0;69.0
-456.0;59.0;-418.0;48.0;59.0
0.0;-388.0;294.0;28.0;-623.0
-207.0;208.0;-563.0;267.0;60.0
-443.0;-478.0;289.0;194.0;-822.0
829.0;832.0;24.0;82.0;286.0
32.0;275.0;-616.0;413.0;310.0
-99.0;243.0;-543.0;354.0;289.0
-122.0;225.0;-529.0;348.0;266.0
-124.0;224.0;-528.0;349.0;264.0
-130.0;223.0;-528.0;352.0;262.0
16.0;-386.0;299.0;29.0;-622.0
20.0;-395.0;306.0;53.0;-621.0
-134.0;224.0;-529.0;359.0;260.0
-137.0;226.0;-531.0;363.0;258.0
15.0;-400.0;304.0;47.0;-623.0
-38.0;-592.0;641.0;3.0;-631.0
-138.0;231.0;-540.0;380.0;252.0
-139.0;230.0;-594.0;401.0;210.0
-414.0;-532.0;505.0;228.0;-787.0
-398.0;-479.0;413.0;337.0;-821.0
-565.0;-627.0;253.0;410.0;-740.0
-499.0;-674.0;211.0;368.0;-690.0
-476.0;-678.0;216.0;340.0;-695.0
-402.0;-707.0;332.0;311.0;-694.0
-186.0;485.0;-488.0;231.0;377.0
-597.0;196.0;-585.0;448.0;25.0
-108.0;526.0;-589.0;55.0;550.0
-281.0;161.0;-662.0;-57.0;481.0
-193.0;159.0;-588.0;-136.0;580.0
-231.0;53.0;-587.0;-228.0;577.0
-284.0;273.0;-409.0;13.0;389.0
-308.0;284.0;-360.0;14.0;455.0
-410.0;226.0;-486.0;22.0;209.0
-410.0;226.0;-478.0;14.0;217.0
-419.0;233.0;-461.0;-7.0;236.0
-438.0;245.0;-436.0;13.0;272.0
-449.0;252.0;-426.0;49.0;283.0
-455.0;254.0;-420.0;62.0;286.0
-463.0;260.0;-414.0;67.0;285.0
-334.0;302.0;-334.0;56.0;542.0
-297.0;271.0;-355.0;8.0;580.0
611.0;399.0;-349.0;-601.0;916.0
712.0;490.0;-132.0;-602.0;595.0
735.0;464.0;12.0;-557.0;695.0
702.0;-14.0;-356.0;-524.0;193.0
726.0;-79.0;-349.0;-395.0;178.0
563.0;-218.0;-355.0;-552.0;143.0
609.0;-215.0;467.0;-298.0;-41.0
491.0;-267.0;427.0;-332.0;-24.0
-522.0;240.0;-397.0;161.0;203.0
-525.0;238.0;-394.0;166.0;194.0
-528.0;236.0;-390.0;172.0;185.0
-534.0;233.0;-380.0;194.0;166.0
-540.0;230.0;-367.0;217.0;145.0
-545.0;228.0;-361.0;227.0;135.0
-673.0;193.0;-497.0;330.0;-11.0
-562.0;218.0;-340.0;270.0;88.0
-573.0;210.0;-328.0;287.0;62.0
-513.0;264.0;-436.0;416.0;17.0
