InertialMeasurementUnit LLA accZ;Accelerometer LWR accX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer LUA_ accZ;Accelerometer LH accZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Compass;Accelerometer RUA_ accX
169.0;-182.0;-256.0;202.0;793.0;427.0;29.0;-596.0;-29;-94;185.0
187.0;-35.0;-345.0;182.0;818.0;214.0;-46.0;-441.0;12;-14;189.0
114.0;-58.0;-373.0;285.0;945.0;477.0;-50.0;-366.0;-4;-78;124.0
119.0;-51.0;-371.0;291.0;946.0;518.0;-51.0;-368.0;-4;-78;179.0
117.0;-57.0;-376.0;261.0;960.0;493.0;-43.0;-394.0;-4;-78;110.0
127.0;-61.0;-383.0;268.0;951.0;479.0;-21.0;-354.0;-4;-78;113.0
133.0;-64.0;-363.0;251.0;942.0;520.0;-50.0;-360.0;-4;-78;151.0
131.0;-18.0;-364.0;252.0;944.0;504.0;-60.0;-384.0;-4;-78;190.0
252.0;59.0;-164.0;153.0;904.0;493.0;-123.0;-420.0;-3;-116;417.0
135.0;-58.0;-384.0;261.0;939.0;495.0;-58.0;-349.0;-4;-78;128.0
129.0;-6.0;-364.0;256.0;938.0;505.0;3.0;-366.0;-4;-78;322.0
212.0;-32.0;-241.0;170.0;895.0;533.0;-67.0;-395.0;-3;-116;338.0
133.0;-62.0;-382.0;249.0;939.0;497.0;-41.0;-369.0;-4;-78;235.0
131.0;-60.0;-370.0;257.0;947.0;495.0;-50.0;-360.0;-4;-78;312.0
123.0;-34.0;-386.0;251.0;942.0;497.0;-8.0;-379.0;-4;-78;300.0
135.0;-59.0;-374.0;246.0;938.0;481.0;-104.0;-362.0;-4;-78;373.0
140.0;-82.0;-372.0;245.0;965.0;495.0;-66.0;-335.0;-4;-78;393.0
124.0;-71.0;-340.0;239.0;984.0;474.0;-81.0;-338.0;-4;-78;390.0
274.0;64.0;-435.0;4.0;978.0;474.0;-120.0;-590.0;105;71;407.0
159.0;-100.0;-190.0;18.0;970.0;281.0;-10.0;-359.0;0;-157;222.0
142.0;-138.0;-275.0;100.0;903.0;291.0;40.0;-376.0;0;-157;248.0
199.0;-14.0;-182.0;118.0;839.0;294.0;156.0;-360.0;5;-5;288.0
183.0;-34.0;-115.0;143.0;880.0;370.0;83.0;-438.0;-9;-3;166.0
93.0;-107.0;-193.0;117.0;852.0;227.0;-26.0;-366.0;9;54;178.0
112.0;-155.0;-243.0;32.0;928.0;322.0;31.0;-421.0;0;-154;206.0
128.0;-57.0;-469.0;209.0;697.0;279.0;76.0;-687.0;9;-147;47.0
226.0;-48.0;-258.0;158.0;1041.0;448.0;-147.0;-456.0;-8;53;278.0
148.0;38.0;-233.0;95.0;929.0;477.0;-157.0;-312.0;15;44;177.0
233.0;22.0;-116.0;71.0;920.0;358.0;-62.0;-367.0;84;25;219.0
260.0;13.0;-106.0;102.0;948.0;361.0;-23.0;-357.0;89;25;215.0
271.0;-45.0;-353.0;145.0;910.0;318.0;-32.0;-452.0;-4;-50;224.0
161.0;-71.0;-293.0;207.0;838.0;499.0;18.0;-503.0;-6;-117;470.0
277.0;55.0;-196.0;6.0;896.0;486.0;-67.0;-323.0;0;-49;353.0
239.0;-28.0;-289.0;4.0;878.0;505.0;88.0;-324.0;0;-49;310.0
237.0;-31.0;-287.0;41.0;908.0;513.0;69.0;-264.0;0;-51;253.0
237.0;-61.0;-212.0;74.0;951.0;479.0;13.0;-337.0;0;-55;173.0
66.0;-38.0;-305.0;278.0;800.0;488.0;-196.0;-522.0;-28;-100;426.0
147.0;-107.0;-354.0;155.0;855.0;462.0;47.0;-488.0;-13;-169;260.0
91.0;-205.0;-331.0;237.0;769.0;299.0;80.0;-566.0;-47;-151;8.0
118.0;-114.0;-212.0;196.0;899.0;267.0;-20.0;-482.0;8;-24;187.0
110.0;-160.0;-295.0;197.0;877.0;339.0;4.0;-543.0;8;-24;59.0
139.0;-146.0;-243.0;149.0;912.0;348.0;1.0;-502.0;7;-25;182.0
133.0;-106.0;-220.0;162.0;924.0;344.0;1.0;-502.0;7;-25;112.0
131.0;-87.0;-199.0;165.0;884.0;297.0;-132.0;-489.0;6;-25;130.0
145.0;-177.0;-394.0;303.0;789.0;393.0;7.0;-628.0;50;-20;340.0
176.0;24.0;-331.0;261.0;856.0;426.0;-19.0;-543.0;1;-119;309.0
265.0;-41.0;-375.0;177.0;1023.0;399.0;-100.0;-490.0;68;163;-55.0
191.0;-69.0;-139.0;113.0;894.0;412.0;-68.0;-436.0;5;-29;102.0
179.0;-104.0;-283.0;2.0;938.0;391.0;-78.0;-369.0;3;-31;174.0
221.0;-36.0;-252.0;-5.0;902.0;406.0;-80.0;-412.0;3;-31;104.0
53.0;-69.0;-324.0;132.0;949.0;370.0;-91.0;-272.0;-4;-78;155.0
318.0;13.0;-251.0;241.0;904.0;478.0;-90.0;-482.0;5;-84;334.0
311.0;39.0;-247.0;224.0;871.0;491.0;-93.0;-458.0;5;-84;364.0
182.0;-56.0;-195.0;228.0;856.0;393.0;-13.0;-381.0;13;-10;281.0
233.0;-39.0;-244.0;176.0;861.0;468.0;19.0;-481.0;-3;-116;405.0
238.0;-25.0;-230.0;174.0;866.0;456.0;12.0;-487.0;-3;-116;444.0
205.0;-75.0;-174.0;166.0;866.0;447.0;6.0;-295.0;14;-14;215.0
309.0;26.0;-300.0;91.0;935.0;589.0;-84.0;-398.0;-2;-74;205.0
225.0;9.0;-179.0;135.0;759.0;389.0;-6.0;-323.0;-27;-73;162.0
233.0;94.0;-224.0;120.0;977.0;295.0;-141.0;-353.0;12;-21;232.0
191.0;-29.0;-192.0;88.0;942.0;387.0;-116.0;-307.0;72;-113;316.0
156.0;-79.0;-161.0;168.0;913.0;329.0;-82.0;-340.0;78;-12;132.0
239.0;-20.0;-237.0;153.0;868.0;477.0;6.0;-481.0;-3;-116;458.0
240.0;-25.0;-229.0;145.0;885.0;465.0;61.0;-474.0;-3;-116;344.0
227.0;-46.0;-262.0;109.0;899.0;498.0;45.0;-455.0;-3;-116;418.0
220.0;-44.0;-232.0;123.0;885.0;498.0;50.0;-494.0;-3;-116;436.0
231.0;-38.0;-235.0;120.0;900.0;496.0;35.0;-443.0;-3;-116;354.0
167.0;-72.0;-186.0;173.0;915.0;366.0;-103.0;-331.0;79;-12;248.0
153.0;-106.0;-177.0;198.0;924.0;359.0;-81.0;-368.0;81;-12;356.0
112.0;-142.0;-430.0;379.0;932.0;330.0;-82.0;-443.0;91;-11;377.0
205.0;30.0;-179.0;124.0;875.0;423.0;-100.0;-394.0;2;-72;300.0
255.0;22.0;-259.0;61.0;952.0;573.0;-375.0;-339.0;-2;-74;413.0
