Accelerometer RUA^ accY;Accelerometer RKN_ accZ;Accelerometer RUA_ accY;Accelerometer LUA^ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit BACK magneticY
774.0;-338.0;289.0;706.0;456.0;-311.0;-189.0;32.0;-140;-711.0;55.0;151.0;279.0
980.0;-38.0;634.0;959.0;501.0;-579.0;98.0;-95.0;145;-833.0;272.0;31.0;-108.0
961.0;-28.0;658.0;970.0;329.0;-536.0;96.0;-96.0;145;-553.0;276.0;54.0;-113.0
957.0;-54.0;632.0;969.0;193.0;-445.0;96.0;-101.0;144;-648.0;268.0;22.0;-99.0
823.0;79.0;323.0;846.0;-24.0;-306.0;690.0;-643.0;40;-691.0;-170.0;-78.0;24.0
985.0;25.0;450.0;1034.0;665.0;-208.0;391.0;-450.0;97;-543.0;470.0;253.0;-321.0
926.0;-30.0;604.0;979.0;312.0;-509.0;100.0;-93.0;144;-810.0;303.0;111.0;-114.0
957.0;-61.0;619.0;981.0;233.0;-483.0;107.0;-91.0;144;-758.0;295.0;92.0;-125.0
941.0;-60.0;608.0;969.0;317.0;-507.0;107.0;-94.0;145;-805.0;293.0;82.0;-123.0
954.0;-39.0;615.0;968.0;266.0;-494.0;108.0;-94.0;145;-839.0;285.0;57.0;-119.0
964.0;-50.0;537.0;978.0;314.0;-443.0;108.0;-94.0;144;-725.0;286.0;82.0;-128.0
967.0;-36.0;569.0;986.0;223.0;-421.0;108.0;-99.0;144;-641.0;286.0;81.0;-125.0
961.0;-70.0;593.0;947.0;308.0;-488.0;109.0;-99.0;144;-860.0;281.0;59.0;-121.0
1005.0;-24.0;585.0;967.0;321.0;-609.0;92.0;-35.0;144;-656.0;299.0;18.0;-135.0
955.0;-35.0;571.0;978.0;351.0;-581.0;87.0;-49.0;144;-775.0;279.0;93.0;-123.0
946.0;-46.0;638.0;973.0;423.0;-611.0;85.0;-46.0;145;-696.0;282.0;132.0;-123.0
1150.0;-37.0;867.0;988.0;686.0;-606.0;41.0;-210.0;172;-784.0;110.0;198.0;-63.0
980.0;-20.0;637.0;1007.0;386.0;-517.0;56.0;-37.0;145;-785.0;248.0;213.0;-90.0
1037.0;-406.0;631.0;984.0;492.0;-427.0;71.0;-190.0;173;-720.0;269.0;294.0;-111.0
888.0;47.0;782.0;1019.0;409.0;-498.0;98.0;70.0;157;-898.0;31.0;-171.0;155.0
945.0;75.0;617.0;1012.0;290.0;-577.0;70.0;139.0;154;-899.0;51.0;-265.0;106.0
906.0;-37.0;618.0;949.0;297.0;-584.0;105.0;-91.0;145;-793.0;289.0;55.0;-128.0
963.0;86.0;281.0;950.0;209.0;-509.0;39.0;156.0;209;-870.0;14.0;-124.0;155.0
916.0;-29.0;626.0;808.0;479.0;-457.0;120.0;151.0;174;-902.0;-8.0;-192.0;124.0
980.0;-61.0;472.0;1055.0;288.0;-220.0;826.0;-512.0;-81;-841.0;-312.0;170.0;403.0
819.0;182.0;349.0;1101.0;341.0;-404.0;-66.0;215.0;97;-499.0;77.0;-91.0;87.0
955.0;212.0;589.0;1004.0;406.0;-349.0;163.0;4.0;211;-826.0;2.0;-25.0;221.0
905.0;32.0;569.0;964.0;361.0;-374.0;153.0;15.0;144;-864.0;3.0;-30.0;208.0
864.0;24.0;471.0;1038.0;272.0;-383.0;95.0;98.0;121;-809.0;21.0;-131.0;132.0
884.0;-150.0;489.0;1030.0;294.0;-372.0;82.0;118.0;126;-818.0;39.0;-162.0;114.0
870.0;-109.0;483.0;1129.0;300.0;-386.0;59.0;157.0;124;-773.0;69.0;-198.0;76.0
1036.0;-172.0;491.0;1018.0;356.0;-425.0;3.0;237.0;125;-799.0;225.0;21.0;3.0
451.0;80.0;283.0;955.0;-123.0;-110.0;-494.0;567.0;118;-221.0;152.0;56.0;17.0
971.0;65.0;560.0;1001.0;301.0;-478.0;-21.0;18.0;145;-971.0;141.0;-4.0;-2.0
951.0;61.0;648.0;908.0;282.0;-482.0;-25.0;18.0;144;-834.0;130.0;-17.0;2.0
999.0;55.0;630.0;970.0;172.0;-469.0;-8.0;-10.0;145;-878.0;146.0;14.0;-25.0
967.0;-158.0;690.0;996.0;729.0;-561.0;60.0;78.0;173;-700.0;234.0;90.0;51.0
1044.0;-79.0;547.0;1013.0;329.0;-676.0;100.0;56.0;172;-773.0;53.0;-187.0;104.0
959.0;14.0;482.0;1052.0;438.0;-614.0;119.0;41.0;172;-726.0;-20.0;-293.0;136.0
1100.0;81.0;363.0;1050.0;161.0;-461.0;64.0;270.0;167;-539.0;142.0;29.0;50.0
1104.0;60.0;425.0;933.0;306.0;-448.0;57.0;278.0;167;-494.0;147.0;39.0;41.0
