InertialMeasurementUnit LLA accZ;Accelerometer LWR accX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer LUA_ accZ;Accelerometer LH accZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Compass;Accelerometer RUA_ accX
227.0;-19.0;-213.0;-121.0;932.0;429.0;64.0;-208.0;143;169;164.0
205.0;0.0;-167.0;?;951.0;455.0;85.0;-191.0;143;169;121.0
220.0;-85.0;-128.0;-146.0;978.0;432.0;83.0;-225.0;143;169;75.0
217.0;-133.0;?;-106.0;1046.0;443.0;118.0;-192.0;143;170;99.0
221.0;-191.0;-133.0;-162.0;1033.0;448.0;129.0;-189.0;143;172;122.0
235.0;-180.0;-112.0;-134.0;1031.0;408.0;?;-211.0;143;173;166.0
242.0;-81.0;?;-159.0;965.0;427.0;122.0;-201.0;?;174;212.0
?;-86.0;-107.0;-139.0;1000.0;404.0;119.0;-206.0;143;175;213.0
209.0;-35.0;-86.0;-40.0;1000.0;399.0;22.0;-264.0;144;174;297.0
168.0;-5.0;-13.0;?;989.0;375.0;30.0;-300.0;144;174;431.0
102.0;-87.0;57.0;-73.0;949.0;329.0;46.0;-302.0;144;174;519.0
75.0;-192.0;125.0;-28.0;920.0;297.0;93.0;?;145;174;470.0
31.0;-148.0;140.0;-11.0;908.0;280.0;234.0;-336.0;145;174;?
-34.0;-178.0;-15.0;-50.0;962.0;266.0;284.0;?;145;174;412.0
-55.0;-234.0;-95.0;-65.0;997.0;?;268.0;-272.0;145;174;504.0
14.0;-273.0;-12.0;-17.0;1000.0;190.0;260.0;-294.0;145;174;547.0
52.0;-259.0;5.0;-3.0;971.0;238.0;268.0;-306.0;145;174;462.0
44.0;-148.0;-26.0;-122.0;971.0;233.0;188.0;-279.0;145;174;314.0
68.0;?;?;?;990.0;258.0;141.0;-292.0;145;174;275.0
111.0;-209.0;-78.0;-12.0;963.0;?;23.0;?;?;174;279.0
137.0;-110.0;-81.0;-68.0;949.0;279.0;-23.0;-309.0;?;174;358.0
127.0;-84.0;-125.0;-80.0;?;320.0;-18.0;-273.0;144;174;447.0
136.0;-25.0;-93.0;-46.0;931.0;331.0;-81.0;-280.0;144;174;457.0
183.0;-16.0;-115.0;-73.0;?;312.0;-103.0;-237.0;144;174;?
299.0;?;-167.0;-75.0;976.0;307.0;-172.0;-237.0;144;?;277.0
367.0;-70.0;-122.0;-63.0;998.0;465.0;-202.0;-300.0;145;?;253.0
266.0;25.0;-66.0;-72.0;988.0;582.0;-33.0;-306.0;145;173;174.0
66.0;-44.0;-30.0;-93.0;971.0;493.0;-12.0;-261.0;145;?;?
27.0;-241.0;-66.0;-96.0;991.0;327.0;?;-280.0;145;174;295.0
56.0;-339.0;-101.0;?;971.0;277.0;-73.0;-272.0;145;173;346.0
82.0;-238.0;-58.0;-65.0;966.0;?;-29.0;-294.0;145;173;428.0
149.0;-180.0;-110.0;-54.0;978.0;334.0;87.0;-310.0;145;173;?
214.0;-168.0;-36.0;-49.0;966.0;329.0;157.0;-331.0;145;173;277.0
297.0;-80.0;-33.0;-66.0;974.0;384.0;127.0;-309.0;145;173;241.0
441.0;-58.0;-23.0;-53.0;?;477.0;17.0;-295.0;145;173;?
536.0;19.0;-56.0;-65.0;960.0;544.0;-156.0;-317.0;145;173;219.0
638.0;126.0;?;-71.0;947.0;639.0;?;-316.0;145;173;93.0
739.0;189.0;?;-3.0;952.0;652.0;?;-340.0;145;173;-42.0
571.0;?;-109.0;-76.0;950.0;767.0;-485.0;-312.0;145;173;-64.0
659.0;327.0;-63.0;-85.0;944.0;799.0;-484.0;-338.0;145;174;-107.0
662.0;71.0;-59.0;-106.0;958.0;785.0;?;-256.0;145;173;-30.0
733.0;158.0;-173.0;-156.0;1075.0;880.0;-244.0;-201.0;145;173;-28.0
862.0;92.0;-231.0;-262.0;1108.0;1054.0;-181.0;-263.0;145;173;50.0
605.0;-12.0;-62.0;-122.0;?;1021.0;-375.0;-252.0;145;173;-99.0
264.0;165.0;103.0;-26.0;1000.0;964.0;-388.0;-221.0;145;173;-89.0
165.0;212.0;35.0;?;987.0;727.0;-351.0;-151.0;145;?;-17.0
146.0;116.0;-72.0;?;949.0;357.0;?;-26.0;145;173;189.0
?;?;-113.0;53.0;872.0;233.0;-105.0;-107.0;145;173;10.0
231.0;?;-168.0;-44.0;902.0;211.0;-53.0;-21.0;145;173;182.0
167.0;65.0;-203.0;-7.0;955.0;166.0;-125.0;-4.0;145;173;-102.0
-353.0;291.0;-184.0;-86.0;?;351.0;-241.0;-50.0;146;173;-488.0
-456.0;130.0;-156.0;-200.0;996.0;232.0;-218.0;?;146;174;-15.0
-557.0;-225.0;-82.0;-33.0;973.0;117.0;341.0;-90.0;145;173;-648.0
?;-550.0;-107.0;22.0;1024.0;26.0;1295.0;-55.0;145;173;-354.0
-554.0;-739.0;-107.0;-30.0;1080.0;-2.0;1313.0;?;145;173;?
-326.0;-565.0;-109.0;-66.0;1041.0;-34.0;1599.0;-52.0;145;173;-340.0
441.0;564.0;-139.0;-292.0;998.0;438.0;-538.0;83.0;146;173;-320.0
?;530.0;-146.0;-321.0;992.0;496.0;-406.0;88.0;145;173;-342.0
516.0;536.0;?;-306.0;?;507.0;-411.0;31.0;145;173;-391.0
749.0;537.0;-148.0;-295.0;1034.0;524.0;-398.0;69.0;146;173;-386.0
879.0;635.0;-161.0;-264.0;?;671.0;-434.0;73.0;146;174;-342.0
943.0;894.0;-139.0;-220.0;982.0;802.0;-681.0;71.0;145;174;-390.0
904.0;967.0;?;-155.0;979.0;846.0;-966.0;59.0;?;173;-465.0
697.0;959.0;-99.0;-275.0;1017.0;892.0;-1187.0;90.0;146;173;-403.0
639.0;737.0;-128.0;-258.0;1016.0;812.0;-938.0;61.0;145;173;?
562.0;807.0;-102.0;?;1020.0;732.0;-700.0;63.0;145;?;-294.0
498.0;742.0;-54.0;-295.0;1048.0;656.0;-715.0;?;145;174;-236.0
