InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameX
-26;21;18;144.0;68;207.0;21
-22;105;25;-77.0;78;44.0;105
-26;-8;21;78.0;75;433.0;-8
-26;-15;21;85.0;75;433.0;-15
-26;-19;21;88.0;79;433.0;-19
-26;-16;21;121.0;78;434.0;-16
-27;64;21;161.0;77;435.0;64
-50;7;1;103.0;246;402.0;7
-28;10;22;140.0;86;435.0;10
-23;-100;24;-71.0;80;10.0;-100
-29;90;22;116.0;84;437.0;90
-30;38;22;116.0;90;436.0;38
-30;48;22;118.0;97;436.0;48
-30;29;22;122.0;92;434.0;29
-30;1;22;121.0;109;432.0;1
-28;-18;21;115.0;86;430.0;-18
-28;-11;21;117.0;83;430.0;-11
-28;-11;21;122.0;89;429.0;-11
-27;-10;21;131.0;87;428.0;-10
-27;-50;21;136.0;83;427.0;-50
-27;-15;21;138.0;89;427.0;-15
-27;0;21;141.0;79;427.0;0
-27;-32;21;135.0;86;429.0;-32
-27;1;21;133.0;85;430.0;1
-27;10;21;126.0;80;432.0;10
-27;17;21;128.0;84;438.0;17
-27;20;21;121.0;79;439.0;20
-27;24;21;125.0;77;440.0;24
-27;15;21;132.0;83;440.0;15
-27;-38;21;157.0;85;440.0;-38
-27;-21;21;154.0;85;441.0;-21
-27;-35;21;149.0;85;448.0;-35
-24;-113;23;39.0;80;20.0;-113
-24;-28;22;76.0;75;25.0;-28
-36;-181;22;115.0;45;-36.0;-181
-24;-87;23;16.0;90;11.0;-87
-55;-862;25;-410.0;310;-661.0;-862
-29;-1;14;432.0;-338;607.0;-1
-27;-1;21;137.0;79;471.0;-1
-27;-32;21;130.0;79;504.0;-32
-23;-67;44;177.0;119;395.0;-67
-21;-25;43;215.0;103;501.0;-25
-24;1349;26;-246.0;896;-149.0;1349
-26;-188;19;91.0;70;473.0;-188
-33;-23;31;94.0;127;383.0;-23
-33;-59;31;93.0;81;360.0;-59
-34;75;32;118.0;101;264.0;75
-15;496;25;477.0;-723;573.0;496
-38;-256;34;77.0;64;249.0;-256
-22;28;19;-87.0;62;121.0;28
-22;-18;25;-71.0;73;116.0;-18
-22;-25;25;-71.0;74;118.0;-25
-22;-65;24;218.0;69;125.0;-65
-22;-21;25;-1.0;72;124.0;-21
-22;-7;25;12.0;85;121.0;-7
-23;197;19;-47.0;103;-196.0;197
-22;-5;25;25.0;68;113.0;-5
-22;-20;25;49.0;107;89.0;-20
-32;64;19;-73.0;88;-238.0;64
-38;16;15;12.0;90;36.0;16
-38;19;15;2.0;80;72.0;19
-38;7;15;8.0;69;100.0;7
-22;-21;24;217.0;99;127.0;-21
-38;5;15;17.0;69;112.0;5
-38;-2;15;22.0;73;115.0;-2
-33;26;9;202.0;39;281.0;26
-33;61;9;171.0;25;238.0;61
-38;2;15;28.0;77;116.0;2
-17;-9;20;109.0;90;138.0;-9
-17;39;19;121.0;94;154.0;39
-38;63;15;43.0;69;115.0;63
-38;25;15;44.0;64;114.0;25
-38;-15;15;39.0;67;114.0;-15
-27;-12;21;103.0;81;502.0;-12
-27;-35;21;111.0;81;497.0;-35
-27;-33;21;107.0;80;495.0;-33
-27;-9;21;98.0;84;491.0;-9
-27;28;21;96.0;81;492.0;28
-27;-28;21;91.0;77;487.0;-28
-27;-37;21;92.0;74;482.0;-37
-27;-9;21;136.0;80;500.0;-9
-38;-9;15;32.0;66;111.0;-9
-17;37;20;130.0;65;175.0;37
-17;77;19;129.0;115;195.0;77
-58;-86;27;60.0;-404;188.0;-86
-38;-3;15;61.0;73;106.0;-3
-38;5;15;79.0;74;103.0;5
-55;-423;30;54.0;-601;106.0;-423
-38;-61;15;93.0;71;99.0;-61
-27;-17;21;147.0;85;497.0;-17
-27;-22;21;144.0;85;494.0;-22
-27;-29;21;143.0;82;494.0;-29
-25;-61;18;162.0;72;527.0;-61
-38;-80;15;96.0;68;93.0;-80
-38;-52;15;90.0;72;85.0;-52
-38;-53;15;81.0;70;74.0;-53
-38;-52;15;73.0;69;59.0;-52
-38;-40;15;75.0;71;42.0;-40
-29;3;18;-72.0;57;222.0;3
-29;-4;18;-68.0;76;244.0;-4
-29;19;18;-61.0;92;262.0;19
-29;-4;18;-44.0;72;288.0;-4
-27;7;26;-502.0;76;-265.0;7
-21;33;18;-159.0;65;-75.0;33
-21;-3;18;-61.0;68;107.0;-3
-21;-14;18;-46.0;66;242.0;-14
-21;1;18;-29.0;67;321.0;1
-25;58;20;-42.0;76;406.0;58
-29;-45;18;-25.0;82;305.0;-45
-25;-169;16;577.0;31;629.0;-169
-38;18;11;293.0;98;410.0;18
-30;-61;18;-10.0;71;322.0;-61
-30;-63;18;-6.0;65;330.0;-63
-28;-75;12;3.0;-196;370.0;-75
-52;-72;17;92.0;113;411.0;-72
-53;1;18;96.0;172;384.0;1
-53;4;18;106.0;156;346.0;4
-50;2;3;94.0;165;452.0;2
