InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit RLA gyroX
-222.0;-374.0;-562.0;592.0;671.0;-180;606.0;-146.0;630.0;-120.0;-59.0;337.0;-14.0
231.0;-333.0;-139.0;947.0;-189.0;-155;553.0;40.0;304.0;-70.0;-19.0;335.0;127.0
233.0;-301.0;-143.0;930.0;-185.0;-155;558.0;9.0;306.0;-75.0;-22.0;325.0;298.0
216.0;-320.0;-180.0;934.0;-152.0;-155;566.0;82.0;337.0;-20.0;-4.0;369.0;85.0
212.0;-330.0;-182.0;946.0;-149.0;-155;564.0;76.0;338.0;-29.0;-56.0;367.0;127.0
197.0;-318.0;-194.0;914.0;-147.0;-155;565.0;-30.0;344.0;-35.0;-15.0;378.0;-75.0
224.0;-323.0;-130.0;929.0;-196.0;-155;548.0;-1.0;298.0;-54.0;-23.0;318.0;59.0
211.0;-299.0;-132.0;937.0;-202.0;-155;549.0;-10.0;287.0;-9.0;-5.0;306.0;38.0
212.0;-299.0;-131.0;964.0;-205.0;-155;549.0;29.0;290.0;-8.0;10.0;297.0;30.0
211.0;-304.0;-134.0;955.0;-203.0;-155;549.0;19.0;288.0;-19.0;-11.0;300.0;10.0
211.0;-301.0;-134.0;930.0;-203.0;-155;547.0;63.0;288.0;7.0;23.0;298.0;-5.0
208.0;-294.0;-134.0;930.0;-201.0;-155;547.0;98.0;291.0;25.0;58.0;309.0;-25.0
147.0;-230.0;-122.0;931.0;-172.0;-154;614.0;31.0;322.0;-4.0;-47.0;328.0;-23.0
146.0;-225.0;-122.0;932.0;-173.0;-154;617.0;-46.0;320.0;-67.0;-71.0;334.0;36.0
153.0;-227.0;-102.0;907.0;-174.0;-154;617.0;25.0;317.0;-50.0;-41.0;320.0;-102.0
157.0;-220.0;-95.0;914.0;-171.0;-154;616.0;55.0;315.0;-28.0;-20.0;329.0;144.0
224.0;-204.0;177.0;1012.0;300.0;-64;353.0;-125.0;402.0;56.0;-148.0;104.0;-317.0
283.0;-270.0;-140.0;924.0;-230.0;-155;532.0;-68.0;221.0;-209.0;-61.0;313.0;-411.0
52.0;-274.0;-214.0;956.0;422.0;-144;518.0;-30.0;-109.0;-42.0;-91.0;44.0;-119.0
-398.0;151.0;-577.0;464.0;267.0;-175;646.0;53.0;78.0;34.0;-63.0;46.0;-52.0
-358.0;-91.0;-331.0;497.0;537.0;166;652.0;-66.0;386.0;12.0;-66.0;75.0;-65.0
-360.0;-91.0;-368.0;501.0;524.0;166;652.0;-47.0;385.0;-112.0;-56.0;53.0;-61.0
-353.0;-89.0;-334.0;515.0;545.0;166;654.0;-69.0;386.0;-123.0;-56.0;58.0;-25.0
-363.0;-92.0;-498.0;496.0;503.0;166;656.0;-1.0;390.0;-43.0;-18.0;67.0;-107.0
-356.0;-90.0;-396.0;492.0;524.0;166;655.0;-45.0;386.0;-64.0;-39.0;46.0;-13.0
-351.0;-87.0;-432.0;502.0;533.0;166;653.0;-20.0;382.0;57.0;67.0;52.0;-43.0
-356.0;-73.0;-537.0;494.0;511.0;166;654.0;6.0;376.0;-57.0;14.0;55.0;-108.0
-350.0;-80.0;-503.0;498.0;521.0;166;655.0;-80.0;370.0;-2.0;-12.0;49.0;-70.0
-336.0;-92.0;-428.0;510.0;520.0;165;657.0;-29.0;419.0;-28.0;36.0;69.0;21.0
-337.0;-103.0;-368.0;496.0;539.0;165;656.0;-50.0;420.0;-50.0;-37.0;73.0;-22.0
