InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LUA Quaternion1
2.0;-382.0;625.0;-260.0;-805.0;-91.0;595.0;-350.0;774.0
234.0;-129.0;644.0;201.0;-640.0;-120.0;643.0;112.0;728.0
254.0;-60.0;654.0;71.0;-769.0;10.0;654.0;269.0;709.0
158.0;-143.0;678.0;158.0;-757.0;-38.0;644.0;196.0;698.0
81.0;-217.0;674.0;224.0;-786.0;-88.0;681.0;368.0;734.0
220.0;-453.0;278.0;316.0;-874.0;167.0;9.0;152.0;842.0
-392.0;-807.0;729.0;141.0;-849.0;190.0;504.0;234.0;560.0
-233.0;-524.0;354.0;-318.0;-631.0;-325.0;455.0;-715.0;793.0
-217.0;-522.0;350.0;-306.0;-642.0;-313.0;447.0;-709.0;793.0
-216.0;-515.0;353.0;-306.0;-651.0;-303.0;451.0;-711.0;790.0
-215.0;-510.0;352.0;-305.0;-651.0;-298.0;453.0;-712.0;791.0
398.0;146.0;521.0;-112.0;-651.0;138.0;504.0;-43.0;612.0
-147.0;-432.0;607.0;-321.0;-817.0;-278.0;616.0;-539.0;742.0
-156.0;-441.0;608.0;-319.0;-812.0;-264.0;618.0;-532.0;738.0
-164.0;-451.0;606.0;-321.0;-810.0;-260.0;617.0;-528.0;737.0
-168.0;-456.0;604.0;-323.0;-809.0;-261.0;617.0;-529.0;737.0
-176.0;-465.0;599.0;-326.0;-804.0;-274.0;615.0;-534.0;737.0
-191.0;-477.0;590.0;-330.0;-805.0;-277.0;609.0;-541.0;736.0
-197.0;-480.0;586.0;-331.0;-806.0;-280.0;605.0;-542.0;735.0
-201.0;-483.0;583.0;-333.0;-807.0;-283.0;602.0;-541.0;735.0
-432.0;-583.0;648.0;-376.0;-811.0;-208.0;658.0;-484.0;606.0
