InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;Accelerometer LUA_ accX;InertialMeasurementUnit RLA magneticX;Accelerometer LH accX;InertialMeasurementUnit LLA magneticX;Accelerometer LWR accZ;InertialMeasurementUnit LUA magneticY
-473.0;298.0;1073.0;-358.0;-129.0;-325.0;315.0;344.0;259.0;-89.0
-558.0;397.0;-125.0;-481.0;-262.0;224.0;578.0;-36.0;562.0;776.0
-543.0;397.0;754.0;-441.0;-174.0;-7.0;363.0;345.0;365.0;68.0
-420.0;87.0;980.0;-706.0;-320.0;-246.0;845.0;284.0;686.0;-175.0
-695.0;15.0;848.0;-602.0;-421.0;-602.0;519.0;701.0;482.0;-211.0
198.0;-502.0;892.0;-585.0;-144.0;512.0;568.0;847.0;526.0;-677.0
-184.0;89.0;973.0;-385.0;-269.0;797.0;408.0;925.0;399.0;-158.0
201.0;-321.0;922.0;-288.0;-118.0;928.0;147.0;772.0;219.0;-461.0
-357.0;172.0;903.0;-782.0;-687.0;-151.0;705.0;-423.0;705.0;416.0
-363.0;144.0;838.0;-982.0;-848.0;-11.0;791.0;-220.0;805.0;349.0
-797.0;458.0;964.0;-348.0;-178.0;476.0;214.0;972.0;357.0;-164.0
-111.0;-42.0;1069.0;-562.0;-228.0;902.0;471.0;1017.0;345.0;-276.0
138.0;-122.0;927.0;-861.0;-717.0;423.0;750.0;164.0;817.0;136.0
-603.0;-407.0;1031.0;-931.0;-869.0;-520.0;759.0;390.0;802.0;-116.0
-139.0;126.0;1002.0;-611.0;-614.0;-416.0;558.0;159.0;560.0;270.0
-168.0;28.0;1011.0;-689.0;-395.0;16.0;657.0;-73.0;570.0;-46.0
-107.0;12.0;934.0;-548.0;-652.0;164.0;286.0;-129.0;360.0;178.0
-328.0;108.0;974.0;-569.0;-435.0;-107.0;439.0;-55.0;549.0;43.0
-380.0;175.0;1058.0;-333.0;-511.0;45.0;34.0;-633.0;446.0;476.0
-315.0;117.0;1029.0;-989.0;-849.0;-124.0;36.0;-528.0;431.0;262.0
-516.0;334.0;714.0;-463.0;-241.0;42.0;394.0;461.0;398.0;-85.0
-262.0;322.0;899.0;69.0;173.0;350.0;-104.0;407.0;-81.0;300.0
-354.0;270.0;939.0;-402.0;-349.0;-29.0;375.0;402.0;385.0;-31.0
-563.0;476.0;902.0;-382.0;-391.0;-81.0;484.0;251.0;372.0;136.0
-538.0;442.0;1009.0;-263.0;-65.0;-208.0;107.0;310.0;135.0;239.0
741.0;-562.0;748.0;-562.0;-89.0;294.0;769.0;401.0;574.0;-268.0
